MetaTest/stick-push-v1/MinReturn,MetaTest/stick-push-v1/MaxReturn,MetaTest/stick-push-v1/AverageDiscountedReturn,MetaTest/stick-push-v1/Iteration,MetaTest/stick-push-v1/StdReturn,MetaTest/stick-push-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTrain/Average/AlphaLoss,MetaTest/stick-push-v1/SuccessRate,MetaTest/stick-push-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/stick-push-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,TotalEnvSteps
-22.96100973869592,-15.525624574590479,-20.059002930876304,0,2.4355512993684596,-20.059002930876296,0,0.0,2.5197327,2.4355512993684596,nan,6.7316055,0.0,10,-13.298543,-15.525624574590479,-20.059002930876304,-22.96100973869592,8.517109,0.0,-20.059002930876296,10,0.0,224000
-15.903145414837057,-11.396999245222409,-13.370895743144525,1,1.6166169322521124,-13.37089574314452,1,0.0,3.9718556,1.6166169322521124,nan,6.72466,0.0,10,-31.728535,-11.396999245222409,-13.370895743144525,-15.903145414837057,8.522082,0.0,-13.37089574314452,10,0.0,248000
-10.30461151168586,-7.566455146759495,-8.679014933612116,2,0.8905836204448631,-8.679014933612116,2,0.0,4.2336316,0.8905836204448631,nan,6.7089634,0.0,10,-43.892227,-7.566455146759495,-8.679014933612116,-10.30461151168586,7.9943914,0.0,-8.679014933612116,10,0.0,272000
-9.126661375973422,-6.404292613063857,-7.861061914936053,3,0.8710048017183439,-7.861061914936056,3,0.0,6.152647,0.8710048017183439,nan,6.684266,0.0,10,-55.807323,-6.404292613063857,-7.861061914936053,-9.126661375973422,8.06228,0.0,-7.861061914936056,10,0.0,296000
-7.9060402210345515,-5.22481316963325,-6.33485674597182,4,0.6614845016012336,-6.334856745971821,4,0.0,8.424892,0.6614845016012336,nan,6.6540666,0.0,10,-67.92732,-5.22481316963325,-6.33485674597182,-7.9060402210345515,7.578161,0.0,-6.334856745971821,10,0.0,320000
-8.608107713679908,-6.397814059321294,-7.217602499112869,5,0.7106389517618781,-7.217602499112867,5,0.0,35.236546,0.7106389517618781,nan,6.6178064,0.0,10,-81.83303,-6.397814059321294,-7.217602499112869,-8.608107713679908,7.676385,0.0,-7.217602499112867,10,0.0,344000
-9.418045173045266,-7.314552419071683,-8.086199596592078,6,0.5841062495078309,-8.086199596592078,6,0.0,72.806076,0.5841062495078309,nan,6.5693274,0.0,10,-95.58217,-7.314552419071683,-8.086199596592078,-9.418045173045266,7.810086,0.0,-8.086199596592078,10,0.0,368000
-10.428304980503272,-8.055126944280156,-9.102194214719756,7,0.8384299909020915,-9.102194214719756,7,0.0,220.47203,0.8384299909020915,nan,6.513192,0.0,10,-109.19556,-8.055126944280156,-9.102194214719756,-10.428304980503272,7.593281,0.0,-9.102194214719756,10,0.0,392000
-13.530270520586205,-10.444505072404795,-11.837870811371141,8,1.1342381258046363,-11.837870811371141,8,0.0,261.00107,1.1342381258046363,nan,6.440774,0.0,10,-115.280304,-10.444505072404795,-11.837870811371141,-13.530270520586205,7.715893,0.0,-11.837870811371141,10,0.0,416000
-16.046423286817905,-12.569738907597579,-14.427185529911643,9,1.1093118256116425,-14.427185529911643,9,0.0,429.81973,1.1093118256116425,nan,6.3650317,0.0,10,-114.318054,-12.569738907597579,-14.427185529911643,-16.046423286817905,7.6289816,0.0,-14.427185529911643,10,0.0,440000
