MetaTest/Average/MaxReturn,MetaTest/soccer-v1/SuccessRate,MetaTest/soccer-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/soccer-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/soccer-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/soccer-v1/NumTrajs,MetaTest/Average/NumTrajs,MetaTrain/Average/Alpha,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/soccer-v1/Iteration,MetaTest/soccer-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/soccer-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/Iteration
127.44049414397679,0.0,127.44049414397679,70.967804,8.04521,8.210791293064826,-7.6660476,-27.671482814708703,-27.671482814708703,6.7014017,10,10,nan,8.21079129306482,8.21079129306482,0,0.0,8.210791293064826,0.0,224000,58.56857679810003,0.0,58.56857679810003,0
-28.126722240568952,0.0,-28.126722240568952,3947.775,14.557687,-44.31466966605772,-37.628345,-71.41172202119725,-71.41172202119725,6.226801,10,10,nan,-44.314669666057725,-44.314669666057725,1,0.0,-44.31466966605772,0.0,248000,12.45314239690444,0.0,12.45314239690444,1
55007.35248536319,0.0,55007.35248536319,6190.641,21.730762,5615.835871369511,-276.64426,-29.683894864928558,-29.683894864928558,5.034629,10,10,nan,5615.83587136951,5615.83587136951,2,0.0,5615.835871369511,0.0,272000,16464.710741812123,0.0,16464.710741812123,2
428.0388227721078,0.0,428.0388227721078,78259.36,31.532198,37.503798146771985,-1117.4114,-96.27065660730271,-96.27065660730271,2.2786787,10,10,nan,37.503798146771985,37.503798146771985,3,0.0,37.503798146771985,0.0,296000,137.57259727622326,0.0,137.57259727622326,3
-19.970125752599046,0.0,-19.970125752599046,272646.47,112.84064,-57.91678586285063,-5448.144,-112.60221972224056,-112.60221972224056,-5.314061,10,10,nan,-57.916785862850645,-57.916785862850645,4,0.0,-57.91678586285063,0.0,320000,32.726915218437966,0.0,32.726915218437966,4
41572.54662486075,0.0,41572.54662486075,722444.1,93.701935,4121.410486881533,-15575.331,-54.26512718754309,-54.26512718754309,-9.072926,10,10,nan,4121.410486881533,4121.410486881533,5,0.0,4121.410486881533,0.0,344000,12483.71498372806,0.0,12483.71498372806,5
100999.50248307563,0.0,100999.50248307563,1701999.6,68.662025,10077.445150282236,-33265.63,-35.57204140098542,-35.57204140098542,-12.112071,10,10,nan,10077.445150282236,10077.445150282236,6,0.0,10077.445150282236,0.0,368000,30307.352757059754,0.0,30307.352757059754,6
-99.21138334384887,0.0,-99.21138334384887,4094183.0,773.48895,-111.71181430767967,-89500.23,-122.58648382269399,-122.58648382269399,-16.084097,10,10,nan,-111.71181430767965,-111.71181430767965,7,0.0,-111.71181430767967,0.0,392000,7.707892434724071,0.0,7.707892434724071,7
-16.106337716083257,0.0,-16.106337716083257,2829745.0,21359.383,-39.85394356562708,-71519.8,-87.60078655352396,-87.60078655352396,-14.935687,10,10,nan,-39.85394356562707,-39.85394356562707,8,0.0,-39.85394356562708,0.0,416000,19.561505466119097,0.0,19.561505466119097,8
106.35776298386611,0.0,106.35776298386611,1457608.6,6575.1885,-85.61013109448842,-25424.656,-131.7399025389204,-131.7399025389204,-11.013362,10,10,nan,-85.61013109448847,-85.61013109448847,9,0.0,-85.61013109448842,0.0,440000,69.11532755352908,0.0,69.11532755352908,9
3573.9787926670933,0.2,3573.9787926670933,3133968.2,52.943783,311.4488786398275,-65184.914,-114.66362206844842,-114.66362206844842,-20.26018,10,10,nan,311.44887863982774,311.44887863982774,10,0.0,311.4488786398275,0.2,464000,1088.0398515368133,0.0,1088.0398515368133,10
97771.25557735801,0.2,97771.25557735801,4317533.0,335.16684,15267.597124396034,-84572.516,-47.9037053814856,-47.9037053814856,-21.991602,10,10,nan,15267.597124396027,15267.597124396027,11,0.0,15267.597124396034,0.2,488000,31943.69844421516,0.0,31943.69844421516,11
107186.72026165904,0.2,107186.72026165904,6370131.0,44.04975,27279.24693357494,-103510.14,-54.178646730260446,-54.178646730260446,-23.87982,10,10,nan,27279.246933574945,27279.246933574945,12,0.0,27279.24693357494,0.2,512000,39749.81540162107,0.0,39749.81540162107,12
39429.44791923658,0.2,39429.44791923658,7353311.5,65.42695,6982.696525617945,-111074.21,-47.688791260377045,-47.688791260377045,-24.197887,10,10,nan,6982.696525617948,6982.696525617948,13,0.0,6982.696525617945,0.2,536000,14166.304263751046,0.0,14166.304263751046,13
108995.24149769652,0.2,108995.24149769652,8375202.0,22.851881,31110.909580534644,-118996.41,-39.971658537943924,-39.971658537943924,-22.155752,10,10,nan,31110.909580534644,31110.909580534644,14,0.0,31110.909580534644,0.2,560000,36349.31643397485,0.0,36349.31643397485,14
82059.69448089489,0.6,82059.69448089489,9908136.0,16.58874,8175.802808559085,-137323.97,-56.69369978115235,-56.69369978115235,-22.01002,10,10,nan,8175.802808559082,8175.802808559082,15,0.0,8175.802808559085,0.6,584000,24627.96690006677,0.0,24627.96690006677,15
-17.360373897152215,0.9,-17.360373897152215,11630162.0,18.320618,-18.76397568573774,-143726.11,-20.93851204665186,-20.93851204665186,-23.18407,10,10,nan,-18.76397568573774,-18.76397568573774,16,0.0,-18.76397568573774,0.9,608000,0.8522032064265839,0.0,0.8522032064265839,16
