MetaTest/handle-press-side-v1/StdReturn,Average/MinReturn,Average/AverageDiscountedReturn,Average/MaxReturn,MetaTest/handle-press-side-v1/SuccessRate,GaussianMLPPolicy/dLoss,MetaTest/Average/TerminationRate,handle-press-side-v1/TerminationRate,Average/AverageReturn,handle-press-side-v1/SuccessRate,GaussianMLPPolicy/Entropy,TotalEnvSteps,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLAfter,GaussianMLPPolicy/LossAfter,Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/handle-press-side-v1/AverageDiscountedReturn,Average/NumEpisodes,MetaTest/handle-press-side-v1/NumEpisodes,MetaTest/handle-press-side-v1/Iteration,handle-press-side-v1/NumEpisodes,MetaTest/handle-press-side-v1/AverageReturn,Average/SuccessRate,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLBefore,MetaTest/handle-press-side-v1/MinReturn,handle-press-side-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,handle-press-side-v1/MinReturn,handle-press-side-v1/AverageReturn,Iteration,MetaTest/Average/StdReturn,handle-press-side-v1/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/handle-press-side-v1/TerminationRate,handle-press-side-v1/StdReturn,Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,handle-press-side-v1/Iteration,Average/TerminationRate,MetaTest/handle-press-side-v1/MaxReturn
0.0,-53.42589623908361,869.4163704771199,70333.14341055739,0.0,0.00015099364827619866,0.0,0.0,2577.3314170060003,0.0,5.6705403327941895,80000,-5.336208414519206e-05,0.00697940681129694,-0.0002043557324213907,0,0.0,-19.30411032565732,200,1,0,200,-19.304110325657305,0.0,-19.304110325657305,0.0,-19.304110325657305,869.4163704771199,-19.304110325657305,-53.42589623908361,2577.3314170060003,0,0.0,70333.14341055739,1,0.0,8097.658487172346,8097.658487172346,-19.304110325657305,0,-19.30411032565732,0,0.0,-19.304110325657305
0.0,-53.78609396535182,948.3084932997805,33053.54353227533,0.0,0.00015828381583560258,0.0,0.0,2550.082349039471,0.0,5.659149169921875,160000,-0.00013099539501126856,0.006807319819927216,-0.00028927921084687114,1,0.0,4359.950106163302,200,1,1,200,4359.950106163296,0.0,4359.950106163296,0.0,4359.950106163296,948.3084932997805,4359.950106163296,-53.78609396535182,2550.082349039471,1,0.0,33053.54353227533,1,0.0,6475.06372211683,6475.06372211683,4359.950106163296,1,4359.950106163302,1,0.0,4359.950106163296
0.0,-47.13231383566617,2033.0833500360459,64217.807092483534,0.0,2.3698063159827143e-05,0.0,0.0,5792.8885826806545,0.0,5.692603588104248,240000,5.1843140681739897e-05,0.007693348918110132,2.8145077521912754e-05,2,0.0,14889.594422256188,200,1,2,200,14889.59442225618,0.0,14889.59442225618,0.0,14889.59442225618,2033.0833500360459,14889.59442225618,-47.13231383566617,5792.8885826806545,2,0.0,64217.807092483534,1,0.0,10578.493073941829,10578.493073941829,14889.59442225618,2,14889.594422256188,2,0.0,14889.59442225618
0.0,-39.98648017919057,2178.696902811833,55039.055052159485,0.0,2.645492713782005e-08,0.0,0.0,6811.554240291037,0.0,5.6925129890441895,320000,-2.1891287360631395e-07,1.866486854851246e-05,-2.45367800744134e-07,3,0.0,13648.123287162247,200,1,3,200,13648.123287162243,0.0,13648.123287162243,0.0,13648.123287162243,2178.696902811833,13648.123287162243,-39.98648017919057,6811.554240291037,3,0.0,55039.055052159485,1,0.0,10418.678896354937,10418.678896354937,13648.123287162243,3,13648.123287162247,3,0.0,13648.123287162243
0.0,-43.17554024748541,2011.5753768281634,51913.9150861851,0.0,2.6576458367344458e-08,0.0,0.0,6274.762793817117,0.0,5.691769599914551,400000,-1.390465627082449e-06,1.8755090422928333e-05,-1.4170420854497934e-06,4,0.0,1447.073998994178,200,1,4,200,1447.073998994179,0.0,1447.073998994179,0.0,1447.073998994179,2011.5753768281634,1447.073998994179,-43.17554024748541,6274.762793817117,4,0.0,51913.9150861851,1,0.0,9453.272704710704,9453.272704710704,1447.073998994179,4,1447.073998994178,4,0.0,1447.073998994179
0.0,-43.65215673530631,2173.510304102404,52788.9383338918,0.0,2.4265773390652612e-08,0.0,0.0,6667.236488917985,0.0,5.6934285163879395,480000,3.299818217783468e-06,1.7120089978561737e-05,3.2755524443928152e-06,5,0.0,-15.794775858653724,200,1,5,200,-15.79477585865372,0.0,-15.79477585865372,0.0,-15.79477585865372,2173.510304102404,-15.79477585865372,-43.65215673530631,6667.236488917985,5,0.0,52788.9383338918,1,0.0,10294.540955331755,10294.540955331755,-15.79477585865372,5,-15.794775858653724,5,0.0,-15.79477585865372
0.0,-48.920994330184996,2146.6491165146076,45633.388018172096,0.0,2.767342266452033e-08,0.0,0.0,6795.820059504575,0.0,5.691465377807617,560000,-2.8076558464817936e-06,1.951901322172489e-05,-2.835329269146314e-06,6,0.0,41142.08230496594,200,1,6,200,41142.08230496599,0.0,41142.08230496599,0.0,41142.08230496599,2146.6491165146076,41142.08230496599,-48.920994330184996,6795.820059504575,6,0.0,45633.388018172096,1,0.0,9741.468662872208,9741.468662872208,41142.08230496599,6,41142.08230496594,6,0.0,41142.08230496599
0.0,-41.73365641433248,1995.1841416995446,47403.95741686136,0.0,1.152061486209277e-07,0.0,0.0,6818.490067351266,0.0,5.6851067543029785,640000,-7.278609700733796e-06,8.109496411634609e-05,-7.3938158493547235e-06,7,0.0,6308.101840403908,200,1,7,200,6308.101840403913,0.0,6308.101840403913,0.0,6308.101840403913,1995.1841416995446,6308.101840403913,-41.73365641433248,6818.490067351266,7,0.0,47403.95741686136,1,0.0,9249.243176681248,9249.243176681248,6308.101840403913,7,6308.101840403908,7,0.0,6308.101840403913
0.0,-42.68913963062065,2350.5552256650735,60141.837763917814,0.0,4.331491254561115e-08,0.0,0.0,7349.3574840764,0.0,5.686617851257324,720000,3.2428529266326223e-06,3.055241904803552e-05,3.199538014087011e-06,8,0.0,5833.496039646998,200,1,8,200,5833.496039646994,0.0,5833.496039646994,0.0,5833.496039646994,2350.5552256650735,5833.496039646994,-42.68913963062065,7349.3574840764,8,0.0,60141.837763917814,1,0.0,10849.697786751629,10849.697786751629,5833.496039646994,8,5833.496039646998,8,0.0,5833.496039646994
0.0,-44.91619858220207,2479.4216043696238,44662.64403719096,0.0,3.053116870432859e-08,0.0,0.0,7643.186418717129,0.0,5.685580253601074,800000,-1.6487359744132846e-06,2.1534780898946337e-05,-1.6792671431176132e-06,9,0.0,-23.840691804622217,200,1,9,200,-23.84069180462219,0.0,-23.84069180462219,0.0,-23.84069180462219,2479.4216043696238,-23.84069180462219,-44.91619858220207,7643.186418717129,9,0.0,44662.64403719096,1,0.0,10216.681577489044,10216.681577489044,-23.84069180462219,9,-23.840691804622217,9,0.0,-23.84069180462219
