MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/stick-push-v1/AverageReturn,MetaTest/stick-push-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/AlphaLoss,MetaTest/stick-push-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/stick-push-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/stick-push-v1/StdReturn,MetaTest/stick-push-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/stick-push-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/stick-push-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/stick-push-v1/Iteration,MetaTest/Average/MinReturn,TotalEnvSteps
10,0.0,13.61868,-19.086319802769747,-16.419279578972436,2.260431352573966,-19.086319802769744,-16.419279578972436,-19.086319802769744,6.729504,-22.75237814658698,11.862102,10,-9.09283,2.260431352573966,-19.086319802769747,0.0,0.0,nan,0.0,0,0,-22.75237814658698,224000
10,0.0,14.445231,-13.950921163142771,-11.310303740130554,1.6690263480301,-13.950921163142775,-11.310303740130554,-13.950921163142775,6.717645,-16.78729858012144,9.747141,10,-19.85633,1.6690263480301,-13.950921163142771,0.0,0.0,nan,0.0,1,1,-16.78729858012144,248000
10,0.0,15.648957,-10.954980986446042,-9.282462357696575,1.36701813349799,-10.95498098644604,-9.282462357696575,-10.95498098644604,6.695673,-14.005871762079563,9.864306,10,-27.632786,1.36701813349799,-10.954980986446042,0.0,0.0,nan,0.0,2,2,-14.005871762079563,272000
10,0.0,17.051754,-10.835190140148217,-9.150927862576422,1.4858469064837656,-10.835190140148214,-9.150927862576422,-10.835190140148214,6.6661944,-14.005719459460918,8.807385,10,-36.53444,1.4858469064837656,-10.835190140148217,0.0,0.0,nan,0.0,3,3,-14.005719459460918,296000
10,0.0,22.544695,-15.29997902012864,-13.5978990961625,1.1585006793532306,-15.29997902012864,-13.5978990961625,-15.29997902012864,6.631292,-16.87165405341508,8.293565,10,-44.509945,1.1585006793532306,-15.29997902012864,0.0,0.0,nan,0.0,4,4,-16.87165405341508,320000
10,0.0,33.798386,-11.36857604576058,-10.156123468227683,0.832590381378085,-11.36857604576058,-10.156123468227683,-11.36857604576058,6.604427,-12.895960126899363,8.801343,10,-49.949314,0.832590381378085,-11.36857604576058,0.0,0.0,nan,0.0,5,5,-12.895960126899363,344000
10,0.0,58.660587,-54.44401054189458,-51.44676356582951,2.0017649939792226,-54.44401054189459,-51.44676356582951,-54.44401054189459,6.56504,-57.68901048583376,7.6276193,10,-56.291725,2.0017649939792226,-54.44401054189458,0.0,0.0,nan,0.0,6,6,-57.68901048583376,368000
10,0.0,116.87941,-9.545697350533874,-8.725883404016011,0.6019889845455809,-9.545697350533871,-8.725883404016011,-9.545697350533871,6.4514484,-10.871328889201951,7.625313,10,-54.132835,0.6019889845455809,-9.545697350533874,0.0,0.0,nan,0.0,7,7,-10.871328889201951,392000
10,0.0,284.07336,-11.837331151610877,-9.89486216776429,1.611608907710434,-11.837331151610874,-9.89486216776429,-11.837331151610874,6.1328554,-14.634544648361093,7.6246433,10,-61.551083,1.611608907710434,-11.837331151610877,0.0,0.0,nan,0.0,8,8,-14.634544648361093,416000
10,0.0,450.6676,-6.496802417173174,2.714375931633304,4.822594352791815,-6.496802417173174,2.714375931633304,-6.496802417173174,5.8744445,-12.827279543454813,7.624613,10,-75.30747,4.822594352791815,-6.496802417173174,0.0,0.0,nan,0.0,9,9,-12.827279543454813,440000
