MetaTest/Average/SuccessRate,MetaTest/push-v1/StdReturn,Average/MinReturn,MetaTest/Average/StdReturn,GaussianMLPPolicy/LossAfter,MetaTest/Average/MaxReturn,MetaTest/push-v1/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,GaussianMLPPolicy/LossBefore,Average/AverageDiscountedReturn,push-v1/AverageReturn,push-v1/MinReturn,push-v1/SuccessRate,MetaTest/Average/AverageReturn,push-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/MinReturn,MetaTest/Average/Iteration,Average/TerminationRate,Average/MaxReturn,GaussianMLPPolicy/KLAfter,Average/NumEpisodes,TotalEnvSteps,MetaTest/push-v1/Iteration,push-v1/TerminationRate,push-v1/MaxReturn,MetaTest/push-v1/AverageReturn,MetaTest/push-v1/NumEpisodes,Average/AverageReturn,MetaTest/push-v1/MaxReturn,GaussianMLPPolicy/Entropy,push-v1/AverageDiscountedReturn,MetaTest/push-v1/SuccessRate,MetaTest/push-v1/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,MetaTest/Average/TerminationRate,push-v1/StdReturn,Average/Iteration,Average/SuccessRate,Iteration,push-v1/NumEpisodes,Average/StdReturn,GaussianMLPPolicy/KLBefore
0.0,1029.9347684300405,-61.205006644185936,1029.9347684300405,-0.0019254356157034636,4744.636995348745,0.0,50,-39.92284982164553,-0.0007108246209099889,6.6881208357284105,62.27337754498271,-61.205006644185936,0.005,339.0269746326062,0,339.02697463260614,-39.92284982164553,0,0.0,10176.376262380109,0.009901637211441994,200,80000,0,0.0,10176.376262380109,339.0269746326062,50,62.27337754498271,4744.636995348745,5.6644463539123535,6.6881208357284105,0.0,339.02697463260614,0.0012146109947934747,0.0,750.3976025931923,0,0.005,0,200,750.3976025931923,0.0
0.0,2609.313508814463,-56.014664342460144,2609.313508814463,-0.0005712980637326837,11576.392759306666,0.0,50,-37.520379452063914,-0.00025492015993222594,55.06121258646204,185.27454820493688,-56.014664342460144,0.015,876.0743250195129,1,876.0743250195128,-37.520379452063914,1,0.0,4939.59443004819,0.007829779759049416,200,160000,1,0.0,4939.59443004819,876.0743250195129,50,185.27454820493688,11576.392759306666,5.642341136932373,55.06121258646204,0.0,876.0743250195128,0.0003163779038004577,0.0,614.1450203639663,1,0.015,1,200,614.1450203639663,0.0
0.04,5572.380413226919,-41.755779779432785,5572.380413226919,-1.3710273378819693e-05,29326.0128965253,0.0,50,-35.01549547649556,6.758343806723133e-05,99.53177375291448,297.5687921990334,-41.755779779432785,0.0,1925.032145390467,2,1925.0321453904667,-35.01549547649556,2,0.0,5325.421763797042,0.0069797588512301445,200,240000,2,0.0,5325.421763797042,1925.032145390467,50,297.5687921990334,29326.0128965253,5.654777526855469,99.53177375291448,0.04,1925.0321453904667,8.129371144605102e-05,0.0,748.1879312383832,2,0.0,2,200,748.1879312383832,0.0
0.02,3527.073602892944,-35.809319302152325,3527.073602892944,9.58131658990169e-06,16204.197946467353,0.0,50,-24.293435414482403,9.350503387395293e-05,348.37050146554554,1118.0257125412415,-35.809319302152325,0.005,1556.063260247509,3,1556.0632602475098,-24.293435414482403,3,0.0,27376.59907417171,0.008085359819233418,200,320000,3,0.0,27376.59907417171,1556.063260247509,50,1118.0257125412415,16204.197946467353,5.671050548553467,348.37050146554554,0.02,1556.0632602475098,8.392371728405124e-05,0.0,3285.14897689684,3,0.005,3,200,3285.14897689684,0.0
0.04,5889.800170505381,-33.408054274885025,5889.800170505381,-0.001428216346539557,30589.766094125353,0.0,50,-27.472528717614654,-0.0010916597675532103,233.17650153262366,826.1476626611885,-33.408054274885025,0.015,2155.4590059121074,4,2155.4590059121074,-27.472528717614654,4,0.0,17379.674311665465,0.007492860313504934,200,400000,4,0.0,17379.674311665465,2155.4590059121074,50,826.1476626611885,30589.766094125353,5.618849277496338,233.17650153262366,0.04,2155.4590059121074,0.0003365565789863467,0.0,2559.7202385165206,4,0.015,4,200,2559.7202385165206,0.0
0.02,5150.599599749672,-23.631740299881066,5150.599599749672,8.405995686189272e-06,28900.50641330829,0.0,50,-30.118578756647064,2.386082269367762e-05,395.37829971007756,1371.1628480448676,-23.631740299881066,0.015,3025.031445578328,5,3025.0314455783273,-30.118578756647064,5,0.0,26616.042981595598,0.0070309825241565704,200,480000,5,0.0,26616.042981595598,3025.031445578328,50,1371.1628480448676,28900.50641330829,5.640141487121582,395.37829971007756,0.02,3025.0314455783273,1.5454827007488348e-05,0.0,3150.266491979577,5,0.015,5,200,3150.266491979577,0.0
0.04,10131.176763999576,-143.24668309318193,10131.176763999576,-4.059059210703708e-05,34010.17465125239,0.0,50,-21.077124543641002,-2.9824417651980184e-05,668.5890255138991,2279.475932705576,-143.24668309318193,0.055,6533.833171426303,6,6533.833171426303,-21.077124543641002,6,0.0,54557.34250077691,0.005274181719869375,200,560000,6,0.0,54557.34250077691,6533.833171426303,50,2279.475932705576,34010.17465125239,5.6089348793029785,668.5890255138991,0.04,6533.833171426303,1.0766174455056898e-05,0.0,5941.7773957551035,6,0.055,6,200,5941.7773957551035,0.0
