MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/window-open-v1/Iteration,TotalEnvSteps,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/window-open-v1/SuccessRate,MetaTest/window-open-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTest/window-open-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/window-open-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/window-open-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/window-open-v1/TerminationRate,MetaTest/window-open-v1/StdReturn
0.0,-45.851414,-42.28786090636571,0,0.0,0,112000,-42.287860906365715,4.2188635,-62.38710065653583,0.0,-62.38710065653583,14.825194,-42.287860906365715,0.8823049,14.89600408131958,-42.28786090636571,10,10,-11.60342905497075,-11.60342905497075,4739.668,0.0,14.89600408131958
0.0,-157.32315,-62.45704746930335,1,0.0,1,124000,-62.45704746930333,2.7065797,-76.01062761307684,0.0,-76.01062761307684,29.103498,-62.45704746930333,0.68396527,14.2478373518459,-62.45704746930335,10,10,-36.062166972328455,-36.062166972328455,3398.3792,0.0,14.2478373518459
0.0,-312.04538,-59.8671517717592,2,0.0,2,136000,-59.8671517717592,0.015783295,-86.19860708656348,0.0,-86.19860708656348,78.27572,-59.8671517717592,0.6066235,13.178730678607552,-59.8671517717592,10,10,-41.50400689372693,-41.50400689372693,4142.203,0.0,13.178730678607552
0.0,-232.06108,54.458668286168816,3,0.0,3,148000,54.45866828616888,0.4090449,-62.692574375906496,0.0,-62.692574375906496,171.16362,54.45866828616888,0.5960652,268.8472447116161,54.458668286168816,10,10,860.0140724800513,860.0140724800513,7474.3257,0.0,268.8472447116161
0.0,-399.9695,110.85997357794727,4,0.0,4,160000,110.85997357794733,-0.38955438,-63.69022356572573,0.0,-63.69022356572573,284.72443,110.85997357794733,0.61236864,281.1384926184288,110.85997357794727,10,10,762.3263544645772,762.3263544645772,12331.943,0.0,281.1384926184288
0.1,-531.79974,10644.022761742615,5,0.0,5,172000,10644.02276174261,-0.57914126,-60.58909710332122,0.1,-60.58909710332122,372.9465,10644.02276174261,0.70332783,30732.76896709939,10644.022761742615,10,10,102799.47255012546,102799.47255012546,14270.377,0.0,30732.76896709939
0.0,-1947.5364,373.91775959985915,6,0.0,6,184000,373.91775959985887,-5.4144177,-60.39972844885447,0.0,-60.39972844885447,235.50108,373.91775959985887,0.9828782,1195.187928096344,373.91775959985915,10,10,3959.2141511652776,3959.2141511652776,52065.32,0.0,1195.187928096344
0.0,-2281.1306,203.56702804648305,7,0.0,7,196000,203.5670280464832,-3.453583,-108.78090974880526,0.0,-108.78090974880526,7035.927,203.5670280464832,1.2801723,656.8945318960419,203.56702804648305,10,10,2112.0488955031815,2112.0488955031815,190650.73,0.0,656.8945318960419
0.0,-14343.892,1332.2819333411362,8,0.0,8,208000,1332.2819333411376,-19.046587,-61.53576630179958,0.0,-61.53576630179958,142.42303,1332.2819333411376,1.7650012,4103.765726780972,1332.2819333411362,10,10,13643.48434015309,13643.48434015309,480669.94,0.0,4103.765726780972
0.0,-10035.0,-53.5688860039833,9,0.0,9,220000,-53.56888600398329,-13.666066,-87.15383497830166,0.0,-87.15383497830166,456.40845,-53.56888600398329,2.3747447,17.767869109044135,-53.5688860039833,10,10,-22.661334564414673,-22.661334564414673,283744.38,0.0,17.767869109044135
