MetaTest/pick-out-of-hole-v1/AverageReturn,policy/Entropy,MetaTest/pick-out-of-hole-v1/MinReturn,policy/LossBefore,Average/MinReturn,MetaTest/Average/MinReturn,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/pick-out-of-hole-v1/NumEpisodes,Average/AverageReturn,MetaTest/pick-out-of-hole-v1/Iteration,pick-out-of-hole-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,pick-out-of-hole-v1/MinReturn,policy/KL,MetaTest/Average/MaxReturn,policy/LossAfter,policy/KLBefore,pick-out-of-hole-v1/StdReturn,TotalEnvSteps,pick-out-of-hole-v1/TerminationRate,pick-out-of-hole-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/pick-out-of-hole-v1/StdReturn,Average/TerminationRate,policy/dLoss,Average/MaxReturn,MetaTest/pick-out-of-hole-v1/MaxReturn,pick-out-of-hole-v1/SuccessRate,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/Iteration,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/Average/NumEpisodes,pick-out-of-hole-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,Average/SuccessRate,pick-out-of-hole-v1/MaxReturn,Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,pick-out-of-hole-v1/Iteration,Average/StdReturn,Average/Iteration
-98.06037739835935,5.6761312,-125.27919952233042,-0.031869896,-137.7941595482212,-125.27919952233042,-98.06037739835934,0.0,10,-94.30554453375063,0,100,-98.06037739835934,-137.7941595482212,0.0050704693,-72.64815837235697,-0.061766554,0.0,16.913469418580632,20000,0.0,-94.30554453375063,-98.06037739835935,16.969884981364096,0.0,0.029896658,-55.431027155871654,-72.64815837235697,0.0,0.4023885689349559,0,0.0,0.0,10,-35.85038782759873,-35.85038782759873,0.0,-55.431027155871654,100,16.969884981364096,0.0,0,16.913469418580632,0
,5.6692657,,-0.02607708,-126.10729430698099,,,,,-83.25984382191692,,100,,-126.10729430698099,0.012626669,,-0.051878773,0.0,16.3888012810382,40000,0.0,-83.25984382191692,,,0.0,0.025801692,-51.94529022938258,,0.0,0.3778854236389585,,,,,-32.776103686853155,-32.776103686853155,0.0,-51.94529022938258,100,,,1,16.3888012810382,1
,5.649549,,-0.023414021,-124.83741150260984,,,,,-68.20727222296843,,100,,-124.83741150260984,0.022493841,,-0.04245079,0.0,14.529374917480267,60000,0.0,-68.20727222296843,,,0.0,0.019036768,-43.722821382045666,,0.0,0.48211271589272153,,,,,-27.557259385646844,-27.557259385646844,0.0,-43.722821382045666,100,,,2,14.529374917480267,2
,5.633019,,-0.010286379,-100.58316950289475,,,,,-61.45489277434977,,100,,-100.58316950289475,0.026948035,,-0.035454735,0.0,15.175479276684271,80000,0.0,-61.45489277434977,,,0.0,0.025168356,-33.6481792635747,,0.0,0.4871224598256342,,,,,-25.686426810954373,-25.686426810954373,0.0,-33.6481792635747,100,,,3,15.175479276684271,3
,5.6195765,,0.00043321532,-82.36423649046873,,,,,-56.333584793281005,,100,,-82.36423649046873,0.021563025,,-0.014069959,0.0,11.668001275047825,100000,0.0,-56.333584793281005,,,0.0,0.0145031735,-34.31848662541876,,0.0,0.5255174275079451,,,,,-22.316462612420345,-22.316462612420345,0.0,-34.31848662541876,100,,,4,11.668001275047825,4
,5.611303,,-0.009730227,-78.00322925583686,,,,,-48.72917521778289,,100,,-78.00322925583686,0.011728897,,-0.018530842,0.0,10.479752310139359,120000,0.0,-48.72917521778289,,,0.0,0.008800615,-31.353461537606602,,0.0,0.4389470407039201,,,,,-21.622735582432874,-21.622735582432874,0.0,-31.353461537606602,100,,,5,10.479752310139359,5
,5.604592,,-0.004582155,-76.43538934760716,,,,,-48.089054266256404,,100,,-76.43538934760716,0.006761657,,-0.009224177,0.0,8.538231820210338,140000,0.0,-48.089054266256404,,,0.0,0.0046420223,-34.14801860389054,,0.0,0.44515129208840765,,,,,-20.443139910111512,-20.443139910111512,0.0,-34.14801860389054,100,,,6,8.538231820210338,6
,5.604774,,-0.007165036,-90.86939033387094,,,,,-44.70263598959796,,100,,-90.86939033387094,0.004080358,,-0.014818237,0.0,7.892556892246917,160000,0.0,-44.70263598959796,,,0.0,0.007653201,-34.342915594995304,,0.0,0.5032213166838237,,,,,-19.91505622304493,-19.91505622304493,0.0,-34.342915594995304,100,,,7,7.892556892246917,7
,5.598719,,-0.0079172915,-79.87421213740137,,,,,-46.41439115362579,,100,,-79.87421213740137,0.008666091,,-0.015878893,0.0,9.441214547892411,180000,0.0,-46.41439115362579,,,0.0,0.007961602,-32.4864623962557,,0.0,0.4767432895822905,,,,,-19.781689282298075,-19.781689282298075,0.0,-32.4864623962557,100,,,8,9.441214547892411,8
,5.589355,,-0.0042780703,-61.80448996070292,,,,,-44.13802054318661,,100,,-61.80448996070292,0.0101773655,,-0.011270647,0.0,6.508051443815262,200000,0.0,-44.13802054318661,,,0.0,0.0069925766,-33.8896766656679,,0.0,0.42670074156870363,,,,,-19.3346216558409,-19.3346216558409,0.0,-33.8896766656679,100,,,9,6.508051443815262,9
-49.98459949331055,5.5889406,-64.17012718821098,-0.007078055,-70.74478851586201,-64.17012718821098,-49.98459949331056,0.0,10,-45.585307853110024,1,100,-49.98459949331056,-70.74478851586201,0.015539731,-37.07558199527804,-0.020607702,0.0,8.76345921390257,220000,0.0,-45.585307853110024,-49.98459949331055,9.732262680219366,0.0,0.013529647,-31.692572115355823,-37.07558199527804,0.0,0.45791041177759717,1,0.0,0.0,10,-19.30755983781026,-19.30755983781026,0.0,-31.692572115355823,100,9.732262680219366,0.0,10,8.76345921390257,10
,5.5947165,,-0.01366602,-75.1651560075244,,,,,-49.10444293505416,,100,,-75.1651560075244,0.025762267,,-0.037623543,0.0,8.983238210741062,240000,0.0,-49.10444293505416,,,0.0,0.023957524,-33.186167566263784,,0.0,0.5806095481397933,,,,,-20.86166112249504,-20.86166112249504,0.0,-33.186167566263784,100,,,11,8.983238210741062,11
,5.582557,,-0.0025276458,-77.65369071798624,,,,,-48.45355506754201,,100,,-77.65369071798624,0.019359695,,-0.018785944,0.0,9.759686516995275,260000,0.0,-48.45355506754201,,,0.0,0.0162583,-32.66009353712705,,0.0,0.4581677318652444,,,,,-19.58340725574852,-19.58340725574852,0.0,-32.66009353712705,100,,,12,9.759686516995275,12
,5.5712485,,-0.0066370163,-59.37867134452003,,,,,-43.65397770229171,,100,,-59.37867134452003,0.01627508,,-0.016078219,0.0,6.097568936023134,280000,0.0,-43.65397770229171,,,0.0,0.0094412025,-35.34800798912989,,0.0,0.43281228397418514,,,,,-18.95192255078803,-18.95192255078803,0.0,-35.34800798912989,100,,,13,6.097568936023134,13
,5.5616045,,-0.00689994,-66.14582685848809,,,,,-45.41847408670519,,100,,-66.14582685848809,0.013689227,,-0.016474709,0.0,7.810992148583582,300000,0.0,-45.41847408670519,,,0.0,0.009574769,-33.54021001039418,,0.0,0.49519833953690007,,,,,-19.021981825681607,-19.021981825681607,0.0,-33.54021001039418,100,,,14,7.810992148583582,14
,5.556414,,-0.004688741,-65.15637698164639,,,,,-43.005712381699404,,100,,-65.15637698164639,0.011285838,,-0.011526814,0.0,5.9744189711728595,320000,0.0,-43.005712381699404,,,0.0,0.0068380726,-31.21589963297681,,0.0,0.4534752659396821,,,,,-18.6452136751227,-18.6452136751227,0.0,-31.21589963297681,100,,,15,5.9744189711728595,15
,5.54676,,-0.006171582,-79.06036956426105,,,,,-42.571326779778616,,100,,-79.06036956426105,0.0039573563,,-0.005624072,0.0,6.284713330877208,340000,0.0,-42.571326779778616,,,0.0,-0.00054750964,-34.05015233553805,,0.0,0.2903335532465119,,,,,-18.497044589477497,-18.497044589477497,0.0,-34.05015233553805,100,,,16,6.284713330877208,16
,5.5302863,,-0.007087454,-67.85997077892334,,,,,-41.99309312084806,,100,,-67.85997077892334,0.01249752,,-0.006652316,0.0,6.435326658895132,360000,0.0,-41.99309312084806,,,0.0,-0.00043513812,-31.09252647063446,,0.0,0.45308661901006875,,,,,-18.108352156714272,-18.108352156714272,0.0,-31.09252647063446,100,,,17,6.435326658895132,17
,5.520592,,-0.005593845,-63.28407574614647,,,,,-44.964877346526734,,100,,-63.28407574614647,0.024931822,,-0.015138341,0.0,6.229493642573521,380000,0.0,-44.964877346526734,,,0.0,0.0095444955,-33.43007007745092,,0.0,0.4131896599569086,,,,,-19.13139509260458,-19.13139509260458,0.0,-33.43007007745092,100,,,18,6.229493642573521,18
,5.5177007,,-0.0030488297,-64.99724338936089,,,,,-44.89920078369467,,100,,-64.99724338936089,0.016808534,,-0.014665484,0.0,7.056166172477026,400000,0.0,-44.89920078369467,,,0.0,0.011616655,-34.476424459372275,,0.0,0.47210922609545725,,,,,-18.673871419117077,-18.673871419117077,0.0,-34.476424459372275,100,,,19,7.056166172477026,19
-43.657638006406486,5.5136695,-62.94838895609173,-0.0043404237,-53.48501132656458,-62.94838895609173,-43.657638006406486,0.0,10,-41.682191811389465,2,100,-43.657638006406486,-53.48501132656458,0.016870499,-36.00845412261712,-0.016029468,0.0,5.0816060836170625,420000,0.0,-41.682191811389465,-43.657638006406486,7.97688406909041,0.0,0.011689045,-32.626026847635714,-36.00845412261712,0.0,0.41907201108328296,2,0.0,0.0,10,-18.221057186616452,-18.221057186616452,0.0,-32.626026847635714,100,7.97688406909041,0.0,20,5.0816060836170625,20
,5.505477,,-0.0068301666,-75.99604451127908,,,,,-45.61000912215303,,100,,-75.99604451127908,0.019908505,,-0.023632603,0.0,8.691966893491,440000,0.0,-45.61000912215303,,,0.0,0.016802436,-34.466918886784036,,0.0,0.4720510439619702,,,,,-18.770925115550785,-18.770925115550785,0.0,-34.466918886784036,100,,,21,8.691966893491,21
,5.493975,,-0.011277792,-57.12740824274834,,,,,-42.47731205724596,,100,,-57.12740824274834,0.019974157,,-0.020425646,0.0,5.443586992040194,460000,0.0,-42.47731205724596,,,0.0,0.009147854,-32.69926302896468,,0.0,0.519218636598786,,,,,-18.304763875493688,-18.304763875493688,0.0,-32.69926302896468,100,,,22,5.443586992040194,22
,5.4823155,,0.00024044495,-65.8133548815659,,,,,-45.30188071954156,,100,,-65.8133548815659,0.015480972,,-0.00864337,0.0,7.192964629823666,480000,0.0,-45.30188071954156,,,0.0,0.008883815,-34.83710984283894,,0.0,0.4691993965742868,,,,,-18.56044268032641,-18.56044268032641,0.0,-34.83710984283894,100,,,23,7.192964629823666,23
,5.4697976,,-0.0055859955,-51.193463916014686,,,,,-40.81071787873802,,100,,-51.193463916014686,0.011471438,,-0.0075298552,0.0,3.955897689187672,500000,0.0,-40.81071787873802,,,0.0,0.0019438597,-33.16234454793694,,0.0,0.4455700675322678,,,,,-17.93297466047037,-17.93297466047037,0.0,-33.16234454793694,100,,,24,3.955897689187672,24
,5.4559026,,-0.0018671219,-64.4521369707484,,,,,-42.66864000240591,,100,,-64.4521369707484,0.011826828,,-0.0036862495,0.0,5.846076091127542,520000,0.0,-42.66864000240591,,,0.0,0.0018191276,-31.409113919236322,,0.0,0.33509415223917716,,,,,-18.008171065038002,-18.008171065038002,0.0,-31.409113919236322,100,,,25,5.846076091127542,25
,5.442216,,-0.0042627547,-55.416711266584834,,,,,-39.56193366761997,,100,,-55.416711266584834,0.005664466,,-0.0024657585,0.0,4.067347143440136,540000,0.0,-39.56193366761997,,,0.0,-0.0017969962,-31.61178228276768,,0.0,0.5154436777446321,,,,,-17.550090816332656,-17.550090816332656,0.0,-31.61178228276768,100,,,26,4.067347143440136,26
,5.4285126,,-0.0036792832,-59.53864818767017,,,,,-39.7383042259546,,100,,-59.53864818767017,0.003263174,,-0.0030712676,0.0,5.029169517984635,560000,0.0,-39.7383042259546,,,0.0,-0.0006080156,-30.59969166834016,,0.0,0.3397478046784237,,,,,-17.191558604363202,-17.191558604363202,0.0,-30.59969166834016,100,,,27,5.029169517984635,27
,5.4185877,,-0.00948388,-56.12796901592819,,,,,-40.391525292300834,,100,,-56.12796901592819,0.011059195,,-0.010082843,0.0,4.764282403913795,580000,0.0,-40.391525292300834,,,0.0,0.0005989624,-31.905465247825187,,0.0,0.5508827835453173,,,,,-17.50090124655242,-17.50090124655242,0.0,-31.905465247825187,100,,,28,4.764282403913795,28
,5.4222116,,-0.005664349,-56.41021674046556,,,,,-40.46194004017872,,100,,-56.41021674046556,0.019460961,,-0.013790518,0.0,5.561755962534063,600000,0.0,-40.46194004017872,,,0.0,0.008126169,-32.286358917543375,,0.0,0.4851862418098254,,,,,-17.361544096310624,-17.361544096310624,0.0,-32.286358917543375,100,,,29,5.561755962534063,29
-39.35778850781441,5.424247,-48.53635894678006,-0.006109091,-52.06358612847907,-48.53635894678006,-39.3577885078144,0.0,10,-40.49158843286835,3,100,-39.3577885078144,-52.06358612847907,0.020048209,-32.68555317969327,-0.0149979405,0.0,4.158810840137306,620000,0.0,-40.49158843286835,-39.35778850781441,4.567320236276619,0.0,0.00888885,-32.7386471028338,-32.68555317969327,0.0,0.5557463253699517,3,0.0,0.0,10,-17.59733285162699,-17.59733285162699,0.0,-32.7386471028338,100,4.567320236276619,0.0,30,4.158810840137306,30
,5.417138,,-0.0039568148,-60.23444010578475,,,,,-41.74098292052089,,100,,-60.23444010578475,0.014218837,,-0.014527638,0.0,6.514286550606732,640000,0.0,-41.74098292052089,,,0.0,0.010570824,-30.876555881985727,,0.0,0.4941250300965978,,,,,-17.664766125486924,-17.664766125486924,0.0,-30.876555881985727,100,,,31,6.514286550606732,31
,5.4112267,,-0.0040198853,-53.943779515464755,,,,,-40.12668646475391,,100,,-53.943779515464755,0.02300784,,-0.010201997,0.0,4.322410415394761,660000,0.0,-40.12668646475391,,,0.0,0.006182112,-31.28480616659066,,0.0,0.5092679435758227,,,,,-17.50272586339586,-17.50272586339586,0.0,-31.28480616659066,100,,,32,4.322410415394761,32
,5.4010186,,-0.0030627693,-64.82298623827064,,,,,-45.830178294344904,,100,,-64.82298623827064,0.013152816,,-0.013599668,0.0,7.811546845959041,680000,0.0,-45.830178294344904,,,0.0,0.010536898,-34.06575846123045,,0.0,0.5472556687090079,,,,,-18.53129924829456,-18.53129924829456,0.0,-34.06575846123045,100,,,33,7.811546845959041,33
