MetaTest/push-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/push-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/push-v1/NumEpisodes,MetaTest/push-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/push-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/push-v1/TerminationRate,TotalEnvSteps,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/push-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/push-v1/AverageReturn,MetaTest/push-v1/MaxReturn,MetaTest/Average/TerminationRate
10,1.2240505,-87.93248360649224,24.72875041447338,10,24.72875041447338,-54.90272248612157,10,-54.90272248612155,-1.9386233,0.0,232000,10,-2293.7073,117591.68,496.2036,-13.469209071944835,-87.93248360649224,0.0,-54.90272248612155,0.0,-54.90272248612157,-13.469209071944835,0.0
11,1.235802,-49.37471035380919,246.50537127017148,10,246.50537127017148,64.76237113077408,10,64.76237113077416,2.3127723,0.0,244000,11,-1611.8097,252038.14,2357.9512,769.0087331413906,-49.37471035380919,0.0,64.76237113077416,0.0,64.76237113077408,769.0087331413906,0.0
12,1.1834065,-129.5708054236847,10667.42789542708,10,10667.42789542708,3468.315382986873,10,3468.3153829868706,-2.2730367,0.0,256000,12,-3530.6396,466361.06,1313.0496,35470.42849938311,-129.5708054236847,0.0,3468.3153829868706,0.0,3468.315382986873,35470.42849938311,0.0
13,1.6478739,-114.33339561969707,9.962343373611368,10,9.962343373611368,-97.04279181060306,10,-97.04279181060306,-6.756723,0.0,268000,13,-5751.438,589558.06,942.2406,-85.74215963311981,-114.33339561969707,0.0,-97.04279181060306,0.0,-97.04279181060306,-85.74215963311981,0.0
14,2.294256,-100.24644791748175,15.969109070246157,10,15.969109070246157,-90.6250104418933,10,-90.62501044189328,-9.322074,0.0,280000,14,-6812.512,737618.7,2197.162,-43.298280411274426,-100.24644791748175,0.0,-90.62501044189328,0.0,-90.6250104418933,-43.298280411274426,0.0
15,3.1826348,-100.75040055448598,15.784651006088016,10,15.784651006088016,-85.87789460604758,10,-85.87789460604762,-13.858422,0.0,292000,15,-12179.979,912108.6,1516.6343,-41.2075886639447,-100.75040055448598,0.0,-85.87789460604762,0.0,-85.87789460604758,-41.2075886639447,0.0
16,4.557282,-43.36540975700447,2410.583223436421,10,2410.583223436421,813.7799586607589,10,813.7799586607588,-30.265574,0.0,304000,16,-29135.479,1547188.2,1350.617,8043.364368364285,-43.36540975700447,0.1,813.7799586607588,0.1,813.7799586607589,8043.364368364285,0.0
17,6.4208093,-104.88031695982522,103.57221339092919,10,103.57221339092919,-31.48683717213695,10,-31.486837172136994,-40.09829,0.0,316000,17,-40901.496,1717403.9,1828.4324,274.11339785466294,-104.88031695982522,0.0,-31.486837172136994,0.0,-31.48683717213695,274.11339785466294,0.0
18,7.911618,-84.10422060054393,16888.54973501676,10,16888.54973501676,5574.469135133429,10,5574.469135133429,-10.551084,0.0,328000,18,-26029.506,1489626.0,5231.6333,56240.08992438543,-84.10422060054393,0.1,5574.469135133429,0.1,5574.469135133429,56240.08992438543,0.0
19,9.37088,-47.51956193046428,55.5731916904628,10,55.5731916904628,-16.82657848583376,10,-16.82657848583377,-26.32997,0.0,340000,19,-42808.688,1907639.8,777.33685,137.83778849877172,-47.51956193046428,0.0,-16.82657848583377,0.0,-16.82657848583376,137.83778849877172,0.0
20,12.306447,-98.10713357984675,31.122238659648023,10,31.122238659648023,-47.23935675720468,10,-47.239356757204675,-27.295502,0.0,352000,20,-49371.742,2273444.2,1095.5438,-18.717863508126072,-98.10713357984675,0.0,-47.239356757204675,0.0,-47.23935675720468,-18.717863508126072,0.0
21,14.572014,-84.14196496412187,25.179799333306487,10,25.179799333306487,-37.21980498269475,10,-37.21980498269475,-23.542837,0.0,364000,21,-45286.863,2168823.2,1321.2688,-15.8977796050281,-84.14196496412187,0.2,-37.21980498269475,0.2,-37.21980498269475,-15.8977796050281,0.0
22,19.519777,-119.62008578248016,1196.9574885420684,10,1196.9574885420684,493.1841622440537,10,493.1841622440537,-46.627724,0.0,376000,22,-60949.727,2695416.0,364.42963,3771.9100390897047,-119.62008578248016,0.3,493.1841622440537,0.3,493.1841622440537,3771.9100390897047,0.0
23,25.571377,-76.09543539409611,294.83720812943665,10,294.83720812943665,58.229767043339486,10,58.22976704333947,-39.16559,0.0,388000,23,-65903.586,3031591.0,309.26202,940.9112687386221,-76.09543539409611,0.2,58.22976704333947,0.2,58.229767043339486,940.9112687386221,0.0
24,31.647305,-78.75482208980243,654.1012429096935,10,654.1012429096935,327.92234294123824,10,327.9223429412383,-26.734653,0.0,400000,24,-72875.69,3323286.5,432.51193,1674.4802502202886,-78.75482208980243,0.1,327.9223429412383,0.1,327.92234294123824,1674.4802502202886,0.0
25,37.73921,-82.92695465235462,19.42157338395077,10,19.42157338395077,-45.94839201713155,10,-45.94839201713153,-18.169106,0.0,412000,25,-70755.52,3492630.8,508.26013,-18.175106600126878,-82.92695465235462,0.0,-45.94839201713153,0.0,-45.94839201713155,-18.175106600126878,0.0
26,41.122257,-75.01079786002387,1716.7504898991378,10,1716.7504898991378,672.6377398672712,10,672.6377398672714,-6.8035693,0.0,424000,26,-72663.62,3696177.8,984.8021,5679.708522663675,-75.01079786002387,0.1,672.6377398672714,0.1,672.6377398672712,5679.708522663675,0.0
27,43.710728,-66.77903724656322,6737.572234345199,10,6737.572234345199,2329.8939317314903,10,2329.8939317314935,8.114182,0.0,436000,27,-67932.18,5815351.5,2827.1816,22534.782225869316,-66.77903724656322,0.1,2329.8939317314935,0.1,2329.8939317314903,22534.782225869316,0.0
28,36.873875,-64.76362830871369,15.156509368611628,10,15.156509368611628,-39.08288538046955,10,-39.08288538046955,79.16674,0.0,448000,28,-32509.797,2710432.5,5591.692,-23.053676590280435,-64.76362830871369,0.0,-39.08288538046955,0.0,-39.08288538046955,-23.053676590280435,0.0
29,33.299232,-53.05313322211037,1181.4012813350337,10,1181.4012813350337,625.6013405048799,10,625.6013405048798,16.0386,0.0,460000,29,-47247.344,3559541.8,3588.447,3738.8063762693023,-53.05313322211037,0.2,625.6013405048798,0.2,625.6013405048799,3738.8063762693023,0.0
30,29.26425,-84.05492712796408,16.54685155757074,10,16.54685155757074,-52.71155899345788,10,-52.71155899345788,21.413223,0.0,472000,30,-46139.805,3952556.8,3187.089,-21.349368992994386,-84.05492712796408,0.0,-52.71155899345788,0.0,-52.71155899345788,-21.349368992994386,0.0
31,25.50694,-94.8879261000783,8218.172277507563,10,8218.172277507563,4603.373319437325,10,4603.373319437329,4.408748,0.0,484000,31,-56087.91,4861842.5,4727.035,27207.7899331446,-94.8879261000783,0.3,4603.373319437329,0.3,4603.373319437325,27207.7899331446,0.0
32,27.872242,-97.89162733157359,3145.1995590480406,10,3145.1995590480406,1388.659434134975,10,1388.6594341349753,-19.23821,0.0,496000,32,-71026.49,5233197.5,5182.9707,10012.390298069095,-97.89162733157359,0.2,1388.6594341349753,0.2,1388.659434134975,10012.390298069095,0.0
33,34.958717,-99.62007589878559,11927.849400781437,10,11927.849400781437,5295.942996103781,10,5295.942996103781,-18.604866,0.0,508000,33,-83397.1,5975600.0,3425.7466,39679.75637303898,-99.62007589878559,0.3,5295.942996103781,0.3,5295.942996103781,39679.75637303898,0.0
34,41.429527,-25.25322987780835,34970.09847172383,10,34970.09847172383,17829.626869994074,10,17829.626869994074,-25.065939,0.0,520000,34,-90755.22,6582448.0,1817.4476,108728.77509810713,-25.25322987780835,0.4,17829.626869994074,0.4,17829.626869994074,108728.77509810713,0.0
35,51.2759,-75.65952340926064,529.5829039764876,10,529.5829039764876,253.01503490466948,10,253.01503490466945,-19.42411,0.0,532000,35,-112363.81,8252338.0,399.3276,1379.3500017790204,-75.65952340926064,0.4,253.01503490466945,0.4,253.01503490466948,1379.3500017790204,0.0
36,54.366264,-70.54260582336693,23048.559558712746,10,23048.559558712746,12698.51822766664,10,12698.518227666635,-2.023546,0.0,544000,36,-111786.18,8871520.0,3532.4346,80132.08847797841,-70.54260582336693,0.6,12698.518227666635,0.6,12698.51822766664,80132.08847797841,0.0
37,54.08453,-74.7763216455447,44880.54526518605,10,44880.54526518605,31167.777454284726,10,31167.77745428472,4.805737,0.0,556000,37,-112732.625,9764607.0,3976.4106,143114.77782988735,-74.7763216455447,0.2,31167.77745428472,0.2,31167.777454284726,143114.77782988735,0.0
38,55.22623,-52.222842281930234,79252.23812384329,10,79252.23812384329,44029.658725267145,10,44029.658725267145,-8.929302,0.0,568000,38,-126531.23,11015177.0,6965.855,250853.70881450817,-52.222842281930234,0.3,44029.658725267145,0.3,44029.658725267145,250853.70881450817,0.0
39,56.16629,-106.78848019726522,39726.85028844961,10,39726.85028844961,19203.714276039616,10,19203.71427603961,7.5648313,0.0,580000,39,-128089.91,12280362.0,73439.26,128072.80062760552,-106.78848019726522,0.3,19203.71427603961,0.3,19203.714276039616,128072.80062760552,0.0
40,54.869373,-85.03336372423952,14091.916619339438,10,14091.916619339438,5784.808518821736,10,5784.808518821736,16.61189,0.0,592000,40,-135825.14,12656554.0,8346.976,47091.1428604221,-85.03336372423952,0.1,5784.808518821736,0.1,5784.808518821736,47091.1428604221,0.0
41,48.576267,-140.80745879119291,17616.047401650412,10,17616.047401650412,9935.35077247239,10,9935.350772472384,13.044184,0.0,604000,41,-120891.17,12896243.0,14310.78,51590.55186300632,-140.80745879119291,0.2,9935.350772472384,0.2,9935.35077247239,51590.55186300632,0.0
42,50.150764,-86.08523991233963,18039.191769732402,10,18039.191769732402,7947.847316317035,10,7947.8473163170365,-2.7360673,0.0,616000,42,-131918.2,13195895.0,1542.0276,58947.29046844079,-86.08523991233963,0.3,7947.8473163170365,0.3,7947.847316317035,58947.29046844079,0.0
43,48.733772,-58.49147363160671,27152.16220919231,10,27152.16220919231,14819.783342303243,10,14819.783342303243,-0.32105324,0.0,628000,43,-134053.95,14886767.0,1215.5109,80676.00561796674,-58.49147363160671,0.4,14819.783342303243,0.4,14819.783342303243,80676.00561796674,0.0
44,53.773453,-126.96020743225898,17894.054458461316,10,17894.054458461316,11268.915548625415,10,11268.915548625419,-10.254457,0.0,640000,44,-149755.81,16438236.0,610.72375,51058.847427278815,-126.96020743225898,0.3,11268.915548625419,0.3,11268.915548625415,51058.847427278815,0.0
45,53.627163,-84.77916634802317,26446.071208276757,10,26446.071208276757,15906.474138851563,10,15906.474138851565,5.305834,0.0,652000,45,-144493.4,17538282.0,713.36926,73736.64189199093,-84.77916634802317,0.3,15906.474138851565,0.3,15906.474138851563,73736.64189199093,0.0
46,55.310085,-130.7980509005396,11692.101134030792,10,11692.101134030792,6843.757367301754,10,6843.757367301757,-7.0868797,0.0,664000,46,-155687.97,19060350.0,677.86664,32731.469358059207,-130.7980509005396,0.2,6843.757367301757,0.2,6843.757367301754,32731.469358059207,0.0
47,54.76979,-66.8867223753051,84061.71198773645,10,84061.71198773645,41493.26720836245,10,41493.26720836246,19.283642,0.0,676000,47,-134877.98,18575220.0,1288.8337,240955.91717831025,-66.8867223753051,0.3,41493.26720836246,0.3,41493.26720836245,240955.91717831025,0.0
48,42.19036,-38.00353402658056,37747.54056330755,10,37747.54056330755,18129.225716893307,10,18129.22571689331,66.23369,0.0,688000,48,-83179.71,15679210.0,13877.966,117382.78530018794,-38.00353402658056,0.3,18129.22571689331,0.3,18129.225716893307,117382.78530018794,0.0
49,40.926865,-52.676171014241795,73546.64896954563,10,73546.64896954563,50607.19475189043,10,50607.194751890456,-24.52068,0.0,700000,49,-128904.195,21404326.0,1242.706,238216.9964313282,-52.676171014241795,0.3,50607.194751890456,0.3,50607.19475189043,238216.9964313282,0.0
50,48.9431,-33.56497346576607,51799.85848678005,10,51799.85848678005,30609.522404334428,10,30609.52240433443,-19.887482,0.0,712000,50,-136481.92,22414616.0,631.0836,162184.27295671048,-33.56497346576607,0.3,30609.52240433443,0.3,30609.522404334428,162184.27295671048,0.0
51,54.930492,-97.87318455534188,44088.016455187324,10,44088.016455187324,22046.885807431197,10,22046.885807431197,-10.82484,0.0,724000,51,-138459.81,25368174.0,767.88477,118651.83734556411,-97.87318455534188,0.2,22046.885807431197,0.2,22046.885807431197,118651.83734556411,0.0
52,55.398354,-42.223013129515294,52565.42169507522,10,52565.42169507522,29238.963926398243,10,29238.963926398246,4.892042,0.0,736000,52,-137017.31,26955148.0,747.5099,165970.7434853032,-42.223013129515294,0.5,29238.963926398246,0.5,29238.963926398243,165970.7434853032,0.0
53,56.157215,-33.90813593588548,46189.25087841684,10,46189.25087841684,28586.78898810708,10,28586.788988107077,-3.7455049,0.0,748000,53,-145814.9,28518410.0,760.7067,155930.1592225049,-33.90813593588548,0.4,28586.788988107077,0.4,28586.78898810708,155930.1592225049,0.0
54,57.444893,-60.81692174194747,42387.590581499615,10,42387.590581499615,14126.889270041274,10,14126.889270041269,-0.63268936,0.0,760000,54,-145211.45,28926930.0,698.10425,141289.53285848,-60.81692174194747,0.1,14126.889270041269,0.1,14126.889270041274,141289.53285848,0.0
55,54.121708,-56.44465938393258,21462.29724051452,10,21462.29724051452,9280.760881075354,10,9280.760881075359,9.472007,0.0,772000,55,-129757.92,28570118.0,775.05383,71548.18909351651,-56.44465938393258,0.1,9280.760881075359,0.1,9280.760881075354,71548.18909351651,0.0
56,51.474224,-63.14038470629893,47509.83934155054,10,47509.83934155054,31554.92939340041,10,31554.92939340042,-0.7544968,0.0,784000,56,-130504.84,30976642.0,890.3951,123503.35359144321,-63.14038470629893,0.5,31554.92939340042,0.5,31554.92939340041,123503.35359144321,0.0
57,52.57948,-26.47810589131367,15785.272688599185,10,15785.272688599185,10324.501349526692,10,10324.501349526687,-1.1014053,0.0,796000,57,-132662.8,33988250.0,1019.0175,40295.541229713665,-26.47810589131367,0.4,10324.501349526687,0.4,10324.501349526692,40295.541229713665,0.0
58,55.764553,-70.61953462835868,36702.15226198461,10,36702.15226198461,18276.185051882872,10,18276.185051882865,-6.281424,0.0,808000,58,-142164.52,36717784.0,622.361,123556.25283555852,-70.61953462835868,0.4,18276.185051882865,0.4,18276.185051882872,123556.25283555852,0.0
59,57.46796,-67.07651095986492,68135.12127693268,10,68135.12127693268,30434.839015342295,10,30434.839015342302,-0.3742932,0.0,820000,59,-141071.45,38620840.0,1175.573,230031.21723203265,-67.07651095986492,0.2,30434.839015342302,0.2,30434.839015342295,230031.21723203265,0.0
60,58.379063,-59.39266877236864,1121.719061146977,10,1121.719061146977,687.1523661938335,10,687.1523661938334,-2.0911837,0.0,832000,60,-144992.11,40783450.0,848.4729,3065.4591386448974,-59.39266877236864,0.4,687.1523661938334,0.4,687.1523661938335,3065.4591386448974,0.0
61,58.28061,-93.04546605236266,37169.44610851704,10,37169.44610851704,23631.38834314285,10,23631.38834314284,0.8658784,0.0,844000,61,-142903.92,41551364.0,710.0955,95245.37213737586,-93.04546605236266,0.4,23631.38834314284,0.4,23631.38834314285,95245.37213737586,0.0
62,58.195866,-64.5979998185471,5294.7065804033955,10,5294.7065804033955,2680.2536832625747,10,2680.2536832625765,-0.11081006,0.0,856000,62,-142969.92,44665348.0,742.3806,16327.340789039024,-64.5979998185471,0.7,2680.2536832625765,0.7,2680.2536832625747,16327.340789039024,0.0
63,56.904903,-76.82593461649583,34843.1951072202,10,34843.1951072202,17490.96017311446,10,17490.960173114472,5.3662043,0.0,868000,63,-136470.66,44276172.0,664.1561,102327.67078043858,-76.82593461649583,0.3,17490.960173114472,0.3,17490.96017311446,102327.67078043858,0.0
64,54.79036,-59.95938493524331,51637.33703412726,10,51637.33703412726,32106.537232350383,10,32106.537232350373,0.43264794,0.0,880000,64,-138857.31,47542812.0,723.87836,170927.49094469225,-59.95938493524331,0.5,32106.537232350373,0.5,32106.537232350383,170927.49094469225,0.0
65,53.231976,-87.12047134215427,22294.327211512133,10,22294.327211512133,9451.324830686126,10,9451.32483068613,4.703346,0.0,892000,65,-138766.03,48729044.0,836.6797,75261.94739169636,-87.12047134215427,0.3,9451.32483068613,0.3,9451.324830686126,75261.94739169636,0.0
66,50.841812,-142.09733541298354,11287.278828609502,10,11287.278828609502,6293.011207373869,10,6293.011207373869,1.3228106,0.0,904000,66,-133814.73,48046828.0,505.13144,31229.603336553937,-142.09733541298354,0.2,6293.011207373869,0.2,6293.011207373869,31229.603336553937,0.0
67,51.347664,-57.79080230159822,40527.20360908032,10,40527.20360908032,13952.097285889793,10,13952.097285889791,-1.6740907,0.0,916000,67,-135575.11,54251930.0,511.85986,135472.29636509807,-57.79080230159822,0.3,13952.097285889791,0.3,13952.097285889793,135472.29636509807,0.0
68,51.955017,-60.896421784228906,47911.71796164907,10,47911.71796164907,35037.18813508344,10,35037.18813508345,-2.0011442,0.0,928000,68,-133135.75,56154212.0,512.3501,148329.32658294297,-60.896421784228906,0.5,35037.18813508345,0.5,35037.18813508344,148329.32658294297,0.0
69,54.137814,-52.63498481957866,46196.478468855465,10,46196.478468855465,31638.18381459157,10,31638.183814591583,-2.2975268,0.0,940000,69,-137718.02,62162316.0,538.6485,140418.62976052225,-52.63498481957866,0.5,31638.183814591583,0.5,31638.18381459157,140418.62976052225,0.0
70,55.72973,-47.48546930457235,76282.38629269825,10,76282.38629269825,28716.847099914863,10,28716.847099914863,-1.3018845,0.0,952000,70,-141959.16,69183470.0,610.43335,256345.98398290802,-47.48546930457235,0.5,28716.847099914863,0.5,28716.847099914863,256345.98398290802,0.0
71,54.245728,-43.754420073512065,26178.276308216264,10,26178.276308216264,18806.01691231214,10,18806.016912312152,6.512373,0.0,964000,71,-136392.58,69531530.0,641.8051,77320.22265859571,-43.754420073512065,0.4,18806.016912312152,0.4,18806.01691231214,77320.22265859571,0.0
72,50.539097,-69.81369636209023,69792.8734713828,10,69792.8734713828,59693.15221896139,10,59693.152218961404,4.924962,0.0,976000,72,-132839.8,68169070.0,565.9005,196175.73550786395,-69.81369636209023,0.6,59693.152218961404,0.6,59693.15221896139,196175.73550786395,0.0
73,48.525665,-43.24657772228465,56591.19367045254,10,56591.19367045254,58701.82865121392,10,58701.82865121394,0.045057006,0.0,988000,73,-127565.89,65838680.0,535.31036,155403.16617242686,-43.24657772228465,0.4,58701.82865121394,0.4,58701.82865121392,155403.16617242686,0.0
74,47.300766,-39.172493795798104,45063.45482835327,10,45063.45482835327,34278.38587189435,10,34278.385871894345,4.1184616,0.0,1000000,74,-125502.37,70414010.0,528.38446,129090.787521241,-39.172493795798104,0.4,34278.385871894345,0.4,34278.38587189435,129090.787521241,0.0
75,43.759087,-37.15840314451536,50128.82167651079,10,50128.82167651079,58714.47775072096,10,58714.47775072094,2.3515997,0.0,1012000,75,-123090.22,71776390.0,535.3111,136560.18823558502,-37.15840314451536,0.5,58714.47775072094,0.5,58714.47775072096,136560.18823558502,0.0
76,42.770382,-33.92430656611606,49497.94558220322,10,49497.94558220322,33238.20256946965,10,33238.20256946966,-0.020986022,0.0,1024000,76,-121682.85,78487600.0,545.9735,154798.55074735533,-33.92430656611606,0.4,33238.20256946966,0.4,33238.20256946965,154798.55074735533,0.0
77,44.429764,-50.57586263599061,51768.92094006705,10,51768.92094006705,56528.5817098259,10,56528.58170982592,-1.681236,0.0,1036000,77,-118869.55,77387096.0,626.5351,122530.70636273583,-50.57586263599061,0.5,56528.58170982592,0.5,56528.5817098259,122530.70636273583,0.0
78,45.13905,-31.252746967701455,108407.97484591768,10,108407.97484591768,82164.51939829918,10,82164.5193982992,1.4171406,0.0,1048000,78,-119171.39,82570650.0,631.72473,311027.88472132414,-31.252746967701455,0.6,82164.5193982992,0.6,82164.51939829918,311027.88472132414,0.0
79,44.689175,-45.27669734276981,97057.9451984979,10,97057.9451984979,61890.14091261387,10,61890.140912613875,-0.86241305,0.0,1060000,79,-116708.18,84674376.0,680.3187,271812.507820832,-45.27669734276981,0.4,61890.140912613875,0.4,61890.14091261387,271812.507820832,0.0
80,46.362038,2777.777455748159,58969.674696905,10,58969.674696905,55055.56991598527,10,55055.56991598528,-2.203422,0.0,1072000,80,-119447.85,91632536.0,783.63165,155845.62575484317,2777.777455748159,0.3,55055.56991598528,0.3,55055.56991598527,155845.62575484317,0.0
81,46.22904,-13.395397575415247,54287.87639141309,10,54287.87639141309,63151.65814963286,10,63151.658149632836,-0.8702473,0.0,1084000,81,-121365.42,97964350.0,945.3886,141736.39661027596,-13.395397575415247,0.6,63151.658149632836,0.6,63151.65814963286,141736.39661027596,0.0
82,49.082897,34.39863737325616,71270.80900465217,10,71270.80900465217,55615.45750077515,10,55615.457500775155,-8.552813,0.0,1096000,82,-136689.1,111649210.0,881.5426,200191.73986271519,34.39863737325616,0.4,55615.457500775155,0.4,55615.45750077515,200191.73986271519,0.0
83,53.834255,-28.23698266707136,50738.08807394366,10,50738.08807394366,56080.849052316466,10,56080.849052316466,-3.8932805,0.0,1108000,83,-142515.42,118478696.0,841.18884,164655.92528839468,-28.23698266707136,0.3,56080.849052316466,0.3,56080.849052316466,164655.92528839468,0.0
84,57.65953,-29.88772700798536,86064.31040739232,10,86064.31040739232,95157.66913099629,10,95157.66913099629,-4.3186316,0.0,1120000,84,-153499.84,135421420.0,976.1851,246114.33415830272,-29.88772700798536,0.7,95157.66913099629,0.7,95157.66913099629,246114.33415830272,0.0
85,62.781452,280.1527213529809,33637.14869836867,10,33637.14869836867,40333.95412998649,10,40333.95412998648,-7.156011,0.0,1132000,85,-165640.16,144843400.0,861.70624,93252.44385983766,280.1527213529809,0.3,40333.95412998648,0.3,40333.95412998649,93252.44385983766,0.0
86,64.73918,-80.10592458799306,38145.49550511301,10,38145.49550511301,43598.03636831626,10,43598.03636831626,-2.0284743,0.0,1144000,86,-166637.1,148706160.0,950.9221,100151.56763959401,-80.10592458799306,0.3,43598.03636831626,0.3,43598.03636831626,100151.56763959401,0.0
87,64.58496,-48.96389267897012,94254.03134388693,10,94254.03134388693,59397.322733919755,10,59397.32273391976,2.3594098,0.0,1156000,87,-161959.56,151253920.0,2633.028,272548.42864048865,-48.96389267897012,0.5,59397.32273391976,0.5,59397.322733919755,272548.42864048865,0.0
88,67.947075,-35.5323416098718,78999.35271225535,10,78999.35271225535,61257.70462028228,10,61257.704620282304,-3.8924272,0.0,1168000,88,-167609.69,154976350.0,2260.3918,213472.87597403713,-35.5323416098718,0.3,61257.704620282304,0.3,61257.70462028228,213472.87597403713,0.0
89,70.4646,-32.00332508392113,47805.883288908495,10,47805.883288908495,41519.680821360365,10,41519.68082136035,-5.0391154,0.0,1180000,89,-175219.05,169536590.0,967.81744,149065.843614699,-32.00332508392113,0.7,41519.68082136035,0.7,41519.680821360365,149065.843614699,0.0
90,73.34142,-15.890434706410323,45632.66758685274,10,45632.66758685274,54456.73728106506,10,54456.73728106505,-3.9650073,0.0,1192000,90,-184038.11,176933390.0,1117.6718,114513.51617326247,-15.890434706410323,0.7,54456.73728106505,0.7,54456.73728106506,114513.51617326247,0.0
91,77.24961,-33.39797194188377,80764.50470428706,10,80764.50470428706,79389.83925751713,10,79389.83925751716,-2.2755947,0.0,1204000,91,-193383.73,187169710.0,1153.6749,237199.17506533593,-33.39797194188377,0.6,79389.83925751716,0.6,79389.83925751713,237199.17506533593,0.0
92,75.35638,-62.8609443606522,74270.13392504281,10,74270.13392504281,71514.96075335887,10,71514.96075335887,2.2531514,0.0,1216000,92,-190104.47,186551740.0,1128.3192,198442.22231012714,-62.8609443606522,0.4,71514.96075335887,0.4,71514.96075335887,198442.22231012714,0.0
93,74.237236,6.643684588027599,81008.28215043596,10,81008.28215043596,76046.2876755788,10,76046.28767557886,6.6837792,0.0,1228000,93,-192513.97,193787970.0,1192.6736,228541.46715660059,6.643684588027599,0.6,76046.28767557886,0.6,76046.2876755788,228541.46715660059,0.0
94,68.52955,284.01127242274407,45161.130903320845,10,45161.130903320845,42694.0145037472,10,42694.01450374719,0.9011115,0.0,1240000,94,-190647.64,199116210.0,1661.768,158868.19278433226,284.01127242274407,0.4,42694.01450374719,0.4,42694.0145037472,158868.19278433226,0.0
