MetaTest/button-press-wall-v1/MinReturn,button-press-wall-v1/SuccessRate,Average/MaxReturn,MetaTest/Average/Iteration,button-press-wall-v1/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/button-press-wall-v1/AverageReturn,button-press-wall-v1/TerminationRate,MetaTest/Average/AverageReturn,button-press-wall-v1/NumEpisodes,Average/NumEpisodes,policy/dLoss,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/Average/SuccessRate,Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/AverageDiscountedReturn,policy/KLBefore,MetaTest/button-press-wall-v1/TerminationRate,Average/StdReturn,MetaTest/button-press-wall-v1/MaxReturn,button-press-wall-v1/Iteration,MetaTest/Average/NumEpisodes,Average/Iteration,policy/KL,policy/LossBefore,TotalEnvSteps,button-press-wall-v1/MinReturn,button-press-wall-v1/StdReturn,Average/AverageReturn,policy/Entropy,Average/MinReturn,MetaTest/button-press-wall-v1/SuccessRate,MetaTest/button-press-wall-v1/StdReturn,MetaTest/Average/StdReturn,button-press-wall-v1/AverageReturn,button-press-wall-v1/MaxReturn,Average/SuccessRate,Average/TerminationRate,MetaTest/Average/TerminationRate
-32.37221662401302,0.03,43980.99338140798,1,1473.513205610959,-5.428536,18130.35429217722,4750.897318584685,0.11009699540926932,4750.897318584683,0.0,4750.897318584683,100,100,4.095975,10,0.1,1473.513205610959,-32.37221662401302,1,4750.897318584685,0.0,0.0,6743.550533040332,18130.35429217722,10,10,10,0.005908347,-1.3325609,220000,-39.23438736698285,6743.550533040332,2701.669909710476,5.692367,-39.23438736698285,0.1,7418.578346303768,7418.578346303768,2701.669909710476,43980.99338140798,0.03,0.0,0.0
,0.03,102874.36628853447,,2325.135546879557,-1.8046125,,,0.1750141077337668,,0.0,,100,100,8.507231,,,2325.135546879557,,,,0.0,,12092.412346129686,,11,,11,0.0046290606,6.7026186,240000,-53.571804661199636,12092.412346129686,3853.9853445612616,5.687339,-53.571804661199636,,,,3853.9853445612616,102874.36628853447,0.03,0.0,
,0.02,96623.74104952221,,3950.4028819957643,-17.84173,,,0.2656804104355529,,0.0,,100,100,12.563444,,,3950.4028819957643,,,,0.0,,16048.051838413081,,12,,12,0.0051016947,-5.278286,260000,-51.05866992341335,16048.051838413081,6970.362351310193,5.6885934,-51.05866992341335,,,,6970.362351310193,96623.74104952221,0.02,0.0,
,0.01,67136.97860680826,,3601.8294964238576,-5.552969,,,0.24129027129056768,,0.0,,100,100,7.5555377,,,3601.8294964238576,,,,0.0,,10042.623747252464,,13,,13,0.005048633,2.0025687,280000,-53.99445130752998,10042.623747252464,5658.7128500572635,5.680659,-53.99445130752998,,,,5658.7128500572635,67136.97860680826,0.01,0.0,
,0.01,199316.63842155994,,5607.490268436305,-26.271826,,,0.18201725653827805,,0.0,,100,100,19.262201,,,5607.490268436305,,,,0.0,,23464.648804214277,,14,,14,0.005640202,-7.009625,300000,-48.98060396602616,23464.648804214277,10516.969983120991,5.677775,-48.98060396602616,,,,10516.969983120991,199316.63842155994,0.01,0.0,
,0.01,72231.18895114167,,4808.18275696664,-14.2617235,,,0.19370106261195974,,0.0,,100,100,15.145381,,,4808.18275696664,,,,0.0,,17536.44196094518,,15,,15,0.006026906,0.8836578,320000,-55.992068706791656,17536.44196094518,8673.299569397863,5.689468,-55.992068706791656,,,,8673.299569397863,72231.18895114167,0.01,0.0,
,0.02,154334.6748952747,,5433.479841130581,13.066776,,,0.2678413184932209,,0.0,,100,100,12.85825,,,5433.479841130581,,,,0.0,,20207.32792615481,,16,,16,0.0049815923,25.925026,340000,-39.53091175624651,20207.32792615481,9408.067127191156,5.68943,-39.53091175624651,,,,9408.067127191156,154334.6748952747,0.02,0.0,
,0.04,144648.6088169073,,7619.312130789635,14.59666,,,0.31173884557670795,,0.0,,100,100,19.874897,,,7619.312130789635,,,,0.0,,26306.51999989548,,17,,17,0.006024213,34.471558,360000,-57.97346667460749,26306.51999989548,13859.71066524905,5.68796,-57.97346667460749,,,,13859.71066524905,144648.6088169073,0.04,0.0,
,0.02,182114.6857087148,,5645.3612545822825,-19.829906,,,0.2639653518392575,,0.0,,100,100,19.578062,,,5645.3612545822825,,,,0.0,,24985.252493943484,,18,,18,0.0056006988,-0.25184375,380000,-46.28248252268719,24985.252493943484,10254.297996572102,5.685743,-46.28248252268719,,,,10254.297996572102,182114.6857087148,0.02,0.0,
,0.02,92193.8210996492,,7199.533151716729,-20.15577,,,0.19693310124631347,,0.0,,100,100,14.983726,,,7199.533151716729,,,,0.0,,18072.4680796459,,19,,19,0.004846318,-5.172044,400000,-43.126047774541455,18072.4680796459,11810.703403726453,5.6693597,-43.126047774541455,,,,11810.703403726453,92193.8210996492,0.02,0.0,
-24.61960166305069,0.02,128602.00682993303,2,9223.875541291654,-40.68965,51409.71554157922,9048.44178873406,0.2594010086117463,9048.441788734057,0.0,9048.441788734057,100,100,29.64611,10,0.0,9223.875541291654,-24.61960166305069,2,9048.44178873406,0.0,0.0,27629.559541007133,51409.71554157922,20,10,20,0.0072670267,-11.043541,420000,-38.98736509002896,27629.559541007133,18370.76071732255,5.6371913,-38.98736509002896,0.0,14923.30026705241,14923.30026705241,18370.76071732255,128602.00682993303,0.02,0.0,0.0
,0.04,242975.39940971986,,7767.669006703258,-24.460419,,,0.3174565639849446,,0.0,,100,100,28.43518,,,7767.669006703258,,,,0.0,,33333.34356262891,,21,,21,0.007050163,3.9747624,440000,-43.11650140646948,33333.34356262891,14388.921337659729,5.574244,-43.11650140646948,,,,14388.921337659729,242975.39940971986,0.04,0.0,
,0.04,195624.04369617187,,9689.384495582632,-38.659634,,,0.2499939072827777,,0.0,,100,100,24.617775,,,9689.384495582632,,,,0.0,,32458.54046070706,,22,,22,0.005897541,-14.04186,460000,-34.3570854624206,32458.54046070706,18021.884487240506,5.524536,-34.3570854624206,,,,18021.884487240506,195624.04369617187,0.04,0.0,
,0.03,211541.7298644663,,8409.1563039261,-23.969723,,,0.2983781342964166,,0.0,,100,100,30.90627,,,8409.1563039261,,,,0.0,,35159.4616605219,,23,,23,0.007120146,6.936547,480000,-45.54298130197803,35159.4616605219,16690.981693675196,5.485192,-45.54298130197803,,,,16690.981693675196,211541.7298644663,0.03,0.0,
,0.06,177365.4144182476,,11029.17672719578,-33.068127,,,0.3411883171033804,,0.0,,100,100,34.59639,,,11029.17672719578,,,,0.0,,35243.27163199723,,24,,24,0.0073811645,1.5282625,500000,-45.579108002231955,35243.27163199723,20263.215005892183,5.452169,-45.579108002231955,,,,20263.215005892183,177365.4144182476,0.06,0.0,
,0.07,282384.47041111236,,15528.384580903476,-59.11615,,,0.3158128675684485,,0.0,,100,100,39.538208,,,15528.384580903476,,,,0.0,,50711.98888910495,,25,,25,0.0069120727,-19.577944,520000,-41.5808932316682,50711.98888910495,31899.71354844716,5.431107,-41.5808932316682,,,,31899.71354844716,282384.47041111236,0.07,0.0,
,0.06,145869.80771017063,,9884.658234164888,-30.137787,,,0.2855208009288257,,0.0,,100,100,24.124437,,,9884.658234164888,,,,0.0,,30413.021158202147,,26,,26,0.0059030848,-6.01335,540000,-40.95382884714606,30413.021158202147,18044.92731336839,5.4210887,-40.95382884714606,,,,18044.92731336839,145869.80771017063,0.06,0.0,
,0.06,251310.4097177611,,11027.241206379798,19.92818,,,0.4032370529573043,,0.0,,100,100,31.133175,,,11027.241206379798,,,,0.0,,41910.72297903993,,27,,27,0.005179989,51.061356,560000,-47.65293107526399,41910.72297903993,22123.730671249807,5.401291,-47.65293107526399,,,,22123.730671249807,251310.4097177611,0.06,0.0,
,0.08,266735.72496010613,,15152.124955206453,-40.75585,,,0.31682839931130724,,0.0,,100,100,36.376865,,,15152.124955206453,,,,0.0,,43508.54582650075,,28,,28,0.0064035105,-4.3789873,580000,-38.743568749534255,43508.54582650075,28593.357129484066,5.383573,-38.743568749534255,,,,28593.357129484066,266735.72496010613,0.08,0.0,
,0.08,187888.22443622342,,13689.179893189146,-33.911236,,,0.327827013396234,,0.0,,100,100,33.96533,,,13689.179893189146,,,,0.0,,41792.600246502625,,29,,29,0.0066150376,0.05409375,600000,-48.19913833534567,41792.600246502625,26528.05408801103,5.3984017,-48.19913833534567,,,,26528.05408801103,187888.22443622342,0.08,0.0,
-51.0250461143311,0.03,290445.0758279566,3,10780.348467374826,-84.70885,70963.27181706233,12427.735489288847,0.3670907746672225,12427.735489288849,0.0,12427.735489288849,100,100,37.26408,10,0.0,10780.348467374826,-51.0250461143311,3,12427.735489288847,0.0,0.0,48812.64996523206,70963.27181706233,30,10,30,0.0073157335,-47.444767,620000,-50.335308462254815,48812.64996523206,21938.599513331206,5.392266,-50.335308462254815,0.0,24186.593121934868,24186.593121934868,21938.599513331206,290445.0758279566,0.03,0.0,0.0
,0.12,252093.740565007,,17843.26157295646,-24.76295,,,0.36221932605170915,,0.0,,100,100,49.479187,,,17843.26157295646,,,,0.0,,58494.74576400435,,31,,31,0.0050847926,24.716238,640000,-48.43544996143778,58494.74576400435,38194.634649574036,5.371484,-48.43544996143778,,,,38194.634649574036,252093.740565007,0.12,0.0,
,0.12,333346.41548034427,,20275.993932697424,-128.6295,,,0.3523071945059313,,0.0,,100,100,56.863113,,,20275.993932697424,,,,0.0,,71214.38158165311,,32,,32,0.007545691,-71.76639,660000,-46.45687878470748,71214.38158165311,44110.075345985155,5.3579535,-46.45687878470748,,,,44110.075345985155,333346.41548034427,0.12,0.0,
,0.11,312274.9143291505,,27059.158025314187,-175.01689,,,0.37226209975469127,,0.0,,100,100,65.876526,,,27059.158025314187,,,,0.0,,77865.49806128738,,33,,33,0.007829618,-109.140366,680000,-50.02684159827729,77865.49806128738,60245.97927811305,5.3094993,-50.02684159827729,,,,60245.97927811305,312274.9143291505,0.11,0.0,
,0.08,305889.1651523084,,19155.83129708737,-174.86023,,,0.3515612482510291,,0.0,,100,100,39.60411,,,19155.83129708737,,,,0.0,,66235.96439550142,,34,,34,0.004386945,-135.25612,700000,-48.36635230094947,66235.96439550142,41626.229156071706,5.2591376,-48.36635230094947,,,,41626.229156071706,305889.1651523084,0.08,0.0,
,0.11,225470.91628449925,,20501.631912585603,-52.716343,,,0.44157379845044653,,0.0,,100,100,47.738735,,,20501.631912585603,,,,0.0,,62916.64854501809,,35,,35,0.005248249,-4.977609,720000,-46.63633287474054,62916.64854501809,42912.055587261326,5.2323294,-46.63633287474054,,,,42912.055587261326,225470.91628449925,0.11,0.0,
,0.17,329489.5693986829,,26331.02113581841,10.660125,,,0.3750595945132369,,0.0,,100,100,55.010277,,,26331.02113581841,,,,0.0,,77909.96414097567,,36,,36,0.005635035,65.6704,740000,-50.69094344143419,77909.96414097567,60702.8039446488,5.2206907,-50.69094344143419,,,,60702.8039446488,329489.5693986829,0.17,0.0,
,0.09,321808.340162165,,19416.071914200882,-115.96158,,,0.4651616072621121,,0.0,,100,100,45.991318,,,19416.071914200882,,,,0.0,,72938.68143194518,,37,,37,0.0059356345,-69.97026,760000,-52.58466170569742,72938.68143194518,45288.43211091911,5.2087164,-52.58466170569742,,,,45288.43211091911,321808.340162165,0.09,0.0,
,0.13,331895.5364998405,,26482.49989331021,-11.76325,,,0.44146531231693265,,0.0,,100,100,61.207626,,,26482.49989331021,,,,0.0,,85055.39120160017,,38,,38,0.004603716,49.444374,780000,-42.424781424171755,85055.39120160017,63203.0449072801,5.1812086,-42.424781424171755,,,,63203.0449072801,331895.5364998405,0.13,0.0,
,0.21,313680.9307616718,,33541.56039077297,-198.6892,,,0.4121395685286887,,0.0,,100,100,68.75255,,,33541.56039077297,,,,0.0,,90451.56534690366,,39,,39,0.00600245,-129.93665,800000,-45.104785652250065,90451.56534690366,79788.0613588868,5.1309633,-45.104785652250065,,,,79788.0613588868,313680.9307616718,0.21,0.0,
-39.12224325929223,0.14,322551.2839629902,4,21828.188707343106,-33.5072,331866.9148345229,138489.6204837951,0.4178700242306619,138489.62048379512,0.0,138489.62048379512,100,100,18.643574,10,0.3,21828.188707343106,-39.12224325929223,4,138489.6204837951,0.0,0.0,84345.39726446301,331866.9148345229,40,10,40,0.008457465,-14.863625,820000,-47.02883341820608,84345.39726446301,51936.01584172767,5.0842505,-47.02883341820608,0.3,123779.10579639806,123779.10579639806,51936.01584172767,322551.2839629902,0.14,0.0,0.0
,0.09,325796.2106955275,,24898.833846646296,-43.889137,,,0.3707076622229981,,0.0,,100,100,33.981476,,,24898.833846646296,,,,0.0,,78964.88090490416,,41,,41,0.0053341636,-9.907662,840000,-46.45560738838612,78964.88090490416,56724.05979376521,5.0646696,-46.45560738838612,,,,56724.05979376521,325796.2106955275,0.09,0.0,
,0.3,328400.36008813087,,43668.20110018973,-151.94322,,,0.37451848941888266,,0.0,,100,100,69.010574,,,43668.20110018973,,,,0.0,,99074.13947214159,,42,,42,0.006616533,-82.93265,860000,-46.274648352900314,99074.13947214159,101827.10422316635,5.0528994,-46.274648352900314,,,,101827.10422316635,328400.36008813087,0.3,0.0,
,0.27,334298.93175677507,,42371.80324826679,-146.5846,,,0.42582154477617273,,0.0,,100,100,78.82884,,,42371.80324826679,,,,0.0,,102409.65047916977,,43,,43,0.008074539,-67.75575,880000,-44.53383598158675,102409.65047916977,101848.82208056875,5.0302935,-44.53383598158675,,,,101848.82208056875,334298.93175677507,0.27,0.0,
,0.11,340096.2022669409,,28508.55305058135,-89.35466,,,0.4401866389727275,,0.0,,100,100,25.853828,,,28508.55305058135,,,,0.0,,91196.56402423952,,44,,44,0.006971048,-63.50083,900000,-46.27345504628914,91196.56402423952,69404.81162343983,4.9995956,-46.27345504628914,,,,69404.81162343983,340096.2022669409,0.11,0.0,
,0.27,350250.39976503124,,34796.40590934835,-177.93025,,,0.47063373208998893,,0.0,,100,100,55.881767,,,34796.40590934835,,,,0.0,,104891.91061089495,,45,,45,0.0050162873,-122.048485,920000,-47.362565244473814,104891.91061089495,84168.2573691423,4.9673896,-47.362565244473814,,,,84168.2573691423,350250.39976503124,0.27,0.0,
,0.22,336843.1030741716,,37938.73430105072,-80.41804,,,0.4821113971393731,,0.0,,100,100,71.119446,,,37938.73430105072,,,,0.0,,108427.35080271108,,46,,46,0.0057734917,-9.298588,940000,-42.5252816808707,108427.35080271108,93196.62071391962,4.9159384,-42.5252816808707,,,,93196.62071391962,336843.1030741716,0.22,0.0,
,0.29,348911.1712408368,,38363.06437792963,-36.383625,,,0.4978406323725667,,0.0,,100,100,64.01688,,,38363.06437792963,,,,0.0,,112591.67023745315,,47,,47,0.0076246858,27.63325,960000,-35.80391217199254,112591.67023745315,95991.08679739089,4.87193,-35.80391217199254,,,,95991.08679739089,348911.1712408368,0.29,0.0,
,0.28,336030.1897316329,,40254.87727080224,-93.79971,,,0.4490168192565017,,0.0,,100,100,65.23636,,,40254.87727080224,,,,0.0,,109449.34878168914,,48,,48,0.007879837,-28.56335,980000,-55.62930968554086,109449.34878168914,98856.68604359558,4.844883,-55.62930968554086,,,,98856.68604359558,336030.1897316329,0.28,0.0,
,0.25,344438.1668192998,,38847.19848138895,-270.13086,,,0.46186768708926973,,0.0,,100,100,64.392426,,,38847.19848138895,,,,0.0,,104458.0725249742,,49,,49,0.005290763,-205.73843,1000000,-42.718975368634176,104458.0725249742,92371.21957152727,4.810067,-42.718975368634176,,,,92371.21957152727,344438.1668192998,0.25,0.0,
-20.8374246278655,0.25,332021.81696276413,5,44652.26477933495,-122.25975,327286.6469217584,131736.5211294748,0.5036036539534419,131736.52112947483,0.0,131736.52112947483,100,100,60.3471,10,0.3,44652.26477933495,-20.8374246278655,5,131736.5211294748,0.0,0.0,114810.33173597345,327286.6469217584,50,10,50,0.0051662354,-61.91265,1020000,-47.94509631131182,114810.33173597345,110634.32908090351,4.7685976,-47.94509631131182,0.3,112145.1791658845,112145.1791658845,110634.32908090351,332021.81696276413,0.25,0.0,0.0
,0.31,344586.14838618546,,45564.243278230606,44.207436,,,0.5245740221241241,,0.0,,100,100,60.52028,,,45564.243278230606,,,,0.0,,120076.12717741962,,51,,51,0.0061379676,104.727715,1040000,-42.752391205935304,120076.12717741962,117354.59210258555,4.732114,-42.752391205935304,,,,117354.59210258555,344586.14838618546,0.31,0.0,
,0.21,339926.0523185418,,34589.94100985029,-144.11575,,,0.5092156990656502,,0.0,,100,100,52.503654,,,34589.94100985029,,,,0.0,,102157.45121023209,,52,,52,0.008433992,-91.6121,1060000,-58.3373796085873,102157.45121023209,83343.06174492347,4.7084203,-58.3373796085873,,,,83343.06174492347,339926.0523185418,0.21,0.0,
,0.27,341033.17681532534,,44196.23407175936,-68.48118,,,0.5091397876992891,,0.0,,100,100,64.18608,,,44196.23407175936,,,,0.0,,106606.68731251686,,53,,53,0.0052398443,-4.2951,1080000,-42.97527827921922,106606.68731251686,108980.83241624686,4.691369,-42.97527827921922,,,,108980.83241624686,341033.17681532534,0.27,0.0,
,0.33,342261.21068941755,,45276.88018622004,-112.78445,,,0.4963377844943251,,0.0,,100,100,76.09752,,,45276.88018622004,,,,0.0,,124209.3510080969,,54,,54,0.0071098083,-36.68693,1100000,-48.16374164995672,124209.3510080969,115384.93980640976,4.658367,-48.16374164995672,,,,115384.93980640976,342261.21068941755,0.33,0.0,
,0.23,346351.05263689306,,48981.447646578614,-147.4511,,,0.46539216935215455,,0.0,,100,100,76.70423,,,48981.447646578614,,,,0.0,,102812.3078361277,,55,,55,0.0056886557,-70.746864,1120000,-54.49737619113685,102812.3078361277,123645.50560074676,4.621985,-54.49737619113685,,,,123645.50560074676,346351.05263689306,0.23,0.0,
,0.34,341572.1389156613,,56664.48675268487,-138.32422,,,0.48617672328993167,,0.0,,100,100,65.05747,,,56664.48675268487,,,,0.0,,110316.81578436798,,56,,56,0.0065462594,-73.26675,1140000,-45.47995094985992,110316.81578436798,146228.56686696154,4.5954666,-45.47995094985992,,,,146228.56686696154,341572.1389156613,0.34,0.0,
,0.38,349605.1569241227,,58504.63877962748,-125.7625,,,0.48285533135145786,,0.0,,100,100,77.8647,,,58504.63877962748,,,,0.0,,116034.06994031064,,57,,57,0.0065629417,-47.8978,1160000,-53.06198146971499,116034.06994031064,147329.82985865162,4.58144,-53.06198146971499,,,,147329.82985865162,349605.1569241227,0.38,0.0,
,0.28,330939.46814800706,,55199.65303828849,31.240963,,,0.45462537708099116,,0.0,,100,100,58.079525,,,55199.65303828849,,,,0.0,,110029.88666327685,,58,,58,0.0050745904,89.32049,1180000,-39.84279529894026,110029.88666327685,143830.65995902292,4.562412,-39.84279529894026,,,,143830.65995902292,330939.46814800706,0.28,0.0,
,0.35,343791.7129801574,,55022.98784726253,-96.63393,,,0.47710664401608205,,0.0,,100,100,65.46217,,,55022.98784726253,,,,0.0,,110920.37788713186,,59,,59,0.00658432,-31.17175,1200000,-22.044273523280008,110920.37788713186,138444.92351198744,4.5390396,-22.044273523280008,,,,138444.92351198744,343791.7129801574,0.35,0.0,
-23.490718793640376,0.2,343355.3887916908,6,45676.85101555314,-20.188738,324122.3942950496,182945.1161957342,0.5041163802578772,182945.11619573424,0.0,182945.11619573424,100,100,62.152252,10,0.6,45676.85101555314,-23.490718793640376,6,182945.1161957342,0.0,0.0,109081.34413275549,324122.3942950496,60,10,60,0.0042281393,41.963512,1220000,-25.097050250309746,109081.34413275549,115200.98297381421,4.5165634,-25.097050250309746,0.6,114021.61238779344,114021.61238779344,115200.98297381421,343355.3887916908,0.2,0.0,0.0
,0.31,347240.7264129231,,53027.287232611794,-6.5552626,,,0.4712996390275833,,0.0,,100,100,62.41359,,,53027.287232611794,,,,0.0,,99686.99962328283,,61,,61,0.0059673334,55.858326,1240000,-23.50565468002699,99686.99962328283,129427.8870528162,4.473485,-23.50565468002699,,,,129427.8870528162,347240.7264129231,0.31,0.0,
,0.44,336764.72397381463,,67301.2161154538,-57.619526,,,0.49688995375734035,,0.0,,100,100,77.4506,,,67301.2161154538,,,,0.0,,114964.27010103945,,62,,62,0.0056602987,19.831076,1260000,-18.82578687857286,114964.27010103945,174255.45898266978,4.4452634,-18.82578687857286,,,,174255.45898266978,336764.72397381463,0.44,0.0,
,0.4,348366.79106984474,,64856.883762712736,37.99915,,,0.48802936558624677,,0.0,,100,100,57.562428,,,64856.883762712736,,,,0.0,,106680.73411566064,,63,,63,0.0046838247,95.56158,1280000,-40.341188689601374,106680.73411566064,165644.99004679537,4.423282,-40.341188689601374,,,,165644.99004679537,348366.79106984474,0.4,0.0,
,0.43,337773.2677574913,,66458.06288431487,-174.4662,,,0.490993045856991,,0.0,,100,100,76.7266,,,66458.06288431487,,,,0.0,,117776.9503045021,,64,,64,0.00433463,-97.7396,1300000,-41.58987613495024,117776.9503045021,174084.66002743918,4.3962555,-41.58987613495024,,,,174084.66002743918,337773.2677574913,0.43,0.0,
,0.4,345249.09046683955,,62755.900389473245,-105.68685,,,0.4899453299297263,,0.0,,100,100,79.485374,,,62755.900389473245,,,,0.0,,122019.92626982697,,65,,65,0.0058958237,-26.201475,1320000,-37.011660506123405,122019.92626982697,160657.5418443102,4.376538,-37.011660506123405,,,,160657.5418443102,345249.09046683955,0.4,0.0,
,0.29,345077.2877814842,,62275.046186950894,-69.33275,,,0.48518003113486097,,0.0,,100,100,51.918,,,62275.046186950894,,,,0.0,,100148.14125107806,,66,,66,0.0055946265,-17.41475,1340000,-24.880713465009013,100148.14125107806,160297.56597397965,4.3554754,-24.880713465009013,,,,160297.56597397965,345077.2877814842,0.29,0.0,
,0.19,347966.4797323191,,57019.004975035,-86.7821,,,0.5775743582195669,,0.0,,100,100,80.278496,,,57019.004975035,,,,0.0,,110405.38820922597,,67,,67,0.004049395,-6.5036,1360000,-24.95723593665346,110405.38820922597,149784.6184467715,4.345836,-24.95723593665346,,,,149784.6184467715,347966.4797323191,0.19,0.0,
,0.37,340563.7947008988,,66670.91067642182,-41.877575,,,0.3802744580329447,,0.0,,100,100,59.976387,,,66670.91067642182,,,,0.0,,96611.87485585877,,68,,68,0.004931573,18.098812,1380000,-19.881428929743713,96611.87485585877,165702.5755039475,4.339279,-19.881428929743713,,,,165702.5755039475,340563.7947008988,0.37,0.0,
,0.38,343317.6974653384,,68780.04040243271,-40.400036,,,0.5145356770136685,,0.0,,100,100,57.096436,,,68780.04040243271,,,,0.0,,97247.52206462398,,69,,69,0.004038145,16.6964,1400000,-42.32730450995676,97247.52206462398,177819.73682335563,4.324452,-42.32730450995676,,,,177819.73682335563,343317.6974653384,0.38,0.0,
