MetaTest/button-press-wall-v1/MinReturn,button-press-wall-v1/SuccessRate,Average/MaxReturn,MetaTest/Average/Iteration,button-press-wall-v1/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/button-press-wall-v1/AverageReturn,button-press-wall-v1/TerminationRate,MetaTest/Average/AverageReturn,button-press-wall-v1/NumEpisodes,Average/NumEpisodes,policy/dLoss,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/Average/SuccessRate,Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/AverageDiscountedReturn,policy/KLBefore,MetaTest/button-press-wall-v1/TerminationRate,Average/StdReturn,MetaTest/button-press-wall-v1/MaxReturn,button-press-wall-v1/Iteration,MetaTest/Average/NumEpisodes,Average/Iteration,policy/KL,policy/LossBefore,TotalEnvSteps,button-press-wall-v1/MinReturn,button-press-wall-v1/StdReturn,Average/AverageReturn,policy/Entropy,Average/MinReturn,MetaTest/button-press-wall-v1/SuccessRate,MetaTest/button-press-wall-v1/StdReturn,MetaTest/Average/StdReturn,button-press-wall-v1/AverageReturn,button-press-wall-v1/MaxReturn,Average/SuccessRate,Average/TerminationRate,MetaTest/Average/TerminationRate
-73.19860998765274,0.0,-36.63560389053484,0,-22.38733341375205,-0.04153078,-49.667702338429926,-62.2133266658322,0.4143065722724515,-62.2133266658322,0.0,-62.2133266658322,100,100,0.027840205,10,0.0,-22.38733341375205,-73.19860998765274,0,-62.2133266658322,0.0,0.0,9.729740954786704,-49.667702338429926,0,10,0,0.0071057556,-0.013690576,20000,-80.85369349725686,9.729740954786704,-59.99988488283852,5.687836,-80.85369349725686,0.0,6.83338322070702,6.83338322070702,-59.99988488283852,-36.63560389053484,0.0,0.0,0.0
,0.0,5125.393820815252,,15.449536629250474,-1.7590415,,,0.10213520598626002,,0.0,,100,100,0.83494234,,,15.449536629250474,,,,0.0,,574.4900002180631,,1,,1,0.020999702,-0.9240992,40000,-70.5991829614494,574.4900002180631,28.168196692894263,5.686635,-70.5991829614494,,,,28.168196692894263,5125.393820815252,0.0,0.0,
,0.01,104223.45139562369,,380.8198454558689,-5.1073065,,,0.28754700163554137,,0.0,,100,100,10.351379,,,380.8198454558689,,,,0.0,,10457.20305411777,,2,,2,0.011195213,5.2440734,60000,-53.87981076400404,10457.20305411777,1355.1421665764274,5.6957097,-53.87981076400404,,,,1355.1421665764274,104223.45139562369,0.01,0.0,
,0.05,112954.64588305647,,1247.7710379336663,-17.956085,,,0.22673422171207636,,0.0,,100,100,13.678805,,,1247.7710379336663,,,,0.0,,12508.264794806822,,3,,3,0.0128931245,-4.27728,80000,-50.65029592373669,12508.264794806822,3479.810360039534,5.7092314,-50.65029592373669,,,,3479.810360039534,112954.64588305647,0.05,0.0,
,0.05,78449.79050833915,,1598.3464224534173,-0.24318124,,,0.18992389960371803,,0.0,,100,100,9.429456,,,1598.3464224534173,,,,0.0,,11515.306963332469,,4,,4,0.007616423,9.186275,100000,-45.40020073379628,11515.306963332469,3426.2974111128137,5.6921687,-45.40020073379628,,,,3426.2974111128137,78449.79050833915,0.05,0.0,
,0.08,170212.95669967175,,1646.7648317318403,-17.231237,,,0.20453941464078784,,0.0,,100,100,10.371368,,,1646.7648317318403,,,,0.0,,17332.27696240629,,5,,5,0.006163296,-6.8598685,120000,-48.67184310157596,17332.27696240629,3793.076064813412,5.692304,-48.67184310157596,,,,3793.076064813412,170212.95669967175,0.08,0.0,
,0.06,32150.85227687559,,1062.0759472247203,-6.8942018,,,0.1524554364453622,,0.0,,100,100,3.2141767,,,1062.0759472247203,,,,0.0,,5187.468523234718,,6,,6,0.008828865,-3.680025,140000,-45.309063264285165,5187.468523234718,1864.8806983953843,5.684281,-45.309063264285165,,,,1864.8806983953843,32150.85227687559,0.06,0.0,
,0.0,47233.207163631174,,2756.799486081729,-9.767278,,,0.18888477970925066,,0.0,,100,100,5.227378,,,2756.799486081729,,,,0.0,,8655.744921576152,,7,,7,0.003652922,-4.5399,160000,-50.14775428292078,8655.744921576152,4705.714274894496,5.679827,-50.14775428292078,,,,4705.714274894496,47233.207163631174,0.0,0.0,
,0.04,81760.11793740449,,2422.837534668185,-21.846506,,,0.21179523909355824,,0.0,,100,100,7.160369,,,2422.837534668185,,,,0.0,,11168.940552462884,,8,,8,0.006338442,-14.686137,180000,-40.553890252711575,11168.940552462884,4086.8853723665115,5.695946,-40.553890252711575,,,,4086.8853723665115,81760.11793740449,0.04,0.0,
,0.02,59038.733002763,,3195.615926837988,-8.379699,,,0.16592751384446558,,0.0,,100,100,8.04619,,,3195.615926837988,,,,0.0,,10954.852738776226,,9,,9,0.0047678994,-0.33350858,200000,-45.26462798758357,10954.852738776226,5298.411115541798,5.700727,-45.26462798758357,,,,5298.411115541798,59038.733002763,0.02,0.0,
