MetaTest/assembly-v1/TerminationRate,MetaTest/assembly-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/assembly-v1/MinReturn,MetaTrain/Average/QfLoss,MetaTest/assembly-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/assembly-v1/Iteration,MetaTest/assembly-v1/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/assembly-v1/AverageReturn,MetaTest/assembly-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/assembly-v1/NumEpisodes,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes
0.0,-33.05943940381315,-33.05943940381315,-43.10727869403918,0.78141576,6.285723272339111,0.0,0.9307108,8.279551,6.285723272339111,6.2645693,0,0.0,0,-2.1688733,-43.10727869403918,-33.05943940381313,-21.662767145158135,-33.05943940381313,0.0,10,-21.662767145158135,56000,10
0.0,-27.65641337725093,-27.65641337725093,-34.36647817027194,2.3897886,4.457099027791115,0.0,0.8087501,8.07759,4.457099027791115,5.4395714,1,0.0,1,-0.11035959,-34.36647817027194,-27.656413377250924,-17.93297587616844,-27.656413377250924,0.0,10,-17.93297587616844,62000,10
0.0,-29.146887846258483,-29.146887846258483,-35.37253485324262,1.0042663,3.2111280517670107,0.0,0.7065281,10.456603,3.2111280517670107,4.750603,2,0.0,2,2.5642197,-35.37253485324262,-29.146887846258476,-24.25138001565468,-29.146887846258476,0.0,10,-24.25138001565468,68000,10
0.0,-26.971044853119583,-26.971044853119583,-38.691572895615046,3.5558834,5.31162503083375,0.0,0.61934793,8.375841,5.31162503083375,4.154004,3,0.0,3,6.2067394,-38.691572895615046,-26.971044853119576,-20.0025130644504,-26.971044853119576,0.0,10,-20.0025130644504,74000,10
0.0,-24.566087865703345,-24.566087865703345,-32.703760374284634,1.7148843,3.4729809766727713,0.0,0.5439065,7.869334,3.4729809766727713,3.6381695,4,0.0,4,11.126651,-32.703760374284634,-24.56608786570335,-21.12087921526483,-24.56608786570335,0.0,10,-21.12087921526483,80000,10
0.0,-24.823396307508492,-24.823396307508492,-31.271258667192942,1.7941858,3.008887283799249,0.0,0.47823945,7.949045,3.008887283799249,3.183078,5,0.0,5,16.84584,-31.271258667192942,-24.823396307508485,-20.972340066383776,-24.823396307508485,0.0,10,-20.972340066383776,86000,10
0.0,-25.505850723120503,-25.505850723120503,-32.522109078348365,6.2714643,3.994959927825559,0.0,0.4207745,8.054237,3.994959927825559,2.7752836,6,0.0,6,23.666296,-32.522109078348365,-25.5058507231205,-19.503860422936913,-25.5058507231205,0.0,10,-19.503860422936913,92000,10
0.0,-21.263482637832936,-21.263482637832936,-25.29157408199238,2.7347417,2.760458725094971,0.0,0.37038907,7.6876297,2.760458725094971,2.4239042,7,0.0,7,30.369308,-25.29157408199238,-21.263482637832933,-16.892069789465822,-21.263482637832933,0.0,10,-16.892069789465822,98000,10
0.0,-22.92186390793614,-22.92186390793614,-31.063568052443525,3.0314984,3.6554693640581886,0.0,0.32633412,7.741537,3.6554693640581886,2.099362,8,0.0,8,38.357742,-31.063568052443525,-22.921863907936135,-17.767038958757258,-22.921863907936135,0.0,10,-17.767038958757258,104000,10
0.0,-21.55020396132918,-21.55020396132918,-23.956033814095257,3.69727,1.7026752850980902,0.0,0.28765723,7.8204813,1.7026752850980902,1.8210405,9,0.0,9,45.81884,-23.956033814095257,-21.550203961329178,-18.44467497050755,-21.550203961329178,0.0,10,-18.44467497050755,110000,10
0.0,-18.653039881175793,-18.653039881175793,-22.59901449113345,3.9284685,1.8256818086983946,0.0,0.2536494,7.8388844,1.8256818086983946,1.5673302,10,0.0,10,51.368515,-22.59901449113345,-18.65303988117579,-15.624989207888046,-18.65303988117579,0.0,10,-15.624989207888046,116000,10
0.0,-21.108098501232828,-21.108098501232828,-23.704508914757714,3.9648247,2.0591020927742356,0.0,0.22375779,7.8860474,2.0591020927742356,1.3460395,11,0.0,11,56.20946,-23.704508914757714,-21.108098501232824,-16.860628370678775,-21.108098501232824,0.0,10,-16.860628370678775,122000,10
