MetaTest/assembly-v1/TerminationRate,MetaTest/assembly-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/assembly-v1/MinReturn,MetaTrain/Average/QfLoss,MetaTest/assembly-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/assembly-v1/Iteration,MetaTest/assembly-v1/SuccessRate,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/Average/MinReturn,MetaTest/assembly-v1/AverageReturn,MetaTest/assembly-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/assembly-v1/NumEpisodes,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes
0.0,-17.079521367989017,-17.079521367989017,-20.592870959968,4.2381015,1.609205957574617,0.0,0.19754855,7.797073,1.609205957574617,1.1514009,12,0.0,12,61.434887,-20.592870959968,-17.07952136798902,-15.517859713287276,-17.07952136798902,0.0,10,-15.517859713287276,128000,10
0.0,-19.72487968605121,-19.72487968605121,-21.918481793657882,6.0647354,1.5538395995384848,0.0,0.17458585,7.676082,1.5538395995384848,0.9789741,13,0.0,13,67.33033,-21.918481793657882,-19.72487968605121,-17.261689110780996,-19.72487968605121,0.0,10,-17.261689110780996,134000,10
0.0,-16.86936347317932,-16.86936347317932,-17.942342219822134,4.9592853,0.7157050210948237,0.0,0.15439562,7.668292,0.7157050210948237,0.82685363,14,0.0,14,72.690475,-17.942342219822134,-16.86936347317932,-15.877730410062012,-16.86936347317932,0.0,10,-15.877730410062012,140000,10
0.0,-15.22365318091659,-15.22365318091659,-15.60082285203571,5.9210625,0.30766114606507294,0.0,0.13663526,7.626161,0.30766114606507294,0.69810426,15,0.0,15,77.68137,-15.60082285203571,-15.22365318091659,-14.525457135714033,-15.22365318091659,0.0,10,-14.525457135714033,146000,10
0.0,-15.81411981457028,-15.81411981457028,-17.264084363456547,6.021069,0.6949257936856391,0.0,0.12103105,7.728229,0.6949257936856391,0.5858482,16,0.0,16,81.31497,-17.264084363456547,-15.81411981457028,-14.594784751867317,-15.81411981457028,0.0,10,-14.594784751867317,152000,10
0.0,-15.455873441623035,-15.455873441623035,-16.57726882248648,6.1455946,0.5495094535409781,0.0,0.107268356,7.63331,0.5495094535409781,0.4922279,17,0.0,17,84.94461,-16.57726882248648,-15.455873441623035,-14.590342902454227,-15.455873441623035,0.0,10,-14.590342902454227,158000,10
0.0,-15.615815689966116,-15.615815689966116,-16.620738654822066,6.0024757,0.4357869386242215,0.0,0.095122896,7.640023,0.4357869386242215,0.40972874,18,0.0,18,87.657265,-16.620738654822066,-15.615815689966116,-15.050092102729177,-15.615815689966116,0.0,10,-15.050092102729177,164000,10
0.0,-15.405319869364792,-15.405319869364792,-15.878317644451524,6.267922,0.3008193770512964,0.0,0.08439671,7.6751633,0.3008193770512964,0.34081447,19,0.0,19,90.21423,-15.878317644451524,-15.405319869364785,-14.94353648499207,-15.405319869364785,0.0,10,-14.94353648499207,170000,10
0.0,-14.845677804491924,-14.845677804491924,-15.450420936406772,6.566791,0.44544066818868827,0.0,0.074981734,7.69224,0.44544066818868827,0.2792758,20,0.0,20,92.465225,-15.450420936406772,-14.845677804491922,-13.8307398372102,-14.845677804491922,0.0,10,-13.8307398372102,176000,10
0.0,-15.11086609077656,-15.11086609077656,-15.629621812476017,6.256185,0.32470343612290337,0.0,0.0666465,7.6290307,0.32470343612290337,0.23194504,21,0.0,21,94.86122,-15.629621812476017,-15.11086609077656,-14.43061656738789,-15.11086609077656,0.0,10,-14.43061656738789,182000,10
0.0,-14.984061127943747,-14.984061127943747,-15.490194863439188,6.3930078,0.24532434396624064,0.0,0.05927551,7.7295303,0.24532434396624064,0.18904118,22,0.0,22,96.50671,-15.490194863439188,-14.984061127943752,-14.658892909976853,-14.984061127943752,0.0,10,-14.658892909976853,188000,10
0.0,-15.770892218231202,-15.770892218231202,-16.12711101814085,6.5717626,0.1599507714454757,0.0,0.0527746,7.655023,0.1599507714454757,0.15515812,23,0.0,23,97.92639,-16.12711101814085,-15.770892218231205,-15.594831818129363,-15.770892218231205,0.0,10,-15.594831818129363,194000,10
0.0,-14.658546066026867,-14.658546066026867,-14.978580649332399,6.428902,0.168352336064674,0.0,0.047005087,7.6359463,0.168352336064674,0.12606736,24,0.0,24,99.33439,-14.978580649332399,-14.658546066026869,-14.410617605251698,-14.658546066026869,0.0,10,-14.410617605251698,200000,10
0.0,-15.083544536388468,-15.083544536388468,-15.500948068089244,6.62805,0.27909912641245777,0.0,0.04192739,7.7140417,0.27909912641245777,0.10233115,25,0.0,25,100.03388,-15.500948068089244,-15.083544536388468,-14.603064156304077,-15.083544536388468,0.0,10,-14.603064156304077,206000,10
0.0,-14.667738796828951,-14.667738796828951,-15.031360430693768,6.388164,0.2351856817889735,0.0,0.037429877,7.6312404,0.2351856817889735,0.08155864,26,0.0,26,101.26813,-15.031360430693768,-14.667738796828948,-14.322331600005196,-14.667738796828948,0.0,10,-14.322331600005196,212000,10
0.0,-15.519631176953066,-15.519631176953066,-15.982344789487641,6.4672713,0.28736884321439726,0.0,0.033430055,7.728463,0.28736884321439726,0.06610988,27,0.0,27,101.634254,-15.982344789487641,-15.519631176953066,-15.130120347763869,-15.519631176953066,0.0,10,-15.130120347763869,218000,10
0.0,-14.59717783595491,-14.59717783595491,-15.092172591853556,6.4226646,0.2792883000648146,0.0,0.029875232,7.6253986,0.2792883000648146,0.053062957,28,0.0,28,102.3755,-15.092172591853556,-14.59717783595491,-14.163658160922427,-14.59717783595491,0.0,10,-14.163658160922427,224000,10
0.0,-14.978793515270429,-14.978793515270429,-15.32056068250711,6.3365703,0.22462039143192836,0.0,0.026720803,7.674759,0.22462039143192836,0.042351685,29,0.0,29,103.035194,-15.32056068250711,-14.978793515270429,-14.538610967660597,-14.978793515270429,0.0,10,-14.538610967660597,230000,10
0.0,-14.205907488383293,-14.205907488383293,-14.652359685114014,6.317636,0.21000478362929026,0.0,0.023978611,7.8214326,0.21000478362929026,0.032058608,30,0.0,30,103.30484,-14.652359685114014,-14.205907488383293,-13.896214641621444,-14.205907488383293,0.0,10,-13.896214641621444,236000,10
0.0,-13.359425398210439,-13.359425398210439,-13.670719927349106,6.372609,0.1984529293149517,0.0,0.02160869,7.6330433,0.1984529293149517,0.02359547,31,0.0,31,103.55197,-13.670719927349106,-13.359425398210444,-13.015229121979042,-13.359425398210444,0.0,10,-13.015229121979042,242000,10
0.0,-14.010106562433066,-14.010106562433066,-14.237253099491339,6.1665754,0.129757694509647,0.0,0.019631715,7.6465607,0.129757694509647,0.01643459,32,0.0,32,103.85295,-14.237253099491339,-14.010106562433066,-13.763354794588093,-14.010106562433066,0.0,10,-13.763354794588093,248000,10
0.0,-13.817534351535722,-13.817534351535722,-14.149803546541017,6.2332973,0.22115734048235228,0.0,0.017970137,7.66054,0.22115734048235228,0.011103005,33,0.0,33,104.03759,-14.149803546541017,-13.817534351535722,-13.423275718359712,-13.817534351535722,0.0,10,-13.423275718359712,254000,10
0.0,-13.967775562510365,-13.967775562510365,-14.061333658119244,6.0331073,0.08644693583700108,0.0,0.016526882,7.6576524,0.08644693583700108,0.007368873,34,0.0,34,104.16874,-14.061333658119244,-13.967775562510365,-13.812634788881436,-13.967775562510365,0.0,10,-13.812634788881436,260000,10
0.0,-13.259776408671295,-13.259776408671295,-13.473537771902004,5.8017755,0.131476042287028,0.0,0.015461445,7.720298,0.131476042287028,0.0038098914,35,0.0,35,104.22969,-13.473537771902004,-13.259776408671295,-13.036940203717585,-13.259776408671295,0.0,10,-13.036940203717585,266000,10
0.0,-14.029394437258588,-14.029394437258588,-14.349877232809867,6.250003,0.21198723865939142,0.0,0.014655278,7.639693,0.21198723865939142,0.0024347266,36,0.0,36,104.18828,-14.349877232809867,-14.029394437258583,-13.709368120393881,-14.029394437258583,0.0,10,-13.709368120393881,272000,10
0.0,-14.395615033494702,-14.395615033494702,-14.826360482733708,5.735934,0.3307617393499628,0.0,0.0139858145,7.658325,0.3307617393499628,0.0012331343,37,0.0,37,104.208336,-14.826360482733708,-14.395615033494702,-13.697104896040786,-14.395615033494702,0.0,10,-13.697104896040786,278000,10
0.0,-13.338582438323858,-13.338582438323858,-13.6564056702192,5.5550785,0.20228827988687464,0.0,0.0135297235,7.651191,0.20228827988687464,0.0010012131,38,0.0,38,103.732,-13.6564056702192,-13.338582438323858,-13.054866692195676,-13.338582438323858,0.0,10,-13.054866692195676,284000,10
0.0,-13.1366266418446,-13.1366266418446,-13.51719807713926,5.854004,0.15191612264078475,0.0,0.013058049,7.7848787,0.15191612264078475,0.000670817,39,0.0,39,103.2664,-13.51719807713926,-13.1366266418446,-12.956385798581072,-13.1366266418446,0.0,10,-12.956385798581072,290000,10
0.0,-13.180451448710404,-13.180451448710404,-13.662022352343177,5.410122,0.26597607169074894,0.0,0.012701262,7.627885,0.26597607169074894,0.0005026518,40,0.0,40,103.538765,-13.662022352343177,-13.180451448710405,-12.785225004363216,-13.180451448710405,0.0,10,-12.785225004363216,296000,10
0.0,-13.18268738165811,-13.18268738165811,-13.45045379123176,5.513224,0.20014963664509566,0.0,0.012413194,7.699573,0.20014963664509566,0.00052618096,41,0.0,41,103.36939,-13.45045379123176,-13.18268738165811,-12.828808514586543,-13.18268738165811,0.0,10,-12.828808514586543,302000,10
0.0,-13.280326305601784,-13.280326305601784,-13.483243923313372,5.53099,0.13640907528584328,0.0,0.0120913945,7.725987,0.13640907528584328,0.0003026993,42,0.0,42,103.28823,-13.483243923313372,-13.280326305601786,-13.073576256168128,-13.280326305601786,0.0,10,-13.073576256168128,308000,10
0.0,-13.238225227648039,-13.238225227648039,-13.45344411992183,4.97314,0.1320308633987222,0.0,0.011945102,7.6264653,0.1320308633987222,0.00050541054,43,0.0,43,103.169525,-13.45344411992183,-13.238225227648039,-13.041744493906183,-13.238225227648039,0.0,10,-13.041744493906183,314000,10
0.0,-13.708408603925552,-13.708408603925552,-14.404539713664747,5.0922604,0.3748031640745415,0.0,0.011704635,8.141132,0.3748031640745415,0.00012911811,44,0.0,44,102.25733,-14.404539713664747,-13.708408603925553,-13.21409991922763,-13.708408603925553,0.0,10,-13.21409991922763,320000,10
0.0,-13.192435799995838,-13.192435799995838,-13.786076401316242,5.176841,0.2225014027038273,0.0,0.011631088,7.621052,0.2225014027038273,0.00019510406,45,0.0,45,102.49146,-13.786076401316242,-13.192435799995838,-12.970370709190487,-13.192435799995838,0.0,10,-12.970370709190487,326000,10
0.0,-13.247180877936326,-13.247180877936326,-13.492516335135763,4.9867005,0.19752418796716983,0.0,0.011319723,7.6243467,0.19752418796716983,0.00059368316,46,0.0,46,102.43723,-13.492516335135763,-13.247180877936326,-12.951062605048305,-13.247180877936326,0.0,10,-12.951062605048305,332000,10
0.0,-13.11744025148884,-13.11744025148884,-13.328891171804637,4.980356,0.13907763187781816,0.0,0.0108889695,7.624741,0.13907763187781816,0.00084460713,47,0.0,47,102.38631,-13.328891171804637,-13.11744025148884,-12.892836697211271,-13.11744025148884,0.0,10,-12.892836697211271,338000,10
0.0,-13.326600359933991,-13.326600359933991,-13.471856777753827,4.7975535,0.09462505312583867,0.0,0.010593165,7.6250753,0.09462505312583867,0.00034929338,48,0.0,48,102.132164,-13.471856777753827,-13.326600359933995,-13.203467883164869,-13.326600359933995,0.0,10,-13.203467883164869,344000,10
0.0,-13.085070627918435,-13.085070627918435,-13.188444063442734,4.643804,0.09517363760264909,0.0,0.010515604,8.20998,0.09517363760264909,-8.759284e-05,49,0.0,49,101.47772,-13.188444063442734,-13.085070627918437,-12.882060821474958,-13.085070627918437,0.0,10,-12.882060821474958,350000,10
0.0,-13.118357087491427,-13.118357087491427,-13.220173992170839,4.787909,0.07497867964503059,0.0,0.010545936,7.6248136,0.07497867964503059,-0.00028951783,50,0.0,50,101.04881,-13.220173992170839,-13.118357087491427,-12.969046313410416,-13.118357087491427,0.0,10,-12.969046313410416,356000,10
0.0,-13.522477165429569,-13.522477165429569,-13.749788654100934,4.785257,0.13497001004575077,0.0,0.010808767,7.6407156,0.13497001004575077,-0.00027191293,51,0.0,51,100.913994,-13.749788654100934,-13.522477165429569,-13.217894913457634,-13.522477165429569,0.0,10,-13.217894913457634,362000,10
0.0,-13.72083646591182,-13.72083646591182,-14.117785754252237,4.490956,0.16674612439913974,0.0,0.0107989,7.64879,0.16674612439913974,-0.00012137139,52,0.0,52,100.55414,-14.117785754252237,-13.720836465911825,-13.552663801434944,-13.720836465911825,0.0,10,-13.552663801434944,368000,10
0.0,-13.540126230081057,-13.540126230081057,-13.759795976894603,4.386822,0.11806166888198642,0.0,0.010934595,7.7122664,0.11806166888198642,6.271306e-05,53,0.0,53,100.24367,-13.759795976894603,-13.540126230081052,-13.355226919237296,-13.540126230081052,0.0,10,-13.355226919237296,374000,10
0.0,-13.608461036866078,-13.608461036866078,-13.836511865562109,4.384503,0.11725711495197569,0.0,0.010787023,7.62511,0.11725711495197569,0.00034684807,54,0.0,54,99.73558,-13.836511865562109,-13.60846103686608,-13.43193538741826,-13.60846103686608,0.0,10,-13.43193538741826,380000,10
0.0,-12.863235555917347,-12.863235555917347,-13.101740435585935,4.3303485,0.159506885341913,0.0,0.010598463,7.663784,0.159506885341913,4.7094778e-05,55,0.0,55,99.298615,-13.101740435585935,-12.863235555917345,-12.66333436371982,-12.863235555917345,0.0,10,-12.66333436371982,386000,10
0.0,-13.043443834285295,-13.043443834285295,-13.252900812960494,4.443461,0.12505995239177375,0.0,0.010815824,7.6521688,0.12505995239177375,-8.8756e-05,56,0.0,56,98.94599,-13.252900812960494,-13.043443834285295,-12.837190684102506,-13.043443834285295,0.0,10,-12.837190684102506,392000,10
0.0,-13.395538756363498,-13.395538756363498,-13.897201986987533,4.0974708,0.24466130344112427,0.0,0.0105992295,7.693023,0.24466130344112427,0.0003094258,57,0.0,57,98.38838,-13.897201986987533,-13.395538756363498,-12.957358714085563,-13.395538756363498,0.0,10,-12.957358714085563,398000,10
0.0,-12.980268712747307,-12.980268712747307,-13.236418862631714,4.29414,0.14648373622476837,0.0,0.010741669,7.671182,0.14648373622476837,3.3420234e-05,58,0.0,58,98.208435,-13.236418862631714,-12.980268712747307,-12.75091299670803,-12.980268712747307,0.0,10,-12.75091299670803,404000,10
0.0,-12.706361135245965,-12.706361135245965,-12.996340329366227,4.19608,0.122531754130777,0.0,0.01058946,7.6342497,0.122531754130777,-0.00034441502,59,0.0,59,97.676125,-12.996340329366227,-12.706361135245963,-12.557197014489713,-12.706361135245963,0.0,10,-12.557197014489713,410000,10
0.0,-12.757483162704395,-12.757483162704395,-12.936219284278476,4.0722327,0.10674671334783124,0.0,0.01063599,7.6720324,0.10674671334783124,0.00036047862,60,0.0,60,97.21619,-12.936219284278476,-12.757483162704395,-12.552123404084506,-12.757483162704395,0.0,10,-12.552123404084506,416000,10
0.0,-12.999387526664151,-12.999387526664151,-13.127997208822588,4.066649,0.08134857405632888,0.0,0.01036987,7.62387,0.08134857405632888,0.00048729515,61,0.0,61,96.98233,-13.127997208822588,-12.999387526664151,-12.837594184138865,-12.999387526664151,0.0,10,-12.837594184138865,422000,10
0.0,-13.04325051798487,-13.04325051798487,-13.583744206544672,3.9551353,0.2903405378114077,0.0,0.010212677,7.6234674,0.2903405378114077,0.000108629225,62,0.0,62,96.70039,-13.583744206544672,-13.04325051798487,-12.513262938293012,-13.04325051798487,0.0,10,-12.513262938293012,428000,10
0.0,-12.989027227567888,-12.989027227567888,-13.555420102154478,4.0454574,0.229860568401366,0.0,0.010205652,7.624264,0.229860568401366,0.00019988116,63,0.0,63,96.47649,-13.555420102154478,-12.989027227567894,-12.659773495764211,-12.989027227567894,0.0,10,-12.659773495764211,434000,10
0.0,-12.962548784094915,-12.962548784094915,-13.162307001638982,3.7896655,0.14481843639135433,0.0,0.010075532,8.065395,0.14481843639135433,0.00039267782,64,0.0,64,95.63449,-13.162307001638982,-12.962548784094912,-12.728759596160357,-12.962548784094912,0.0,10,-12.728759596160357,440000,10
0.0,-13.07017831090457,-13.07017831090457,-13.420460631662861,3.9592671,0.18752625077239785,0.0,0.009836015,7.6252656,0.18752625077239785,4.7650377e-05,65,0.0,65,95.67131,-13.420460631662861,-13.07017831090457,-12.78381456476023,-13.07017831090457,0.0,10,-12.78381456476023,446000,10
0.0,-12.898388255542864,-12.898388255542864,-13.149994437828768,3.9710073,0.10602245923701793,0.0,0.009644877,7.649886,0.10602245923701793,0.00024319314,66,0.0,66,95.3408,-13.149994437828768,-12.898388255542866,-12.70717505949647,-12.898388255542866,0.0,10,-12.70717505949647,452000,10
0.0,-12.862508143262355,-12.862508143262355,-13.195561381355747,3.7397177,0.1859001847499617,0.0,0.009625617,7.668619,0.1859001847499617,2.3019977e-05,67,0.0,67,94.96351,-13.195561381355747,-12.862508143262351,-12.631326435637973,-12.862508143262351,0.0,10,-12.631326435637973,458000,10
0.0,-13.0456366321105,-13.0456366321105,-13.257774421997487,3.7034233,0.12221732061391392,0.0,0.009650015,7.6350927,0.12221732061391392,4.2451826e-05,68,0.0,68,94.582466,-13.257774421997487,-13.045636632110497,-12.783444753150539,-13.045636632110497,0.0,10,-12.783444753150539,464000,10
0.0,-12.665557753409587,-12.665557753409587,-12.882896645397306,3.6725185,0.166576221695614,0.0,0.009561592,7.745836,0.166576221695614,0.00016243734,69,0.0,69,94.40774,-12.882896645397306,-12.66555775340959,-12.259261745131754,-12.66555775340959,0.0,10,-12.259261745131754,470000,10
0.0,-12.894773118243965,-12.894773118243965,-13.173323360555724,3.709004,0.13602704439017918,0.0,0.00947003,7.6264443,0.13602704439017918,0.00016487167,70,0.0,70,93.93167,-13.173323360555724,-12.894773118243966,-12.724888403929596,-12.894773118243966,0.0,10,-12.724888403929596,476000,10
0.0,-12.873903082453793,-12.873903082453793,-13.136951859021716,3.5072505,0.14463239302713954,0.0,0.009502412,7.6247334,0.14463239302713954,-8.839399e-05,71,0.0,71,93.754814,-13.136951859021716,-12.873903082453797,-12.671082194694531,-12.873903082453797,0.0,10,-12.671082194694531,482000,10
0.0,-13.193853667686184,-13.193853667686184,-13.4627002149103,3.79256,0.1754941857985972,0.0,0.009468584,7.8482842,0.1754941857985972,-0.000107304586,72,0.0,72,93.2387,-13.4627002149103,-13.19385366768618,-12.94195536174808,-13.19385366768618,0.0,10,-12.94195536174808,488000,10
0.0,-13.150973417515996,-13.150973417515996,-13.380986352272338,3.3429794,0.1415361812420644,0.0,0.009412532,7.6244655,0.1415361812420644,0.0003031746,73,0.0,73,92.80535,-13.380986352272338,-13.150973417515996,-12.914316732415495,-13.150973417515996,0.0,10,-12.914316732415495,494000,10
0.0,-13.350507454905074,-13.350507454905074,-13.492787583056776,3.4672654,0.09587111259914234,0.0,0.009517305,7.623487,0.09587111259914234,-5.751413e-05,74,0.0,74,92.63386,-13.492787583056776,-13.350507454905074,-13.224495027751223,-13.350507454905074,0.0,10,-13.224495027751223,500000,10
0.0,-13.125586181634224,-13.125586181634224,-13.443519422323403,3.5040467,0.14679090298013364,0.0,0.009678323,7.623808,0.14679090298013364,-0.00081642985,75,0.0,75,92.40957,-13.443519422323403,-13.125586181634228,-12.943967090995454,-13.125586181634228,0.0,10,-12.943967090995454,506000,10
0.0,-13.44775768238886,-13.44775768238886,-13.591020315777795,3.5179374,0.11151759220661815,0.0,0.010000947,7.624178,0.11151759220661815,-0.00019009068,76,0.0,76,92.0865,-13.591020315777795,-13.44775768238886,-13.210661304963356,-13.44775768238886,0.0,10,-13.210661304963356,512000,10
0.0,-12.920526788437968,-12.920526788437968,-13.075512591916434,3.324714,0.08721774740269017,0.0,0.010141132,7.6243143,0.08721774740269017,-3.420202e-05,77,0.0,77,91.74647,-13.075512591916434,-12.920526788437968,-12.797417163310431,-12.920526788437968,0.0,10,-12.797417163310431,518000,10
0.0,-13.336333577474312,-13.336333577474312,-13.410581946499757,3.4856102,0.065098279925294,0.0,0.01011756,7.6243415,0.065098279925294,0.00039958901,78,0.0,78,91.4179,-13.410581946499757,-13.33633357747431,-13.225480569277982,-13.33633357747431,0.0,10,-13.225480569277982,524000,10
0.0,-13.090050477548283,-13.090050477548283,-13.575642978703295,3.327366,0.2343957804060613,0.0,0.009831696,7.6245937,0.2343957804060613,-1.371935e-06,79,0.0,79,91.09437,-13.575642978703295,-13.09005047754828,-12.69926195085552,-13.09005047754828,0.0,10,-12.69926195085552,530000,10
0.0,-13.075196155906985,-13.075196155906985,-13.248344571847072,3.3804069,0.096091327445445,0.0,0.009986635,7.7394657,0.096091327445445,4.420206e-06,80,0.0,80,90.79935,-13.248344571847072,-13.07519615590699,-12.884711522296348,-13.07519615590699,0.0,10,-12.884711522296348,536000,10
0.0,-12.869720299824568,-12.869720299824568,-13.19741056933336,3.4945893,0.16694621559660924,0.0,0.009902439,7.622787,0.16694621559660924,-0.0004188591,81,0.0,81,90.544205,-13.19741056933336,-12.86972029982457,-12.669041047241134,-12.86972029982457,0.0,10,-12.669041047241134,542000,10
0.0,-13.183026515054442,-13.183026515054442,-14.075221722414923,3.107774,0.46091563769034116,0.0,0.00993486,7.623634,0.46091563769034116,0.0006379469,82,0.0,82,90.26609,-14.075221722414923,-13.183026515054442,-12.677593582916787,-13.183026515054442,0.0,10,-12.677593582916787,548000,10
0.0,-12.978942965234765,-12.978942965234765,-13.207587269848952,3.3004837,0.16045379713610744,0.0,0.009717878,7.623909,0.16045379713610744,0.00016029827,83,0.0,83,90.04488,-13.207587269848952,-12.978942965234765,-12.62210242229088,-12.978942965234765,0.0,10,-12.62210242229088,554000,10
0.0,-12.909008016848208,-12.909008016848208,-13.629880665406333,3.267608,0.28712590968658286,0.0,0.009647125,7.6240764,0.28712590968658286,0.00030014804,84,0.0,84,89.694466,-13.629880665406333,-12.909008016848208,-12.592086390509808,-12.909008016848208,0.0,10,-12.592086390509808,560000,10
0.0,-14.543332816047933,-14.543332816047933,-15.414311240981942,3.2209153,0.9425662051898672,0.0,0.009496687,7.6244535,0.9425662051898672,0.00028028933,85,0.0,85,89.49278,-15.414311240981942,-14.543332816047933,-12.511296689283434,-14.543332816047933,0.0,10,-12.511296689283434,566000,10
0.0,-12.973036896197062,-12.973036896197062,-13.226767712475468,3.1253793,0.11867898744303425,0.0,0.009240836,7.7813096,0.11867898744303425,7.12229e-05,86,0.0,86,89.23952,-13.226767712475468,-12.973036896197062,-12.833610336623337,-12.973036896197062,0.0,10,-12.833610336623337,572000,10
0.0,-13.360287876113171,-13.360287876113171,-13.503778348886854,3.225066,0.10867972233142116,0.0,0.009276077,7.63031,0.10867972233142116,0.0007064929,87,0.0,87,88.96376,-13.503778348886854,-13.360287876113171,-13.114030030760764,-13.360287876113171,0.0,10,-13.114030030760764,578000,10
