MetaTest/plate-slide-back-side-v1/MaxReturn,MetaTest/plate-slide-back-side-v1/Iteration,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/plate-slide-back-side-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/NumEpisodes,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageReturn,MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/plate-slide-back-side-v1/TerminationRate,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/Average/MinReturn,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/plate-slide-back-side-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn
-32.455204233795584,0,0.93072146,8.38392,10,-32.455204233795584,0.5096984,10,0.33379352,-42.7906678197332,-52.40695242037943,-42.79066781973321,56000,0.0,-42.7906678197332,-52.40695242037943,6.10986360068304,0.0,0.0,6.2655916,0,6.10986360068304,0.0,-42.79066781973321
-32.42974216293468,1,0.8087673,8.91445,10,-32.42974216293468,3.2814832,10,5.7433,-46.10866128809785,-63.27524836933328,-46.10866128809785,62000,0.0,-46.10866128809785,-63.27524836933328,10.80726504815161,0.0,0.0,5.4394107,1,10.80726504815161,0.0,-46.10866128809785
-28.33483036304926,2,0.7065511,8.329791,10,-28.33483036304926,0.51486903,10,10.881304,-40.99672091619421,-58.16168134195631,-40.99672091619421,68000,0.0,-40.99672091619421,-58.16168134195631,9.759586283598773,0.0,0.0,4.751789,2,9.759586283598773,0.0,-40.99672091619421
-39.71217696354254,3,0.62034947,168.73608,10,-39.71217696354254,436.19684,10,18.687271,-57.661765407381765,-75.14992672135739,-57.661765407381765,74000,0.0,-57.661765407381765,-75.14992672135739,10.875733552253058,0.0,0.0,3.9807458,3,10.875733552253058,0.0,-57.661765407381765
-66.54639183824479,4,0.5502998,9.338776,10,-66.54639183824479,478.57626,10,21.98425,-69.64578458927033,-72.23720002802726,-69.64578458927035,80000,0.0,-69.64578458927033,-72.23720002802726,1.9819897171743246,0.0,0.0,3.0544922,4,1.9819897171743246,0.0,-69.64578458927035
-39.52277552663158,5,0.48854998,10.6527815,10,-39.52277552663158,522.25433,10,22.05244,-43.82831214545963,-59.086700736889306,-43.828312145459634,86000,0.0,-43.82831214545963,-59.086700736889306,5.510564123398034,0.0,0.0,2.7651396,5,5.510564123398034,0.0,-43.828312145459634
-59.81477487808118,6,0.43685803,13.388098,10,-59.81477487808118,639.7745,10,-92.29462,-69.5330544533377,-73.37878366808154,-69.5330544533377,92000,0.0,-69.5330544533377,-73.37878366808154,3.813349439276035,0.0,0.0,0.7814311,6,3.813349439276035,0.0,-69.5330544533377
-78.54277882676767,7,0.4768797,7.8456616,10,-78.54277882676767,567.07465,10,-467.39795,-78.87674879043028,-79.35292413397093,-78.87674879043026,98000,0.0,-78.87674879043028,-79.35292413397093,0.26658580612681715,0.0,0.0,-2.812869,7,0.26658580612681715,0.0,-78.87674879043026
-70.71612204245666,8,0.55083644,7.6306777,10,-70.71612204245666,662.12415,10,-644.59436,-71.02874281409122,-71.36888749564565,-71.0287428140912,104000,0.0,-71.02874281409122,-71.36888749564565,0.21829393430929683,0.0,0.0,-2.5820825,8,0.21829393430929683,0.0,-71.0287428140912
-28.168371719872567,9,0.6354995,7.764398,10,-28.168371719872567,763.7327,10,-848.1106,-32.75491168116571,-36.58128539549853,-32.75491168116572,110000,0.0,-32.75491168116571,-36.58128539549853,3.1629701372597667,0.0,0.0,-2.510872,9,3.1629701372597667,0.0,-32.75491168116572
-26.050704745637926,10,0.73255455,7.9394636,10,-26.050704745637926,801.81995,10,-998.6033,-33.620088151608414,-36.304578874060546,-33.620088151608414,116000,0.0,-33.620088151608414,-36.304578874060546,2.8701454829159245,0.0,0.0,-2.3193653,10,2.8701454829159245,0.0,-33.620088151608414
-61.08437953618004,11,0.82649344,9.313957,10,-61.08437953618004,1024.7738,10,-1055.993,-62.387057887223705,-63.02863989547035,-62.387057887223705,122000,0.0,-62.387057887223705,-63.02863989547035,0.5437893516845924,0.0,0.0,-1.4302316,11,0.5437893516845924,0.0,-62.387057887223705
-52.87893917966184,12,0.87516856,8.055575,10,-52.87893917966184,898.74567,10,-1054.9574,-55.221143001261076,-57.68851413124626,-55.22114300126109,128000,0.0,-55.221143001261076,-57.68851413124626,1.3233761349199837,0.0,0.0,-0.19278142,12,1.3233761349199837,0.0,-55.22114300126109
-49.88362444357008,13,0.85023487,9.862851,10,-49.88362444357008,837.48755,10,-1021.60535,-53.722871501334986,-58.963890952484775,-53.722871501334986,134000,0.0,-53.722871501334986,-58.963890952484775,2.8912677619776583,0.0,0.0,0.5073834,13,2.8912677619776583,0.0,-53.722871501334986
-54.38942144750694,14,0.7702724,18.772953,10,-54.38942144750694,754.7713,10,-888.42395,-58.17944895469217,-62.32760854121206,-58.17944895469218,140000,0.0,-58.17944895469217,-62.32760854121206,2.2940965255256005,0.0,0.0,0.52647537,14,2.2940965255256005,0.0,-58.17944895469218
-48.71674532700929,15,0.6904685,30.7686,10,-48.71674532700929,641.7117,10,-708.74615,-50.88773667276365,-53.10718411513687,-50.88773667276364,146000,0.0,-50.88773667276365,-53.10718411513687,1.3373792356671916,0.0,0.0,0.60932267,15,1.3373792356671916,0.0,-50.88773667276364
-23.753186710600904,16,0.6004329,29.07441,10,-23.753186710600904,638.83435,10,-635.7916,-41.40541810174707,-47.48198546821987,-41.40541810174706,152000,0.0,-41.40541810174707,-47.48198546821987,8.009357261445047,0.0,0.0,0.62280065,16,8.009357261445047,0.0,-41.40541810174706
-23.23128490729244,17,0.5257964,87.33479,10,-23.23128490729244,1222.165,10,-492.9392,-34.298254014506135,-41.195891482652804,-34.298254014506135,158000,0.0,-34.298254014506135,-41.195891482652804,4.972009842226418,0.0,0.0,0.68662035,17,4.972009842226418,0.0,-34.298254014506135
-40.26681430877523,18,0.46065605,36.93624,10,-40.26681430877523,1810.6772,10,-445.93723,-51.6590968394064,-58.5045186794571,-51.65909683940639,164000,0.0,-51.6590968394064,-58.5045186794571,4.531301217160863,0.0,0.0,0.40725613,18,4.531301217160863,0.0,-51.65909683940639
-57.47156599175642,19,0.42030546,36.529907,10,-57.47156599175642,1563.8292,10,-294.51596,-58.28793718222926,-59.858533673344986,-58.28793718222927,170000,0.0,-58.28793718222926,-59.858533673344986,0.7133510844074703,0.0,0.0,0.37450567,19,0.7133510844074703,0.0,-58.28793718222927
-46.91038659275748,20,0.37444836,35.740044,10,-46.91038659275748,1836.681,10,-186.79745,-61.13281484741405,-75.27246448056268,-61.13281484741408,176000,0.0,-61.13281484741405,-75.27246448056268,10.033534368525103,0.0,0.0,0.6561329,20,10.033534368525103,0.0,-61.13281484741408
-44.72303036867676,21,0.31345266,41.607048,10,-44.72303036867676,1479.778,10,-118.99311,-52.987891037190956,-63.14725452090748,-52.987891037190956,182000,0.0,-52.987891037190956,-63.14725452090748,5.443635698316579,0.0,0.0,0.80834544,21,5.443635698316579,0.0,-52.987891037190956
4555.860284876511,22,0.2657787,31.706348,10,4555.860284876511,1455.4961,10,-24.727484,425.66121402527386,-64.69537536883179,425.6612140252738,188000,0.0,425.66121402527386,-64.69537536883179,1376.7828654940372,0.0,0.0,1.0050393,22,1376.7828654940372,0.0,425.6612140252738
-24.114492649138533,23,0.23034325,44.32944,10,-24.114492649138533,1398.2412,10,7.1754866,-48.28220146436087,-59.4976710252025,-48.28220146436087,194000,0.0,-48.28220146436087,-59.4976710252025,9.534536204068434,0.0,0.0,0.7566489,23,9.534536204068434,0.0,-48.28220146436087
-33.297755374816596,24,0.20499887,39.74161,10,-33.297755374816596,1442.4359,10,-18.116405,-45.86961181365288,-51.796186905879615,-45.869611813652874,200000,0.0,-45.86961181365288,-51.796186905879615,5.123664238208775,0.0,0.0,0.6855371,24,5.123664238208775,0.0,-45.869611813652874
-34.57095875463351,25,0.18051104,44.626453,10,-34.57095875463351,1579.4337,10,4.726786,-45.61457369561787,-60.95917107016506,-45.61457369561787,206000,0.0,-45.61457369561787,-60.95917107016506,10.102343376140341,0.0,0.0,0.56398356,25,10.102343376140341,0.0,-45.61457369561787
-18.73155080723103,26,0.16123807,35.28663,10,-18.73155080723103,1565.6664,10,92.52648,-24.20646559172193,-47.23740372468888,-24.206465591721933,212000,0.0,-24.20646559172193,-47.23740372468888,7.880983229578531,0.0,0.0,0.4778977,26,7.880983229578531,0.0,-24.206465591721933
