MetaTest/sweep-into-v1/NumEpisodes,Average/SuccessRate,MetaTest/Average/MinReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/KLAfter,Average/MinReturn,MetaTest/sweep-into-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,Average/StdReturn,sweep-into-v1/MinReturn,sweep-into-v1/NumEpisodes,Average/TerminationRate,MetaTest/Average/TerminationRate,TotalEnvSteps,sweep-into-v1/SuccessRate,MetaTest/sweep-into-v1/SuccessRate,MetaTest/sweep-into-v1/AverageReturn,MetaTest/Average/Iteration,sweep-into-v1/Iteration,MetaTest/Average/SuccessRate,Iteration,GaussianMLPPolicy/KLBefore,sweep-into-v1/AverageDiscountedReturn,sweep-into-v1/MaxReturn,MetaTest/sweep-into-v1/MinReturn,MetaTest/Average/NumEpisodes,Average/AverageReturn,Average/MaxReturn,GaussianMLPPolicy/LossBefore,MetaTest/Average/AverageDiscountedReturn,Average/NumEpisodes,sweep-into-v1/StdReturn,MetaTest/sweep-into-v1/Iteration,Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/sweep-into-v1/MaxReturn,sweep-into-v1/AverageReturn,MetaTest/sweep-into-v1/TerminationRate,MetaTest/sweep-into-v1/AverageDiscountedReturn,sweep-into-v1/TerminationRate,Average/Iteration
1,0.0,-30.63332903706966,0.0008225834899349138,5.6797003746032715,-0.0006043168250471354,0.006489382591098547,-70.62953824581244,0.0,-30.63332903706966,0.0,32.76009285703575,-70.62953824581244,200,0.0,0.0,80000,0.0,0.0,-30.63332903706966,0,0,0.0,0,0.0,-15.325035437845916,216.7684520337721,-30.63332903706966,1,-38.100506343197175,216.7684520337721,0.00021826666488777846,-30.63332903706967,200,32.76009285703575,0,-15.325035437845916,-30.63332903706966,-30.63332903706966,-38.100506343197175,0.0,-30.63332903706967,0.0,0
1,0.0,-28.3822691797728,0.0005883941194042563,5.6570940017700195,-0.0015064519830048084,0.006409618072211742,-56.88470407625626,0.0,-28.3822691797728,0.0,562.4888686689835,-56.88470407625626,200,0.0,0.0,160000,0.0,0.0,-28.3822691797728,1,1,0.0,1,0.0,13.142381333786084,7248.539461533618,-28.3822691797728,1,56.8497541682772,7248.539461533618,-0.0009180578636005521,-28.3822691797728,200,562.4888686689835,1,13.142381333786084,-28.3822691797728,-28.3822691797728,56.8497541682772,0.0,-28.3822691797728,0.0,1
1,0.005,243.02972347706387,0.0003294919151812792,5.718796253204346,0.0005567896878346801,0.009704959578812122,-51.38381557059173,0.0,243.02972347706387,0.0,578.7823196013236,-51.38381557059173,200,0.0,0.0,240000,0.005,0.0,243.02972347706387,2,2,0.0,2,0.0,27.949432220363278,6813.179962318401,243.02972347706387,1,96.18675379151358,6813.179962318401,0.0008862816030159593,243.02972347706407,200,578.7823196013236,2,27.949432220363278,243.02972347706387,243.02972347706387,96.18675379151358,0.0,243.02972347706407,0.0,2
1,0.025,35.203085038497036,0.00020117904932703823,5.701560020446777,-0.00041801496990956366,0.006508897989988327,-43.191907451691115,0.0,35.203085038497036,0.0,1354.8513053154331,-43.191907451691115,200,0.0,0.0,320000,0.025,0.0,35.203085038497036,3,3,0.0,3,0.0,91.60704585057327,12819.057593785854,35.203085038497036,1,277.2276548746515,12819.057593785854,-0.00021683592058252543,35.20308503849703,200,1354.8513053154331,3,91.60704585057327,35.203085038497036,35.203085038497036,277.2276548746515,0.0,35.20308503849703,0.0,3
1,0.035,1148.0531918630325,5.8388031902723014e-05,5.684196949005127,-0.00012253920431248844,0.006898513529449701,-37.03357773862034,0.0,1148.0531918630325,0.0,2607.211588931179,-37.03357773862034,200,0.0,0.0,400000,0.035,0.0,1148.0531918630325,4,4,0.0,4,0.0,270.7974140149493,22073.278339679,1148.0531918630325,1,859.892010740771,22073.278339679,-6.415117240976542e-05,1148.0531918630331,200,2607.211588931179,4,270.7974140149493,1148.0531918630325,1148.0531918630325,859.892010740771,0.0,1148.0531918630331,0.0,4
1,0.04,9419.280735678512,2.023573688347824e-05,5.647506237030029,-6.617709732381627e-05,0.007830399088561535,-27.23132446068064,0.0,9419.280735678512,0.0,1642.220367949684,-27.23132446068064,200,0.0,0.0,480000,0.04,1.0,9419.280735678512,5,5,1.0,5,0.0,236.21177404922267,8927.538322355842,9419.280735678512,1,798.680471680627,8927.538322355842,-4.594136044033803e-05,9419.280735678512,200,1642.220367949684,5,236.21177404922267,9419.280735678512,9419.280735678512,798.680471680627,0.0,9419.280735678512,0.0,5
1,0.105,-11.824436150384978,9.953305379895028e-08,5.6489057540893555,2.143146048183553e-06,7.054174056975171e-05,-19.800669279154846,0.0,-11.824436150384978,0.0,7004.392269223613,-19.800669279154846,200,0.0,0.0,560000,0.105,0.0,-11.824436150384978,6,6,0.0,6,0.0,939.3874462313242,54187.53090540799,-11.824436150384978,1,3328.716393818388,54187.53090540799,2.242679101982503e-06,-11.824436150384976,200,7004.392269223613,6,939.3874462313242,-11.824436150384978,-11.824436150384978,3328.716393818388,0.0,-11.824436150384976,0.0,6
1,0.065,6251.618800324802,5.8851868743659e-05,5.6519904136657715,-4.2701372876763344e-05,0.006689602043479681,-23.40355885576395,0.0,6251.618800324802,0.0,7212.680117371071,-23.40355885576395,200,0.0,0.0,640000,0.065,0.0,6251.618800324802,7,7,0.0,7,0.0,727.7805338196446,59251.61855979822,6251.618800324802,1,2453.29848264419,59251.61855979822,1.6150495866895653e-05,6251.618800324796,200,7212.680117371071,7,727.7805338196446,6251.618800324802,6251.618800324802,2453.29848264419,0.0,6251.618800324796,0.0,7
1,0.115,-17.13544476559237,6.672661783113654e-07,5.652200698852539,-4.993191851099255e-07,0.0003956433793064207,-27.23286286820024,0.0,-17.13544476559237,0.0,6966.518909027111,-27.23286286820024,200,0.0,0.0,720000,0.115,0.0,-17.13544476559237,8,8,0.0,8,0.0,861.3746262120726,70898.42271470596,-17.13544476559237,1,3166.2012858279377,70898.42271470596,1.679469932014399e-07,-17.13544476559238,200,6966.518909027111,8,861.3746262120726,-17.13544476559237,-17.13544476559237,3166.2012858279377,0.0,-17.13544476559238,0.0,8
1,0.1,485.5650698179747,2.492874955350999e-07,5.654897212982178,2.3272800717677455e-06,0.00017536626546643674,-29.176931001599907,0.0,485.5650698179747,0.0,7325.777828978748,-29.176931001599907,200,0.0,0.0,800000,0.1,0.0,485.5650698179747,9,9,0.0,9,0.0,1000.8073967410701,46184.50564986193,485.5650698179747,1,3579.8027398168715,46184.50564986193,2.5765675673028454e-06,485.5650698179748,200,7325.777828978748,9,1000.8073967410701,485.5650698179747,485.5650698179747,3579.8027398168715,0.0,485.5650698179748,0.0,9
