GaussianMLPPolicy/LossBefore,MetaTest/push-v1/MinReturn,MetaTest/push-v1/NumEpisodes,Average/MaxReturn,MetaTest/push-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,push-v1/StdReturn,MetaTest/push-v1/TerminationRate,MetaTest/push-v1/SuccessRate,MetaTest/Average/StdReturn,Average/SuccessRate,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/AverageDiscountedReturn,push-v1/AverageReturn,push-v1/AverageDiscountedReturn,Average/TerminationRate,GaussianMLPPolicy/Entropy,Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/dLoss,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,Average/AverageReturn,push-v1/NumEpisodes,TotalEnvSteps,MetaTest/push-v1/Iteration,MetaTest/Average/SuccessRate,GaussianMLPPolicy/LossAfter,Average/AverageDiscountedReturn,Average/Iteration,Iteration,push-v1/MaxReturn,MetaTest/push-v1/AverageReturn,GaussianMLPPolicy/KLAfter,MetaTest/Average/AverageReturn,push-v1/SuccessRate,Average/NumEpisodes,push-v1/MinReturn,push-v1/TerminationRate,push-v1/Iteration,MetaTest/Average/Iteration,Average/StdReturn,MetaTest/push-v1/MaxReturn
0.0012289148289710283,-50.46855356661536,10,-24.29135483236333,8.556524348331118,-37.33222788302815,11.599958342515606,0.0,0.0,8.556524348331118,0.0,0.0,-37.33222788302815,-52.97532087117032,-19.934391576858896,0.0,5.693672180175781,-83.01757871912051,-28.442016971165657,10,0.0009253348398488015,-50.46855356661536,0.0,-52.97532087117032,200,80000,0,0.0,0.00030357998912222683,-19.934391576858896,0,0,-24.29135483236333,-37.33222788302818,0.006632904056459665,-37.33222788302818,0.0,200,-83.01757871912051,0.0,0,0,11.599958342515606,-28.442016971165657
-0.0011921966215595603,,,4942.785711240038,,,506.5719374733243,,,,0.0,0.0,,50.41485201788091,9.83692184413942,0.0,5.6725382804870605,-72.59432140839269,,,0.0006948637310415506,,,50.41485201788091,200,160000,,,-0.001887060352601111,9.83692184413942,1,1,4942.785711240038,,0.006623654626309872,,0.0,200,-72.59432140839269,0.0,1,,506.5719374733243,
0.0009034440736286342,,,9926.574659912136,,,1057.6199788736237,,,,0.005,0.0,,209.27336196161102,55.00776547327336,0.0,5.698816299438477,-68.94350731747775,,,0.0005029253079555929,,,209.27336196161102,200,240000,,,0.00040051876567304134,55.00776547327336,2,2,9926.574659912136,,0.007255984004586935,,0.005,200,-68.94350731747775,0.0,2,,1057.6199788736237,
-4.773319233208895e-06,,,10773.512683956302,,,1451.3755314286404,,,,0.0,0.0,,368.43575764285544,86.18077334001657,0.0,5.699021339416504,-51.12715496254192,,,0.0001882391661638394,,,368.43575764285544,200,320000,,,-0.0001930124853970483,86.18077334001657,3,3,10773.512683956302,,0.007918337360024452,,0.0,200,-51.12715496254192,0.0,3,,1451.3755314286404,
2.8094898880226538e-05,,,55224.63017015379,,,5509.978017903066,,,,0.015,0.0,,1369.9183340617026,359.3192789100444,0.0,5.712181091308594,-49.373331755312186,,,4.192256346868817e-05,,,1369.9183340617026,200,400000,,,-1.382766458846163e-05,359.3192789100444,4,4,55224.63017015379,,0.009072663262486458,,0.015,200,-49.373331755312186,0.0,4,,5509.978017903066,
-3.221277438569814e-05,,,38692.1375614528,,,3624.585384063244,,,,0.01,0.0,,1147.043619060374,336.20835136747803,0.0,5.702347278594971,-32.422389276624386,,,5.331102875061333e-05,,,1147.043619060374,200,480000,,,-8.552380313631147e-05,336.20835136747803,5,5,38692.1375614528,,0.009208052419126034,,0.01,200,-32.422389276624386,0.0,5,,3624.585384063244,
3.5063608265772928e-06,,,66186.73315522633,,,8306.855695630418,,,,0.03,0.0,,3358.5450543446864,923.6719507505986,0.0,5.706244468688965,-31.058038243729143,,,2.646493157953955e-07,,,3358.5450543446864,200,560000,,,3.2417115107818972e-06,923.6719507505986,6,6,66186.73315522633,,0.00018510801601223648,,0.03,200,-31.058038243729143,0.0,6,,8306.855695630418,
-1.61681673489511e-05,,,77838.8434111325,,,8881.764191018041,,,,0.05,0.0,,2889.4793733476254,762.6154684309728,0.0,5.6886067390441895,-30.604876905897207,,,9.636094546294771e-06,,,2889.4793733476254,200,640000,,,-2.5804261895245872e-05,762.6154684309728,7,7,77838.8434111325,,0.0050745764747262,,0.05,200,-30.604876905897207,0.0,7,,8881.764191018041,
4.1688744545353984e-07,,,88465.4706131995,,,10583.01210876354,,,,0.035,0.0,,4241.994642515451,1123.5719723370503,0.0,5.689116477966309,-25.716647033015573,,,1.2484437661441916e-07,,,4241.994642515451,200,720000,,,2.920430688391207e-07,1123.5719723370503,8,8,88465.4706131995,,8.815203182166442e-05,,0.035,200,-25.716647033015573,0.0,8,,10583.01210876354,
-6.11843870501616e-06,,,67139.70253937239,,,9614.364996456585,,,,0.045,0.0,,4686.341279303244,1227.1201601627017,0.0,5.681856632232666,-24.37605857695824,,,1.627709025342483e-07,,,4686.341279303244,200,800000,,,-6.281209607550409e-06,1227.1201601627017,9,9,67139.70253937239,,0.00011427562276367098,,0.045,200,-24.37605857695824,0.0,9,,9614.364996456585,
7.932452490422293e-07,-16.3890341885565,10,88124.84017803162,9966.113492933504,6124.481104304139,7229.056048171056,0.0,0.0,9966.113492933504,0.045,0.0,6124.481104304139,2946.1999526622294,909.6741653288586,0.0,5.68272590637207,-31.457694889055052,31684.74321702909,10,7.706836413490237e-08,-16.3890341885565,0.0,2946.1999526622294,200,880000,1,0.0,7.161768849073269e-07,909.6741653288586,10,10,88124.84017803162,6124.481104304135,5.4364158131647855e-05,6124.481104304135,0.045,200,-31.457694889055052,0.0,10,1,7229.056048171056,31684.74321702909
-3.9587903302162886e-06,,,149967.78580890884,,,13113.33939213723,,,,0.045,0.0,,5253.795778676875,1421.4739015819714,0.0,5.678312301635742,-23.34840949353135,,,7.930884748930112e-08,,,5253.795778676875,200,960000,,,-4.03809917770559e-06,1421.4739015819714,11,11,149967.78580890884,,5.5771582992747426e-05,,0.045,200,-23.34840949353135,0.0,11,,13113.33939213723,
