MetaTest/plate-slide-side-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-side-v1/MinReturn,MetaTest/plate-slide-side-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTest/plate-slide-side-v1/StdReturn,MetaTest/plate-slide-side-v1/MaxReturn,MetaTest/plate-slide-side-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/plate-slide-side-v1/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/plate-slide-side-v1/NumTrajs,MetaTest/plate-slide-side-v1/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn
-19.27488284707868,7.714485723050798,46.84526,0.0,6.7133727,-19.274882847078675,-34.7768662143254,0,-34.7768662143254,0,nan,7.714485723050798,-8.400598107331819,0.0,0.0,-19.27488284707868,10,224000,-19.274882847078675,8.300006,10,0.0,-7.754034,-8.400598107331819
-41.18897126682144,10.396713242370517,376.79794,0.0,6.3073926,-41.188971266821454,-54.39745293218387,1,-54.39745293218387,1,nan,10.396713242370517,-18.630419756988715,0.0,0.0,-41.18897126682144,10,248000,-41.188971266821454,8.002677,10,0.0,-34.56458,-18.630419756988715
30.26241437950131,221.942324186869,2876.2266,0.0,5.092614,30.26241437950133,-59.63428413508414,2,-59.63428413508414,2,nan,221.942324186869,695.6220481204319,0.0,0.0,30.26241437950131,10,272000,30.26241437950133,8.452463,10,0.0,-213.51485,695.6220481204319
-58.533254547175844,0.033889196720165604,11981.516,0.0,3.0699942,-58.53325454717585,-58.61233444700668,3,-58.61233444700668,3,nan,0.033889196720165604,-58.483766190630796,0.0,0.0,-58.533254547175844,10,296000,-58.53325454717585,11.2976,10,0.0,-727.5266,-58.483766190630796
-43.82835370598018,8.509172952256005,23390.42,0.0,-0.05101404,-43.82835370598017,-52.69269386242676,4,-52.69269386242676,4,nan,8.509172952256005,-24.267717515194867,0.0,0.0,-43.82835370598018,10,320000,-43.82835370598017,11.762432,10,0.0,-1753.9412,-24.267717515194867
-43.58063622550632,0.47286144243066636,27749.436,0.0,-2.4072237,-43.58063622550631,-44.59215423391828,5,-44.59215423391828,5,nan,0.47286144243066636,-42.989025569609524,0.0,0.0,-43.58063622550632,10,344000,-43.58063622550631,9.788107,10,0.0,-2857.712,-42.989025569609524
-40.58172236034879,4.6643714374239496,30177.94,0.0,-3.3114848,-40.58172236034881,-48.07775208845096,6,-48.07775208845096,6,nan,4.6643714374239496,-33.79748431804705,0.0,0.0,-40.58172236034879,10,368000,-40.58172236034881,9.63165,10,0.0,-3536.9255,-33.79748431804705
3381.356476712106,4960.468467555709,35003.37,0.0,-4.16772,3381.3564767121084,-95.44340856726187,7,-95.44340856726187,7,nan,4960.468467555709,11958.912515890936,0.0,0.0,3381.356476712106,10,392000,3381.3564767121084,9.126472,10,0.0,-3877.8198,11958.912515890936
90.17615992807865,278.3616658378129,138229.61,0.0,-8.185731,90.1761599280786,-100.75894898871444,8,-100.75894898871444,8,nan,278.3616658378129,535.8042801358398,0.0,0.0,90.17615992807865,10,416000,90.1761599280786,9.35652,10,0.0,-5185.1494,535.8042801358398
-55.79906195389024,8.919694533755777,3256147.0,0.0,-21.181936,-55.79906195389024,-71.08978144736851,9,-71.08978144736851,9,nan,8.919694533755777,-36.82599068274694,0.0,0.0,-55.79906195389024,10,440000,-55.79906195389024,642.7566,10,0.0,-13360.544,-36.82599068274694
2887.852044724088,3534.7777537021952,943463.8,0.0,-16.954414,2887.852044724086,-95.50785859812436,10,-95.50785859812436,10,nan,3534.7777537021952,10619.616950680665,0.0,0.0,2887.852044724088,10,464000,2887.852044724086,214.99217,10,0.0,-21920.092,10619.616950680665
7326.152984486142,9189.792171534558,1571539.1,0.0,-18.026577,7326.152984486143,-96.33559428476158,11,-96.33559428476158,11,nan,9189.792171534558,24827.19193125376,0.0,0.0,7326.152984486142,10,488000,7326.152984486143,269.18042,10,0.0,-24303.402,24827.19193125376
29665.680142698497,20167.41473541684,2590941.5,0.0,-20.600195,29665.68014269849,5162.82925970361,12,5162.82925970361,12,nan,20167.41473541684,64373.62010522052,0.0,0.0,29665.680142698497,10,512000,29665.68014269849,144.12625,10,0.0,-34620.61,64373.62010522052
14488.728175761536,18922.050189453064,22693128.0,0.0,-37.13762,14488.728175761536,4113.468885704872,13,4113.468885704872,13,nan,18922.050189453064,67441.41150169568,0.1,0.1,14488.728175761536,10,536000,14488.728175761536,53.071766,10,0.0,-59045.723,67441.41150169568
3472.973323203764,4625.917466994417,7540576.5,0.0,-34.74965,3472.973323203763,-95.31386430799837,14,-95.31386430799837,14,nan,4625.917466994417,15274.295462588663,0.0,0.0,3472.973323203764,10,560000,3472.973323203763,60.673813,10,0.0,-68480.91,15274.295462588663
3606.336367649714,5013.264026861231,4487657.5,0.0,-28.212175,3606.336367649715,-91.16472906353565,15,-91.16472906353565,15,nan,5013.264026861231,14939.231168969738,0.3,0.3,3606.336367649714,10,584000,3606.336367649715,223.85706,10,0.0,-46008.746,14939.231168969738
21319.921064877246,31379.818166606725,3900249.0,0.0,-25.26448,21319.92106487725,-53.54182021311827,16,-53.54182021311827,16,nan,31379.818166606725,73274.34965009081,0.2,0.2,21319.921064877246,10,608000,21319.92106487725,130.83975,10,0.0,-41692.336,73274.34965009081
