MetaTest/Average/MaxReturn,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/handle-pull-side-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/handle-pull-side-v1/AverageReturn,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/handle-pull-side-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,MetaTest/Average/Iteration
-39.31795091259375,-53.29149495418751,-53.29149495418751,-47.009588729066515,10,224000,0,nan,-47.00958872906652,-10.059791,0.0,4.186543161474033,4.186543161474033,10,0.0,-47.009588729066515,0.0,-39.31795091259375,0.0,9.9466505,6.3831406,7653.4653,-47.00958872906652,0
-47.2526349903786,-61.13830018712847,-61.13830018712847,-52.84027295056819,10,248000,1,nan,-52.840272950568156,-208.48607,0.0,3.898678167939563,3.898678167939563,10,0.0,-52.84027295056819,0.0,-47.2526349903786,0.0,67.90794,5.2057824,23345.725,-52.840272950568156,1
222.90347797308982,-70.78640925347077,-70.78640925347077,-16.134458467452003,10,272000,2,nan,-16.134458467452,-252.43385,0.0,80.90120989380083,80.90120989380083,10,0.0,-16.134458467452003,0.0,222.90347797308982,0.0,253.04115,4.671075,22769.52,-16.134458467452,2
13383.856482943485,-72.11267721507485,-72.11267721507485,4631.538981756754,10,296000,3,nan,4631.538981756754,-2550.1326,0.0,4994.841766038679,4994.841766038679,10,0.0,4631.538981756754,0.0,13383.856482943485,0.0,1417.5529,-0.64890337,128556.516,4631.538981756754,3
6768.975158351913,-89.70177489359462,-89.70177489359462,871.997160258484,10,320000,4,nan,871.9971602584835,-7284.793,0.0,2123.228837501176,2123.228837501176,10,0.0,871.997160258484,0.0,6768.975158351913,0.0,1060.0074,-6.012949,177460.28,871.9971602584835,4
20687.993852393345,-64.32951468221466,-64.32951468221466,4590.533301405178,10,344000,5,nan,4590.533301405174,-19154.068,0.0,6782.647158555983,6782.647158555983,10,0.0,4590.533301405178,0.0,20687.993852393345,0.0,420.4415,-11.308773,337001.97,4590.533301405174,5
43017.452971885185,-44.102308602057384,-44.102308602057384,17158.65237578788,10,368000,6,nan,17158.652375787886,-33455.31,0.0,15097.84246240903,15097.84246240903,10,0.0,17158.65237578788,0.0,43017.452971885185,0.0,351.37457,-14.0870075,510262.7,17158.652375787886,6
42319.72195711181,-15.149117430487484,-15.149117430487484,22927.271499935552,10,392000,7,nan,22927.271499935552,-58530.613,0.0,13978.539934870701,13978.539934870701,10,0.0,22927.271499935552,0.0,42319.72195711181,0.0,263.55603,-16.411785,769487.75,22927.271499935552,7
45095.78601758082,5103.073401217115,5103.073401217115,29365.651439534595,10,416000,8,nan,29365.651439534595,-80147.15,0.0,11525.240313822585,11525.240313822585,10,0.0,29365.651439534595,0.0,45095.78601758082,0.0,77.88579,-16.754278,949720.0,29365.651439534595,8
45666.130706694246,-44.809015238358654,-44.809015238358654,23522.65582658005,10,440000,9,nan,23522.65582658006,-78245.87,0.0,13766.560753800846,13766.560753800846,10,0.0,23522.65582658005,0.0,45666.130706694246,0.0,69.4202,-16.017544,1056419.4,23522.65582658006,9
45061.72688973461,-51.58272393046783,-51.58272393046783,13408.506150115802,10,464000,10,nan,13408.506150115802,-74427.62,0.0,17016.33351429445,17016.33351429445,10,0.0,13408.506150115802,0.0,45061.72688973461,0.0,46.71293,-16.345055,1220460.4,13408.506150115802,10
45513.22359515847,-32.345654124171986,-32.345654124171986,19306.15475633127,10,488000,11,nan,19306.15475633127,-68773.51,0.0,15151.826635564064,15151.826635564064,10,0.0,19306.15475633127,0.0,45513.22359515847,0.0,66.47698,-16.182615,1348571.5,19306.15475633127,11
47519.01166280008,-24.696867832113593,-24.696867832113593,7523.62681080837,10,512000,12,nan,7523.626810808372,-72757.2,0.0,15222.091206545156,15222.091206545156,10,0.0,7523.62681080837,0.0,47519.01166280008,0.0,85.07797,-15.95885,1590177.0,7523.626810808372,12
44644.81669366526,19861.885014100757,19861.885014100757,37493.37803954424,10,536000,13,nan,37493.37803954423,-79169.555,0.0,9188.051564807165,9188.051564807165,10,0.0,37493.37803954424,0.0,44644.81669366526,0.0,34.334743,-16.91425,1906589.2,37493.37803954423,13
44790.03411570189,-12.937324424247214,-12.937324424247214,22327.091952706374,10,560000,14,nan,22327.091952706367,-83475.19,0.0,16938.19002932388,16938.19002932388,10,0.0,22327.091952706374,0.0,44790.03411570189,0.0,35.65673,-16.887648,2160074.2,22327.091952706367,14
60112.10475247917,4860.668346267977,4860.668346267977,37177.133349061114,10,584000,15,nan,37177.133349061114,-87088.914,0.0,19118.678390536985,19118.678390536985,10,0.0,37177.133349061114,0.0,60112.10475247917,0.0,67.427185,-17.312332,2395155.0,37177.133349061114,15
70825.68781152065,-12.080549942967638,-12.080549942967638,39387.35651905028,10,608000,16,nan,39387.35651905028,-87501.42,0.0,20289.185336875962,20289.185336875962,10,0.0,39387.35651905028,0.0,70825.68781152065,0.0,81.27515,-16.041256,2803577.8,39387.35651905028,16
127824.29208414277,38020.40283477495,38020.40283477495,90770.08604196718,10,632000,17,nan,90770.0860419672,-91915.51,0.8,26392.022964526957,26392.022964526957,10,0.0,90770.08604196718,0.0,127824.29208414277,0.8,81.488464,-16.142998,3309641.2,90770.0860419672,17
-19.01758018120034,-29.84410077656942,-29.84410077656942,-23.719708211655014,10,656000,18,nan,-23.71970821165502,-106955.516,0.0,3.9211825707344703,3.9211825707344703,10,0.0,-23.719708211655014,0.0,-19.01758018120034,0.0,76.607574,-18.901781,5340363.0,-23.71970821165502,18
