MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/hand-insert-v1/SuccessRate,policy/KLBefore,MetaTest/Average/MinReturn,policy/Entropy,hand-insert-v1/Iteration,MetaTest/hand-insert-v1/Iteration,MetaTest/hand-insert-v1/MinReturn,MetaTest/hand-insert-v1/StdReturn,MetaTest/Average/SuccessRate,policy/LossAfter,MetaTest/Average/NumEpisodes,hand-insert-v1/MaxReturn,Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,hand-insert-v1/AverageReturn,Average/Iteration,Average/AverageDiscountedReturn,Average/StdReturn,MetaTest/hand-insert-v1/AverageReturn,MetaTest/Average/StdReturn,MetaTest/hand-insert-v1/MaxReturn,MetaTest/Average/MaxReturn,policy/KL,Average/NumEpisodes,policy/LossBefore,hand-insert-v1/StdReturn,hand-insert-v1/AverageDiscountedReturn,policy/dLoss,Average/AverageReturn,hand-insert-v1/NumEpisodes,MetaTest/hand-insert-v1/NumEpisodes,hand-insert-v1/TerminationRate,MetaTest/hand-insert-v1/TerminationRate,LinearFeatureBaseline/ExplainedVariance,Average/SuccessRate,TotalEnvSteps,hand-insert-v1/MinReturn,MetaTest/Average/Iteration,Average/MaxReturn,MetaTest/hand-insert-v1/AverageDiscountedReturn,Average/TerminationRate,hand-insert-v1/SuccessRate
0.0,-69.95875378971864,0.0,0.0,-80.82676449606751,5.680833,0,0,-80.82676449606751,8.838029492864361,0.0,-0.042447865,10,-42.76944327146752,-85.98474621810138,-69.95875378971863,-66.52528443513441,0,-26.783431403975104,9.972480469346042,-69.95875378971864,8.838029492864361,-49.85472179569657,-49.85472179569657,0.010918137,100,-0.015879901,9.972480469346042,-26.783431403975104,0.026567964,-66.52528443513441,100,10,0.0,0.0,0.5837377087199535,0.0,20000,-85.98474621810138,0,-42.76944327146752,-69.95875378971863,0.0,0.0
,,,0.0,,5.669311,1,,,,,-0.036629528,,-23.55184728248239,-78.22557731969704,,-50.436049809499735,1,-21.34759238917409,10.6749507003502,,,,,0.026708722,100,-0.01413667,10.6749507003502,-21.34759238917409,0.022492858,-50.436049809499735,100,,0.0,,0.4968765044097465,0.01,40000,-78.22557731969704,,-23.55184728248239,,0.0,0.01
,,,0.0,,5.6632643,2,,,,,-0.013659146,,68.73126366493501,-48.736483458758244,,-31.590187026780004,2,-14.975091359515254,12.44384256792334,,,,,0.02229961,100,0.0018126313,12.44384256792334,-14.975091359515254,0.015471777,-31.590187026780004,100,,0.0,,0.23121743207973466,0.28,60000,-48.736483458758244,,68.73126366493501,,0.0,0.28
,,,0.0,,5.645579,3,,,,,-0.046404786,,3168.0053500051704,-40.947192840054655,,42.72844621569198,3,18.685890041730346,350.034998889421,,,,,0.007115686,100,0.4492187,350.034998889421,18.685890041730346,0.49562347,42.72844621569198,100,,0.0,,0.16113790179871235,0.69,80000,-40.947192840054655,,3168.0053500051704,,0.0,0.69
,,,0.0,,5.617025,4,,,,,-0.69631463,,5942.997644522744,-44.10258661109671,,214.91839463143972,4,86.12757494430946,788.0201750455741,,,,,0.009193127,100,0.56636584,788.0201750455741,86.12757494430946,1.2626805,214.91839463143972,100,,0.0,,0.1385877785825267,0.61,100000,-44.10258661109671,,5942.997644522744,,0.0,0.61
,,,0.0,,5.59936,5,,,,,-9.94893,,32484.80150572651,-35.332810521381376,,2328.0963248599996,5,669.3857562465892,5090.425499011114,,,,,0.009791524,100,0.2865547,5090.425499011114,669.3857562465892,10.235484,2328.0963248599996,100,,0.0,,0.23302496501132508,0.81,120000,-35.332810521381376,,32484.80150572651,,0.0,0.81
,,,0.0,,5.564709,6,,,,,-10.511898,,32390.722348788015,-48.35882021449086,,5210.9894600901325,6,1407.6596027109472,7754.564464565362,,,,,0.008575783,100,0.50868595,7754.564464565362,1407.6596027109472,11.020584,5210.9894600901325,100,,0.0,,0.1510626370568614,0.63,140000,-48.35882021449086,,32390.722348788015,,0.0,0.63
,,,0.0,,5.513995,7,,,,,-54.71782,,130181.8769935006,-44.27921601150649,,16778.430526402823,7,3964.475558061167,25922.601085424318,,,,,0.008240715,100,-18.862825,25922.601085424318,3964.475558061167,35.854996,16778.430526402823,100,,0.0,,0.3104152737495609,0.59,160000,-44.27921601150649,,130181.8769935006,,0.0,0.59
,,,0.0,,5.481079,8,,,,,-56.04704,,229808.22024204305,-32.69869361011541,,28747.016180415583,8,7195.0819367317845,44365.39397566653,,,,,0.007933066,100,5.583475,44365.39397566653,7195.0819367317845,61.630516,28747.016180415583,100,,0.0,,0.37722805601192877,0.77,180000,-32.69869361011541,,229808.22024204305,,0.0,0.77
,,,0.0,,5.432342,9,,,,,-25.610287,,181411.57691586803,-35.85479615673023,,38459.88538181913,9,9304.546495843399,36024.22686376382,,,,,0.008243537,100,18.315393,36024.22686376382,9304.546495843399,43.925682,38459.88538181913,100,,0.0,,0.26596501937771033,0.83,200000,-35.85479615673023,,181411.57691586803,,0.0,0.83
