MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/coffee-pull-v1/StdReturn,MetaTest/coffee-pull-v1/Iteration,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/MinReturn,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/Average/Iteration,MetaTest/coffee-pull-v1/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs
-23.213519539307143,-28.81310059542608,6.399617,-28.813100595426086,8.612971,224000,nan,-10.419757,-23.213519539307143,2.775566298779469,0,-28.813100595426086,-33.35719796572604,0.0,-28.81310059542608,10,0,0.0,503.47617,2.775566298779469,0.0,0.0,-33.35719796572604,10
-69.06714846332368,-84.07086935115967,5.531434,-84.07086935115967,7.9011955,248000,nan,-47.184532,-69.06714846332368,11.005029513513245,1,-84.07086935115967,-99.01962849967106,0.0,-84.07086935115967,10,1,0.0,289.96808,11.005029513513245,0.0,0.0,-99.01962849967106,10
-38.742758148260314,-42.933309721396355,2.261796,-42.93330972139636,12.944019,272000,nan,-194.28462,-38.742758148260314,3.124192540408421,2,-42.93330972139636,-47.782450024977074,0.0,-42.933309721396355,10,2,0.0,638.5982,3.124192540408421,0.0,0.0,-47.782450024977074,10
39.336081496077966,-35.87393958603716,-1.7457688,-35.873939586037146,17.395277,296000,nan,-687.64874,39.336081496077966,28.118700557229026,3,-35.873939586037146,-75.2157478043327,0.0,-35.87393958603716,10,3,0.0,7993.232,28.118700557229026,0.0,0.0,-75.2157478043327,10
830.8614772237705,90.19564557414877,0.45662075,90.19564557414877,62.4899,320000,nan,-880.72876,830.8614772237705,267.09988331011016,4,90.19564557414877,-38.639836258315135,0.0,90.19564557414877,10,4,0.0,11285.974,267.09988331011016,0.0,0.0,-38.639836258315135,10
392.0893927346729,4.7468856746036865,-4.402675,4.746885674603684,31.81864,344000,nan,-3167.346,392.0893927346729,129.11924896356473,5,4.746885674603684,-40.58534736137493,0.0,4.7468856746036865,10,5,0.0,22372.225,129.11924896356473,0.0,0.0,-40.58534736137493,10
2503.199614615911,592.0336403303136,-1.2404629,592.0336403303136,361.70163,368000,nan,-2302.3313,2503.199614615911,808.2223817247708,6,592.0336403303136,-42.29336728978897,0.0,592.0336403303136,10,6,0.0,34283.043,808.2223817247708,0.0,0.0,-42.29336728978897,10
143.86320847169625,-20.783747920949263,-6.8068576,-20.783747920949274,112.667206,392000,nan,-5950.394,143.86320847169625,55.41153036466476,7,-20.783747920949274,-46.94327113309226,0.0,-20.783747920949263,10,7,0.0,27642.996,55.41153036466476,0.0,0.0,-46.94327113309226,10
8502.783335045593,2792.212013485435,-11.388698,2792.2120134854345,18.586117,416000,nan,-10413.208,8502.783335045593,3404.268067917743,8,2792.2120134854345,-72.25610883395264,0.0,2792.212013485435,10,8,0.0,49949.26,3404.268067917743,0.0,0.0,-72.25610883395264,10
2287.6354939570047,204.06768263768933,-10.5957775,204.0676826376891,186.59074,440000,nan,-9529.431,2287.6354939570047,694.5341642462038,9,204.0676826376891,-35.24530041674122,0.0,204.06768263768933,10,9,0.0,42623.51,694.5341642462038,0.0,0.0,-35.24530041674122,10
-69.34369017452401,-74.9100884416084,-9.332568,-74.9100884416084,532.90466,464000,nan,-12340.24,-69.34369017452401,4.756288566992314,10,-74.9100884416084,-84.73740692031339,0.0,-74.9100884416084,10,10,0.0,96278.35,4.756288566992314,0.0,0.0,-84.73740692031339,10
9995.0550175606,3328.6429138952503,-7.685516,3328.6429138952503,327.5507,488000,nan,-8027.829,9995.0550175606,3533.098130741233,11,3328.6429138952503,-30.63752089023651,0.0,3328.6429138952503,10,11,0.0,43903.855,3533.098130741233,0.0,0.0,-30.63752089023651,10
11357.811622095458,1317.2268211524977,-9.783739,1317.2268211524986,159.58868,512000,nan,-14227.742,11357.811622095458,3371.952395351813,12,1317.2268211524986,-43.8056618988516,0.0,1317.2268211524977,10,12,0.0,78799.375,3371.952395351813,0.0,0.0,-43.8056618988516,10
30520.884704549335,3329.9330184693345,-8.790169,3329.933018469334,308.35187,536000,nan,-11823.761,30520.884704549335,9099.753475222038,13,3329.933018469334,-37.1128908513246,0.0,3329.9330184693345,10,13,0.0,62046.453,9099.753475222038,0.0,0.0,-37.1128908513246,10
29094.13983750709,6107.674960948156,-8.48002,6107.674960948158,343.97806,560000,nan,-12686.954,29094.13983750709,9637.28745862986,14,6107.674960948158,-41.40022935328199,0.0,6107.674960948156,10,14,0.0,84553.65,9637.28745862986,0.0,0.0,-41.40022935328199,10
33767.85361956077,3682.3389607145255,-8.918737,3682.338960714527,185.21371,584000,nan,-13280.637,33767.85361956077,10079.29623307169,15,3682.338960714527,-37.9588296124013,0.0,3682.3389607145255,10,15,0.0,102195.12,10079.29623307169,0.0,0.0,-37.9588296124013,10
2418.1142843949674,235.23242518047346,-8.948029,235.23242518047329,126.38681,608000,nan,-12852.83,2418.1142843949674,734.2872260082354,16,235.23242518047329,-61.82770613997158,0.0,235.23242518047346,10,16,0.0,114126.914,734.2872260082354,0.0,0.0,-61.82770613997158,10
456.3319904938254,35.32401350406462,-8.831679,35.3240135040646,136.07712,632000,nan,-13393.814,456.3319904938254,146.90247419067111,17,35.3240135040646,-43.25046161660574,0.0,35.32401350406462,10,17,0.0,155716.77,146.90247419067111,0.0,0.0,-43.25046161660574,10
6670.130193923237,1616.3287137211987,-9.270942,1616.3287137211985,305.53506,656000,nan,-15110.832,6670.130193923237,2471.913245429345,18,1616.3287137211985,-47.11884630519495,0.0,1616.3287137211987,10,18,0.0,176105.28,2471.913245429345,0.0,0.0,-47.11884630519495,10
1466.2123922614376,110.84317987783042,-9.244026,110.84317987783042,355.8979,680000,nan,-14808.928,1466.2123922614376,451.80301797902047,19,110.84317987783042,-49.06836543789861,0.0,110.84317987783042,10,19,0.0,238090.61,451.80301797902047,0.0,0.0,-49.06836543789861,10
11332.727390438256,1524.4681037433197,-8.999818,1524.4681037433193,240.6798,704000,nan,-14907.22,11332.727390438256,3368.595512601596,20,1524.4681037433193,-42.40945797506133,0.0,1524.4681037433197,10,20,0.0,266476.78,3368.595512601596,0.0,0.0,-42.40945797506133,10
149986.95288399208,16862.158753666045,-10.56061,16862.15875366604,175.3978,728000,nan,-17850.701,149986.95288399208,44533.019269362565,21,16862.15875366604,-45.44112106580057,0.0,16862.158753666045,10,21,0.2,435789.0,44533.019269362565,0.2,0.0,-45.44112106580057,10
67.89658331054316,-30.57639136361547,-11.481997,-30.57639136361549,102.28527,752000,nan,-20508.17,67.89658331054316,33.055674788625474,22,-30.57639136361549,-46.95516356647265,0.0,-30.57639136361547,10,22,0.0,482621.0,33.055674788625474,0.0,0.0,-46.95516356647265,10
8.897680803290925,-38.06275663300848,-8.526914,-38.062756633008476,188.73401,776000,nan,-14132.928,8.897680803290925,15.929292609400257,23,-38.062756633008476,-47.05191698878887,0.0,-38.06275663300848,10,23,0.0,589199.6,15.929292609400257,0.0,0.0,-47.05191698878887,10
49413.37847110351,6785.362129321414,-9.756152,6785.362129321415,326.2877,800000,nan,-15255.95,49413.37847110351,14417.80941625185,24,6785.362129321415,-51.72282084699165,0.0,6785.362129321414,10,24,0.3,596413.8,14417.80941625185,0.3,0.0,-51.72282084699165,10
4852.972132680955,1084.5503252212395,-11.271158,1084.5503252212397,181.56068,824000,nan,-16726.133,4852.972132680955,1541.7127550238492,25,1084.5503252212397,-41.272383094633255,0.0,1084.5503252212395,10,25,0.1,668903.56,1541.7127550238492,0.1,0.0,-41.272383094633255,10
15702.492335417168,2211.7006402949073,-12.235611,2211.7006402949064,131.87108,848000,nan,-16507.078,15702.492335417168,4791.8498264800255,26,2211.7006402949064,-42.6913413632658,0.0,2211.7006402949073,10,26,0.2,854824.06,4791.8498264800255,0.2,0.0,-42.6913413632658,10
11807.48036412788,1748.079892785688,-13.4153595,1748.0798927856886,104.998344,872000,nan,-20268.592,11807.48036412788,3558.0631769613497,27,1748.0798927856886,-36.87425390565671,0.0,1748.079892785688,10,27,0.2,1068959.6,3558.0631769613497,0.2,0.0,-36.87425390565671,10
