MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/faucet-open-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/faucet-open-v1/SuccessRate,MetaTest/faucet-open-v1/TerminationRate,MetaTest/faucet-open-v1/AverageReturn,MetaTest/faucet-open-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/faucet-open-v1/MinReturn,MetaTest/faucet-open-v1/StdReturn,MetaTest/faucet-open-v1/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/SuccessRate,MetaTest/faucet-open-v1/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,TotalEnvSteps,MetaTrain/Average/AlphaLoss
6269.8831986059795,19952.54517614942,9532.331581211683,9532.331581211682,0.0,0.0,9532.331581211682,0,10,9532.331581211683,nan,0.0,1250.2491558137492,0,1250.2491558137492,6269.8831986059795,10,-530.5379,0.0,19952.54517614942,14.432738,77653.16,224000,1.2156572
7092.868235886732,31592.548581785526,14130.765683186324,14130.765683186324,0.0,0.0,14130.765683186324,1,10,14130.765683186324,nan,0.0,6127.8718716056865,1,6127.8718716056865,7092.868235886732,10,-2366.5295,0.0,31592.548581785526,14.8843,152268.12,248000,-1.943096
1755.679791309361,22099.3364325204,18921.74786024655,18921.74786024654,0.0,0.0,18921.74786024654,2,10,18921.74786024655,nan,0.0,16445.938437200362,2,16445.938437200362,1755.679791309361,10,-6781.899,0.0,22099.3364325204,30.818277,731903.1,272000,-5.951263
4312.090355483968,20221.827595014962,16719.148904856535,16719.148904856535,0.0,0.0,16719.148904856535,3,10,16719.148904856535,nan,0.0,6313.41843872731,3,6313.41843872731,4312.090355483968,10,-13219.46,0.0,20221.827595014962,109.37203,1458398.5,296000,-9.080029
6680.2703531021225,22595.475934353777,16057.048717544025,16057.048717544025,0.0,0.0,16057.048717544025,4,10,16057.048717544025,nan,0.0,520.0948418764458,4,520.0948418764458,6680.2703531021225,10,-17966.992,0.0,22595.475934353777,180.44516,2136965.0,320000,-9.260072
7447.177657675768,38909.77872251004,21492.563149175432,21492.563149175436,0.0,0.0,21492.563149175436,5,10,21492.563149175432,nan,0.0,14579.735893182684,5,14579.735893182684,7447.177657675768,10,-21798.744,0.0,38909.77872251004,224.79712,2755203.8,344000,-9.351748
11216.35094251643,26345.07964921916,11040.593328568015,11040.593328568017,0.0,0.0,11040.593328568017,6,10,11040.593328568015,nan,0.0,-65.44316102561855,6,-65.44316102561855,11216.35094251643,10,-26464.865,0.0,26345.07964921916,1056.5189,3408137.5,368000,-9.727314
9591.745885142802,20652.17324650632,9431.489363680132,9431.489363680135,0.0,0.0,9431.489363680135,7,10,9431.489363680132,nan,0.0,-96.22754962416775,7,-96.22754962416775,9591.745885142802,10,-28478.344,0.0,20652.17324650632,2756.585,3446428.0,392000,-10.633043
2216.5450608802357,20867.422874577824,17612.93288144445,17612.932881444445,0.0,0.0,17612.932881444445,8,10,17612.93288144445,nan,0.0,14375.460424877088,8,14375.460424877088,2216.5450608802357,10,-37716.895,0.0,20867.422874577824,2296.1636,4460061.0,416000,-9.610034
3308.861694055938,30134.880617441726,21090.703016470994,21090.70301647099,0.0,0.0,21090.70301647099,9,10,21090.703016470994,nan,0.0,17560.30618365737,9,17560.30618365737,3308.861694055938,10,-42224.312,0.0,30134.880617441726,423.4237,4825756.5,440000,-10.221615
3908.7300528058677,29134.43320669016,20389.336747714453,20389.336747714453,0.0,0.0,20389.336747714453,10,10,20389.336747714453,nan,0.0,12975.229088426146,10,12975.229088426146,3908.7300528058677,10,-46494.66,0.0,29134.43320669016,383.94067,5130757.0,464000,-10.939666
5803.768853101935,35980.23078680211,22135.69639909192,22135.696399091925,0.2,0.0,22135.696399091925,11,10,22135.69639909192,nan,0.0,15761.488592672033,11,15761.488592672033,5803.768853101935,10,-49783.953,0.2,35980.23078680211,393.93692,5516721.0,488000,-11.220297
2116.276756591029,24547.948639435825,19633.5717517544,19633.5717517544,0.0,0.0,19633.5717517544,12,10,19633.5717517544,nan,0.0,16449.03360245267,12,16449.03360245267,2116.276756591029,10,-52432.93,0.0,24547.948639435825,404.30835,5903247.5,512000,-11.378012
18804.102023683132,65501.81003165126,21789.621333055326,21789.621333055333,0.1,0.0,21789.621333055333,13,10,21789.621333055326,nan,0.0,-11.984159565069586,13,-11.984159565069586,18804.102023683132,10,-48510.426,0.1,65501.81003165126,1672.6237,5900280.0,536000,-11.578404
6780.029668693487,25952.25877848128,19254.353227958614,19254.353227958614,0.0,0.0,19254.353227958614,14,10,19254.353227958614,nan,0.0,-12.245203089836352,14,-12.245203089836352,6780.029668693487,10,-48517.97,0.0,25952.25877848128,1704.272,6414130.0,560000,-11.257785
3816.665322826075,30777.290011676985,20947.426931916263,20947.42693191626,0.3,0.0,20947.42693191626,15,10,20947.426931916263,nan,0.0,16860.509988531845,15,16860.509988531845,3816.665322826075,10,-49414.117,0.3,30777.290011676985,705.9955,7105888.5,584000,-11.197309
13097.465386249763,56253.7685831239,24698.535644453317,24698.535644453314,0.2,0.0,24698.535644453314,16,10,24698.535644453317,nan,0.0,8173.963814404738,16,8173.963814404738,13097.465386249763,10,-51905.06,0.2,56253.7685831239,531.0549,7978964.0,608000,-10.860767
1.5955265400242817,-66.34528444477333,-69.59630455526488,-69.59630455526488,0.0,0.0,-69.59630455526488,17,10,-69.59630455526488,nan,0.0,-73.16601501419767,17,-73.16601501419767,1.5955265400242817,10,-54364.77,0.0,-66.34528444477333,438.47348,9233181.0,632000,-10.985041
6018.022042769104,32303.825062993583,16343.325606324284,16343.325606324284,0.1,0.0,16343.325606324284,18,10,16343.325606324284,nan,0.0,8860.259608140093,18,8860.259608140093,6018.022042769104,10,-54770.777,0.1,32303.825062993583,1325.978,10607352.0,656000,-11.364242
6047.85407069419,20536.206057367828,15811.991717321589,15811.99171732158,0.0,0.0,15811.99171732158,19,10,15811.991717321589,nan,0.0,3565.1942183942742,19,3565.1942183942742,6047.85407069419,10,-62037.35,0.0,20536.206057367828,358.83795,14522146.0,680000,-12.098412
18259.241433606647,78831.2719065328,26841.495338073757,26841.49533807374,0.2,0.0,26841.49533807374,20,10,26841.495338073757,nan,0.0,15736.872366400237,20,15736.872366400237,18259.241433606647,10,-65308.23,0.2,78831.2719065328,283.92047,18033042.0,704000,-12.454905
5726.76555055309,21664.01872218496,14098.027465876303,14098.027465876305,0.0,0.0,14098.027465876305,21,10,14098.027465876303,nan,0.0,2896.7475065791295,21,2896.7475065791295,5726.76555055309,10,-68555.734,0.0,21664.01872218496,286.82437,21979268.0,728000,-12.888776
8105.413788728074,40071.75723803655,20572.86711857615,20572.86711857615,0.2,0.0,20572.86711857615,22,10,20572.86711857615,nan,0.0,8774.869645825276,22,8774.869645825276,8105.413788728074,10,-70825.41,0.2,40071.75723803655,323.0247,25496732.0,752000,-13.133136
