TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/lever-pull-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/lever-pull-v1/AverageReturn,MetaTest/lever-pull-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/lever-pull-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/lever-pull-v1/Iteration,MetaTest/lever-pull-v1/SuccessRate,MetaTest/lever-pull-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/lever-pull-v1/MinReturn
704000,-3.2374161856904258,0.611503097435506,0.611503097435506,-4.0880821019974025,-4.0880821019974025,0.0,-5.1882910952998245,-4.0880821019974025,-3.2374161856904258,10,10,0.0,20,0.0,0.0,20,-4.0880821019974025,-5.1882910952998245
728000,-4.199489940471042,1.737459686189098,1.737459686189098,-6.940621157578244,-6.940621157578244,0.0,-10.499303665260628,-6.940621157578244,-4.199489940471042,10,10,0.0,21,0.0,0.0,21,-6.940621157578244,-10.499303665260628
752000,-3.0501456416969748,1.166626070136378,1.166626070136378,-4.509203095258236,-4.509203095258236,0.0,-6.616305546288295,-4.509203095258236,-3.0501456416969748,10,10,0.0,22,0.0,0.0,22,-4.509203095258236,-6.616305546288295
776000,-4.001309409665754,0.9821248875815279,0.9821248875815279,-5.089633189088886,-5.089633189088883,0.0,-7.491731449777469,-5.089633189088883,-4.001309409665754,10,10,0.0,23,0.0,0.0,23,-5.089633189088886,-7.491731449777469
800000,-3.668841141560429,0.9389896008174969,0.9389896008174969,-4.888047662854085,-4.8880476628540865,0.0,-6.9644952733437275,-4.8880476628540865,-3.668841141560429,10,10,0.0,24,0.0,0.0,24,-4.888047662854085,-6.9644952733437275
824000,-3.7422984398734718,1.0368065116166276,1.0368065116166276,-5.055532447072039,-5.055532447072039,0.0,-6.502442507507056,-5.055532447072039,-3.7422984398734718,10,10,0.0,25,0.0,0.0,25,-5.055532447072039,-6.502442507507056
848000,-2.6644755513305087,1.839822015368792,1.839822015368792,-5.319535383287012,-5.319535383287012,0.0,-8.482325637382063,-5.319535383287012,-2.6644755513305087,10,10,0.0,26,0.0,0.0,26,-5.319535383287012,-8.482325637382063
872000,-3.521528624491777,1.0214486496969604,1.0214486496969604,-4.771503613433104,-4.771503613433103,0.0,-7.043495684613779,-4.771503613433103,-3.521528624491777,10,10,0.0,27,0.0,0.0,27,-4.771503613433104,-7.043495684613779
896000,-2.3837132413374422,1.39937975767409,1.39937975767409,-4.302734236335054,-4.302734236335054,0.0,-6.045054992412441,-4.302734236335054,-2.3837132413374422,10,10,0.0,28,0.0,0.0,28,-4.302734236335054,-6.045054992412441
920000,-2.9861151637072196,0.9812756750799819,0.9812756750799819,-4.596713786055276,-4.596713786055275,0.0,-6.163534274759158,-4.596713786055275,-2.9861151637072196,10,10,0.0,29,0.0,0.0,29,-4.596713786055276,-6.163534274759158
944000,-3.1308905764608057,1.391126134076967,1.391126134076967,-4.423046046261229,-4.423046046261228,0.0,-7.102213751480153,-4.423046046261228,-3.1308905764608057,10,10,0.0,30,0.0,0.0,30,-4.423046046261229,-7.102213751480153
968000,-2.838724549626175,1.4446587122091314,1.4446587122091314,-4.8308724511746926,-4.830872451174693,0.0,-7.173417608655909,-4.830872451174693,-2.838724549626175,10,10,0.0,31,0.0,0.0,31,-4.8308724511746926,-7.173417608655909
992000,-2.7287323576893847,1.1895966834452973,1.1895966834452973,-4.29721086399791,-4.297210863997912,0.0,-6.247767105652051,-4.297210863997912,-2.7287323576893847,10,10,0.0,32,0.0,0.0,32,-4.29721086399791,-6.247767105652051
1016000,-3.36766582739938,0.6824595100605079,0.6824595100605079,-4.087638893750439,-4.087638893750439,0.0,-5.206259135536226,-4.087638893750439,-3.36766582739938,10,10,0.0,33,0.0,0.0,33,-4.087638893750439,-5.206259135536226
1040000,-2.9500457892375054,0.619666555757709,0.619666555757709,-3.8805839877578783,-3.880583987757879,0.0,-4.93991118791391,-3.880583987757879,-2.9500457892375054,10,10,0.0,34,0.0,0.0,34,-3.8805839877578783,-4.93991118791391
1064000,-3.454598108537807,0.7338838969040077,0.7338838969040077,-4.520301160455956,-4.520301160455955,0.0,-5.772856895102492,-4.520301160455955,-3.454598108537807,10,10,0.0,35,0.0,0.0,35,-4.520301160455956,-5.772856895102492
1088000,-2.830879162582255,0.8419934117757226,0.8419934117757226,-3.7965311528312,-3.796531152831199,0.0,-5.661931973476017,-3.796531152831199,-2.830879162582255,10,10,0.0,36,0.0,0.0,36,-3.7965311528312,-5.661931973476017
1112000,-2.8243980288664434,0.6738673259152832,0.6738673259152832,-3.8679027161945934,-3.867902716194595,0.0,-4.968451840995735,-3.867902716194595,-2.8243980288664434,10,10,0.0,37,0.0,0.0,37,-3.8679027161945934,-4.968451840995735
1136000,-3.3837458023674296,0.8186029049968011,0.8186029049968011,-4.803175836836017,-4.803175836836018,0.0,-6.437986083205887,-4.803175836836018,-3.3837458023674296,10,10,0.0,38,0.0,0.0,38,-4.803175836836017,-6.437986083205887
1160000,-3.0025645868652875,1.00804364532945,1.00804364532945,-4.392227903795627,-4.392227903795627,0.0,-6.786756513317004,-4.392227903795627,-3.0025645868652875,10,10,0.0,39,0.0,0.0,39,-4.392227903795627,-6.786756513317004
1184000,-3.011020494118092,0.7765638071598504,0.7765638071598504,-4.175465456230233,-4.175465456230233,0.0,-5.199860624130686,-4.175465456230233,-3.011020494118092,10,10,0.0,40,0.0,0.0,40,-4.175465456230233,-5.199860624130686
1208000,-2.7864564371672045,0.9396901609359976,0.9396901609359976,-3.611646102496368,-3.6116461024963677,0.0,-5.911266898309531,-3.6116461024963677,-2.7864564371672045,10,10,0.0,41,0.0,0.0,41,-3.611646102496368,-5.911266898309531
1232000,-2.7541384604252808,0.6747037509930726,0.6747037509930726,-3.376246993324238,-3.376246993324237,0.0,-4.797249284237312,-3.376246993324237,-2.7541384604252808,10,10,0.0,42,0.0,0.0,42,-3.376246993324238,-4.797249284237312
1256000,-2.98054733915125,0.5128966584933701,0.5128966584933701,-3.6044860594288353,-3.6044860594288353,0.0,-4.371938688648851,-3.6044860594288353,-2.98054733915125,10,10,0.0,43,0.0,0.0,43,-3.6044860594288353,-4.371938688648851
1280000,-3.177860547062957,0.46063735292620883,0.46063735292620883,-3.930499727794667,-3.930499727794666,0.0,-4.507685337247401,-3.930499727794666,-3.177860547062957,10,10,0.0,44,0.0,0.0,44,-3.930499727794667,-4.507685337247401
1304000,-2.9075424670842183,1.0021649591319877,1.0021649591319877,-4.2647915641137395,-4.264791564113739,0.0,-5.805787031291866,-4.264791564113739,-2.9075424670842183,10,10,0.0,45,0.0,0.0,45,-4.2647915641137395,-5.805787031291866
1328000,-2.912862875765056,0.9859527823854852,0.9859527823854852,-3.785465810140434,-3.785465810140434,0.0,-6.118848793881221,-3.785465810140434,-2.912862875765056,10,10,0.0,46,0.0,0.0,46,-3.785465810140434,-6.118848793881221
1352000,-2.873514297411187,0.6246893448136097,0.6246893448136097,-3.5988412058139234,-3.5988412058139234,0.0,-4.728348872424507,-3.5988412058139234,-2.873514297411187,10,10,0.0,47,0.0,0.0,47,-3.5988412058139234,-4.728348872424507
1376000,-2.7609613055276867,0.9523104383307196,0.9523104383307196,-4.076895981275487,-4.076895981275486,0.0,-6.378372451292312,-4.076895981275486,-2.7609613055276867,10,10,0.0,48,0.0,0.0,48,-4.076895981275487,-6.378372451292312
1400000,-2.835327411105635,0.6811055408723615,0.6811055408723615,-3.958260337380389,-3.958260337380389,0.0,-4.973996551411718,-3.958260337380389,-2.835327411105635,10,10,0.0,49,0.0,0.0,49,-3.958260337380389,-4.973996551411718
1424000,-3.0413485329170116,0.8877822396270598,0.8877822396270598,-3.938954493295808,-3.9389544932958076,0.0,-5.904923429458479,-3.9389544932958076,-3.0413485329170116,10,10,0.0,50,0.0,0.0,50,-3.938954493295808,-5.904923429458479
1448000,-2.603343390400561,0.46710805478707407,0.46710805478707407,-3.500863964869523,-3.5008639648695237,0.0,-4.150476695149132,-3.5008639648695237,-2.603343390400561,10,10,0.0,51,0.0,0.0,51,-3.500863964869523,-4.150476695149132
1472000,-2.8820746833636024,0.8798235729450444,0.8798235729450444,-3.917962304415956,-3.9179623044159557,0.0,-5.527450061685101,-3.9179623044159557,-2.8820746833636024,10,10,0.0,52,0.0,0.0,52,-3.917962304415956,-5.527450061685101
1496000,-2.4875249753038826,1.1549616876974593,1.1549616876974593,-3.8537679899877504,-3.8537679899877495,0.0,-5.855633520313397,-3.8537679899877495,-2.4875249753038826,10,10,0.0,53,0.0,0.0,53,-3.8537679899877504,-5.855633520313397
1520000,-3.1134204297820234,0.7385131387127705,0.7385131387127705,-3.9925247513035402,-3.9925247513035393,0.0,-5.388617265074016,-3.9925247513035393,-3.1134204297820234,10,10,0.0,54,0.0,0.0,54,-3.9925247513035402,-5.388617265074016
1544000,-2.4310776526172044,1.1778322013006175,1.1778322013006175,-3.6171394614208907,-3.61713946142089,0.0,-6.505191720903252,-3.61713946142089,-2.4310776526172044,10,10,0.0,55,0.0,0.0,55,-3.6171394614208907,-6.505191720903252
1568000,-2.6328002986983003,0.5750977047339026,0.5750977047339026,-3.4093425749419843,-3.4093425749419843,0.0,-4.336659650962584,-3.4093425749419843,-2.6328002986983003,10,10,0.0,56,0.0,0.0,56,-3.4093425749419843,-4.336659650962584
1592000,-2.5696731792363683,1.0353631874468834,1.0353631874468834,-3.8789328300963177,-3.8789328300963177,0.0,-5.600791918686298,-3.8789328300963177,-2.5696731792363683,10,10,0.0,57,0.0,0.0,57,-3.8789328300963177,-5.600791918686298
1616000,-3.0371854601436548,0.8374308280138166,0.8374308280138166,-3.916608321518742,-3.9166083215187415,0.0,-5.170049932829986,-3.9166083215187415,-3.0371854601436548,10,10,0.0,58,0.0,0.0,58,-3.916608321518742,-5.170049932829986
1640000,-2.940868837727514,0.4507689663140778,0.4507689663140778,-3.6915952557717704,-3.6915952557717704,0.0,-4.451243317991345,-3.6915952557717704,-2.940868837727514,10,10,0.0,59,0.0,0.0,59,-3.6915952557717704,-4.451243317991345
1664000,-2.7666493577948432,0.37142131302008813,0.37142131302008813,-3.676773295976756,-3.6767732959767563,0.0,-4.153547279904768,-3.6767732959767563,-2.7666493577948432,10,10,0.0,60,0.0,0.0,60,-3.676773295976756,-4.153547279904768
1688000,-3.4765018245809527,0.6321560500653013,0.6321560500653013,-4.0518191007438,-4.0518191007438,0.0,-5.635638160452351,-4.0518191007438,-3.4765018245809527,10,10,0.0,61,0.0,0.0,61,-4.0518191007438,-5.635638160452351
1712000,-2.753324212572522,0.8979862162970319,0.8979862162970319,-4.099590634287516,-4.099590634287516,0.0,-5.388852567873191,-4.099590634287516,-2.753324212572522,10,10,0.0,62,0.0,0.0,62,-4.099590634287516,-5.388852567873191
1736000,-3.0209787095191554,0.7186384492511172,0.7186384492511172,-3.971464307208513,-3.971464307208514,0.0,-5.5954643296682125,-3.971464307208514,-3.0209787095191554,10,10,0.0,63,0.0,0.0,63,-3.971464307208513,-5.5954643296682125
1760000,-2.7159797212580425,0.5495855711693582,0.5495855711693582,-3.5530324050758457,-3.5530324050758457,0.0,-4.684561090177111,-3.5530324050758457,-2.7159797212580425,10,10,0.0,64,0.0,0.0,64,-3.5530324050758457,-4.684561090177111
1784000,-2.677549063235602,0.6425508014204421,0.6425508014204421,-3.7597366540561565,-3.7597366540561565,0.0,-4.697602424371255,-3.7597366540561565,-2.677549063235602,10,10,0.0,65,0.0,0.0,65,-3.7597366540561565,-4.697602424371255
1808000,-3.4958991662464287,0.49536347557581156,0.49536347557581156,-4.201425176588034,-4.201425176588034,0.0,-4.824840723991503,-4.201425176588034,-3.4958991662464287,10,10,0.0,66,0.0,0.0,66,-4.201425176588034,-4.824840723991503
1832000,-3.17464807814336,0.791667304214471,0.791667304214471,-4.2093500850750925,-4.2093500850750925,0.0,-5.606986085759259,-4.2093500850750925,-3.17464807814336,10,10,0.0,67,0.0,0.0,67,-4.2093500850750925,-5.606986085759259
1856000,-3.3121674258243226,0.4920991156336222,0.4920991156336222,-4.267808727262899,-4.267808727262899,0.0,-4.955476178638167,-4.267808727262899,-3.3121674258243226,10,10,0.0,68,0.0,0.0,68,-4.267808727262899,-4.955476178638167
1880000,-2.661514672263519,0.9778985625558764,0.9778985625558764,-4.223041074207873,-4.223041074207872,0.0,-5.923945532024346,-4.223041074207872,-2.661514672263519,10,10,0.0,69,0.0,0.0,69,-4.223041074207873,-5.923945532024346
1904000,-3.3209975235979052,0.937264668170679,0.937264668170679,-4.394069357843149,-4.394069357843149,0.0,-6.826874965979231,-4.394069357843149,-3.3209975235979052,10,10,0.0,70,0.0,0.0,70,-4.394069357843149,-6.826874965979231
1928000,-2.729252073885242,0.7381867219887079,0.7381867219887079,-4.067209879294131,-4.067209879294131,0.0,-5.669453097156053,-4.067209879294131,-2.729252073885242,10,10,0.0,71,0.0,0.0,71,-4.067209879294131,-5.669453097156053
1952000,-3.0326855792576635,0.8733545101085429,0.8733545101085429,-4.323015699206883,-4.323015699206886,0.0,-5.911176928646368,-4.323015699206886,-3.0326855792576635,10,10,0.0,72,0.0,0.0,72,-4.323015699206883,-5.911176928646368
1976000,-2.999079587138745,0.6162968844266722,0.6162968844266722,-3.8811101143423294,-3.8811101143423294,0.0,-5.35646972754647,-3.8811101143423294,-2.999079587138745,10,10,0.0,73,0.0,0.0,73,-3.8811101143423294,-5.35646972754647
2000000,-2.9949055907555677,0.7562828327154331,0.7562828327154331,-4.017612193872176,-4.017612193872177,0.0,-5.46144303237657,-4.017612193872177,-2.9949055907555677,10,10,0.0,74,0.0,0.0,74,-4.017612193872176,-5.46144303237657
2024000,-2.7148826829796766,0.6997436283961869,0.6997436283961869,-3.7804730471181003,-3.7804730471181003,0.0,-4.7024709039715304,-3.7804730471181003,-2.7148826829796766,10,10,0.0,75,0.0,0.0,75,-3.7804730471181003,-4.7024709039715304
2048000,-3.319361613729472,0.5061930303200087,0.5061930303200087,-3.8850689089187456,-3.885068908918747,0.0,-5.114557757053214,-3.885068908918747,-3.319361613729472,10,10,0.0,76,0.0,0.0,76,-3.8850689089187456,-5.114557757053214
2072000,-3.0200656649161806,0.44370474720516606,0.44370474720516606,-3.941146597820567,-3.941146597820567,0.0,-4.702600382264155,-3.941146597820567,-3.0200656649161806,10,10,0.0,77,0.0,0.0,77,-3.941146597820567,-4.702600382264155
2096000,-3.193052898154912,0.4948141964068218,0.4948141964068218,-3.872787180863335,-3.872787180863335,0.0,-4.727401688761549,-3.872787180863335,-3.193052898154912,10,10,0.0,78,0.0,0.0,78,-3.872787180863335,-4.727401688761549
2120000,-3.311705550609834,0.727043489252709,0.727043489252709,-4.0816587786093,-4.081658778609298,0.0,-5.91126482217647,-4.081658778609298,-3.311705550609834,10,10,0.0,79,0.0,0.0,79,-4.0816587786093,-5.91126482217647
2144000,-3.4273159177273858,0.782964511175644,0.782964511175644,-4.530187332738287,-4.530187332738287,0.0,-5.79332789564964,-4.530187332738287,-3.4273159177273858,10,10,0.0,80,0.0,0.0,80,-4.530187332738287,-5.79332789564964
2168000,-3.4240627191964315,0.6997133945804271,0.6997133945804271,-4.4071282642795,-4.407128264279501,0.0,-6.011603076992754,-4.407128264279501,-3.4240627191964315,10,10,0.0,81,0.0,0.0,81,-4.4071282642795,-6.011603076992754
2192000,-3.1191351117390225,0.49775113126516984,0.49775113126516984,-3.771056860131167,-3.7710568601311665,0.0,-4.96099595458522,-3.7710568601311665,-3.1191351117390225,10,10,0.0,82,0.0,0.0,82,-3.771056860131167,-4.96099595458522
2216000,-3.0304499076749987,0.8685649325499677,0.8685649325499677,-4.156425738261581,-4.156425738261581,0.0,-5.804903656071485,-4.156425738261581,-3.0304499076749987,10,10,0.0,83,0.0,0.0,83,-4.156425738261581,-5.804903656071485
2240000,-3.425094287393598,0.7391112939917462,0.7391112939917462,-4.1924005853718125,-4.192400585371813,0.0,-5.7731288113534225,-4.192400585371813,-3.425094287393598,10,10,0.0,84,0.0,0.0,84,-4.1924005853718125,-5.7731288113534225
2264000,-2.8624879534738246,0.6378190534211138,0.6378190534211138,-4.086420019516091,-4.086420019516089,0.0,-5.038238848127404,-4.086420019516089,-2.8624879534738246,10,10,0.0,85,0.0,0.0,85,-4.086420019516091,-5.038238848127404
2288000,-3.394980356038074,0.6065515180141968,0.6065515180141968,-4.136003372899554,-4.136003372899554,0.0,-5.312185157658508,-4.136003372899554,-3.394980356038074,10,10,0.0,86,0.0,0.0,86,-4.136003372899554,-5.312185157658508
2312000,-3.212821137665726,0.31466491123277285,0.31466491123277285,-3.709667501842321,-3.709667501842321,0.0,-4.222308396937994,-3.709667501842321,-3.212821137665726,10,10,0.0,87,0.0,0.0,87,-3.709667501842321,-4.222308396937994
2336000,-3.276345974369638,0.5484825427896735,0.5484825427896735,-3.9735209898105124,-3.973520989810512,0.0,-5.051580652009917,-3.973520989810512,-3.276345974369638,10,10,0.0,88,0.0,0.0,88,-3.9735209898105124,-5.051580652009917
2360000,-3.1488660700279185,0.45406719383633376,0.45406719383633376,-3.649963261467245,-3.649963261467245,0.0,-4.416026944896179,-3.649963261467245,-3.1488660700279185,10,10,0.0,89,0.0,0.0,89,-3.649963261467245,-4.416026944896179
2384000,-3.808016203356952,0.7639439159564948,0.7639439159564948,-5.049782119790577,-5.049782119790577,0.0,-6.52436059907871,-5.049782119790577,-3.808016203356952,10,10,0.0,90,0.0,0.0,90,-5.049782119790577,-6.52436059907871
2408000,-2.761195350952246,0.8328685372660815,0.8328685372660815,-4.545361299705969,-4.545361299705969,0.0,-5.903229633749843,-4.545361299705969,-2.761195350952246,10,10,0.0,91,0.0,0.0,91,-4.545361299705969,-5.903229633749843
2432000,-3.3680228257649243,0.6372662142496659,0.6372662142496659,-3.8889326569830667,-3.888932656983065,0.0,-5.669358334624314,-3.888932656983065,-3.3680228257649243,10,10,0.0,92,0.0,0.0,92,-3.8889326569830667,-5.669358334624314
2456000,-3.429581514208297,0.5316010739915462,0.5316010739915462,-4.099901007948967,-4.099901007948967,0.0,-5.143177374359442,-4.099901007948967,-3.429581514208297,10,10,0.0,93,0.0,0.0,93,-4.099901007948967,-5.143177374359442
2480000,-3.0065161690418707,0.47648058054005415,0.47648058054005415,-3.788478806313877,-3.788478806313878,0.0,-4.459255532033628,-3.788478806313878,-3.0065161690418707,10,10,0.0,94,0.0,0.0,94,-3.788478806313877,-4.459255532033628
2504000,-2.8411721922674547,0.9221736613499038,0.9221736613499038,-4.011983984173716,-4.011983984173717,0.0,-6.079783045189511,-4.011983984173717,-2.8411721922674547,10,10,0.0,95,0.0,0.0,95,-4.011983984173716,-6.079783045189511
2528000,-3.343126492444101,0.6868896707733754,0.6868896707733754,-4.3716685591100335,-4.3716685591100335,0.0,-5.598486874968237,-4.3716685591100335,-3.343126492444101,10,10,0.0,96,0.0,0.0,96,-4.3716685591100335,-5.598486874968237
2552000,-2.907759701394009,0.7262606815915131,0.7262606815915131,-3.734454416524687,-3.734454416524687,0.0,-5.052574800935693,-3.734454416524687,-2.907759701394009,10,10,0.0,97,0.0,0.0,97,-3.734454416524687,-5.052574800935693
2576000,-2.7959939018753666,0.6808574228274112,0.6808574228274112,-3.790175158533676,-3.790175158533677,0.0,-5.2034864704015735,-3.790175158533677,-2.7959939018753666,10,10,0.0,98,0.0,0.0,98,-3.790175158533676,-5.2034864704015735
2600000,-3.0399312344794587,0.9546868095621892,0.9546868095621892,-4.135414648856676,-4.135414648856676,0.0,-5.5051526386275205,-4.135414648856676,-3.0399312344794587,10,10,0.0,99,0.0,0.0,99,-4.135414648856676,-5.5051526386275205
