door-lock-v1/MaxReturn,Average/MaxReturn,door-lock-v1/AverageReturn,door-lock-v1/TerminationRate,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,MetaTest/Average/SuccessRate,door-lock-v1/SuccessRate,Average/NumEpisodes,door-lock-v1/MinReturn,MetaTest/Average/Iteration,door-lock-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/door-lock-v1/SuccessRate,door-lock-v1/NumEpisodes,MetaTest/Average/StdReturn,GaussianMLPPolicy/dLoss,Average/AverageDiscountedReturn,Average/AverageReturn,Average/Iteration,GaussianMLPPolicy/Entropy,MetaTest/door-lock-v1/NumEpisodes,MetaTest/door-lock-v1/AverageDiscountedReturn,MetaTest/door-lock-v1/TerminationRate,Iteration,MetaTest/Average/AverageReturn,Average/TerminationRate,GaussianMLPPolicy/LossAfter,MetaTest/Average/AverageDiscountedReturn,Average/MinReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,GaussianMLPPolicy/KLAfter,door-lock-v1/AverageDiscountedReturn,MetaTest/door-lock-v1/AverageReturn,door-lock-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/door-lock-v1/MaxReturn,MetaTest/door-lock-v1/MinReturn,MetaTest/door-lock-v1/StdReturn,Average/SuccessRate,Average/StdReturn,MetaTest/door-lock-v1/Iteration
2743.6269619886225,2743.6269619886225,-25.99054777885435,0.0,0.0013862969353795052,0.0,1.0,0.0,200,-78.26404894456616,0,243.14023296915562,-33.27196105901676,1,1.0,200,0.0,0.0008081981213763356,-15.055260618912113,-25.99054777885435,0,5.703333854675293,1,-33.27196105901676,0.0,0,-33.27196105901676,0.0,0.0005780988140031695,-33.27196105901676,-78.26404894456616,-33.27196105901676,80000,0.009872986003756523,-15.055260618912113,-33.27196105901676,0,0.0,-33.27196105901676,-33.27196105901676,0.0,0.0,243.14023296915562,0
14781.0737695288,14781.0737695288,221.2816315740366,0.0,-0.00036691222339868546,0.0,0.0,0.0,200,-72.41790893151703,1,1301.590255672594,-26.082671909087146,1,0.0,200,0.0,0.0008165572071447968,35.52277571854091,221.2816315740366,1,5.700515270233154,1,-26.08267190908716,0.0,1,-26.082671909087146,0.0,-0.0011834694305434823,-26.08267190908716,-72.41790893151703,-26.082671909087146,160000,0.006388186011463404,35.52277571854091,-26.082671909087146,1,0.0,-26.082671909087146,-26.082671909087146,0.0,0.0,1301.590255672594,1
30222.334208041462,30222.334208041462,412.3685094597112,0.0,-0.00040382874431088567,0.0,0.0,0.01,200,-59.86615396727719,2,2309.727405573124,266.0136155329129,1,0.0,200,0.0,0.0004478348419070244,88.55938552278818,412.3685094597112,2,5.6764726638793945,1,266.0136155329131,0.0,2,266.0136155329129,0.0,-0.00085166358621791,266.0136155329131,-59.86615396727719,266.0136155329129,240000,0.008317412808537483,88.55938552278818,266.0136155329129,2,0.0,266.0136155329129,266.0136155329129,0.0,0.01,2309.727405573124,2
30871.136054723585,30871.136054723585,874.3667830208032,0.0,-0.0009728839504532516,0.0,0.0,0.005,200,-52.423966868537484,3,3062.8764689913924,3131.0469547645675,1,0.0,200,0.0,0.0005165843176655471,235.13934532884764,874.3667830208032,3,5.64771842956543,1,3131.046954764567,0.0,3,3131.0469547645675,0.0,-0.0014894682681187987,3131.046954764567,-52.423966868537484,3131.0469547645675,320000,0.007319788448512554,235.13934532884764,3131.0469547645675,3,0.0,3131.0469547645675,3131.0469547645675,0.0,0.005,3062.8764689913924,3
73192.21677371993,73192.21677371993,2057.6958772363228,0.0,-1.7313050193479285e-05,0.0,0.0,0.01,200,-45.45945262152614,4,7182.085505881351,-29.101688658903814,1,0.0,200,0.0,3.938741429010406e-06,515.6846494030106,2057.6958772363228,4,5.626266002655029,1,-29.101688658903804,0.0,4,-29.101688658903814,0.0,-2.125179162248969e-05,-29.101688658903804,-45.45945262152614,-29.101688658903814,400000,0.002420182805508375,515.6846494030106,-29.101688658903814,4,0.0,-29.101688658903814,-29.101688658903814,0.0,0.01,7182.085505881351,4
35345.580899943976,35345.580899943976,1772.5354414492522,0.0,-1.0713129086070694e-05,0.0,0.0,0.0,200,-46.09663641202927,5,4521.920946296786,-24.527090307161956,1,0.0,200,0.0,2.622221472847741e-06,499.38613393298743,1772.5354414492522,5,5.612699031829834,1,-24.527090307161973,0.0,5,-24.527090307161956,0.0,-1.3335350558918435e-05,-24.527090307161973,-46.09663641202927,-24.527090307161956,480000,0.00176970602478832,499.38613393298743,-24.527090307161956,5,0.0,-24.527090307161956,-24.527090307161956,0.0,0.0,4521.920946296786,5
31902.84675463896,31902.84675463896,1931.2897344006017,0.0,3.161709901178256e-05,0.0,0.0,0.005,200,-41.66612213328774,6,4151.299524936541,5237.360387037429,1,0.0,200,0.0,4.1495841287542135e-06,552.0204084745126,1931.2897344006017,6,5.6520185470581055,1,5237.360387037429,0.0,6,5237.360387037429,0.0,2.7467514883028343e-05,5237.360387037429,-41.66612213328774,5237.360387037429,560000,0.002343435538932681,552.0204084745126,5237.360387037429,6,0.0,5237.360387037429,5237.360387037429,0.0,0.005,4151.299524936541,6
76542.89930561736,76542.89930561736,3310.633498384089,0.0,-9.677423804532737e-07,0.0,0.0,0.0,200,-40.65093560581047,7,7741.777451509048,2475.4525356375693,1,0.0,200,0.0,2.0651555132644717e-07,960.5200111851062,3310.633498384089,7,5.651188373565674,1,2475.45253563757,0.0,7,2475.4525356375693,0.0,-1.1742579317797208e-06,2475.45253563757,-40.65093560581047,2475.4525356375693,640000,0.000144199060741812,960.5200111851062,2475.4525356375693,7,0.0,2475.4525356375693,2475.4525356375693,0.0,0.0,7741.777451509048,7
60913.17272045933,60913.17272045933,4210.654749387499,0.0,9.66169181992882e-07,0.0,0.0,0.0,200,-33.75411365092248,8,7514.167699750027,25627.40545766947,1,0.0,200,0.0,2.7531871182873147e-07,1174.5142080478572,4210.654749387499,8,5.652036666870117,1,25627.405457669473,0.0,8,25627.40545766947,0.0,6.908504701641505e-07,25627.405457669473,-33.75411365092248,25627.40545766947,720000,0.00019270148186478764,1174.5142080478572,25627.40545766947,8,0.0,25627.40545766947,25627.40545766947,0.0,0.0,7514.167699750027,8
53151.922052385475,53151.922052385475,4582.262546623697,0.0,-1.5820505723240785e-06,0.0,0.0,0.005,200,-36.283665251548015,9,7766.108420801948,21573.278101827902,1,0.0,200,0.0,7.204107532743365e-08,1390.9511187866622,4582.262546623697,9,5.6504058837890625,1,21573.278101827906,0.0,9,21573.278101827902,0.0,-1.6540916476515122e-06,21573.278101827906,-36.283665251548015,21573.278101827902,800000,5.068741666036658e-05,1390.9511187866622,21573.278101827902,9,0.0,21573.278101827902,21573.278101827902,0.0,0.005,7766.108420801948,9
