MetaTest/coffee-pull-v1/MaxReturn,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/coffee-pull-v1/Iteration,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/coffee-pull-v1/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTrain/Average/AlphaLoss,MetaTest/coffee-pull-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn
78.80365213938266,-30.347305148186997,8.090352,0,78.80365213938266,nan,10,224000,-30.347305148186983,0.0,-30.347305148186983,10,0.0,-30.347305148186997,0.0,0.0,6539.262,36.51427547808249,0,-87.867134,4.9850235,-48.06078269851171,-48.06078269851171,36.51427547808249
3340.1271979171634,397.1892835372752,22.94196,1,3340.1271979171634,nan,10,248000,397.18928353727523,0.0,397.18928353727523,10,0.0,397.1892835372752,0.0,0.0,8918.712,996.2424101650207,1,-331.61182,3.7098408,-34.3059552687392,-34.3059552687392,996.2424101650207
680.9137969308366,63.20060303880307,33.833214,2,680.9137969308366,nan,10,272000,63.200603038803116,0.0,63.200603038803116,10,0.0,63.20060303880307,0.0,0.0,46864.434,221.8418768656941,2,-1930.363,-2.7850025,-38.18552554656876,-38.18552554656876,221.8418768656941
1925.1066354648033,282.8077740952153,73.15915,3,1925.1066354648033,nan,10,296000,282.8077740952152,0.0,282.8077740952152,10,0.0,282.8077740952153,0.0,0.0,148138.0,570.5914188585051,3,-10269.964,-10.143245,-23.01085927637559,-23.01085927637559,570.5914188585051
-46.994456671243256,-74.23142470275907,109.7666,4,-46.994456671243256,nan,10,320000,-74.23142470275906,0.0,-74.23142470275906,10,0.0,-74.23142470275907,0.0,0.0,65266.12,24.538370142878996,4,-8322.931,-3.8239467,-100.61822677589817,-100.61822677589817,24.538370142878996
836.8745203163705,56.77086668982012,367.45187,5,836.8745203163705,nan,10,344000,56.77086668982012,0.0,56.77086668982012,10,0.0,56.77086668982012,0.0,0.0,25273.934,260.0746286071798,5,-1374.1047,0.40943995,-35.21081982363877,-35.21081982363877,260.0746286071798
1721.737257355089,306.7223103260415,156.13914,6,1721.737257355089,nan,10,368000,306.72231032604157,0.0,306.72231032604157,10,0.0,306.7223103260415,0.0,0.0,69268.484,657.217711093307,6,-6843.048,-7.9054337,-36.66647373603822,-36.66647373603822,657.217711093307
771.1522891813357,68.78154242234696,150.89178,7,771.1522891813357,nan,10,392000,68.78154242234702,0.0,68.78154242234702,10,0.0,68.78154242234696,0.0,0.0,94491.05,248.46089518762597,7,-9887.212,-9.819437,-41.730713063398696,-41.730713063398696,248.46089518762597
2690.1663661276166,303.54314185581876,730.18054,8,2690.1663661276166,nan,10,416000,303.5431418558188,0.0,303.5431418558188,10,0.0,303.54314185581876,0.0,0.0,87907.766,802.6858341139124,8,-10265.076,-8.977543,-29.428046687894657,-29.428046687894657,802.6858341139124
9743.073760628446,1435.6520744634247,228.06767,9,9743.073760628446,nan,10,440000,1435.6520744634247,0.0,1435.6520744634247,10,0.0,1435.6520744634247,0.0,0.0,92803.07,2888.0275246433775,9,-11736.314,-8.84683,-39.62680112095959,-39.62680112095959,2888.0275246433775
7409.160709340825,1132.2780971013267,287.17285,10,7409.160709340825,nan,10,464000,1132.278097101327,0.0,1132.278097101327,10,0.0,1132.2780971013267,0.0,0.0,95003.586,2166.640679532775,10,-10943.021,-7.80875,-39.848329488533004,-39.848329488533004,2166.640679532775
1343.1616056320825,212.64713924117163,1283.2208,11,1343.1616056320825,nan,10,488000,212.6471392411714,0.0,212.6471392411714,10,0.0,212.64713924117163,0.0,0.0,67169.336,555.7477928602949,11,-5975.801,-3.5606935,-108.81715496386015,-108.81715496386015,555.7477928602949
2522.231916761734,216.47205493723155,952.1466,12,2522.231916761734,nan,10,512000,216.47205493723146,0.0,216.47205493723146,10,0.0,216.47205493723155,0.0,0.0,88887.07,768.8230077990685,12,-8167.581,-7.2128654,-90.96719207447933,-90.96719207447933,768.8230077990685
648.1521142004152,96.06307906381242,1060.0225,13,648.1521142004152,nan,10,536000,96.06307906381242,0.0,96.06307906381242,10,0.0,96.06307906381242,0.0,0.0,107884.0,220.09410792164536,13,-9399.45,-6.9809384,-47.062236054108915,-47.062236054108915,220.09410792164536
6165.8741672407405,769.6615451396946,745.62476,14,6165.8741672407405,nan,10,560000,769.6615451396941,0.0,769.6615451396941,10,0.0,769.6615451396946,0.0,0.0,78382.52,1853.9406001429131,14,-5933.42,-3.2227142,-39.14630710818646,-39.14630710818646,1853.9406001429131
1206.2784443860467,264.8659368602233,461.03632,15,1206.2784443860467,nan,10,584000,264.8659368602233,0.0,264.8659368602233,10,0.0,264.8659368602233,0.0,0.0,51119.664,426.09204841010757,15,-2300.691,-0.71801466,-74.65464491159464,-74.65464491159464,426.09204841010757
6607.443898937293,1276.3558733331877,257.1777,16,6607.443898937293,nan,10,608000,1276.355873333188,0.0,1276.355873333188,10,0.0,1276.3558733331877,0.0,0.0,109163.66,2079.7741700826678,16,-7695.485,-5.9703712,-85.42214521860839,-85.42214521860839,2079.7741700826678
