MetaTest/sweep-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/SuccessRate,MetaTest/sweep-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/sweep-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/sweep-v1/NumEpisodes,MetaTest/sweep-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/sweep-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/Alpha,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumEpisodes,MetaTest/sweep-v1/AverageReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/sweep-v1/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/sweep-v1/Iteration
29.365050903959236,569.0114618974727,0.0,5.851295,0.0,0.0,29.36505090395921,-43.49060288984857,29.365050903959236,179.9819019467179,10,569.0114618974727,0,179.9819019467179,0.6803397,0.8692427,8.169101,10,29.36505090395921,112000,-43.49060288984857,0.0,0.6052273,0
-30.3246564171641,30.659038487067285,0.0,4.4524345,0.0,0.0,-30.3246564171641,-48.98314250714354,-30.3246564171641,21.01949307776338,10,30.659038487067285,1,21.01949307776338,1.5312266,0.6623683,10.740598,10,-30.3246564171641,124000,-48.98314250714354,0.0,9.297841,1
-51.30253964816826,-22.845618830214686,0.0,3.2962105,0.0,0.0,-51.30253964816827,-80.73458458268766,-51.30253964816826,19.000644335898937,10,-22.845618830214686,2,19.000644335898937,364.28275,0.5118692,26.848293,10,-51.30253964816827,136000,-80.73458458268766,0.0,19.021147,2
-44.14179378342848,-35.454397602406715,0.0,2.28798,0.0,0.0,-44.14179378342847,-53.95584375827655,-44.14179378342848,5.398875878375908,10,-35.454397602406715,3,5.398875878375908,346.036,0.40013734,7.940572,10,-44.14179378342847,148000,-53.95584375827655,0.0,17.592516,3
-27.301152534293898,-10.915396528198722,0.0,1.6098882,0.0,0.0,-27.301152534293898,-41.144497253360726,-27.301152534293898,7.503024931319296,10,-10.915396528198722,4,7.503024931319296,414.74103,0.31461638,13.254065,10,-27.301152534293898,160000,-41.144497253360726,0.0,13.845732,4
-23.83423162054924,7.399479194622066,0.0,0.7176298,0.0,0.0,-23.834231620549236,-41.235913608473034,-23.83423162054924,14.200462248945898,10,7.399479194622066,5,14.200462248945898,1139.2681,0.25555587,15.141273,10,-23.834231620549236,172000,-41.235913608473034,0.0,-58.021206,5
-35.37810084289052,-8.333661262826123,0.0,-0.085224606,0.0,0.0,-35.378100842890504,-51.99236468942938,-35.37810084289052,13.334840081735358,10,-8.333661262826123,6,13.334840081735358,1893.6113,0.23543595,14.629314,10,-35.378100842890504,184000,-51.99236468942938,0.0,-265.40103,6
-26.904486677144565,-12.384005573515957,0.0,-0.7827795,0.0,0.0,-26.904486677144558,-47.42039636240229,-26.904486677144565,10.078604141598015,10,-12.384005573515957,7,10.078604141598015,4113.444,0.2997663,19.42626,10,-26.904486677144558,196000,-47.42039636240229,0.0,-627.201,7
-45.8891559411864,-26.573340748938456,0.0,-1.4077505,0.0,0.0,-45.88915594118641,-58.73750736617015,-45.8891559411864,9.768548464097005,10,-26.573340748938456,8,9.768548464097005,5188.033,0.4307396,21.109173,10,-45.88915594118641,208000,-58.73750736617015,0.0,-1159.1296,8
-43.5962689700039,-38.092119578156904,0.0,-2.1085675,0.0,0.0,-43.596268970003905,-52.772279346349734,-43.5962689700039,4.666049248572728,10,-38.092119578156904,9,4.666049248572728,9930.972,0.60024184,20.659775,10,-43.596268970003905,220000,-52.772279346349734,0.0,-2057.1587,9
