MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/soccer-v1/NumTrajs,MetaTest/soccer-v1/MaxReturn,MetaTest/soccer-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTest/soccer-v1/SuccessRate,MetaTest/soccer-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/soccer-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/soccer-v1/Iteration
1056.2143998221886,10,4607.305857232232,-24.994855201638945,0.0,0.0,0.0,4607.305857232232,0.0,1056.2143998221886,0,1541.7744132705461,224000,1056.2143998221886,1056.2143998221886,10,1541.7744132705461,-24.994855201638945,0
3495.8350161378526,10,35315.567791549285,-85.23230528224308,0.0,0.0,0.0,35315.567791549285,0.0,3495.8350161378503,1,10606.603138838254,248000,3495.8350161378503,3495.8350161378526,10,10606.603138838254,-85.23230528224308,1
-100.13228059332388,10,-25.065236684300594,-122.95956525446158,0.0,0.0,0.0,-25.065236684300594,0.0,-100.13228059332388,2,27.91355699387449,272000,-100.13228059332388,-100.13228059332388,10,27.91355699387449,-122.95956525446158,2
46.099388841084476,10,788.1126761415197,-64.70849285377481,0.0,0.0,0.0,788.1126761415197,0.0,46.09938884108452,3,247.9234284954652,296000,46.09938884108452,46.099388841084476,10,247.9234284954652,-64.70849285377481,3
12.423603142520665,10,592.348899037605,-98.53897711422498,0.0,0.0,0.0,592.348899037605,0.0,12.423603142520625,4,194.47295780429107,320000,12.423603142520625,12.423603142520665,10,194.47295780429107,-98.53897711422498,4
6584.389275161785,10,66095.18759656478,-42.9927096287345,0.0,0.0,0.0,66095.18759656478,0.0,6584.38927516179,5,19836.937372246597,344000,6584.38927516179,6584.389275161785,10,19836.937372246597,-42.9927096287345,5
9629.641813310405,10,96640.58042330184,-84.70642143710775,0.0,0.0,0.0,96640.58042330184,0.0,9629.641813310416,6,29003.652042572005,368000,9629.641813310416,9629.641813310405,10,29003.652042572005,-84.70642143710775,6
237.67092437138336,10,1670.7746138145253,-96.17819200873684,0.0,0.0,0.0,1670.7746138145253,0.0,237.6709243713833,7,552.7842226548998,392000,237.6709243713833,237.67092437138336,10,552.7842226548998,-96.17819200873684,7
5034.160967872279,10,50379.06609196296,-31.95619066944817,0.0,0.0,0.0,50379.06609196296,0.0,5034.160967872278,8,15114.99761654928,416000,5034.160967872278,5034.160967872279,10,15114.99761654928,-31.95619066944817,8
3338.4620918349588,10,34078.84951931443,-101.1463958678163,0.0,0.0,0.0,34078.84951931443,0.0,3338.4620918349565,9,10246.821247059468,440000,3338.4620918349565,3338.4620918349588,10,10246.821247059468,-101.1463958678163,9
3108.8959977028503,10,13048.1788246712,-37.77848949932512,0.1,0.1,0.0,13048.1788246712,0.0,3108.8959977028503,10,4199.6375368233,464000,3108.8959977028503,3108.8959977028503,10,4199.6375368233,-37.77848949932512,10
18345.2249917152,10,97805.53142689906,-52.82424757149007,0.0,0.0,0.0,97805.53142689906,0.0,18345.224991715197,11,30727.508268394155,488000,18345.224991715197,18345.2249917152,10,30727.508268394155,-52.82424757149007,11
22923.981670553272,10,90280.17481924406,-33.24284707923227,0.0,0.0,0.0,90280.17481924406,0.0,22923.98167055328,12,32292.905803840094,512000,22923.98167055328,22923.981670553272,10,32292.905803840094,-33.24284707923227,12
9539.724027007094,10,90728.30350984161,-47.46320293394769,0.0,0.0,0.0,90728.30350984161,0.0,9539.724027007092,13,27079.043852512765,536000,9539.724027007092,9539.724027007094,10,27079.043852512765,-47.46320293394769,13
14510.096003164543,10,94576.15481023284,-18.89471658534189,0.2,0.2,0.0,94576.15481023284,0.0,14510.096003164548,14,30639.98864489185,560000,14510.096003164548,14510.096003164543,10,30639.98864489185,-18.89471658534189,14
6397.551193294137,10,61998.34239331189,-74.71109653758978,0.2,0.2,0.0,61998.34239331189,0.0,6397.551193294139,15,18538.424017909598,584000,6397.551193294139,6397.551193294137,10,18538.424017909598,-74.71109653758978,15
71.21729529747701,10,448.3097618015646,-51.43294539976721,0.2,0.2,0.0,448.3097618015646,0.0,71.21729529747692,16,173.86754163772775,608000,71.21729529747692,71.21729529747701,10,173.86754163772775,-51.43294539976721,16
15430.077711314225,10,77893.98783573175,-45.58467525323697,0.3,0.3,0.0,77893.98783573175,0.0,15430.077711314221,17,30929.165904172998,632000,15430.077711314221,15430.077711314225,10,30929.165904172998,-45.58467525323697,17
7719.225023863847,10,31488.31320998805,-54.947671277666245,0.4,0.4,0.0,31488.31320998805,0.0,7719.225023863847,18,12065.376656456167,656000,7719.225023863847,7719.225023863847,10,12065.376656456167,-54.947671277666245,18
883.7376640538408,10,9031.362292363665,-51.33703226745309,0.3,0.3,0.0,9031.362292363665,0.0,883.7376640538411,19,2715.899653867377,680000,883.7376640538411,883.7376640538408,10,2715.899653867377,-51.33703226745309,19
30.97432517501371,10,464.92986222955705,-22.875611070518744,0.5,0.5,0.0,464.92986222955705,0.0,30.974325175013753,20,144.68129816966092,704000,30.974325175013753,30.97432517501371,10,144.68129816966092,-22.875611070518744,20
-26.983064622412478,10,-13.961465025752528,-52.65329347361982,0.5,0.5,0.0,-13.961465025752528,0.0,-26.983064622412478,21,13.15577660022431,728000,-26.983064622412478,-26.983064622412478,10,13.15577660022431,-52.65329347361982,21
