MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/plate-slide-side-v1/StdReturn,MetaTest/plate-slide-side-v1/NumTrajs,MetaTest/plate-slide-side-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/plate-slide-side-v1/TerminationRate,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/plate-slide-side-v1/MinReturn,MetaTest/plate-slide-side-v1/AverageReturn,MetaTest/plate-slide-side-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/plate-slide-side-v1/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/plate-slide-side-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/Iteration
10,1.6453926800558185,1.6453926800558185,10,-63.42156826630994,-63.42156826630994,-63.421568266309954,0.0,0.0,224000,-65.62661806204933,-63.421568266309954,-60.128991964937356,-60.128991964937356,0.0,0.0,0,-65.62661806204933,0
10,1.5768137017164305,1.5768137017164305,10,-19.19808991399523,-19.19808991399523,-19.198089913995226,0.0,0.0,248000,-23.717679192677764,-19.198089913995226,-17.809729264013857,-17.809729264013857,0.0,0.0,1,-23.717679192677764,1
10,2002.1868075527284,2002.1868075527284,10,594.3208771394965,594.3208771394965,594.3208771394959,0.0,0.0,272000,-126.32253500154766,594.3208771394959,6599.474877611175,6599.474877611175,0.0,0.0,2,-126.32253500154766,2
10,26.395796610848883,26.395796610848883,10,-62.13424088093105,-62.13424088093105,-62.13424088093109,0.0,0.0,296000,-95.12592674815693,-62.13424088093109,-37.52591388527933,-37.52591388527933,0.0,0.0,3,-95.12592674815693,3
10,22.882649463427786,22.882649463427786,10,-70.44479163291926,-70.44479163291926,-70.44479163291925,0.0,0.0,320000,-95.28936628252286,-70.44479163291925,-28.61180045281062,-28.61180045281062,0.0,0.0,4,-95.28936628252286,4
10,12.71247426084348,12.71247426084348,10,-62.96613566870601,-62.96613566870601,-62.96613566870601,0.0,0.0,344000,-69.39626026490775,-62.96613566870601,-24.912609525052098,-24.912609525052098,0.0,0.0,5,-69.39626026490775,5
10,120.00805249018802,120.00805249018802,10,-19.568896960962743,-19.568896960962743,-19.568896960962707,0.0,0.0,368000,-82.88585842862697,-19.568896960962707,338.3843409110539,338.3843409110539,0.1,0.1,6,-82.88585842862697,6
10,92.00260319653604,92.00260319653604,10,-30.14288781375567,-30.14288781375567,-30.142887813755657,0.0,0.0,392000,-96.92136500454241,-30.142887813755657,240.66244865614524,240.66244865614524,0.0,0.0,7,-96.92136500454241,7
10,2629.4230478258596,2629.4230478258596,10,1409.8448172282494,1409.8448172282494,1409.8448172282494,0.0,0.0,416000,-113.44577733600542,1409.8448172282494,7456.705708083402,7456.705708083402,0.0,0.0,8,-113.44577733600542,8
10,5647.253219712162,5647.253219712162,10,5518.195578815401,5518.195578815401,5518.195578815401,0.0,0.0,440000,-87.68250265807563,5518.195578815401,18186.099038079516,18186.099038079516,0.0,0.0,9,-87.68250265807563,9
10,1481.2112166232796,1481.2112166232796,10,558.8919725003809,558.8919725003809,558.8919725003802,0.0,0.0,464000,-115.81067310023722,558.8919725003802,4954.951067426022,4954.951067426022,0.0,0.0,10,-115.81067310023722,10
10,2195.64673136832,2195.64673136832,10,1499.0882823664726,1499.0882823664726,1499.0882823664717,0.0,0.0,488000,-85.51701943047159,1499.0882823664717,6085.170444912975,6085.170444912975,0.1,0.1,11,-85.51701943047159,11
10,2131.6597959716255,2131.6597959716255,10,1369.7131267838076,1369.7131267838076,1369.713126783808,0.0,0.0,512000,-102.52225955200099,1369.713126783808,6902.778703295267,6902.778703295267,0.1,0.1,12,-102.52225955200099,12
10,546.3703757728009,546.3703757728009,10,198.30299002462266,198.30299002462266,198.3029900246228,0.0,0.0,536000,-63.90949663528807,198.3029900246228,1744.4359440123346,1744.4359440123346,0.0,0.0,13,-63.90949663528807,13
10,2535.109244866809,2535.109244866809,10,1147.6463282208183,1147.6463282208183,1147.6463282208183,0.0,0.0,560000,-48.8873330101069,1147.6463282208183,8581.701009847126,8581.701009847126,0.1,0.1,14,-48.8873330101069,14
10,381.3737289307869,381.3737289307869,10,69.3773267429626,69.3773267429626,69.37732674296278,0.0,0.0,584000,-80.52181240365395,69.37732674296278,1212.77417807749,1212.77417807749,0.1,0.1,15,-80.52181240365395,15
10,39077.36604362857,39077.36604362857,10,17292.536547803884,17292.536547803884,17292.536547803895,0.0,0.0,608000,-42.10585243392766,17292.536547803895,133098.390460609,133098.390460609,0.4,0.4,16,-42.10585243392766,16
10,12690.95651498604,12690.95651498604,10,4201.031780819622,4201.031780819622,4201.031780819619,0.0,0.0,632000,-75.45027689389995,4201.031780819619,42273.86886315333,42273.86886315333,0.4,0.4,17,-75.45027689389995,17
10,3.0023318936200583,3.0023318936200583,10,-34.84885053348792,-34.84885053348792,-34.84885053348792,0.0,0.0,656000,-43.80571282952455,-34.84885053348792,-33.36434627113654,-33.36434627113654,0.0,0.0,18,-43.80571282952455,18
10,9.477384271289802,9.477384271289802,10,-48.78775112462039,-48.78775112462039,-48.7877511246204,0.0,0.0,680000,-59.69189285348208,-48.7877511246204,-21.58457707418685,-21.58457707418685,0.0,0.0,19,-59.69189285348208,19
10,13.301829566026306,13.301829566026306,10,-64.36864491289614,-64.36864491289614,-64.36864491289612,0.0,0.0,704000,-77.6333273160723,-64.36864491289612,-35.02716662712846,-35.02716662712846,0.3,0.3,20,-77.6333273160723,20
10,4786.301953075039,4786.301953075039,10,1549.4100536273158,1549.4100536273158,1549.4100536273152,0.0,0.0,728000,-63.329065527238726,1549.4100536273152,15908.287775266575,15908.287775266575,0.4,0.4,21,-63.329065527238726,21
10,8096.429533088094,8096.429533088094,10,3872.578595161721,3872.578595161721,3872.5785951617218,0.0,0.0,752000,-48.78969432221573,3872.5785951617218,27102.998142403274,27102.998142403274,0.2,0.2,22,-48.78969432221573,22
10,21194.938547433936,21194.938547433936,10,12690.854981720313,12690.854981720313,12690.854981720298,0.0,0.0,776000,-77.57929140938676,12690.854981720298,69357.81832720616,69357.81832720616,0.0,0.0,23,-77.57929140938676,23
10,19716.3951645258,19716.3951645258,10,18523.132202318615,18523.132202318615,18523.13220231861,0.0,0.0,800000,-73.71883920455036,18523.13220231861,57195.599600305,57195.599600305,0.1,0.1,24,-73.71883920455036,24
10,12904.252954453268,12904.252954453268,10,4926.265587978253,4926.265587978253,4926.265587978257,0.0,0.0,824000,-56.42201032868964,4926.265587978257,43555.83213238361,43555.83213238361,0.0,0.0,25,-56.42201032868964,25
10,26794.79853675448,26794.79853675448,10,19042.595541057366,19042.595541057366,19042.59554105736,0.0,0.0,848000,-59.40373346477212,19042.59554105736,73096.37758889714,73096.37758889714,0.1,0.1,26,-59.40373346477212,26
10,26809.395953739982,26809.395953739982,10,30888.927120804474,30888.927120804474,30888.92712080449,0.0,0.0,872000,-70.43955560638113,30888.92712080449,72147.6332020947,72147.6332020947,0.0,0.0,27,-70.43955560638113,27
10,27107.4888866291,27107.4888866291,10,49289.90859925051,49289.90859925051,49289.9085992505,0.0,0.0,896000,1767.58086668101,49289.9085992505,85010.93469279967,85010.93469279967,0.1,0.1,28,1767.58086668101,28
10,1032.4574292462555,1032.4574292462555,10,1720.4309648697367,1720.4309648697367,1720.4309648697367,0.0,0.0,920000,599.8085419249676,1720.4309648697367,3992.388803026874,3992.388803026874,0.0,0.0,29,599.8085419249676,29
10,16508.733240399353,16508.733240399353,10,17615.64585409279,17615.64585409279,17615.645854092785,0.0,0.0,944000,-60.50545775912771,17615.645854092785,54958.572731013934,54958.572731013934,0.2,0.2,30,-60.50545775912771,30
10,21590.84769215061,21590.84769215061,10,16504.726899286936,16504.726899286936,16504.726899286936,0.0,0.0,968000,-17.779848439782757,16504.726899286936,59736.19355428553,59736.19355428553,0.1,0.1,31,-17.779848439782757,31
10,23607.029507209445,23607.029507209445,10,16483.73553078496,16483.73553078496,16483.735530784965,0.0,0.0,992000,190.36336610359749,16483.735530784965,60600.35517334925,60600.35517334925,0.1,0.1,32,190.36336610359749,32
10,29968.809647059497,29968.809647059497,10,25745.84402833631,25745.84402833631,25745.84402833631,0.0,0.0,1016000,1888.4239898928336,25745.84402833631,73708.34243748215,73708.34243748215,0.0,0.0,33,1888.4239898928336,33
10,22459.2297766512,22459.2297766512,10,26467.062895387277,26467.062895387277,26467.062895387277,0.0,0.0,1040000,-45.66924084417369,26467.062895387277,68307.64501848727,68307.64501848727,0.0,0.0,34,-45.66924084417369,34
10,8815.088070225649,8815.088070225649,10,13830.794310995221,13830.794310995221,13830.794310995221,0.0,0.0,1064000,4724.088962811997,13830.794310995221,33226.16601401836,33226.16601401836,0.0,0.0,35,4724.088962811997,35
10,28461.046171029633,28461.046171029633,10,30989.445324071236,30989.445324071236,30989.445324071236,0.0,0.0,1088000,-14.064778696870903,30989.445324071236,69410.33047966208,69410.33047966208,0.0,0.0,36,-14.064778696870903,36
10,25854.979138143462,25854.979138143462,10,32186.710494100476,32186.710494100476,32186.710494100484,0.0,0.0,1112000,898.2228712627422,32186.710494100484,77068.80374138671,77068.80374138671,0.0,0.0,37,898.2228712627422,37
10,23304.976659233133,23304.976659233133,10,47764.66033647665,47764.66033647665,47764.66033647665,0.0,0.0,1136000,590.0518242277409,47764.66033647665,76342.69916844302,76342.69916844302,0.0,0.0,38,590.0518242277409,38
10,12436.856444885378,12436.856444885378,10,49059.10383888882,49059.10383888882,49059.10383888882,0.0,0.0,1160000,30681.712909997805,49059.10383888882,70956.86908207154,70956.86908207154,0.0,0.0,39,30681.712909997805,39
10,21130.13389813926,21130.13389813926,10,20628.744828446015,20628.744828446015,20628.744828446022,0.0,0.0,1184000,-14.824817311490046,20628.744828446022,54416.41914508659,54416.41914508659,0.0,0.0,40,-14.824817311490046,40
10,24856.224673501503,24856.224673501503,10,16512.375962218208,16512.375962218208,16512.37596221821,0.0,0.0,1208000,-53.256359519643006,16512.37596221821,71511.7076341805,71511.7076341805,0.0,0.0,41,-53.256359519643006,41
10,16326.858194126326,16326.858194126326,10,14880.036236636972,14880.036236636972,14880.036236636975,0.0,0.0,1232000,-22.62774831355887,14880.036236636975,50826.564465562384,50826.564465562384,0.0,0.0,42,-22.62774831355887,42
10,26827.946547139116,26827.946547139116,10,27297.272060203395,27297.272060203395,27297.272060203388,0.0,0.0,1256000,-17.123793522538154,27297.272060203388,101237.50153299356,101237.50153299356,0.1,0.1,43,-17.123793522538154,43
10,14908.434050220822,14908.434050220822,10,26279.622809476103,26279.622809476103,26279.62280947609,0.0,0.0,1280000,12338.137767504124,26279.62280947609,55096.64247868414,55096.64247868414,0.0,0.0,44,12338.137767504124,44
10,23904.332028408593,23904.332028408593,10,37639.057432378686,37639.057432378686,37639.057432378686,0.0,0.0,1304000,6235.006042262386,37639.057432378686,72783.63973743265,72783.63973743265,0.0,0.0,45,6235.006042262386,45
10,23370.334131135827,23370.334131135827,10,39204.52968809253,39204.52968809253,39204.529688092545,0.0,0.0,1328000,7350.320160444261,39204.529688092545,74034.30777671513,74034.30777671513,0.3,0.3,46,7350.320160444261,46
10,29927.102020840066,29927.102020840066,10,29292.253666358185,29292.253666358185,29292.253666358192,0.0,0.0,1352000,-33.11110985875734,29292.253666358192,95434.07785287435,95434.07785287435,0.2,0.2,47,-33.11110985875734,47
10,47486.05270326344,47486.05270326344,10,60638.50228704638,60638.50228704638,60638.502287046365,0.0,0.0,1376000,5464.860256117818,60638.502287046365,131697.49755027503,131697.49755027503,0.3,0.3,48,5464.860256117818,48
10,52662.517244762515,52662.517244762515,10,47069.32567051987,47069.32567051987,47069.32567051988,0.0,0.0,1400000,4305.0020390073505,47069.32567051988,200369.04663410145,200369.04663410145,0.2,0.2,49,4305.0020390073505,49
10,59194.52789736661,59194.52789736661,10,50615.00861317585,50615.00861317585,50615.00861317585,0.0,0.0,1424000,-79.82944948448903,50615.00861317585,149635.61334006535,149635.61334006535,0.3,0.3,50,-79.82944948448903,50
10,57731.596250333765,57731.596250333765,10,62412.566556110585,62412.566556110585,62412.566556110585,0.0,0.0,1448000,-18.535457763938776,62412.566556110585,147559.26713574748,147559.26713574748,0.4,0.4,51,-18.535457763938776,51
10,77039.6752651254,77039.6752651254,10,93342.06528841915,93342.06528841915,93342.06528841912,0.0,0.0,1472000,6573.867735011869,93342.06528841912,213807.08589394504,213807.08589394504,0.5,0.5,52,6573.867735011869,52
10,52025.008323754395,52025.008323754395,10,120701.79464950631,120701.79464950631,120701.79464950631,0.0,0.0,1496000,21635.557058528157,120701.79464950631,193686.16849457825,193686.16849457825,0.7,0.7,53,21635.557058528157,53
10,35208.84447541881,35208.84447541881,10,48773.21687877513,48773.21687877513,48773.21687877513,0.0,0.0,1520000,15680.020006949266,48773.21687877513,133244.93020029977,133244.93020029977,0.2,0.2,54,15680.020006949266,54
10,53740.67283938584,53740.67283938584,10,52943.3692198232,52943.3692198232,52943.36921982322,0.0,0.0,1544000,9799.007040759667,52943.36921982322,206216.19997556985,206216.19997556985,0.5,0.5,55,9799.007040759667,55
10,52875.31203458981,52875.31203458981,10,70524.74230591404,70524.74230591404,70524.74230591403,0.0,0.0,1568000,21150.595937504233,70524.74230591403,210287.15124733213,210287.15124733213,0.6,0.6,56,21150.595937504233,56
10,40.565555399762594,40.565555399762594,10,-69.613666293992,-69.613666293992,-69.61366629399201,0.0,0.0,1592000,-126.02715374326557,-69.61366629399201,-24.20689718532921,-24.20689718532921,0.0,0.0,57,-126.02715374326557,57
10,31.85299114612133,31.85299114612133,10,-6.192935784381865,-6.192935784381865,-6.192935784381871,0.0,0.0,1616000,-23.253389246094237,-6.192935784381871,88.91344985678721,88.91344985678721,0.0,0.0,58,-23.253389246094237,58
10,59852.18866324891,59852.18866324891,10,42690.49600725218,42690.49600725218,42690.49600725215,0.0,0.0,1640000,-95.46274310943059,42690.49600725215,155596.39003495604,155596.39003495604,0.2,0.2,59,-95.46274310943059,59
10,36375.630080443865,36375.630080443865,10,18903.767520361733,18903.767520361733,18903.767520361736,0.0,0.0,1664000,-123.34804476413287,18903.767520361736,119554.80556354788,119554.80556354788,0.1,0.1,60,-123.34804476413287,60
10,61753.92194912624,61753.92194912624,10,39252.360807655714,39252.360807655714,39252.36080765572,0.0,0.0,1688000,-118.10985158169353,39252.36080765572,162737.0094389478,162737.0094389478,0.3,0.3,61,-118.10985158169353,61
10,16983.954869882597,16983.954869882597,10,12591.277115152936,12591.277115152936,12591.277115152936,0.0,0.0,1712000,-93.09483824957844,12591.277115152936,44023.948925815384,44023.948925815384,0.0,0.0,62,-93.09483824957844,62
