MetaTest/stick-push-v1/MaxReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/stick-push-v1/AverageReturn,MetaTest/stick-push-v1/AverageDiscountedReturn,MetaTest/stick-push-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/stick-push-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/stick-push-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/stick-push-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/stick-push-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/stick-push-v1/NumTrajs
-18.760961175672726,0.0,224000,-21.003501926745464,-21.003501926745457,-24.146846536440105,-21.003501926745457,0.0,0,-24.146846536440105,0.0,-21.003501926745464,1.651802384467407,1.651802384467407,-18.760961175672726,0.0,0,10,10
-14.937275536732178,0.0,248000,-17.446952211678184,-17.44695221167818,-20.548173138115214,-17.44695221167818,0.0,1,-20.548173138115214,0.0,-17.446952211678184,1.7310259578524552,1.7310259578524552,-14.937275536732178,0.0,1,10,10
-13.812337427762248,0.0,272000,-15.772229445476006,-15.772229445476006,-17.433464884808522,-15.772229445476006,0.0,2,-17.433464884808522,0.0,-15.772229445476006,1.228771140353307,1.228771140353307,-13.812337427762248,0.0,2,10,10
-8.694384624170363,0.0,296000,-10.157988570963713,-10.157988570963713,-11.613264058805726,-10.157988570963713,0.0,3,-11.613264058805726,0.0,-10.157988570963713,1.0874109542479458,1.0874109542479458,-8.694384624170363,0.0,3,10,10
-7.125820343853473,0.0,320000,-8.644799525690932,-8.644799525690935,-12.317875839681864,-8.644799525690935,0.0,4,-12.317875839681864,0.0,-8.644799525690932,1.7267483629129632,1.7267483629129632,-7.125820343853473,0.0,4,10,10
-5.802660784082694,0.0,344000,-6.658264755968465,-6.658264755968463,-8.905888375819535,-6.658264755968463,0.0,5,-8.905888375819535,0.0,-6.658264755968465,1.027553355267732,1.027553355267732,-5.802660784082694,0.0,5,10,10
-4.943029141260833,0.0,368000,-6.168380838753908,-6.168380838753906,-7.651338399906372,-6.168380838753906,0.0,6,-7.651338399906372,0.0,-6.168380838753908,0.8870092436662161,0.8870092436662161,-4.943029141260833,0.0,6,10,10
-7.171953715487548,0.0,392000,-8.229684841194402,-8.229684841194402,-9.578392877345651,-8.229684841194402,0.0,7,-9.578392877345651,0.0,-8.229684841194402,0.6364052758438002,0.6364052758438002,-7.171953715487548,0.0,7,10,10
-11.450062749757556,0.0,416000,-13.129758197206376,-13.12975819720638,-15.030646835832133,-13.12975819720638,0.0,8,-15.030646835832133,0.0,-13.129758197206376,1.0663112004448898,1.0663112004448898,-11.450062749757556,0.0,8,10,10
-25.450126824411267,0.0,440000,-27.412983060875412,-27.412983060875412,-28.727146193947984,-27.412983060875412,0.0,9,-28.727146193947984,0.0,-27.412983060875412,0.9639993853490743,0.9639993853490743,-25.450126824411267,0.0,9,10,10
-13.557893657833418,0.0,464000,-16.347673782781776,-16.347673782781772,-19.87435947107058,-16.347673782781772,0.0,10,-19.87435947107058,0.0,-16.347673782781776,1.9836864816434423,1.9836864816434423,-13.557893657833418,0.0,10,10,10
-7.32991238854873,0.0,488000,-16.305826062716214,-16.305826062716214,-21.10381664124272,-16.305826062716214,0.0,11,-21.10381664124272,0.0,-16.305826062716214,4.549394169634973,4.549394169634973,-7.32991238854873,0.0,11,10,10
-12.815344973010575,0.0,512000,-59.11497173826352,-59.11497173826349,-97.69248153325512,-59.11497173826349,0.0,12,-97.69248153325512,0.0,-59.11497173826352,33.43292965622806,33.43292965622806,-12.815344973010575,0.0,12,10,10
-54.08574400689547,0.0,536000,-58.036432013964294,-58.036432013964316,-64.29057998340409,-58.036432013964316,0.0,13,-64.29057998340409,0.0,-58.036432013964294,3.090404982574178,3.090404982574178,-54.08574400689547,0.0,13,10,10
638.1128257263258,0.0,560000,48.43229504710821,48.432295047108276,-33.93855648009231,48.432295047108276,0.0,14,-33.93855648009231,0.0,48.43229504710821,196.78361686465772,196.78361686465772,638.1128257263258,0.0,14,10,10
-11.918003627128874,0.0,584000,-18.03945209297031,-18.039452092970308,-21.54026530347301,-18.039452092970308,0.0,15,-21.54026530347301,0.0,-18.03945209297031,2.410415143519001,2.410415143519001,-11.918003627128874,0.0,15,10,10
146.84784333244352,0.0,608000,16.900117268333624,16.900117268333627,-11.41151918358435,16.900117268333627,0.0,16,-11.41151918358435,0.0,16.900117268333624,44.65419004380458,44.65419004380458,146.84784333244352,0.0,16,10,10
441.8597738797701,0.0,632000,35.77560240942903,35.775602409429055,-19.428707195298102,35.775602409429055,0.0,17,-19.428707195298102,0.0,35.77560240942903,135.58793688278766,135.58793688278766,441.8597738797701,0.0,17,10,10
-17.76797088851258,0.0,656000,-24.650302089984685,-24.650302089984685,-31.39409227809276,-24.650302089984685,0.0,18,-31.39409227809276,0.0,-24.650302089984685,4.266068847751138,4.266068847751138,-17.76797088851258,0.0,18,10,10
18.779773153728,0.0,680000,-18.757301936097708,-18.75730193609771,-32.09243862093787,-18.75730193609771,0.0,19,-32.09243862093787,0.0,-18.757301936097708,13.249622447257291,13.249622447257291,18.779773153728,0.0,19,10,10
1.2509382074164157,0.0,704000,-21.853720235658606,-21.853720235658614,-42.751797203902946,-21.853720235658614,0.0,20,-42.751797203902946,0.0,-21.853720235658606,11.561410451361095,11.561410451361095,1.2509382074164157,0.0,20,10,10
139.49976006285817,0.0,728000,26.4361946211937,26.436194621193685,-11.632042460552658,26.436194621193685,0.0,21,-11.632042460552658,0.0,26.4361946211937,44.83654396307134,44.83654396307134,139.49976006285817,0.0,21,10,10
1.3242992067322041,0.0,752000,-21.07500025391163,-21.075000253911632,-29.157013230824216,-21.075000253911632,0.0,22,-29.157013230824216,0.0,-21.07500025391163,8.557930737117616,8.557930737117616,1.3242992067322041,0.0,22,10,10
69.46351542965665,0.0,776000,1.5371636130376758,1.5371636130376665,-25.7928522417105,1.5371636130376665,0.0,23,-25.7928522417105,0.0,1.5371636130376758,33.73807041826213,33.73807041826213,69.46351542965665,0.0,23,10,10
-17.21970835913871,0.0,800000,-27.175017446554516,-27.175017446554516,-38.65958000377238,-27.175017446554516,0.0,24,-38.65958000377238,0.0,-27.175017446554516,6.541394865955352,6.541394865955352,-17.21970835913871,0.0,24,10,10
52.71286781638344,0.0,824000,-9.634335822985259,-9.634335822985255,-42.09607895505451,-9.634335822985255,0.0,25,-42.09607895505451,0.0,-9.634335822985259,29.72466782992928,29.72466782992928,52.71286781638344,0.0,25,10,10
0.9621331141923322,0.0,848000,-11.276712038354399,-11.276712038354404,-22.589261478831908,-11.276712038354404,0.0,26,-22.589261478831908,0.0,-11.276712038354399,7.54877638992714,7.54877638992714,0.9621331141923322,0.0,26,10,10
-17.542097669423327,0.0,872000,-19.013602411971462,-19.01360241197146,-21.67599040022388,-19.01360241197146,0.0,27,-21.67599040022388,0.0,-19.013602411971462,1.3900676699930863,1.3900676699930863,-17.542097669423327,0.0,27,10,10
-9.709881845528045,0.0,896000,-21.245034576427678,-21.24503457642768,-25.159081828761384,-21.24503457642768,0.0,28,-25.159081828761384,0.0,-21.245034576427678,4.1685269256442,4.1685269256442,-9.709881845528045,0.0,28,10,10
24.288702826151425,0.0,920000,-28.574708191943397,-28.574708191943405,-39.17117910250136,-28.574708191943405,0.0,29,-39.17117910250136,0.0,-28.574708191943397,17.946869035446962,17.946869035446962,24.288702826151425,0.0,29,10,10
-14.087327867761458,0.0,944000,-25.7200824678006,-25.7200824678006,-58.385693310872554,-25.7200824678006,0.0,30,-58.385693310872554,0.0,-25.7200824678006,11.702518731388636,11.702518731388636,-14.087327867761458,0.0,30,10,10
-5.440847844774346,0.0,968000,-23.40515797379175,-23.405157973791745,-31.85665720268803,-23.405157973791745,0.0,31,-31.85665720268803,0.0,-23.40515797379175,9.645400426682366,9.645400426682366,-5.440847844774346,0.0,31,10,10
-34.744678392762104,0.0,992000,-43.76693282393877,-43.766932823938774,-50.52611313318598,-43.766932823938774,0.0,32,-50.52611313318598,0.0,-43.76693282393877,5.2726709320582925,5.2726709320582925,-34.744678392762104,0.0,32,10,10
-29.21934861454263,0.0,1016000,-43.023573500687014,-43.023573500687014,-50.41311455833647,-43.023573500687014,0.0,33,-50.41311455833647,0.0,-43.023573500687014,5.468889058460513,5.468889058460513,-29.21934861454263,0.0,33,10,10
-20.33382976187021,0.0,1040000,-35.11544581976844,-35.11544581976843,-41.857047342729416,-35.11544581976843,0.0,34,-41.857047342729416,0.0,-35.11544581976844,6.143662249445092,6.143662249445092,-20.33382976187021,0.0,34,10,10
-4.749965168361591,0.0,1064000,-31.733149547655813,-31.733149547655813,-86.3812783826861,-31.733149547655813,0.0,35,-86.3812783826861,0.0,-31.733149547655813,21.38181638561079,21.38181638561079,-4.749965168361591,0.0,35,10,10
