MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/push-wall-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/push-wall-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/push-wall-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTest/push-wall-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/push-wall-v1/MaxReturn,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/push-wall-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-wall-v1/AverageReturn,MetaTest/Average/AverageReturn,TotalEnvSteps
-23.93652655468659,8.536934,165.4182538748177,165.4182538748177,540.0151737787214,0,-23.93652655468659,-2.8443305,0,6.7288346,nan,0.0,0.0,0.0,0.0,3.8101168,540.0151737787214,68.1864859033486,10,10,68.1864859033486,68.18648590334857,68.18648590334857,224000
-15.203133574288215,8.563595,359.46614338157315,359.46614338157315,1161.0045973769754,1,-15.203133574288215,-4.962219,1,6.7128124,nan,0.0,0.0,0.0,0.0,16.766132,1161.0045973769754,309.8797858779531,10,10,309.8797858779531,309.8797858779531,309.8797858779531,248000
-43.723304490786646,8.424455,232.01198410352438,232.01198410352438,749.3565504871124,2,-43.723304490786646,-21.32766,2,6.5172753,nan,0.0,0.0,0.0,0.0,303.633,749.3565504871124,64.13662856278295,10,10,64.13662856278295,64.13662856278287,64.13662856278287,272000
-75.6622509645752,26.344582,5.611854095970463,5.611854095970463,-57.00511344041956,3,-75.6622509645752,-156.39902,3,4.2855644,nan,0.0,0.0,0.0,0.0,28918.941,-57.00511344041956,-64.76334280164504,10,10,-64.76334280164504,-64.76334280164504,-64.76334280164504,296000
-47.127936246804666,32.049175,8.473548959023182,8.473548959023182,-20.335323552615783,4,-47.127936246804666,-370.21518,4,2.968959,nan,0.0,0.0,0.0,0.0,57051.49,-20.335323552615783,-35.825481986500606,10,10,-35.825481986500606,-35.82548198650061,-35.82548198650061,320000
-64.32914930457054,20.682825,12.33069131447382,12.33069131447382,-15.3618330222704,5,-64.32914930457054,-806.7172,5,0.25557312,nan,0.0,0.0,0.0,0.0,88260.945,-15.3618330222704,-41.9732385772449,10,10,-41.9732385772449,-41.973238577244885,-41.973238577244885,344000
-65.12821592871728,28.753944,35.92013047278388,35.92013047278388,60.81808595859527,6,-65.12821592871728,-1300.0411,6,-0.7501461,nan,0.0,0.0,0.0,0.0,145053.39,60.81808595859527,-28.95449690494298,10,10,-28.95449690494298,-28.95449690494298,-28.95449690494298,368000
-82.89965766380382,564.7733,35.74527848855438,35.74527848855438,47.81219395986842,7,-82.89965766380382,-1158.3921,7,0.4138254,nan,0.0,0.0,0.0,0.0,1923246.2,47.81219395986842,-36.881754682396,10,10,-36.881754682396,-36.881754682396,-36.881754682396,392000
-85.76214585861874,2072.3628,13.62878265853936,13.62878265853936,-38.52228590797392,8,-85.76214585861874,-4689.5166,8,-1.3179733,nan,0.0,0.0,0.0,0.0,424276.53,-38.52228590797392,-60.87099324533335,10,10,-60.87099324533335,-60.87099324533335,-60.87099324533335,416000
-93.42805046568682,60229.387,34.40412719394064,34.40412719394064,36.30711080002617,9,-93.42805046568682,-131.95558,9,3.6786816,nan,0.0,0.0,0.0,0.0,53967852.0,36.30711080002617,-54.963882408401524,10,10,-54.963882408401524,-54.963882408401574,-54.963882408401574,440000
-88.98225207701125,4632.948,3.8587251022924134,3.8587251022924134,-77.51917406290573,10,-88.98225207701125,415.01093,10,1.299375,nan,0.0,0.0,0.0,0.0,499854.03,-77.51917406290573,-83.13067497000478,10,10,-83.13067497000478,-83.13067497000476,-83.13067497000476,464000
-89.40822771854435,4586.443,1489.555417596195,1489.555417596195,4897.903602640073,11,-89.40822771854435,-403.74033,11,0.7674925,nan,0.0,0.0,0.0,0.0,365093.0,4897.903602640073,574.0651472447925,10,10,574.0651472447925,574.0651472447923,574.0651472447923,488000
-230.53980704448773,3494.0144,577.9245222728454,577.9245222728454,1682.8526817668578,12,-230.53980704448773,-6212.9277,12,-5.445267,nan,0.0,0.0,0.0,0.0,697458.4,1682.8526817668578,258.20094588575967,10,10,258.20094588575967,258.2009458857597,258.2009458857597,512000
-118.95791060388073,326.13043,2851.5891436009097,2851.5891436009097,9562.146683076508,13,-118.95791060388073,-18516.693,13,-11.722003,nan,0.0,0.0,0.0,0.0,1914259.0,9562.146683076508,1058.4066366856239,10,10,1058.4066366856239,1058.4066366856239,1058.4066366856239,536000
-141.95945831910592,115.85486,7654.3256980282495,7654.3256980282495,23481.531374115257,14,-141.95945831910592,-28668.611,14,-13.929257,nan,0.2,0.0,0.0,0.2,3440452.5,23481.531374115257,4589.2793364370755,10,10,4589.2793364370755,4589.279336437078,4589.279336437078,560000
-83.31046791152076,118.10459,2388.0828365407733,2388.0828365407733,7004.52666752102,15,-83.31046791152076,-37537.67,15,-15.149144,nan,0.2,0.0,0.0,0.2,5984367.5,7004.52666752102,1504.5245601671409,10,10,1504.5245601671409,1504.5245601671418,1504.5245601671418,584000
-199.09061632493976,298.50082,42413.37790685659,42413.37790685659,137582.31110413815,16,-199.09061632493976,-60167.047,16,-18.343832,nan,0.3,0.0,0.0,0.3,12654511.0,137582.31110413815,18816.58031784539,10,10,18816.58031784539,18816.580317845397,18816.580317845397,608000
-140.6426920875597,283.15558,44656.83662071466,44656.83662071466,148821.74119573267,17,-140.6426920875597,-73393.91,17,-17.208467,nan,0.2,0.0,0.0,0.2,16337320.0,148821.74119573267,14851.282544559896,10,10,14851.282544559896,14851.282544559892,14851.282544559892,632000
-90.95673348355537,1329.5,3.2946022257057694,3.2946022257057694,-79.9681459560708,18,-90.95673348355537,-54860.223,18,-12.207071,nan,0.0,0.0,0.0,0.0,13222836.0,-79.9681459560708,-85.89709131195369,10,10,-85.89709131195369,-85.8970913119537,-85.8970913119537,656000
-121.56872585513504,175.19325,58487.78371895976,58487.78371895976,195903.08595592578,19,-121.56872585513504,-89804.28,19,-16.228357,nan,0.1,0.0,0.0,0.1,21703496.0,195903.08595592578,20639.488808692124,10,10,20639.488808692124,20639.488808692116,20639.488808692116,680000
