Average/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/handle-pull-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,handle-pull-v1/Iteration,MetaTest/Average/StdReturn,MetaTest/handle-pull-v1/TerminationRate,policy/dLoss,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,Average/AverageDiscountedReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/handle-pull-v1/NumEpisodes,TotalEnvSteps,MetaTest/handle-pull-v1/MaxReturn,Average/Iteration,MetaTest/handle-pull-v1/MinReturn,handle-pull-v1/SuccessRate,handle-pull-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,handle-pull-v1/StdReturn,policy/KL,policy/LossBefore,handle-pull-v1/AverageReturn,MetaTest/handle-pull-v1/AverageDiscountedReturn,MetaTest/handle-pull-v1/AverageReturn,MetaTest/Average/NumEpisodes,policy/LossAfter,Average/StdReturn,MetaTest/handle-pull-v1/Iteration,handle-pull-v1/MinReturn,Average/MaxReturn,policy/Entropy,Average/NumEpisodes,MetaTest/handle-pull-v1/StdReturn,handle-pull-v1/NumEpisodes,handle-pull-v1/AverageDiscountedReturn,Average/SuccessRate,Average/MinReturn,Average/AverageReturn,handle-pull-v1/MaxReturn,policy/KLBefore
0.0,0.0,0.0,0,0.0,0,7.77906767695492,0.0,0.02648802,-43.71645773325203,-55.13770029671663,-70.38333780765022,-20.860589101012938,0.5416889450120137,10,20000,-43.71645773325203,0,-70.38333780765022,0.0,0.0,-55.13770029671663,9.907073420409159,0.008657523,-0.021936228,-56.78035636989346,-55.13770029671663,-55.13770029671663,10,-0.048424248,9.907073420409159,0,-77.31079059608281,-27.333886157497975,5.680122,100,7.77906767695492,100,-20.860589101012938,0.0,-77.31079059608281,-56.78035636989346,-27.333886157497975,0.0
0.0,,,,,1,,,0.3932057,,,,5.3194370321608755,0.09274587093680087,,40000,,1,,0.0,0.0,,339.3762641584132,0.018256757,0.4691648,11.498040323181671,,,,0.07595908,339.3762641584132,,-71.39336796422646,2656.27387433408,5.672485,100,,100,5.3194370321608755,0.0,-71.39336796422646,11.498040323181671,2656.27387433408,0.0
0.0,,,,,2,,,0.5789197,,,,31.094620498631617,0.13992159588618247,,60000,,2,,0.0,0.0,,454.9349859112852,0.012735268,-0.018469727,69.17859373340728,,,,-0.59738946,454.9349859112852,,-55.466521080843265,2658.2600274266765,5.655328,100,,100,31.094620498631617,0.0,-55.466521080843265,69.17859373340728,2658.2600274266765,0.0
0.0,,,,,3,,,6.5876193,,,,640.2292915340652,0.28020645917862763,,80000,,3,,0.0,0.0,,6023.134416410612,0.00582888,1.4246273,1847.7063242973425,,,,-5.162992,6023.134416410612,,-51.795538091944984,57345.91965874135,5.6371665,100,,100,640.2292915340652,0.0,-51.795538091944984,1847.7063242973425,57345.91965874135,0.0
0.0,,,,,4,,,5.6930943,,,,825.2512737044738,0.33580602827961725,,100000,,4,,0.0,0.0,,6973.991176997208,0.007535258,-2.507285,2129.098410710276,,,,-8.200379,6973.991176997208,,-41.26693989032693,67281.51883095612,5.6239314,100,,100,825.2512737044738,0.0,-41.26693989032693,2129.098410710276,67281.51883095612,0.0
0.0,,,,,5,,,4.458909,,,,1091.455305394026,0.23170285532874435,,120000,,5,,0.0,0.0,,4391.336777533852,0.005835049,4.7203584,2734.924807769109,,,,0.26144922,4391.336777533852,,-50.084760620110124,28336.717818663223,5.624354,100,,100,1091.455305394026,0.0,-50.084760620110124,2734.924807769109,28336.717818663223,0.0
0.0,,,,,6,,,8.80152,,,,2369.3156875794525,0.27627974483551,,140000,,6,,0.02,0.0,,9491.76492551341,0.0054198806,0.6320242,5727.602227698106,,,,-8.169497,9491.76492551341,,-38.61279377965218,45205.020208309346,5.623568,100,,100,2369.3156875794525,0.02,-38.61279377965218,5727.602227698106,45205.020208309346,0.0
0.0,,,,,7,,,8.808073,,,,2524.062143608841,0.23156826139042297,,160000,,7,,0.01,0.0,,8687.585697691518,0.0060062385,4.1535983,6290.228051085066,,,,-4.654475,8687.585697691518,,-47.32628957864552,57014.89590764625,5.6204047,100,,100,2524.062143608841,0.01,-47.32628957864552,6290.228051085066,57014.89590764625,0.0
0.0,,,,,8,,,12.970844,,,,2387.1427218173562,0.24442311623843538,,180000,,8,,0.01,0.0,,11254.534538911059,0.0071158777,-5.242829,6288.163090007555,,,,-18.213673,11254.534538911059,,-34.760486745709166,86097.14846415525,5.5993123,100,,100,2387.1427218173562,0.01,-34.760486745709166,6288.163090007555,86097.14846415525,0.0
0.0,,,,,9,,,12.819881,,,,3290.4268676203314,0.3358379121595815,,200000,,9,,0.05,0.0,,13465.882255270026,0.005322963,6.007816,10132.6150863674,,,,-6.8120656,13465.882255270026,,-46.743070011664045,64307.00071517248,5.5866776,100,,100,3290.4268676203314,0.05,-46.743070011664045,10132.6150863674,64307.00071517248,0.0
0.0,0.0,0.0,1,0.0,10,11908.763620480815,0.0,22.902126,39770.162176343125,8899.554348024894,-31.647203557194075,5187.579005890244,0.354747622994118,10,220000,39770.162176343125,10,-31.647203557194075,0.15,0.0,8899.5543480249,22647.51869066162,0.0066512595,8.653068,15171.556720873776,8899.5543480249,8899.554348024894,10,-14.24906,22647.51869066162,1,-37.18736810727402,97669.89534150349,5.5661874,100,11908.763620480815,100,5187.579005890244,0.15,-37.18736810727402,15171.556720873776,97669.89534150349,0.0
