MetaTest/Average/NumTrajs,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTest/hammer-v1/MinReturn,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/hammer-v1/NumTrajs,MetaTest/hammer-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn
10,-22.483931707389615,-27.79191690903474,-22.48393170738962,-27.79191690903474,224000,0,0.0,-22.48393170738962,0,4.687731845569652,10,0.0,-16.30682000652149,-16.30682000652149,0.0,0.0,4.687731845569652,-22.483931707389615
10,-20.9252122072545,-27.758336551234443,-20.925212207254496,-27.758336551234443,248000,1,0.0,-20.925212207254496,1,4.795597939405229,10,0.0,-13.50216677869451,-13.50216677869451,0.0,0.0,4.795597939405229,-20.9252122072545
10,-20.122760460231987,-25.06916897444439,-20.122760460231987,-25.06916897444439,272000,2,0.0,-20.122760460231987,2,3.1621329861056573,10,0.0,-14.969490988545509,-14.969490988545509,0.0,0.0,3.1621329861056573,-20.122760460231987
10,-13.531174141278697,-18.966166163114423,-13.531174141278694,-18.966166163114423,296000,3,0.0,-13.531174141278694,3,3.2328691546364507,10,0.0,-8.457709080542239,-8.457709080542239,0.0,0.0,3.2328691546364507,-13.531174141278697
10,-10.481340223585956,-12.523456588147821,-10.481340223585958,-12.523456588147821,320000,4,0.0,-10.481340223585958,4,1.1454630013929472,10,0.0,-8.973204910928821,-8.973204910928821,0.0,0.0,1.1454630013929472,-10.481340223585956
10,-7.644083468788604,-10.385143890073003,-7.644083468788606,-10.385143890073003,344000,5,0.0,-7.644083468788606,5,1.1046329823594845,10,0.0,-6.373866016010291,-6.373866016010291,0.0,0.0,1.1046329823594845,-7.644083468788604
10,-7.399286581357141,-10.19115878226511,-7.399286581357143,-10.19115878226511,368000,6,0.0,-7.399286581357143,6,1.3478820151838904,10,0.0,-6.165100733130723,-6.165100733130723,0.0,0.0,1.3478820151838904,-7.399286581357141
10,-5.4740448923813965,-6.442298634405214,-5.474044892381397,-6.442298634405214,392000,7,0.0,-5.474044892381397,7,0.6092835913550889,10,0.0,-4.530412192369338,-4.530412192369338,0.0,0.0,0.6092835913550889,-5.4740448923813965
10,-7.317145603905,-11.293537185059144,-7.317145603904999,-11.293537185059144,416000,8,0.0,-7.317145603904999,8,2.2340933604046733,10,0.0,-4.384320461769459,-4.384320461769459,0.0,0.0,2.2340933604046733,-7.317145603905
10,-8.005665927011599,-12.308919202048338,-8.005665927011599,-12.308919202048338,440000,9,0.0,-8.005665927011599,9,1.98336716929832,10,0.0,-5.680711247801047,-5.680711247801047,0.0,0.0,1.98336716929832,-8.005665927011599
10,-8.152203949149946,-12.386595259953353,-8.152203949149946,-12.386595259953353,464000,10,0.0,-8.152203949149946,10,2.097664971346023,10,0.0,-6.418665157818498,-6.418665157818498,0.0,0.0,2.097664971346023,-8.152203949149946
