policy/LossBefore,TotalEnvSteps,Average/Iteration,Average/StdReturn,door-lock-v1/MinReturn,MetaTest/door-lock-v1/SuccessRate,Average/AverageReturn,MetaTest/door-lock-v1/StdReturn,door-lock-v1/StdReturn,door-lock-v1/AverageDiscountedReturn,door-lock-v1/AverageReturn,MetaTest/door-lock-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,policy/LossAfter,MetaTest/Average/Iteration,policy/KLBefore,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-lock-v1/AverageReturn,MetaTest/door-lock-v1/MaxReturn,door-lock-v1/TerminationRate,policy/dLoss,policy/Entropy,MetaTest/Average/AverageReturn,MetaTest/door-lock-v1/MinReturn,Average/SuccessRate,MetaTest/door-lock-v1/TerminationRate,MetaTest/Average/SuccessRate,Average/TerminationRate,MetaTest/door-lock-v1/Iteration,Average/NumEpisodes,door-lock-v1/SuccessRate,policy/KL,door-lock-v1/Iteration,door-lock-v1/NumEpisodes,MetaTest/door-lock-v1/NumEpisodes,MetaTest/Average/MinReturn,Average/MaxReturn,Average/MinReturn,MetaTest/Average/StdReturn,door-lock-v1/MaxReturn,MetaTest/Average/MaxReturn,Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes
-0.019110108,20000,0,8.715794407542507,-75.93468593947597,0.0,-60.82519468027267,7.7658928511157646,8.715794407542507,-23.637763353304354,-60.82519468027267,-64.67580306617614,0.0,-0.046288103,0,0.0,0.580581086281261,-64.67580306617614,-64.67580306617614,-47.28605828905946,0.0,0.027177995,5.672963,-64.67580306617614,-73.78240592875119,0.0,0.0,0.0,0.0,0,100,0.0,0.014837624,0,100,10,-73.78240592875119,-33.890422193777376,-75.93468593947597,7.7658928511157646,-33.890422193777376,-47.28605828905946,-23.637763353304354,10
-0.016576257,40000,1,8.446073851453441,-74.72461947704369,,-46.58205895300538,,8.446073851453441,-19.333462616691303,-46.58205895300538,,,-0.035984177,,0.0,0.46838853492977306,,,,0.0,0.01940792,5.6646986,,,0.0,,,0.0,,100,0.0,0.023444096,1,100,,,-28.15320697068049,-74.72461947704369,,-28.15320697068049,,-19.333462616691303,
0.11782869,60000,2,212.27208217347766,-54.17929683857146,,42.15608403404756,,212.27208217347766,14.520485744930445,42.15608403404756,,,-0.23561956,,0.0,0.09663397548661479,,,,0.0,0.35344824,5.6648307,,,0.0,,,0.0,,100,0.0,0.0076023163,2,100,,,827.125969809107,-54.17929683857146,,827.125969809107,,14.520485744930445,
-0.08136445,80000,3,670.6287867171025,-47.349818149791524,,188.0854144290836,,670.6287867171025,83.17833015369408,188.0854144290836,,,-0.7924979,,0.0,0.09438508436241533,,,,0.0,0.7111334,5.6600337,,,0.0,,,0.0,,100,0.0,0.007702643,3,100,,,4417.235817277289,-47.349818149791524,,4417.235817277289,,83.17833015369408,
-0.83227736,100000,4,795.0481947001155,-46.53008437044519,,315.8517936167575,,795.0481947001155,120.3640517843932,315.8517936167575,,,-1.5961225,,0.0,0.16954525973720458,,,,0.0,0.76384515,5.6358285,,,0.0,,,0.0,,100,0.0,0.0070561264,4,100,,,4746.311047834645,-46.53008437044519,,4746.311047834645,,120.3640517843932,
5.033153,120000,5,10851.813602559168,-70.29892148489647,,1627.92061405566,,10851.813602559168,331.13977120200275,1627.92061405566,,,-2.7193344,,0.0,0.1622117892721886,,,,0.0,7.752487,5.661196,,,0.08,,,0.0,,100,0.08,0.0053225514,5,100,,,103988.80977724218,-70.29892148489647,,103988.80977724218,,331.13977120200275,
-0.00031396485,140000,6,538.5431779015818,-48.495521578862096,,157.95757526185488,,538.5431779015818,79.38592664489148,157.95757526185488,,,-0.09773037,,0.0,0.11106853378956105,,,,0.0,0.0974164,5.6734467,,,0.02,,,0.0,,100,0.02,0.0040327683,6,100,,,3126.0215659496816,-48.495521578862096,,3126.0215659496816,,79.38592664489148,
-0.99444807,160000,7,729.009965107192,-43.705651416263706,,238.61029436326683,,729.009965107192,128.19329006289553,238.61029436326683,,,-1.3895742,,0.0,0.1403754378216373,,,,0.0,0.3951261,5.678489,,,0.01,,,0.0,,100,0.01,0.0074863844,7,100,,,4560.354574493506,-43.705651416263706,,4560.354574493506,,128.19329006289553,
1.0931898,180000,8,1055.8315013016263,-48.65086143680028,,243.36927367905898,,1055.8315013016263,114.77888590655786,243.36927367905898,,,0.3696328,,0.0,0.08269928132548388,,,,0.0,0.723557,5.676127,,,0.04,,,0.0,,100,0.04,0.004014973,8,100,,,6763.292262164926,-48.65086143680028,,6763.292262164926,,114.77888590655786,
0.5557615,200000,9,1777.9270682047973,-44.63340066536426,,518.7585262386191,,1777.9270682047973,207.8883606428109,518.7585262386191,,,-1.0132742,,0.0,0.11039550181724345,,,,0.0,1.5690358,5.6656957,,,0.03,,,0.0,,100,0.03,0.0054876585,9,100,,,10018.375762008256,-44.63340066536426,,10018.375762008256,,207.8883606428109,
