MetaTest/Average/AverageReturn,policy/Entropy,MetaTest/handle-pull-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,handle-pull-v1/NumEpisodes,policy/dLoss,handle-pull-v1/TerminationRate,Average/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/handle-pull-v1/MaxReturn,handle-pull-v1/AverageReturn,MetaTest/handle-pull-v1/Iteration,Average/NumEpisodes,Average/TerminationRate,Average/Iteration,Average/MinReturn,Average/AverageDiscountedReturn,MetaTest/handle-pull-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,policy/KL,Average/StdReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/handle-pull-v1/TerminationRate,handle-pull-v1/MinReturn,MetaTest/handle-pull-v1/MinReturn,policy/KLBefore,handle-pull-v1/MaxReturn,MetaTest/handle-pull-v1/SuccessRate,handle-pull-v1/Iteration,handle-pull-v1/AverageDiscountedReturn,MetaTest/handle-pull-v1/NumEpisodes,MetaTest/Average/MinReturn,policy/LossBefore,MetaTest/handle-pull-v1/AverageReturn,Average/MaxReturn,MetaTest/Average/MaxReturn,handle-pull-v1/SuccessRate,policy/LossAfter,handle-pull-v1/StdReturn,Average/AverageReturn,TotalEnvSteps
-56.50320913072227,5.6928716,10.510094620892389,0.0,0,100,0.027885078,0.0,0.0,0.0,10,-38.03695818501181,-58.613240889055184,0,100,0.0,0,-78.44504259352323,-21.519282305503715,-56.50320913072227,-56.50320913072227,10.510094620892389,0.007437735,10.468547551868008,0.5002829996027808,0.0,-78.44504259352323,-71.06671323039612,0.0,-26.65975869326754,0.0,0,-21.519282305503715,10,-71.06671323039612,-0.017793598,-56.50320913072227,-26.65975869326754,-38.03695818501181,0.0,-0.045678675,10.468547551868008,-58.613240889055184,20000
,5.696152,,,,100,0.3658179,0.0,0.0,,,,-3.19643894936853,,100,0.0,1,-71.20380016363036,9.860126099832211,,,,0.015059064,317.1037531932477,0.12377901244258416,,-71.20380016363036,,0.0,2651.994667019495,,1,9.860126099832211,,,0.19745424,,2651.994667019495,,0.0,-0.16836368,317.1037531932477,-3.19643894936853,40000
,5.684753,,,,100,1.0871223,0.0,0.0,,,,204.74552659917353,,100,0.0,2,-62.48531294257896,98.61171550698253,,,,0.019693658,694.1245579790739,0.17778713532554835,,-62.48531294257896,,0.0,3635.704284890842,,2,98.61171550698253,,,0.38803986,,3635.704284890842,,0.0,-0.69908243,694.1245579790739,204.74552659917353,60000
,5.645398,,,,100,2.8000956,0.0,0.0,,,,1229.362140929859,,100,0.0,3,-50.934055430108415,523.5462055560671,,,,0.0095792,1672.2278923171693,0.2155297800998771,,-50.934055430108415,,0.0,7256.239002565052,,3,523.5462055560671,,,2.9227483,,7256.239002565052,,0.0,0.12265273,1672.2278923171693,1229.362140929859,80000
,5.6329656,,,,100,2.5957584,0.0,0.0,,,,1419.241638121104,,100,0.0,4,-50.84447778976149,623.779951881506,,,,0.013920044,1922.2159582619904,0.1722811551443877,,-50.84447778976149,,0.0,8508.453585245756,,4,623.779951881506,,,0.7375666,,8508.453585245756,,0.0,-1.8581918,1922.2159582619904,1419.241638121104,100000
,5.608793,,,,100,2.477446,0.0,0.0,,,,1235.7889607007812,,100,0.0,5,-76.03517797593106,496.1859202520181,,,,0.0049686674,3340.1943912253673,0.25080220483663096,,-76.03517797593106,,0.0,26925.096322354337,,5,496.1859202520181,,,-0.47319376,,26925.096322354337,,0.0,-2.9506397,3340.1943912253673,1235.7889607007812,120000
,5.579541,,,,100,4.9024982,0.0,0.0,,,,2691.9161268537136,,100,0.0,6,-47.89258989710202,1109.6791181123942,,,,0.0044175936,6276.558773162641,0.2823461520576823,,-47.89258989710202,,0.0,58107.32034885174,,6,1109.6791181123942,,,3.5405867,,58107.32034885174,,0.0,-1.3619113,6276.558773162641,2691.9161268537136,140000
,5.5709863,,,,100,2.135753,0.0,0.0,,,,2110.6811592982053,,100,0.0,7,-53.633507128015474,931.4591499106216,,,,0.006381913,2930.689836834929,0.2612710867212348,,-53.633507128015474,,0.0,11190.963970564777,,7,931.4591499106216,,,-2.0918849,,11190.963970564777,,0.0,-4.227638,2930.689836834929,2110.6811592982053,160000
,5.5743155,,,,100,2.6778016,0.0,0.0,,,,2205.666280592431,,100,0.0,8,-58.16263017489798,986.0139269749831,,,,0.0066861054,3668.944858277955,0.2858914732940926,,-58.16263017489798,,0.0,14094.314294223424,,8,986.0139269749831,,,0.7648531,,14094.314294223424,,0.0,-1.9129485,3668.944858277955,2205.666280592431,180000
,5.5790477,,,,100,4.458686,0.0,0.0,,,,3338.490512599164,,100,0.0,9,-41.44097568699125,1440.745370849144,,,,0.0065010423,4385.266420871554,0.2513941242346802,,-41.44097568699125,,0.0,15328.614168632288,,9,1440.745370849144,,,-0.73017263,,15328.614168632288,,0.0,-5.1888585,4385.266420871554,3338.490512599164,200000
