TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/AverageReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/TerminationRate,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss
2216000,1573.5748,nan,10,83,83,-129.6658260776165,-69.10144890253756,56.470625918766544,-17.63629,-69.10144890253756,0.0,-69.10144890253756,60.56199356452009,56.470625918766544,-129.6658260776165,-50550.168,10,60.56199356452009,0.0,0.0,0.0,-69.10144890253756,5569777.5
2240000,1873.0544,nan,10,84,84,-126.53026091061619,-56.705720393284516,-7.791861784744478,-17.33855,-56.705720393284494,0.0,-56.705720393284494,45.966944664955776,-7.791861784744478,-126.53026091061619,-45805.91,10,45.966944664955776,0.0,0.0,0.0,-56.705720393284516,4995299.0
2264000,2424.314,nan,10,85,85,-132.2782167026432,1892.0942256898124,19337.59662213185,-18.477674,1892.094225689813,0.0,1892.094225689813,5815.3318888562635,19337.59662213185,-132.2782167026432,-55137.344,10,5815.3318888562635,0.0,0.0,0.0,1892.0942256898124,5698402.5
2288000,2438.733,nan,10,86,86,-131.21148569913635,10669.32490121714,59889.27947430116,-18.018332,10669.32490121714,0.0,10669.32490121714,19031.7920386171,59889.27947430116,-131.21148569913635,-56025.188,10,19031.7920386171,0.0,0.0,0.0,10669.32490121714,6551372.5
2312000,621.2252,nan,10,87,87,-136.32409998573195,9529.768210733977,95961.54899013483,-18.189764,9529.768210733975,0.1,9529.768210733975,28810.648945645764,95961.54899013483,-136.32409998573195,-55464.223,10,28810.648945645764,0.0,0.1,0.0,9529.768210733977,7598704.0
2336000,303.77356,nan,10,88,88,-128.7443420122339,7394.4171582705185,37710.33080526924,-19.035414,7394.417158270521,0.0,7394.417158270521,14943.861131975646,37710.33080526924,-128.7443420122339,-60847.96,10,14943.861131975646,0.0,0.0,0.0,7394.4171582705185,8602516.0
2360000,641.2822,nan,10,89,89,-164.29620464098574,2249.16694260245,23145.73218589653,-17.056425,2249.166942602449,0.0,2249.166942602449,6965.700548586954,23145.73218589653,-164.29620464098574,-54382.6,10,6965.700548586954,0.0,0.0,0.0,2249.16694260245,8374900.5
2384000,894.6489,nan,10,90,90,-129.60063125562138,-48.32945732749302,189.87237391636143,-18.12031,-48.329457327492996,0.0,-48.329457327492996,92.88876144999301,189.87237391636143,-129.60063125562138,-55367.824,10,92.88876144999301,0.0,0.0,0.0,-48.32945732749302,9722755.0
2408000,264.89352,nan,10,91,91,-120.78703969601403,4927.5905919529205,32188.249783085128,-18.7079,4927.5905919529205,0.0,4927.5905919529205,10514.244627117956,32188.249783085128,-120.78703969601403,-58620.67,10,10514.244627117956,0.0,0.0,0.0,4927.5905919529205,11286272.0
2432000,238.83995,nan,10,92,92,-60.465779525514385,11610.242574853488,100683.13607696703,-19.05877,11610.242574853484,0.1,11610.242574853484,30022.741241651398,100683.13607696703,-60.465779525514385,-63379.84,10,30022.741241651398,0.0,0.1,0.0,11610.242574853488,13517089.0
2456000,448.14658,nan,10,93,93,0.7425704839232788,22219.141697453313,53554.42589725089,-20.379536,22219.141697453313,0.0,22219.141697453313,13993.107287953762,53554.42589725089,0.7425704839232788,-72208.96,10,13993.107287953762,0.0,0.0,0.0,22219.141697453313,17709378.0
2480000,338.6086,nan,10,94,94,-11.150719389261942,43314.14420072893,126011.40468803166,-21.327911,43314.144200728915,0.4,43314.144200728915,46774.21393718373,126011.40468803166,-11.150719389261942,-78411.234,10,46774.21393718373,0.0,0.4,0.0,43314.14420072893,20051600.0
2504000,891.1588,nan,10,95,95,-111.9934381144037,13275.969380210247,93397.68616245061,-22.196098,13275.969380210252,0.2,13275.969380210252,29123.70389696103,93397.68616245061,-111.9934381144037,-85195.97,10,29123.70389696103,0.0,0.2,0.0,13275.969380210247,21222850.0
2528000,399.58105,nan,10,96,96,-34.71647576349456,35907.07325873231,127247.88575212893,-22.080492,35907.07325873231,0.3,35907.07325873231,53075.06552056492,127247.88575212893,-34.71647576349456,-87435.43,10,53075.06552056492,0.0,0.3,0.0,35907.07325873231,22836894.0
2552000,3855.144,nan,10,97,97,-76.94392919909257,34968.628063742195,108646.38035231603,-22.163736,34968.62806374218,0.3,34968.62806374218,45255.245605240256,108646.38035231603,-76.94392919909257,-85538.2,10,45255.245605240256,0.0,0.3,0.0,34968.628063742195,25280848.0
2576000,4923.56,nan,10,98,98,-103.47571674098485,9992.519281245735,33297.69175945266,-22.690165,9992.519281245734,0.0,9992.519281245734,11127.504606484967,33297.69175945266,-103.47571674098485,-87804.21,10,11127.504606484967,0.0,0.0,0.0,9992.519281245735,29061406.0
2600000,4119.4487,nan,10,99,99,-49.158411952666164,14384.14034463386,67839.37389599289,-23.159939,14384.140344633857,0.1,14384.140344633857,21165.541845343007,67839.37389599289,-49.158411952666164,-90093.33,10,21165.541845343007,0.0,0.1,0.0,14384.14034463386,30646556.0
