MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/soccer-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/soccer-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/soccer-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/StdReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/soccer-v1/Iteration,MetaTest/soccer-v1/MaxReturn,MetaTest/soccer-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha
10,0,10,0.0,-6.8228807,120.88019,8.163574,-88.74024927033841,6.6428204,0.0,-79.20413218242973,-88.74024927033841,0.0,-79.20413218242973,7.036411943559633,-67.99649961904251,224000,0,-67.99649961904251,0.0,7.036411943559633,-79.20413218242973,-79.20413218242973,nan
10,1,10,0.0,-67.23982,189.54407,9.389948,-40.18400638435045,5.818119,0.0,-30.188664495551336,-40.18400638435045,0.0,-30.188664495551336,5.168367253895465,-22.270480368125867,248000,1,-22.270480368125867,0.0,5.168367253895465,-30.188664495551336,-30.188664495551336,nan
10,2,10,0.0,-128.02678,30635.309,32.012817,-102.79436820631597,4.7699695,0.0,-46.043457491397945,-102.79436820631597,0.0,-46.043457491397945,19.44970368298472,-33.84515661388219,272000,2,-33.84515661388219,0.0,19.44970368298472,-46.04345749139796,-46.04345749139796,nan
10,3,10,0.0,-125.79631,30142.74,71.664215,-67.23316874119072,4.7197094,0.0,134.1074177238575,-67.23316874119072,0.0,134.1074177238575,430.4028395012915,1403.4479256929974,296000,3,1403.4479256929974,0.0,430.4028395012915,134.10741772385762,134.10741772385762,nan
10,4,10,0.0,-449.84985,28773.62,96.1479,-106.22970631250034,0.5904195,0.0,89.52543106860529,-106.22970631250034,0.0,89.52543106860529,390.4707011290848,1258.291854120828,320000,4,1258.291854120828,0.0,390.4707011290848,89.5254310686053,89.5254310686053,nan
10,5,10,0.0,-1261.7236,34539.703,282.7933,-110.37288511092825,-1.4492437,0.0,-45.75588640418461,-110.37288511092825,0.0,-45.75588640418461,57.47902755463841,84.1548646202799,344000,5,84.1548646202799,0.0,57.47902755463841,-45.755886404184594,-45.755886404184594,nan
10,6,10,0.0,-4659.919,76402.88,318.14243,-137.53766406405063,-9.051176,0.0,-127.82098638290067,-137.53766406405063,0.0,-127.82098638290067,6.001384488810959,-120.24332929570728,368000,6,-120.24332929570728,0.0,6.001384488810959,-127.8209863829007,-127.8209863829007,nan
10,7,10,0.0,-6076.72,125906.32,445.97958,-111.95294500038214,-7.11563,0.0,-85.9225295296807,-111.95294500038214,0.0,-85.9225295296807,16.985873093907095,-48.18730134733744,392000,7,-48.18730134733744,0.0,16.985873093907095,-85.92252952968072,-85.92252952968072,nan
10,8,10,0.0,-15720.793,317562.6,432.44495,-42.35702519312059,-9.132175,0.0,63.05315847006001,-42.35702519312059,0.0,63.05315847006001,150.61250189263183,429.74659307878426,416000,8,429.74659307878426,0.0,150.61250189263183,63.05315847006003,63.05315847006003,nan
10,9,10,0.0,-19303.84,338285.1,839.56213,-119.81915226774736,-10.5840025,0.0,-41.57323860737169,-119.81915226774736,0.0,-41.57323860737169,95.23522170237716,223.73074089143162,440000,9,223.73074089143162,0.0,95.23522170237716,-41.573238607371714,-41.573238607371714,nan
10,10,10,0.0,-8202.368,163557.78,1821.743,-19.382591833024268,-5.3422456,0.0,101.72294252395804,-19.382591833024268,0.0,101.72294252395804,246.90878257199606,803.9155096354082,464000,10,803.9155096354082,0.0,246.90878257199606,101.72294252395798,101.72294252395798,nan
10,11,10,0.0,-19801.955,266388.06,7911.4795,-118.014811964997,-11.251129,0.0,90.7248663110033,-118.014811964997,0.0,90.7248663110033,320.39203076536984,950.405472579295,488000,11,950.405472579295,0.0,320.39203076536984,90.72486631100335,90.72486631100335,nan
10,12,10,0.0,-28087.867,643735.2,5271.905,-58.29141673074372,-13.353373,0.0,43.35019597441243,-58.29141673074372,0.0,43.35019597441243,199.13717234719456,629.2747859825655,512000,12,629.2747859825655,0.0,199.13717234719456,43.3501959744123,43.3501959744123,nan
10,13,10,0.1,-27132.371,469483.97,241.99449,-89.19709367212853,-12.248504,0.1,6.9172283401191805,-89.19709367212853,0.0,6.9172283401191805,131.5835195789912,395.83093325485345,536000,13,395.83093325485345,0.0,131.5835195789912,6.917228340119189,6.917228340119189,nan
10,14,10,0.0,-20826.92,463688.1,175.19878,-26.511418595822015,-9.566014,0.0,50.81577810238315,-26.511418595822015,0.0,50.81577810238315,153.66400847557085,482.15430879736573,560000,14,482.15430879736573,0.0,153.66400847557085,50.81577810238315,50.81577810238315,nan
10,15,10,0.0,-17352.668,468923.2,449.20044,-96.9246210423408,-9.009818,0.0,532.5654237202004,-96.9246210423408,0.0,532.5654237202004,1216.6465387855608,3573.870851658447,584000,15,3573.870851658447,0.0,1216.6465387855608,532.5654237202,532.5654237202,nan
10,16,10,0.0,-18851.29,729923.06,229.81361,-95.52203084283188,-9.142244,0.0,-67.08347108432017,-95.52203084283188,0.0,-67.08347108432017,22.72814066774583,-40.41407573496695,608000,16,-40.41407573496695,0.0,22.72814066774583,-67.08347108432017,-67.08347108432017,nan
