TotalEnvSteps,MetaTest/hammer-v1/MaxReturn,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/NumTrajs,MetaTest/hammer-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/MinReturn,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/AverageDiscountedReturn
800000,-2.5126697572693053,10,10,0.0,0.0,8.185354200910147,8.185354200910147,-20.789983309729188,24,-20.78998330972918,-30.06042998871305,-2.5126697572693053,-20.789983309729188,0.0,-30.06042998871305,24,0.0,-20.78998330972918
824000,-18.677902680210483,10,10,0.0,0.0,45.004307214917965,45.004307214917965,-60.39326698678177,25,-60.39326698678177,-118.60341011693849,-18.677902680210483,-60.39326698678177,0.0,-118.60341011693849,25,0.0,-60.39326698678177
848000,-84.78273662750884,10,10,0.0,0.0,9.282327316762165,9.282327316762165,-99.59381137257192,26,-99.5938113725719,-115.92274563413052,-84.78273662750884,-99.59381137257192,0.0,-115.92274563413052,26,0.0,-99.5938113725719
872000,3140.821931407635,10,10,0.0,0.0,947.8526277271101,947.8526277271101,297.50706147037556,27,297.5070614703756,-30.8649765019839,3140.821931407635,297.50706147037556,0.0,-30.8649765019839,27,0.0,297.5070614703756
896000,-15.189981253624481,10,10,0.0,0.0,11.465841823004686,11.465841823004686,-30.549431109590977,28,-30.549431109590977,-43.35224436208981,-15.189981253624481,-30.549431109590977,0.0,-43.35224436208981,28,0.0,-30.549431109590977
920000,-17.3040043955357,10,10,0.0,0.0,19.049769626210583,19.049769626210583,-38.00282907245433,29,-38.00282907245434,-91.50939391208787,-17.3040043955357,-38.00282907245433,0.0,-91.50939391208787,29,0.0,-38.00282907245434
944000,-14.318858525439149,10,10,0.0,0.0,8.354878533121589,8.354878533121589,-34.08271387113094,30,-34.08271387113095,-48.26103326215513,-14.318858525439149,-34.08271387113094,0.0,-48.26103326215513,30,0.0,-34.08271387113095
968000,-20.860065884549467,10,10,0.0,0.0,34.96375278326836,34.96375278326836,-61.505897175475994,31,-61.50589717547598,-123.49443974186062,-20.860065884549467,-61.505897175475994,0.0,-123.49443974186062,31,0.0,-61.50589717547598
992000,-29.3210264426662,10,10,0.0,0.0,12.356478814350387,12.356478814350387,-43.094650221206855,32,-43.09465022120687,-69.70111158783857,-29.3210264426662,-43.094650221206855,0.0,-69.70111158783857,32,0.0,-43.09465022120687
1016000,-6.018906261103721,10,10,0.0,0.0,26.681227515132385,26.681227515132385,-47.59688539399758,33,-47.59688539399757,-97.60493338943103,-6.018906261103721,-47.59688539399758,0.0,-97.60493338943103,33,0.0,-47.59688539399757
1040000,-15.121048209430745,10,10,0.0,0.0,23.666200804483257,23.666200804483257,-40.86865322161516,34,-40.86865322161516,-98.6049213911241,-15.121048209430745,-40.86865322161516,0.0,-98.6049213911241,34,0.0,-40.86865322161516
1064000,-16.529469745927177,10,10,0.0,0.0,23.986354878718352,23.986354878718352,-43.852594124935806,35,-43.852594124935806,-89.93737386526709,-16.529469745927177,-43.852594124935806,0.0,-89.93737386526709,35,0.0,-43.852594124935806
1088000,-62.545148352598,10,10,0.0,0.0,18.27210747294168,18.27210747294168,-92.47257170778559,36,-92.47257170778556,-114.91894653876018,-62.545148352598,-92.47257170778559,0.0,-114.91894653876018,36,0.0,-92.47257170778556
1112000,-18.941912331468473,10,10,0.0,0.0,19.263465138371107,19.263465138371107,-44.411538153919295,37,-44.411538153919295,-68.3636730360926,-18.941912331468473,-44.411538153919295,0.0,-68.3636730360926,37,0.0,-44.411538153919295
1136000,-7.149300639482287,10,10,0.0,0.0,7.565834988483491,7.565834988483491,-22.354631197320494,38,-22.354631197320494,-31.786253826311288,-7.149300639482287,-22.354631197320494,0.0,-31.786253826311288,38,0.0,-22.354631197320494
1160000,898.9421490413607,10,10,0.0,0.0,288.43582491746065,288.43582491746065,38.675378154578524,39,38.67537815457862,-110.73375141897888,898.9421490413607,38.675378154578524,0.0,-110.73375141897888,39,0.0,38.67537815457862
1184000,-68.22089021160937,10,10,0.0,0.0,20.74413935523478,20.74413935523478,-97.03308319166602,40,-97.03308319166601,-129.06976738822348,-68.22089021160937,-97.03308319166602,0.0,-129.06976738822348,40,0.0,-97.03308319166601
1208000,-20.69949332621591,10,10,0.0,0.0,33.22107041720548,33.22107041720548,-72.68802001310459,41,-72.6880200131046,-117.47626805151185,-20.69949332621591,-72.68802001310459,0.0,-117.47626805151185,41,0.0,-72.6880200131046
1232000,-79.16732936329701,10,10,0.0,0.0,11.257645609125792,11.257645609125792,-95.35055274793524,42,-95.35055274793525,-112.52026047591374,-79.16732936329701,-95.35055274793524,0.0,-112.52026047591374,42,0.0,-95.35055274793525
1256000,-28.113330931053973,10,10,0.0,0.0,23.758671888336174,23.758671888336174,-93.09210766012221,43,-93.09210766012222,-113.39042561927485,-28.113330931053973,-93.09210766012221,0.0,-113.39042561927485,43,0.0,-93.09210766012222
1280000,113.93900036024576,10,10,0.0,0.0,39.62901834930123,39.62901834930123,-1.2774967987345585,44,-1.277496798734554,-30.458493936484757,113.93900036024576,-1.2774967987345585,0.0,-30.458493936484757,44,0.0,-1.277496798734554
1304000,-90.56601445311064,10,10,0.0,0.0,10.082115673702178,10.082115673702178,-114.7364422831516,45,-114.73644228315156,-126.89918752678211,-90.56601445311064,-114.7364422831516,0.0,-126.89918752678211,45,0.0,-114.73644228315156
1328000,-29.390411724145967,10,10,0.0,0.0,29.867754157534108,29.867754157534108,-108.82211658996421,46,-108.82211658996422,-136.9995263045787,-29.390411724145967,-108.82211658996421,0.0,-136.9995263045787,46,0.0,-108.82211658996422
1352000,-23.684161307687187,10,10,0.0,0.0,36.46234036428259,36.46234036428259,-94.27727187694313,47,-94.27727187694312,-130.91556659222638,-23.684161307687187,-94.27727187694313,0.0,-130.91556659222638,47,0.0,-94.27727187694312
1376000,-31.674153402231497,10,10,0.0,0.0,32.35363279003402,32.35363279003402,-79.59156080536887,48,-79.5915608053689,-116.7379125584106,-31.674153402231497,-79.59156080536887,0.0,-116.7379125584106,48,0.0,-79.5915608053689
1400000,-105.84313393030214,10,10,0.0,0.0,7.414292662390297,7.414292662390297,-120.20544462379499,49,-120.20544462379503,-129.39722824512367,-105.84313393030214,-120.20544462379499,0.0,-129.39722824512367,49,0.0,-120.20544462379503
1424000,-48.639333921789174,10,10,0.0,0.0,22.522102465868144,22.522102465868144,-84.8846936629076,50,-84.88469366290758,-114.868242289875,-48.639333921789174,-84.8846936629076,0.0,-114.868242289875,50,0.0,-84.88469366290758
1448000,50.85305273320346,10,10,0.0,0.0,46.668133825360925,46.668133825360925,-60.24528061608841,51,-60.24528061608841,-122.10089815449639,50.85305273320346,-60.24528061608841,0.0,-122.10089815449639,51,0.0,-60.24528061608841
1472000,-44.63982617078659,10,10,0.0,0.0,9.609415528629878,9.609415528629878,-56.328868200730064,52,-56.328868200730064,-74.3221531785604,-44.63982617078659,-56.328868200730064,0.0,-74.3221531785604,52,0.0,-56.328868200730064
1496000,-37.789421832701436,10,10,0.0,0.0,17.544370289904265,17.544370289904265,-87.00889382226191,53,-87.00889382226187,-97.45279568448466,-37.789421832701436,-87.00889382226191,0.0,-97.45279568448466,53,0.0,-87.00889382226187
1520000,-30.290934515895007,10,10,0.0,0.0,14.934338298229594,14.934338298229594,-65.0736193249174,54,-65.07361932491742,-82.34103539173506,-30.290934515895007,-65.0736193249174,0.0,-82.34103539173506,54,0.0,-65.07361932491742
1544000,-32.533305567453674,10,10,0.0,0.0,26.304656105218484,26.304656105218484,-89.3386877661523,55,-89.33868776615229,-121.68267157867571,-32.533305567453674,-89.3386877661523,0.1,-121.68267157867571,55,0.1,-89.33868776615229
1568000,-99.1124752710189,10,10,0.0,0.0,10.004669290199905,10.004669290199905,-116.17181318890997,56,-116.17181318890998,-134.64770113173114,-99.1124752710189,-116.17181318890997,0.0,-134.64770113173114,56,0.0,-116.17181318890998
1592000,-63.494985249387945,10,10,0.0,0.0,14.793001908636095,14.793001908636095,-98.81198233115268,57,-98.81198233115268,-117.59842658800748,-63.494985249387945,-98.81198233115268,0.0,-117.59842658800748,57,0.0,-98.81198233115268
1616000,-32.23621291198365,10,10,0.0,0.0,23.575518767770955,23.575518767770955,-55.13910534880343,58,-55.13910534880345,-98.16344790051058,-32.23621291198365,-55.13910534880343,0.0,-98.16344790051058,58,0.0,-55.13910534880345
1640000,-32.34634128005247,10,10,0.0,0.0,7.433943204880334,7.433943204880334,-45.50166843576699,59,-45.50166843576697,-54.11824048886246,-32.34634128005247,-45.50166843576699,0.0,-54.11824048886246,59,0.0,-45.50166843576697
1664000,-23.791760867514252,10,10,0.0,0.0,8.921354296744525,8.921354296744525,-46.557882932484404,60,-46.557882932484404,-56.86470071994548,-23.791760867514252,-46.557882932484404,0.0,-56.86470071994548,60,0.0,-46.557882932484404
1688000,-24.44400044820038,10,10,0.0,0.0,4.034581997112107,4.034581997112107,-35.80889637711186,61,-35.80889637711186,-39.70693537101396,-24.44400044820038,-35.80889637711186,0.0,-39.70693537101396,61,0.0,-35.80889637711186
1712000,-5.322481609750711,10,10,0.0,0.0,26.37897436325879,26.37897436325879,-41.18955485287302,62,-41.18955485287303,-111.3599292070406,-5.322481609750711,-41.18955485287302,0.0,-111.3599292070406,62,0.0,-41.18955485287303
1736000,-22.169322591167315,10,10,0.0,0.0,18.422591591627626,18.422591591627626,-49.30216974715332,63,-49.30216974715333,-76.46442622578192,-22.169322591167315,-49.30216974715332,0.0,-76.46442622578192,63,0.0,-49.30216974715333
1760000,-5.057558599826069,10,10,0.0,0.0,25.37824589802751,25.37824589802751,-40.13912731199964,64,-40.13912731199963,-99.75878100845391,-5.057558599826069,-40.13912731199964,0.0,-99.75878100845391,64,0.0,-40.13912731199963
1784000,-1.5883237745218364,10,10,0.0,0.0,11.34066772748114,11.34066772748114,-19.097132731380807,65,-19.097132731380803,-35.83034497823459,-1.5883237745218364,-19.097132731380807,0.0,-35.83034497823459,65,0.0,-19.097132731380803
1808000,19.30828914932677,10,10,0.0,0.0,16.737232243551546,16.737232243551546,-16.421993773365923,66,-16.42199377336592,-47.36560938304712,19.30828914932677,-16.421993773365923,0.0,-47.36560938304712,66,0.0,-16.42199377336592
1832000,115.42686825475056,10,10,0.0,0.0,48.17863098886525,48.17863098886525,-17.491264973660343,67,-17.491264973660353,-51.745074244131075,115.42686825475056,-17.491264973660343,0.0,-51.745074244131075,67,0.0,-17.491264973660353
1856000,4385.0396664950085,10,10,0.0,0.0,1327.0190315968218,1327.0190315968218,405.18572467386423,68,405.18572467386497,-103.87619966627292,4385.0396664950085,405.18572467386423,0.0,-103.87619966627292,68,0.0,405.18572467386497
1880000,13.579176924486049,10,10,0.0,0.0,31.36717147844458,31.36717147844458,-37.830726269396735,69,-37.83072626939674,-106.30275585823605,13.579176924486049,-37.830726269396735,0.0,-106.30275585823605,69,0.0,-37.83072626939674
1904000,-34.37889173171192,10,10,0.0,0.0,18.219253962271566,18.219253962271566,-57.46676870531744,70,-57.46676870531745,-86.01199708113064,-34.37889173171192,-57.46676870531744,0.0,-86.01199708113064,70,0.0,-57.46676870531745
1928000,-13.110712232462618,10,10,0.0,0.0,27.516182370787238,27.516182370787238,-56.94595183814721,71,-56.94595183814721,-94.9079282606231,-13.110712232462618,-56.94595183814721,0.0,-94.9079282606231,71,0.0,-56.94595183814721
1952000,-9.516040185809857,10,10,0.0,0.0,10.78812642949563,10.78812642949563,-33.22032641332176,72,-33.22032641332176,-50.19586614403683,-9.516040185809857,-33.22032641332176,0.0,-50.19586614403683,72,0.0,-33.22032641332176
1976000,-23.599706669864,10,10,0.0,0.0,15.199411154975405,15.199411154975405,-36.38203241889978,73,-36.38203241889979,-64.39306884639124,-23.599706669864,-36.38203241889978,0.0,-64.39306884639124,73,0.0,-36.38203241889979
2000000,18422.455377991224,10,10,0.0,0.0,5549.5814493290945,5549.5814493290945,1774.1827731196765,74,1774.1827731196777,-118.53090350827433,18422.455377991224,1774.1827731196765,0.0,-118.53090350827433,74,0.0,1774.1827731196777
2024000,-102.78702024041914,10,10,0.0,0.0,7.38288655472425,7.38288655472425,-112.85532094181158,75,-112.85532094181156,-125.59620169088184,-102.78702024041914,-112.85532094181158,0.0,-125.59620169088184,75,0.0,-112.85532094181156
2048000,-12.587294200393844,10,10,0.0,0.0,40.02036498212636,40.02036498212636,-48.59874118195998,76,-48.598741181959966,-127.25388894921835,-12.587294200393844,-48.59874118195998,0.0,-127.25388894921835,76,0.0,-48.598741181959966
2072000,72079.58956562332,10,10,0.0,0.0,21635.80777169753,21635.80777169753,7172.228114092805,77,7172.228114092798,-125.08016548549612,72079.58956562332,7172.228114092805,0.0,-125.08016548549612,77,0.0,7172.228114092798
2096000,20445.289504640397,10,10,0.0,0.0,6145.276066206656,6145.276066206656,2009.811700431296,78,2009.8117004312942,-117.45604941997031,20445.289504640397,2009.811700431296,0.0,-117.45604941997031,78,0.0,2009.8117004312942
2120000,-17.403780101481075,10,10,0.0,0.0,42.56352908115738,42.56352908115738,-59.20231243339008,79,-59.20231243339009,-131.2326987767655,-17.403780101481075,-59.20231243339008,0.0,-131.2326987767655,79,0.0,-59.20231243339009
2144000,-8.622639134293559,10,10,0.0,0.0,35.972180643036644,35.972180643036644,-71.02863280108816,80,-71.0286328010882,-113.45552538491522,-8.622639134293559,-71.02863280108816,0.0,-113.45552538491522,80,0.0,-71.0286328010882
2168000,66.93057214416609,10,10,0.0,0.0,43.40223577792802,43.40223577792802,-19.86109553099966,81,-19.861095530999645,-121.99884054082604,66.93057214416609,-19.86109553099966,0.0,-121.99884054082604,81,0.0,-19.861095530999645
2192000,17331.8849573834,10,10,0.0,0.0,5203.717165507997,5203.717165507997,1721.3236562687161,82,1721.3236562687155,-56.198998997156444,17331.8849573834,1721.3236562687161,0.0,-56.198998997156444,82,0.0,1721.3236562687155
2216000,21157.752289528486,10,10,0.0,0.0,6371.18115952199,6371.18115952199,2044.678356689426,83,2044.6783566894283,-121.87172190630521,21157.752289528486,2044.678356689426,0.0,-121.87172190630521,83,0.0,2044.6783566894283
2240000,4821.066963447002,10,10,0.0,0.0,1464.3928726245636,1464.3928726245636,428.3570951910039,84,428.35709519100374,-97.38872004514641,4821.066963447002,428.3570951910039,0.0,-97.38872004514641,84,0.0,428.35709519100374
2264000,-10.42807349248903,10,10,0.0,0.0,38.36581108511848,38.36581108511848,-62.98559852428633,85,-62.98559852428633,-112.18865964125966,-10.42807349248903,-62.98559852428633,0.0,-112.18865964125966,85,0.0,-62.98559852428633
2288000,-13.77207548719209,10,10,0.0,0.0,41.74963883838615,41.74963883838615,-66.71367425332097,86,-66.71367425332096,-116.72862684008008,-13.77207548719209,-66.71367425332097,0.0,-116.72862684008008,86,0.0,-66.71367425332096
2312000,49254.05673915496,10,10,0.0,0.0,15192.79807752359,15192.79807752359,6702.707239848911,87,6702.707239848908,-130.7348696771733,49254.05673915496,6702.707239848911,0.0,-130.7348696771733,87,0.0,6702.707239848908
2336000,12174.82175079036,10,10,0.0,0.0,4195.475757829761,4195.475757829761,2024.194094386524,88,2024.1940943865254,-64.5090097236678,12174.82175079036,2024.194094386524,0.0,-64.5090097236678,88,0.0,2024.1940943865254
2360000,72178.6075085969,10,10,0.0,0.0,21666.531459557107,21666.531459557107,7179.076586374909,89,7179.076586374913,-95.03435737839133,72178.6075085969,7179.076586374909,0.0,-95.03435737839133,89,0.0,7179.076586374913
2384000,29553.73290135243,10,10,0.0,0.0,8882.84623927488,8882.84623927488,2905.3407455868482,90,2905.3407455868473,-107.74477263724592,29553.73290135243,2905.3407455868482,0.0,-107.74477263724592,90,0.0,2905.3407455868473
2408000,20239.929986575804,10,10,0.0,0.0,6343.616557289134,6343.616557289134,2836.8085398486996,91,2836.8085398486996,-103.01075801742488,20239.929986575804,2836.8085398486996,0.0,-103.01075801742488,91,0.0,2836.8085398486996
2432000,-10.987600189971145,10,10,0.0,0.0,33.9424488991122,33.9424488991122,-37.87640899564775,92,-37.87640899564776,-109.91219488234512,-10.987600189971145,-37.87640899564775,0.0,-109.91219488234512,92,0.0,-37.87640899564776
2456000,-24.358717449654517,10,10,0.0,0.0,26.597929188611495,26.597929188611495,-92.4328439742595,93,-92.43284397425947,-125.54471055221516,-24.358717449654517,-92.4328439742595,0.0,-125.54471055221516,93,0.0,-92.43284397425947
2480000,13.609140569403948,10,10,0.0,0.0,32.00644703832316,32.00644703832316,-50.69420018928151,94,-50.69420018928152,-99.57268837411975,13.609140569403948,-50.69420018928151,0.0,-99.57268837411975,94,0.0,-50.69420018928152
2504000,94126.10759600741,10,10,0.0,0.0,28237.346409941067,28237.346409941067,9415.48417121066,95,9415.484171210668,-120.2439903286509,94126.10759600741,9415.48417121066,0.1,-120.2439903286509,95,0.1,9415.484171210668
2528000,-10.298629993525536,10,10,0.0,0.0,33.437406514543774,33.437406514543774,-55.169894137301355,96,-55.16989413730134,-111.49563141815814,-10.298629993525536,-55.169894137301355,0.0,-111.49563141815814,96,0.0,-55.16989413730134
2552000,50799.77256707876,10,10,0.0,0.0,16407.715660342325,16407.715660342325,9129.502852040723,97,9129.502852040727,-108.27906307584463,50799.77256707876,9129.502852040723,0.0,-108.27906307584463,97,0.0,9129.502852040727
2576000,6.089179459124251,10,10,0.0,0.0,37.22756164907065,37.22756164907065,-36.16826834383989,98,-36.16826834383989,-113.72909598458459,6.089179459124251,-36.16826834383989,0.1,-113.72909598458459,98,0.1,-36.16826834383989
2600000,20.528476206086406,10,10,0.0,0.0,35.744531050613816,35.744531050613816,-41.592163023689004,99,-41.592163023689004,-92.49361178371633,20.528476206086406,-41.592163023689004,0.0,-92.49361178371633,99,0.0,-41.592163023689004
