MetaTest/Average/Iteration,MetaTest/pick-out-of-hole-v1/MaxReturn,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/NumEpisodes
18,-19.998230965181467,-20.838509814666743,0.0,1.1814534e-05,-21.49254816005598,0.0,-21.49254816005598,13.612662,0.0,-20.838509814666743,7.645329,-20.838509814666743,0.0,0.42316325408955846,656000,0.031967778,-20.838509814666743,0.42316325408955846,10,-19.998230965181467,161.7159,18,10
19,-19.971995952891675,-20.419233593313955,0.0,-3.8180708e-05,-20.949024878733667,0.0,-20.949024878733667,13.320574,0.0,-20.419233593313955,7.637366,-20.419233593313955,0.0,0.28244905516835994,680000,0.03229073,-20.419233593313955,0.28244905516835994,10,-19.971995952891675,159.51521,19,10
20,-19.873182812979028,-20.688639058454566,0.0,3.314983e-05,-21.226132219330893,0.0,-21.226132219330893,13.246312,0.0,-20.688639058454562,7.6398544,-20.688639058454562,0.0,0.3650640741068127,704000,0.031687308,-20.688639058454566,0.3650640741068127,10,-19.873182812979028,156.92786,20,10
21,-20.79808425098444,-21.722309784459036,0.0,0.0010300982,-22.75954814208381,0.0,-22.75954814208381,12.971635,0.0,-21.722309784459025,7.631261,-21.722309784459025,0.0,0.719699311326438,728000,0.030551495,-21.722309784459036,0.719699311326438,10,-20.79808425098444,154.725,21,10
22,-18.899589380087523,-19.597451463098686,0.0,4.0209277e-05,-20.357324685330706,0.0,-20.357324685330706,12.590465,0.0,-19.597451463098693,7.6308193,-19.597451463098693,0.0,0.4076044192943041,752000,0.029693963,-19.597451463098686,0.4076044192943041,10,-18.899589380087523,152.04822,22,10
23,-18.81595692444174,-19.177490035679984,0.0,0.00040046198,-19.426897363884393,0.0,-19.426897363884393,12.653274,0.0,-19.177490035679984,7.625176,-19.177490035679984,0.0,0.17988897892652345,776000,0.029736392,-19.177490035679984,0.17988897892652345,10,-18.81595692444174,149.83931,23,10
24,-20.046414316373333,-20.386897051462093,0.0,5.1029324e-06,-20.922388708294058,0.0,-20.922388708294058,12.23759,0.0,-20.386897051462093,7.641881,-20.386897051462093,0.0,0.28469259343767833,800000,0.029085053,-20.386897051462093,0.28469259343767833,10,-20.046414316373333,147.24335,24,10
25,-19.179358687590778,-19.509606168985787,0.0,0.00013605088,-19.972221675499775,0.0,-19.972221675499775,12.097415,0.0,-19.509606168985787,7.6263475,-19.509606168985787,0.0,0.22028497368283356,824000,0.029214332,-19.509606168985787,0.22028497368283356,10,-19.179358687590778,145.05487,25,10
26,-17.585100633411912,-18.192332471213838,0.0,0.0013058883,-18.492175767046618,0.0,-18.492175767046618,11.748242,0.0,-18.19233247121384,7.6269727,-18.19233247121384,0.0,0.2788465677187639,848000,0.028577767,-18.192332471213838,0.2788465677187639,10,-17.585100633411912,142.56671,26,10
27,-17.491578997316886,-17.702757042887306,0.0,1.798755e-05,-17.966141021433522,0.0,-17.966141021433522,11.573177,0.0,-17.70275704288731,7.6318326,-17.70275704288731,0.0,0.1410719504797088,872000,0.027820827,-17.702757042887306,0.1410719504797088,10,-17.491578997316886,140.18402,27,10
28,-17.623331937234727,-18.05322221393447,0.0,-0.0007336228,-18.56052476776389,0.0,-18.56052476776389,11.558199,0.0,-18.05322221393447,7.625718,-18.05322221393447,0.0,0.2531454549827881,896000,0.02798164,-18.05322221393447,0.2531454549827881,10,-17.623331937234727,137.82973,28,10
29,-17.170963953372848,-18.13055945986773,0.0,-0.0010536936,-20.202338220705567,0.0,-20.202338220705567,11.387264,0.0,-18.130559459867726,7.624743,-18.130559459867726,0.0,0.9337417964558257,920000,0.029238535,-18.13055945986773,0.9337417964558257,10,-17.170963953372848,135.5262,29,10
30,-17.302686501396032,-17.554600164006754,0.0,0.0011504677,-18.00001247846397,0.0,-18.00001247846397,11.187565,0.0,-17.554600164006754,7.625655,-17.554600164006754,0.0,0.21311840167590432,944000,0.029231738,-17.554600164006754,0.21311840167590432,10,-17.302686501396032,133.13112,30,10
31,-17.608176097982064,-18.135965868578822,0.0,0.00023829931,-18.943004412575416,0.0,-18.943004412575416,10.987952,0.0,-18.13596586857883,7.6247625,-18.13596586857883,0.0,0.40380092360416747,968000,0.02848469,-18.135965868578822,0.40380092360416747,10,-17.608176097982064,130.87447,31,10
32,-17.044546786150107,-18.89628749391284,0.0,0.00045880477,-20.767610415067818,0.0,-20.767610415067818,10.892969,0.0,-18.896287493912837,7.625031,-18.896287493912837,0.0,1.1587972677729783,992000,0.027485814,-18.89628749391284,1.1587972677729783,10,-17.044546786150107,128.90225,32,10
33,-17.7414782283248,-18.256473433071243,0.0,0.0012119518,-19.962227293287373,0.0,-19.962227293287373,10.509439,0.0,-18.256473433071243,7.6246843,-18.256473433071243,0.0,0.6219711125194344,1016000,0.026061714,-18.256473433071243,0.6219711125194344,10,-17.7414782283248,126.58933,33,10
34,-17.29864484678862,-18.034030338661424,0.0,0.00092685164,-18.59140265120627,0.0,-18.59140265120627,10.232252,0.0,-18.034030338661424,7.6247888,-18.034030338661424,0.0,0.387100841478374,1040000,0.02467199,-18.034030338661424,0.387100841478374,10,-17.29864484678862,124.356514,34,10
35,-17.94865680765827,-18.57616017576721,0.0,0.0011332603,-19.356847278588262,0.0,-19.356847278588262,10.016882,0.0,-18.576160175767207,7.624712,-18.576160175767207,0.0,0.4317162316327345,1064000,0.023494685,-18.57616017576721,0.4317162316327345,10,-17.94865680765827,122.5757,35,10
36,-17.624320014820142,-18.14463580218041,0.0,0.00025132328,-18.666470082853223,0.0,-18.666470082853223,9.735068,0.0,-18.144635802180407,7.625094,-18.144635802180407,0.0,0.337910354516943,1088000,0.022437718,-18.14463580218041,0.337910354516943,10,-17.624320014820142,121.05649,36,10
37,-18.184765728070264,-18.529468974145015,0.0,0.00037157457,-18.791192564341422,0.0,-18.791192564341422,9.501651,0.0,-18.529468974145015,7.6246824,-18.529468974145015,0.0,0.19954378669592412,1112000,0.021360708,-18.529468974145015,0.19954378669592412,10,-18.184765728070264,119.62385,37,10
38,-17.86366881791402,-18.074452459140876,0.0,0.00028843278,-18.3587578988384,0.0,-18.3587578988384,9.321414,0.0,-18.074452459140872,7.624659,-18.074452459140872,0.0,0.17465680753093007,1136000,0.021644356,-18.074452459140876,0.17465680753093007,10,-17.86366881791402,118.47227,38,10
39,-17.93622513253564,-18.51438537647224,0.0,-3.186047e-06,-19.383054922585558,0.0,-19.383054922585558,9.077593,0.0,-18.51438537647224,7.624632,-18.51438537647224,0.0,0.4377194025523153,1160000,0.021092217,-18.51438537647224,0.4377194025523153,10,-17.93622513253564,117.06626,39,10
40,-17.8599223438595,-18.561223628984028,0.0,4.0086506e-06,-19.629520615346625,0.0,-19.629520615346625,8.784226,0.0,-18.561223628984024,7.624632,-18.561223628984024,0.0,0.70364966266584,1184000,0.020681687,-18.561223628984028,0.70364966266584,10,-17.8599223438595,115.92983,40,10
41,-17.927460625117973,-18.42970753016162,0.0,-0.0005554534,-18.763080527161698,0.0,-18.763080527161698,8.692047,0.0,-18.42970753016162,7.624632,-18.42970753016162,0.0,0.2705072863809681,1208000,0.021387985,-18.42970753016162,0.2705072863809681,10,-17.927460625117973,114.86276,41,10
42,-20.014262197118082,-21.79241986956575,0.0,0.00037302484,-22.956057688739286,0.0,-22.956057688739286,8.531685,0.0,-21.79241986956576,7.624632,-21.79241986956576,0.0,0.8953936172514416,1232000,0.021191634,-21.79241986956575,0.8953936172514416,10,-20.014262197118082,113.860916,42,10
43,-17.75016472620976,-18.293451833883072,0.0,0.0004182769,-18.67760669630841,0.0,-18.67760669630841,8.250875,0.0,-18.293451833883076,7.624632,-18.293451833883076,0.0,0.2951012204891244,1256000,0.02068237,-18.293451833883072,0.2951012204891244,10,-17.75016472620976,112.91026,43,10
44,-17.875294948166378,-18.33829749111181,0.0,0.0002639217,-19.102208155210164,0.0,-19.102208155210164,8.145728,0.0,-18.33829749111181,7.624632,-18.33829749111181,0.0,0.3477721501348669,1280000,0.020141052,-18.33829749111181,0.3477721501348669,10,-17.875294948166378,112.21715,44,10
45,-17.628441237378055,-18.18725460191603,0.0,-4.7573744e-06,-18.896254810574842,0.0,-18.896254810574842,7.9096837,0.0,-18.18725460191602,7.624632,-18.18725460191602,0.0,0.3812446063835391,1304000,0.019978736,-18.18725460191603,0.3812446063835391,10,-17.628441237378055,111.73967,45,10
46,-17.755267865146777,-18.86976653713834,0.0,0.00041052818,-20.434892464647447,0.0,-20.434892464647447,7.838284,0.0,-18.869766537138343,7.624632,-18.869766537138343,0.0,0.9640248296806686,1328000,0.019628223,-18.86976653713834,0.9640248296806686,10,-17.755267865146777,111.29625,46,10
47,-18.617824008348162,-19.007097545778276,0.0,2.271476e-05,-19.4117180007819,0.0,-19.4117180007819,7.7732534,0.0,-19.007097545778272,7.624632,-19.007097545778272,0.0,0.21987431093744053,1352000,0.019518329,-19.007097545778276,0.21987431093744053,10,-18.617824008348162,110.83455,47,10
48,-18.125832403548333,-18.40239200150737,0.0,0.0002840857,-19.059501279938704,0.0,-19.059501279938704,7.6722546,0.0,-18.402392001507366,7.624632,-18.402392001507366,0.0,0.2791469327938753,1376000,0.01933048,-18.40239200150737,0.2791469327938753,10,-18.125832403548333,110.1912,48,10
49,-17.729610694956353,-18.25230765737316,0.0,-0.00018010793,-19.195219763984582,0.0,-19.195219763984582,7.658704,0.0,-18.25230765737316,7.624632,-18.25230765737316,0.0,0.407556286907296,1400000,0.018954631,-18.25230765737316,0.407556286907296,10,-17.729610694956353,109.66852,49,10
