MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/AverageReturn
24,-68.41861258009557,0.0,800000,0.0,-68.41861258009557,0.0,10,-57.00216289118567,-142.4184705025805,24,0.0,-57.00216289118567,24.72881046775122,10,-68.41861258009557,-142.4184705025805,24.72881046775122,-68.41861258009557
25,-92.67469702594043,0.0,824000,0.0,-92.67469702594043,0.0,10,-54.670233104785474,-105.9898320745361,25,0.0,-54.670233104785474,16.15566318068945,10,-92.67469702594043,-105.9898320745361,16.15566318068945,-92.67469702594043
26,-85.11860099024877,0.0,848000,0.0,-85.11860099024875,0.0,10,-47.254745248689126,-141.35557905805302,26,0.0,-47.254745248689126,27.967352438597363,10,-85.11860099024877,-141.35557905805302,27.967352438597363,-85.11860099024875
27,-79.48717639840375,0.0,872000,0.0,-79.48717639840376,0.0,10,-61.675378480752656,-88.37086919712542,27,0.0,-61.675378480752656,8.207330715631155,10,-79.48717639840375,-88.37086919712542,8.207330715631155,-79.48717639840376
28,35432.91300737545,0.0,896000,0.0,35432.913007375435,0.8,10,77933.78510009096,-30.079060492203286,28,0.8,77933.78510009096,26892.03694650468,10,35432.91300737545,-30.079060492203286,26892.03694650468,35432.913007375435
29,187090.40940142324,0.0,920000,0.0,187090.40940142327,0.7,10,338291.90898000053,-19.71800831544071,29,0.7,338291.90898000053,151100.1734052991,10,187090.40940142324,-19.71800831544071,151100.1734052991,187090.40940142327
30,295755.96857325,0.0,944000,0.0,295755.9685732501,1.0,10,332218.92450069846,105304.72319979344,30,1.0,332218.92450069846,70616.91642256716,10,295755.96857325,105304.72319979344,70616.91642256716,295755.9685732501
31,279537.78595519264,0.0,968000,0.0,279537.7859551927,0.8,10,328883.641359784,77634.03134306829,31,0.8,328883.641359784,86955.46331947928,10,279537.78595519264,77634.03134306829,86955.46331947928,279537.7859551927
32,143554.43573325413,0.0,992000,0.0,143554.43573325407,0.5,10,326149.2456089692,-63.77218245295635,32,0.5,326149.2456089692,147838.49470517773,10,143554.43573325413,-63.77218245295635,147838.49470517773,143554.43573325407
33,99677.14524511839,0.0,1016000,0.0,99677.14524511843,0.3,10,318063.2951737036,-78.01683522917703,33,0.3,318063.2951737036,128940.9930058507,10,99677.14524511839,-78.01683522917703,128940.9930058507,99677.14524511843
34,142411.2106354464,0.0,1040000,0.0,142411.2106354464,0.5,10,326463.2024332932,-75.3942461731175,34,0.5,326463.2024332932,145819.54526703063,10,142411.2106354464,-75.3942461731175,145819.54526703063,142411.2106354464
35,26478.814513097423,0.0,1064000,0.0,26478.81451309742,0.4,10,121454.73750176042,-57.91406548012193,35,0.4,121454.73750176042,44604.28527862492,10,26478.814513097423,-57.91406548012193,44604.28527862492,26478.81451309742
36,136490.8595862899,0.0,1088000,0.0,136490.8595862899,0.7,10,312083.5350886532,-24.69745584966743,36,0.7,312083.5350886532,116437.56054264904,10,136490.8595862899,-24.69745584966743,116437.56054264904,136490.8595862899
37,208125.27064423388,0.0,1112000,0.0,208125.27064423388,0.9,10,344906.1256401225,-20.628687407879912,37,0.9,344906.1256401225,128413.92607627709,10,208125.27064423388,-20.628687407879912,128413.92607627709,208125.27064423388
38,244103.9447334248,0.0,1136000,0.0,244103.9447334248,0.9,10,337637.4512613777,-23.092549376775306,38,0.9,337637.4512613777,130180.4016175529,10,244103.9447334248,-23.092549376775306,130180.4016175529,244103.9447334248
39,91856.21144393849,0.0,1160000,0.0,91856.21144393859,0.4,10,343953.7658596282,-21.359892271934868,39,0.4,343953.7658596282,143160.53685077393,10,91856.21144393849,-21.359892271934868,143160.53685077393,91856.21144393859
40,251855.07808898226,0.0,1184000,0.0,251855.07808898212,0.8,10,340311.2194690758,-18.511149354193734,40,0.8,340311.2194690758,115685.78672565501,10,251855.07808898226,-18.511149354193734,115685.78672565501,251855.07808898212
41,243360.73865589948,0.0,1208000,0.0,243360.73865589948,0.8,10,329950.75864755426,126408.10728414908,41,0.8,329950.75864755426,74497.27129739024,10,243360.73865589948,126408.10728414908,74497.27129739024,243360.73865589948
42,269367.7409717665,0.0,1232000,0.0,269367.7409717665,1.0,10,342529.3040695667,121151.57729979671,42,1.0,342529.3040695667,86773.66230589447,10,269367.7409717665,121151.57729979671,86773.66230589447,269367.7409717665
43,250391.41778385855,0.0,1256000,0.0,250391.41778385863,1.0,10,341506.5744530698,11284.982793159064,43,1.0,341506.5744530698,98504.33691035178,10,250391.41778385855,11284.982793159064,98504.33691035178,250391.41778385863
44,183544.03570798849,0.0,1280000,0.0,183544.0357079884,0.7,10,343709.1621741765,-76.70505889874919,44,0.7,343709.1621741765,141718.88596894935,10,183544.03570798849,-76.70505889874919,141718.88596894935,183544.0357079884
45,178458.2361241718,0.0,1304000,0.0,178458.23612417176,0.9,10,342615.79079335445,-22.95687275765108,45,0.9,342615.79079335445,132477.55453135693,10,178458.2361241718,-22.95687275765108,132477.55453135693,178458.23612417176
46,302139.46321911796,0.0,1328000,0.0,302139.463219118,1.0,10,343510.2037872406,193000.36736985028,46,1.0,343510.2037872406,46852.22018896099,10,302139.46321911796,193000.36736985028,46852.22018896099,302139.463219118
47,142639.89240922974,0.0,1352000,0.0,142639.89240922977,0.9,10,287637.63310123136,-16.866835644749475,47,0.9,287637.63310123136,91762.44347770396,10,142639.89240922974,-16.866835644749475,91762.44347770396,142639.89240922977
48,196389.27186801005,0.0,1376000,0.0,196389.27186801005,0.7,10,343093.2208358725,-22.57753612138574,48,0.7,343093.2208358725,138237.25451608247,10,196389.27186801005,-22.57753612138574,138237.25451608247,196389.27186801005
49,190123.12219221616,0.0,1400000,0.0,190123.12219221613,0.8,10,341709.9201695655,5632.3490940311995,49,0.8,341709.9201695655,130934.3102467539,10,190123.12219221616,5632.3490940311995,130934.3102467539,190123.12219221613
50,235610.71489776167,0.0,1424000,0.0,235610.71489776167,0.8,10,339536.1800253476,-25.7707482703268,50,0.8,339536.1800253476,147637.91646756785,10,235610.71489776167,-25.7707482703268,147637.91646756785,235610.71489776167
51,248517.64478107722,0.0,1448000,0.0,248517.64478107722,1.0,10,337222.19647345936,-18.755562203584873,51,1.0,337222.19647345936,122758.07430825137,10,248517.64478107722,-18.755562203584873,122758.07430825137,248517.64478107722
52,180335.38360855298,0.0,1472000,0.0,180335.38360855303,0.5,10,324963.6164452958,-19.188197213907507,52,0.5,324963.6164452958,94750.35015007464,10,180335.38360855298,-19.188197213907507,94750.35015007464,180335.38360855303
53,284903.1936624991,0.0,1496000,0.0,284903.193662499,1.0,10,341837.69309818966,95551.46751524827,53,1.0,341837.69309818966,73827.8964726776,10,284903.1936624991,95551.46751524827,73827.8964726776,284903.193662499
54,265162.88646089484,0.0,1520000,0.0,265162.8864608949,1.0,10,342722.8003175452,64305.0970276936,54,1.0,342722.8003175452,98116.14245295512,10,265162.88646089484,64305.0970276936,98116.14245295512,265162.8864608949
55,81644.12975608456,0.0,1544000,0.0,81644.12975608456,1.0,10,211576.02259471582,-19.422797014700134,55,1.0,211576.02259471582,79331.54256635992,10,81644.12975608456,-19.422797014700134,79331.54256635992,81644.12975608456
56,138291.91106993504,0.0,1568000,0.0,138291.911069935,0.8,10,302093.94257053605,-22.773728419881014,56,0.8,302093.94257053605,127100.80482485882,10,138291.91106993504,-22.773728419881014,127100.80482485882,138291.911069935
57,231754.82071687677,0.0,1592000,0.0,231754.82071687683,0.9,10,346052.9019005156,17993.273268814948,57,0.9,346052.9019005156,114763.22598782872,10,231754.82071687677,17993.273268814948,114763.22598782872,231754.82071687683
58,285057.84019710834,0.0,1616000,0.0,285057.8401971082,1.0,10,347143.62436623115,95326.81168286249,58,1.0,347143.62436623115,75040.73932821295,10,285057.84019710834,95326.81168286249,75040.73932821295,285057.8401971082
59,202093.81349119876,0.0,1640000,0.0,202093.81349119876,0.9,10,303441.9012272859,55732.868580046386,59,0.9,303441.9012272859,88784.00181039609,10,202093.81349119876,55732.868580046386,88784.00181039609,202093.81349119876
60,260473.02360274512,0.0,1664000,0.0,260473.02360274518,0.8,10,335041.27168532467,25790.066059075758,60,0.8,335041.27168532467,107048.65898349992,10,260473.02360274512,25790.066059075758,107048.65898349992,260473.02360274518
61,215670.83199686912,0.0,1688000,0.0,215670.83199686906,1.0,10,314967.0548454699,117230.8068018861,61,1.0,314967.0548454699,57069.04376977626,10,215670.83199686912,117230.8068018861,57069.04376977626,215670.83199686906
62,156028.36501189094,0.0,1712000,0.0,156028.36501189094,0.7,10,306598.8410818586,-18.592628463556125,62,0.7,306598.8410818586,124917.45373954657,10,156028.36501189094,-18.592628463556125,124917.45373954657,156028.36501189094
63,173150.2371833755,0.0,1736000,0.0,173150.23718337546,0.7,10,343075.9541315216,-20.54120889093562,63,0.7,343075.9541315216,146139.40449028206,10,173150.2371833755,-20.54120889093562,146139.40449028206,173150.23718337546
64,127680.75877487485,0.0,1760000,0.0,127680.75877487482,0.6,10,344592.55539100966,-26.430452683579496,64,0.6,344592.55539100966,157891.1790200525,10,127680.75877487485,-26.430452683579496,157891.1790200525,127680.75877487482
65,252492.2388243429,0.0,1784000,0.0,252492.23882434302,0.8,10,343547.505813805,-21.013409035810128,65,0.8,343547.505813805,138243.28076695342,10,252492.2388243429,-21.013409035810128,138243.28076695342,252492.23882434302
66,325977.43184421764,0.0,1808000,0.0,325977.43184421764,1.0,10,342070.0392228059,275959.12277502194,66,1.0,342070.0392228059,23303.747312435295,10,325977.43184421764,275959.12277502194,23303.747312435295,325977.43184421764
67,252721.5664424772,0.0,1832000,0.0,252721.56644247714,0.8,10,343542.22349847003,-17.76814196203696,67,0.8,343542.22349847003,129319.2736236362,10,252721.5664424772,-17.76814196203696,129319.2736236362,252721.56644247714
68,267963.0732993259,0.0,1856000,0.0,267963.0732993259,0.8,10,341272.15928118234,-23.19101825288527,68,0.8,341272.15928118234,134039.35059921723,10,267963.0732993259,-23.19101825288527,134039.35059921723,267963.0732993259
69,316430.89165178285,0.0,1880000,0.0,316430.89165178296,1.0,10,339062.00904030644,242473.335297401,69,1.0,339062.00904030644,33798.14631957773,10,316430.89165178285,242473.335297401,33798.14631957773,316430.89165178296
70,313747.68063235143,0.0,1904000,0.0,313747.68063235143,1.0,10,344431.4315218876,264779.26722266374,70,1.0,344431.4315218876,28611.324310648513,10,313747.68063235143,264779.26722266374,28611.324310648513,313747.68063235143
71,328715.3911412618,0.0,1928000,0.0,328715.3911412619,1.0,10,337786.30431829893,305673.9765038492,71,1.0,337786.30431829893,10029.244534807145,10,328715.3911412618,305673.9765038492,10029.244534807145,328715.3911412619
72,295180.835346326,0.0,1952000,0.0,295180.83534632594,1.0,10,343294.6139534655,76392.15401118477,72,1.0,343294.6139534655,76199.97239639313,10,295180.835346326,76392.15401118477,76199.97239639313,295180.83534632594
