MetaTest/sweep-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/sweep-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MaxReturn,MetaTest/sweep-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/sweep-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/sweep-v1/AverageReturn,MetaTest/sweep-v1/TerminationRate,MetaTest/Average/NumEpisodes,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/sweep-v1/MinReturn,MetaTest/sweep-v1/SuccessRate,MetaTest/sweep-v1/Iteration,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/Average/Iteration
609.6593737122967,-48.05168218512693,192.56527506203213,0.0,10,32.31190315295134,0.4053781,609.6593737122967,32.31190315295134,6.2670693,192.56527506203213,32.31190315295143,32.31190315295143,0.0,10,0.9309083,0.0,-1.3720585,-48.05168218512693,0.0,0,8.436168,56000,0
-20.979217546885003,-46.976284072366866,6.821591246150408,0.0,10,-32.73558199703634,0.8883771,-20.979217546885003,-32.73558199703634,5.444961,6.821591246150408,-32.73558199703634,-32.73558199703634,0.0,10,0.8090283,0.0,1.7008561,-46.976284072366866,0.0,1,7.742883,62000,1
-22.58910848639729,-54.16981553595361,10.681173668408082,0.0,10,-37.569625135317246,129.04543,-22.58910848639729,-37.569625135317246,4.74883,10.681173668408082,-37.56962513531724,-37.56962513531724,0.0,10,0.7069306,0.0,4.595108,-54.16981553595361,0.0,2,12.081306,68000,2
291.3782176855332,-69.20080881850495,105.47970166598536,0.1,10,-24.36390631566485,213.51779,291.3782176855332,-24.36390631566485,4.0041614,105.47970166598536,-24.363906315664845,-24.363906315664845,0.0,10,0.6205271,0.0,5.7737465,-69.20080881850495,0.1,3,12.399393,74000,3
-48.97871319770574,-76.11335111988899,9.048092327651437,0.0,10,-64.03524290571696,228.74947,-48.97871319770574,-64.03524290571696,3.0303512,9.048092327651437,-64.03524290571696,-64.03524290571696,0.0,10,0.5498082,0.0,1.7908515,-76.11335111988899,0.0,4,7.785679,80000,4
-9.750773916637456,-49.12602250428209,15.354139195696769,0.0,10,-29.632548518395993,219.1491,-9.750773916637456,-29.632548518395993,2.6609595,15.354139195696769,-29.632548518396003,-29.632548518396003,0.0,10,0.4894773,0.0,0.8250467,-49.12602250428209,0.0,5,10.078327,86000,5
7.5980217969556305,-81.15991875018334,27.64282390884458,0.1,10,-28.03517298713091,270.2706,7.5980217969556305,-28.03517298713091,2.2064717,27.64282390884458,-28.035172987130913,-28.035172987130913,0.0,10,0.43365076,0.0,-11.285906,-81.15991875018334,0.1,6,11.328287,92000,6
1433.6058660685392,-48.77329675571981,440.90394291172726,0.0,10,111.58069934913878,331.12225,1433.6058660685392,111.58069934913878,1.8656734,440.90394291172726,111.58069934913874,111.58069934913874,0.0,10,0.3844765,0.0,-16.078465,-48.77329675571981,0.0,7,12.9883795,98000,7
1273.8988934074182,-44.41248933505593,385.11389886971995,0.0,10,126.31983187211321,613.0414,1273.8988934074182,126.31983187211321,1.235346,385.11389886971995,126.31983187211328,126.31983187211328,0.0,10,0.34414315,0.0,-72.37119,-44.41248933505593,0.0,8,12.599633,104000,8
3010.333436719495,-47.636581426208714,935.9206988330441,0.0,10,384.6108928049134,899.9252,3010.333436719495,384.6108928049134,0.6637516,935.9206988330441,384.61089280491325,384.61089280491325,0.0,10,0.31619745,0.0,-133.25507,-47.636581426208714,0.0,9,16.271923,110000,9
1966.3812211412946,-27.999257574287103,722.867569816742,0.0,10,378.13244067334534,1333.1562,1966.3812211412946,378.13244067334534,0.19319364,722.867569816742,378.1324406733453,378.1324406733453,0.0,10,0.29959303,0.0,-242.94444,-27.999257574287103,0.0,10,10.0065155,116000,10
2481.1890363791485,-31.670691867024964,794.5299888117207,0.0,10,445.0277804752801,1252.9768,2481.1890363791485,445.0277804752801,0.07050928,794.5299888117207,445.02778047528034,445.02778047528034,0.0,10,0.28887138,0.0,-168.19298,-31.670691867024964,0.0,11,10.586802,122000,11
-2.3811647269590823,-36.39150306388965,10.326487171711848,0.0,10,-21.337523952956253,2402.6987,-2.3811647269590823,-21.337523952956253,-0.6530061,10.326487171711848,-21.337523952956257,-21.337523952956257,0.0,10,0.31897667,0.0,-495.4982,-36.39150306388965,0.0,12,22.934488,128000,12
-11.153144666857857,-51.104723059900905,13.628275459424511,0.0,10,-32.142744854756074,2603.7266,-11.153144666857857,-32.142744854756074,-0.93802327,13.628275459424511,-32.142744854756074,-32.142744854756074,0.0,10,0.36905363,0.0,-672.12616,-51.104723059900905,0.0,13,21.162838,134000,13
128.08434446923965,-48.07731503990473,49.47629794065954,0.0,10,-18.32329397722888,7044.641,128.08434446923965,-18.32329397722888,-3.6665108,49.47629794065954,-18.323293977228882,-18.323293977228882,0.0,10,0.47135913,0.0,-2209.117,-48.07731503990473,0.0,14,31.06523,140000,14
12033.004541747143,-46.30751939597315,3616.4226728177055,0.0,10,1183.8883229776898,6575.278,12033.004541747143,1183.8883229776898,-4.743767,3616.4226728177055,1183.8883229776898,1183.8883229776898,0.0,10,0.58234453,0.0,-2985.682,-46.30751939597315,0.0,15,25.061666,146000,15
