MetaTest/drawer-open-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/drawer-open-v1/AverageReturn,MetaTest/drawer-open-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/drawer-open-v1/Iteration,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/drawer-open-v1/NumTrajs,MetaTest/drawer-open-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/drawer-open-v1/StdReturn,MetaTest/drawer-open-v1/SuccessRate,MetaTest/drawer-open-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn
-24.78643834486562,0,562.0763564962514,562.0763564962515,1487.183425720453,-24.78643834486562,0.0,0,10,224000,10,0.0,562.0763564962515,0.0,614.1397492766359,0.0,562.0763564962514,614.1397492766359,1487.183425720453
-59.144003633273975,1,-38.724610717876814,-38.724610717876814,60.857171952802595,-59.144003633273975,0.0,1,10,248000,10,0.0,-38.724610717876814,0.0,33.48776895358596,0.0,-38.724610717876814,33.48776895358596,60.857171952802595
-42.49536730146336,2,1474.4431800771863,1474.4431800771858,3308.570400796479,-42.49536730146336,0.0,2,10,272000,10,0.0,1474.4431800771858,0.0,1514.960161974177,0.0,1474.4431800771863,1514.960161974177,3308.570400796479
-47.93825712949699,3,1211.6894004954636,1211.689400495464,3190.924537664238,-47.93825712949699,0.0,3,10,296000,10,0.0,1211.689400495464,0.0,1531.1870766838504,0.0,1211.6894004954636,1531.1870766838504,3190.924537664238
-55.838106608577945,4,2009.0241036061975,2009.0241036061968,3700.367437400788,-55.838106608577945,0.0,4,10,320000,10,0.0,2009.0241036061968,0.0,1564.5587659537816,0.0,2009.0241036061975,1564.5587659537816,3700.367437400788
-15.660383416029184,5,1855.0399929429175,1855.039992942918,3368.8918266879596,-15.660383416029184,0.0,5,10,344000,10,0.0,1855.039992942918,0.0,1383.5439126805038,0.0,1855.0399929429175,1383.5439126805038,3368.8918266879596
-29.84558117863476,6,628.6154824739612,628.6154824739613,2687.3942855223986,-29.84558117863476,0.0,6,10,368000,10,0.0,628.6154824739613,0.0,968.6351424476369,0.0,628.6154824739612,968.6351424476369,2687.3942855223986
-50.07811124306237,7,3207.0627662573447,3207.062766257345,4607.167053800639,-50.07811124306237,0.0,7,10,392000,10,0.0,3207.062766257345,0.0,1316.7462659080752,0.0,3207.0627662573447,1316.7462659080752,4607.167053800639
-18.47972922252337,8,3393.0368142030175,3393.0368142030175,7699.081310035946,-18.47972922252337,0.0,8,10,416000,10,0.0,3393.0368142030175,0.0,1750.802258393685,0.0,3393.0368142030175,1750.802258393685,7699.081310035946
981.0830756173301,9,4276.121992920378,4276.121992920378,7528.124258879594,981.0830756173301,0.0,9,10,440000,10,0.0,4276.121992920378,0.0,1583.3427999687199,0.0,4276.121992920378,1583.3427999687199,7528.124258879594
891.3490154360461,10,3140.335260383594,3140.3352603835947,4158.982555675413,891.3490154360461,0.0,10,10,464000,10,0.0,3140.3352603835947,0.0,926.6252188423263,0.0,3140.335260383594,926.6252188423263,4158.982555675413
-97.06464319057181,11,1097.5309057391967,1097.5309057391967,4425.775986103593,-97.06464319057181,0.1,11,10,488000,10,0.0,1097.5309057391967,0.0,1747.1011431883512,0.1,1097.5309057391967,1747.1011431883512,4425.775986103593
-112.62998921310185,12,-68.05621569573253,-68.0562156957325,-14.926504452944984,-112.62998921310185,0.0,12,10,512000,10,0.0,-68.0562156957325,0.0,28.395603569651662,0.0,-68.05621569573253,28.395603569651662,-14.926504452944984
-81.3493891546241,13,-64.051075766332,-64.05107576633199,-38.11511200115271,-81.3493891546241,0.0,13,10,536000,10,0.0,-64.05107576633199,0.0,13.55428449540415,0.0,-64.051075766332,13.55428449540415,-38.11511200115271
-101.93986724886217,14,41.403315037762226,41.403315037762226,932.9430350171841,-101.93986724886217,0.0,14,10,560000,10,0.0,41.403315037762226,0.0,298.174195331328,0.0,41.403315037762226,298.174195331328,932.9430350171841
-110.38681919297318,15,-77.9806839950829,-77.98068399508293,-26.273207637518258,-110.38681919297318,0.1,15,10,584000,10,0.0,-77.98068399508293,0.0,31.529091938985648,0.1,-77.9806839950829,31.529091938985648,-26.273207637518258
-94.5587825000389,16,648.9898876925452,648.9898876925455,3235.705234407528,-94.5587825000389,0.0,16,10,608000,10,0.0,648.9898876925455,0.0,1299.5273972733953,0.0,648.9898876925452,1299.5273972733953,3235.705234407528
-87.42947272403185,17,588.361016755149,588.361016755149,3166.772105034319,-87.42947272403185,0.0,17,10,632000,10,0.0,588.361016755149,0.0,1285.9769409472624,0.0,588.361016755149,1285.9769409472624,3166.772105034319
-111.77968657060968,18,527.7436867338153,527.7436867338154,3078.312634477359,-111.77968657060968,0.0,18,10,656000,10,0.0,527.7436867338154,0.0,1211.3065006903666,0.0,527.7436867338153,1211.3065006903666,3078.312634477359
-86.88924344617607,19,-47.15562830212184,-47.15562830212182,23.96814486530644,-86.88924344617607,0.0,19,10,680000,10,0.0,-47.15562830212182,0.0,33.08382448436291,0.0,-47.15562830212184,33.08382448436291,23.96814486530644
-57.50891037515377,20,218.78162136062207,218.7816213606223,2348.416658487394,-57.50891037515377,0.0,20,10,704000,10,0.0,218.7816213606223,0.0,710.452617660503,0.0,218.78162136062207,710.452617660503,2348.416658487394
-82.08978153304723,21,-43.640734153501796,-43.64073415350178,23.40323233934531,-82.08978153304723,0.0,21,10,728000,10,0.0,-43.64073415350178,0.0,34.73810075381888,0.0,-43.640734153501796,34.73810075381888,23.40323233934531
-56.33084321141985,22,274.85886638187003,274.85886638187037,3061.8998098667935,-56.33084321141985,0.0,22,10,752000,10,0.0,274.85886638187037,0.0,929.08535828016,0.0,274.85886638187003,929.08535828016,3061.8998098667935
-85.13992863330282,23,768.9770680030934,768.9770680030933,2976.6886974664785,-85.13992863330282,0.0,23,10,776000,10,0.0,768.9770680030933,0.0,1272.8511877138417,0.0,768.9770680030934,1272.8511877138417,2976.6886974664785
-87.18537248541512,24,649.4362641452487,649.4362641452487,3318.269509631044,-87.18537248541512,0.0,24,10,800000,10,0.0,649.4362641452487,0.0,1178.9497748457065,0.0,649.4362641452487,1178.9497748457065,3318.269509631044
-50.54242531394458,25,627.9423006087984,627.9423006087986,3334.840541940049,-50.54242531394458,0.2,25,10,824000,10,0.0,627.9423006087986,0.0,1324.7641104720321,0.2,627.9423006087984,1324.7641104720321,3334.840541940049
-91.92917202786896,26,-4.659935611318838,-4.659935611318834,338.3914071297315,-91.92917202786896,0.0,26,10,848000,10,0.0,-4.659935611318834,0.0,127.9441618629013,0.0,-4.659935611318838,127.9441618629013,338.3914071297315
-118.5064149467653,27,603.5016849743955,603.5016849743956,3269.169876044459,-118.5064149467653,0.0,27,10,872000,10,0.0,603.5016849743956,0.0,1304.865322184853,0.0,603.5016849743955,1304.865322184853,3269.169876044459
-132.12442632384128,28,-118.15612512328183,-118.15612512328184,-85.10085274368564,-132.12442632384128,0.0,28,10,896000,10,0.0,-118.15612512328184,0.0,13.409879234791182,0.0,-118.15612512328183,13.409879234791182,-85.10085274368564
-140.2351478260579,29,-131.77013713442471,-131.77013713442471,-118.98778159267599,-140.2351478260579,0.0,29,10,920000,10,0.0,-131.77013713442471,0.0,6.808008829186049,0.0,-131.77013713442471,6.808008829186049,-118.98778159267599
-140.9688434803076,30,-128.90608318594383,-128.9060831859438,-117.06745949887585,-140.9688434803076,0.0,30,10,944000,10,0.0,-128.9060831859438,0.0,7.580963211731773,0.0,-128.90608318594383,7.580963211731773,-117.06745949887585
