MetaTest/basketball-v1/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumTrajs,MetaTest/basketball-v1/Iteration,MetaTest/basketball-v1/StdReturn,TotalEnvSteps,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/basketball-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/basketball-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/MinReturn,MetaTest/basketball-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate
10,8.132456,10,0,3.037114143481256,224000,-26.98755518216375,nan,-26.987555182163753,-26.987555182163753,-21.067283344597396,0.0,2.324996,0,6.724459,0.0,-31.280964359314428,1.3187234,3.037114143481256,-26.98755518216375,-31.280964359314428,-21.067283344597396,0.0,0.0
10,8.068531,10,1,1.3389571175858743,248000,-27.47575187797284,nan,-27.47575187797284,-27.47575187797284,-24.976281792627965,0.0,5.594961,1,6.6797953,0.0,-28.80921730014146,9.334663,1.3389571175858743,-27.47575187797284,-28.80921730014146,-24.976281792627965,0.0,0.0
10,7.9005585,10,2,2.3043825404502534,272000,-26.950513996619275,nan,-26.950513996619282,-26.950513996619282,-23.30415812557097,0.0,9.895781,2,6.609846,0.0,-29.459677844562783,12.796545,2.3043825404502534,-26.950513996619275,-29.459677844562783,-23.30415812557097,0.0,0.0
10,7.675207,10,3,4.286237627116143,296000,-24.05833605893849,nan,-24.05833605893849,-24.05833605893849,-17.734321982790856,0.0,14.855008,3,6.533886,0.0,-30.28914879920723,14.018693,4.286237627116143,-24.05833605893849,-30.28914879920723,-17.734321982790856,0.0,0.0
10,7.6859007,10,4,5.06641861601792,320000,-27.661627141859327,nan,-27.661627141859338,-27.661627141859338,-15.711128297022837,0.0,19.749058,4,6.4613895,0.0,-31.233199178234734,12.697686,5.06641861601792,-27.661627141859327,-31.233199178234734,-15.711128297022837,0.0,0.0
10,7.6582117,10,5,4.844971268886704,344000,-25.38408989067165,nan,-25.384089890671657,-25.384089890671657,-17.524949024069425,0.0,23.696539,5,6.4056954,0.0,-30.683942302680176,9.977572,4.844971268886704,-25.38408989067165,-30.683942302680176,-17.524949024069425,0.0,0.0
10,7.6584835,10,6,4.9716022015622565,368000,-21.14571835397473,nan,-21.145718353974733,-21.145718353974733,-15.803371305209653,0.0,26.690336,6,6.3653636,0.0,-30.87673362457127,6.7844105,4.9716022015622565,-21.14571835397473,-30.87673362457127,-15.803371305209653,0.0,0.0
10,7.658225,10,7,6.590812039828348,392000,-24.396121542837584,nan,-24.39612154283759,-24.39612154283759,-14.102162224564548,0.0,28.363401,7,6.3464684,0.0,-32.23046350147114,2.1471934,6.590812039828348,-24.396121542837584,-32.23046350147114,-14.102162224564548,0.0,0.0
10,7.6417265,10,8,5.5263937906972265,416000,-22.996237999191266,nan,-22.996237999191273,-22.996237999191273,-15.242378913194147,0.0,30.040308,8,6.3270464,0.0,-30.95917583306067,-0.9501923,5.5263937906972265,-22.996237999191266,-30.95917583306067,-15.242378913194147,0.0,0.0
10,7.6432643,10,9,5.120653244590783,440000,-24.408538885551287,nan,-24.408538885551287,-24.408538885551287,-17.572446502639345,0.0,30.704449,9,6.3152375,0.0,-30.853910296943802,-4.834538,5.120653244590783,-24.408538885551287,-30.853910296943802,-17.572446502639345,0.0,0.0
10,7.630476,10,10,2.6832720139009885,464000,-21.894586740032622,nan,-21.894586740032626,-21.894586740032626,-18.21409434002872,0.0,31.0592,10,6.3145657,0.0,-27.106459842777987,-9.677358,2.6832720139009885,-21.894586740032622,-27.106459842777987,-18.21409434002872,0.0,0.0
10,7.628873,10,11,1.8973416852872669,488000,-20.243069831396195,nan,-20.243069831396202,-20.243069831396202,-18.42110746442591,0.0,31.194641,11,6.3114552,0.0,-24.82695930954733,-14.751938,1.8973416852872669,-20.243069831396195,-24.82695930954733,-18.42110746442591,0.0,0.0
10,7.6246367,10,12,1.334291130237274,512000,-21.220041981228885,nan,-21.22004198122888,-21.22004198122888,-18.612040140357255,0.0,31.069817,12,6.3133955,0.0,-23.474441068400797,-19.788734,1.334291130237274,-21.220041981228885,-23.474441068400797,-18.612040140357255,0.0,0.0
10,7.624632,10,13,1.530894564955964,536000,-20.191813011980166,nan,-20.191813011980166,-20.191813011980166,-17.139749922618545,0.0,30.735296,13,6.3149786,0.0,-22.788567969195494,-24.178804,1.530894564955964,-20.191813011980166,-22.788567969195494,-17.139749922618545,0.0,0.0
10,7.624632,10,14,1.6062541984867589,560000,-20.393442713354126,nan,-20.39344271335413,-20.39344271335413,-17.61647522963138,0.0,30.867422,14,6.3182225,0.0,-23.05895843519345,-27.94785,1.6062541984867589,-20.393442713354126,-23.05895843519345,-17.61647522963138,0.0,0.0
10,7.624632,10,15,1.678445458647839,584000,-20.064675650571566,nan,-20.064675650571573,-20.064675650571573,-18.160305107007396,0.0,30.53712,15,6.322539,0.0,-23.161798709751732,-31.990953,1.678445458647839,-20.064675650571566,-23.161798709751732,-18.160305107007396,0.0,0.0
10,7.624632,10,16,0.9937425359744699,608000,-17.875670619259214,nan,-17.87567061925921,-17.87567061925921,-16.443778313717143,0.0,30.414953,16,6.325349,0.0,-19.75773649105765,-35.491016,0.9937425359744699,-17.875670619259214,-19.75773649105765,-16.443778313717143,0.0,0.0
10,7.624632,10,17,1.4348188912701123,632000,-19.02560630590792,nan,-19.025606305907925,-19.025606305907925,-16.771694070698164,0.0,29.937658,17,6.333491,0.0,-21.36961647635523,-39.424545,1.4348188912701123,-19.02560630590792,-21.36961647635523,-16.771694070698164,0.0,0.0
10,7.624632,10,18,1.3959278898726346,656000,-18.89755604484668,nan,-18.89755604484668,-18.89755604484668,-16.937888811677535,0.0,29.775412,18,6.3363104,0.0,-21.399335120033513,-42.263523,1.3959278898726346,-18.89755604484668,-21.399335120033513,-16.937888811677535,0.0,0.0
10,7.624632,10,19,1.4397445063311864,680000,-17.81297907515042,nan,-17.812979075150416,-17.812979075150416,-15.963249158152697,0.0,29.387484,19,6.3425646,0.0,-20.10070979663896,-45.327766,1.4397445063311864,-17.81297907515042,-20.10070979663896,-15.963249158152697,0.0,0.0
