MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTest/peg-unplug-side-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-unplug-side-v1/TerminationRate,MetaTest/peg-unplug-side-v1/SuccessRate,MetaTest/peg-unplug-side-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-unplug-side-v1/MaxReturn,MetaTest/peg-unplug-side-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/peg-unplug-side-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/NumEpisodes,MetaTrain/Average/AlphaLoss,MetaTest/peg-unplug-side-v1/AverageReturn,MetaTest/peg-unplug-side-v1/Iteration
0.9311451,-87.99027220237068,-98.02133668084683,-98.02133668084683,0.0,0.0,-110.45027857192704,0.0,-110.45027857192704,56000,9.800702,-87.99027220237068,10,0.0,896.53973,6.594952517834505,0,-98.02133668084682,6.594952517834505,-0.9377086,10,6.1760674,-98.02133668084682,0
0.8107542,-42.79172300417681,-54.65926511156333,-54.65926511156333,0.0,0.0,-71.76312754704523,0.0,-71.76312754704523,62000,8.838934,-42.79172300417681,10,0.0,686.60974,9.182929137673646,1,-54.65926511156333,9.182929137673646,5.003104,10,5.2766504,-54.65926511156333,1
0.7113184,-32.36158275128822,-58.24913371270577,-58.24913371270577,0.0,0.0,-86.60306437667742,0.0,-86.60306437667742,68000,10.835981,-32.36158275128822,10,0.0,558.8256,16.16498227065903,2,-58.249133712705785,16.16498227065903,9.589994,10,4.17503,-58.249133712705785,2
0.63546103,-33.418852121727035,-58.11404861235476,-58.11404861235476,0.0,0.0,-99.39473583928508,0.0,-99.39473583928508,74000,16.6754,-33.418852121727035,10,0.0,703.3275,21.754496025147578,3,-58.11404861235475,21.754496025147578,-33.890255,10,3.093839,-58.11404861235475,3
0.5608436,-32.900155029849856,-48.99185863768167,-48.99185863768167,0.0,0.0,-74.31802421786956,0.0,-74.31802421786956,80000,21.60935,-32.900155029849856,10,0.0,742.246,13.330926214064588,4,-48.99185863768168,13.330926214064588,17.144907,10,3.169315,-48.99185863768168,4
0.53586596,7454.04371604575,645.4379461468886,645.4379461468886,0.0,0.0,-124.05959593169163,0.0,-124.05959593169163,86000,96.828415,7454.04371604575,10,0.0,21209.63,2269.5727903018546,5,645.4379461468875,2269.5727903018546,-304.65588,10,-2.1545303,645.4379461468875,5
0.5899871,-105.26691346870727,-154.39253870939973,-154.39253870939973,0.0,0.0,-174.4385355569926,0.0,-174.4385355569926,92000,81.919136,-105.26691346870727,10,0.0,2659.962,23.36613742296222,6,-154.39253870939967,23.36613742296222,-389.62524,10,-2.514817,-154.39253870939967,6
0.6545027,-84.89105663334786,-127.81836394255154,-127.81836394255154,0.0,0.0,-155.04026155816865,0.0,-155.04026155816865,98000,149.52069,-84.89105663334786,10,0.0,3373.6016,16.758020133464576,7,-127.81836394255156,16.758020133464576,-299.3807,10,-2.211086,-127.81836394255156,7
0.7354196,11201.272191711847,2292.731324608237,2292.731324608237,0.0,0.0,-112.4291260396128,0.0,-112.4291260396128,104000,110.47617,11201.272191711847,10,0.0,5674.257,3330.5814119179167,8,2292.7313246082367,3330.5814119179167,-496.063,10,-2.031531,2292.7313246082367,8
0.826833,-105.81144323263703,-133.83322053861946,-133.83322053861946,0.0,0.0,-145.4608398838141,0.0,-145.4608398838141,110000,75.98127,-105.81144323263703,10,0.0,7058.5967,11.767508798453836,9,-133.83322053861946,11.767508798453836,-555.913,10,-2.004817,-133.83322053861946,9
