MetaTest/coffee-pull-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/coffee-pull-v1/MinReturn,MetaTest/coffee-pull-v1/Iteration,MetaTest/Average/NumTrajs,MetaTest/coffee-pull-v1/TerminationRate,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration
10,0.0,-23.204585743477637,-30.541570434519496,3.737221382322431,-30.541570434519496,3.737221382322431,-36.52024680781686,224000,-30.541570434519496,-23.204585743477637,-36.52024680781686,0,10,0.0,0.0,0.0,-30.541570434519496,0
10,0.0,410.786937429056,44.89302378517643,150.44145253399506,44.89302378517643,150.44145253399506,-56.1687668158326,248000,44.89302378517648,410.786937429056,-56.1687668158326,1,10,0.0,0.0,0.0,44.89302378517648,1
10,0.0,2731.107161036275,303.6227465935945,812.8307380463433,303.6227465935945,812.8307380463433,-45.10652502607926,272000,303.62274659359423,2731.107161036275,-45.10652502607926,2,10,0.0,0.0,0.0,303.62274659359423,2
10,0.0,758.4874460989996,288.0971081776238,211.1202357337266,288.0971081776238,211.1202357337266,68.57430269566541,296000,288.0971081776238,758.4874460989996,68.57430269566541,3,10,0.0,0.0,0.0,288.0971081776238,3
10,0.0,15160.115738727678,1708.333196691762,4490.847652657606,1708.333196691762,4490.847652657606,-41.21534276579874,320000,1708.3331966917617,15160.115738727678,-41.21534276579874,4,10,0.0,0.0,0.0,1708.3331966917617,4
10,0.0,2386.628906811057,484.9802793872656,733.1439324639246,484.9802793872656,733.1439324639246,-45.389108814179316,344000,484.9802793872656,2386.628906811057,-45.389108814179316,5,10,0.0,0.0,0.0,484.9802793872656,5
10,0.0,1928.0052695161369,418.7261647766767,721.4232294335688,418.7261647766767,721.4232294335688,-41.18455471753253,368000,418.7261647766766,1928.0052695161369,-41.18455471753253,6,10,0.0,0.0,0.0,418.7261647766766,6
10,0.0,488.35503530968487,101.83904733440029,197.89567981557323,101.83904733440029,197.89567981557323,-33.29691887906237,392000,101.8390473344003,488.35503530968487,-33.29691887906237,7,10,0.0,0.0,0.0,101.8390473344003,7
10,0.0,2744.6189875506475,562.9632517390421,885.4653034654593,562.9632517390421,885.4653034654593,-33.33490254977075,416000,562.9632517390426,2744.6189875506475,-33.33490254977075,8,10,0.0,0.0,0.0,562.9632517390426,8
10,0.0,7923.155569646784,1102.1792264625028,2333.1700456531908,1102.1792264625028,2333.1700456531908,-32.97561833497319,440000,1102.1792264625024,7923.155569646784,-32.97561833497319,9,10,0.0,0.0,0.0,1102.1792264625024,9
10,0.0,1269.3509277370053,446.81797771855054,461.0934701332993,446.81797771855054,461.0934701332993,-36.4670152734949,464000,446.81797771855054,1269.3509277370053,-36.4670152734949,10,10,0.0,0.0,0.0,446.81797771855054,10
10,0.0,1510.651860123497,359.092612120757,437.0168518617561,359.092612120757,437.0168518617561,25.150870256757816,488000,359.0926121207572,1510.651860123497,25.150870256757816,11,10,0.0,0.0,0.0,359.0926121207572,11
10,0.0,932.8091076295639,197.6799477806272,340.39233348855424,197.6799477806272,340.39233348855424,-44.86885738132112,512000,197.67994778062717,932.8091076295639,-44.86885738132112,12,10,0.0,0.0,0.0,197.67994778062717,12
10,0.0,9785.116727423201,2117.3929771328053,2803.854542845815,2117.3929771328053,2803.854542845815,-37.63970887730392,536000,2117.392977132806,9785.116727423201,-37.63970887730392,13,10,0.0,0.0,0.0,2117.392977132806,13
10,0.0,6857.712615495692,1400.9060050172043,2142.493957551417,1400.9060050172043,2142.493957551417,-39.68720772179254,560000,1400.9060050172043,6857.712615495692,-39.68720772179254,14,10,0.0,0.0,0.0,1400.9060050172043,14
10,0.0,13520.168299227922,4307.999891255726,4418.905830433717,4307.999891255726,4418.905830433717,-88.8566812563628,584000,4307.999891255726,13520.168299227922,-88.8566812563628,15,10,0.0,0.0,0.0,4307.999891255726,15
10,0.0,2233.1024739513077,454.72152575569635,838.1964145435531,454.72152575569635,838.1964145435531,-57.654861987753,608000,454.72152575569635,2233.1024739513077,-57.654861987753,16,10,0.0,0.0,0.0,454.72152575569635,16
10,0.0,4349.081949846563,1006.8974095681302,1311.000825116636,1006.8974095681302,1311.000825116636,-43.50182204464027,632000,1006.89740956813,4349.081949846563,-43.50182204464027,17,10,0.0,0.0,0.0,1006.89740956813,17
10,0.0,1313.5551168278218,208.45751547373806,481.09375927702354,208.45751547373806,481.09375927702354,-49.61354366369245,656000,208.45751547373806,1313.5551168278218,-49.61354366369245,18,10,0.0,0.0,0.0,208.45751547373806,18
10,0.0,-14.042729090260284,-35.09449285871973,20.511615884049004,-35.09449285871973,20.511615884049004,-62.506264776053314,680000,-35.09449285871973,-14.042729090260284,-62.506264776053314,19,10,0.0,0.0,0.0,-35.09449285871973,19
10,0.0,-14.259750574524618,-15.934083497113761,1.4356544558250022,-15.934083497113761,1.4356544558250022,-18.53176376172366,704000,-15.934083497113765,-14.259750574524618,-18.53176376172366,20,10,0.0,0.0,0.0,-15.934083497113765,20
