MetaTest/push-v1/AverageReturn,MetaTest/push-v1/SuccessRate,MetaTest/push-v1/TerminationRate,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/StdReturn,MetaTest/push-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/push-v1/NumEpisodes,MetaTrain/Average/QfLoss,MetaTrain/Average/AlphaLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/push-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/push-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn
63.71838000883015,0.0,0.0,536.4289878570762,179.9638949083397,63.718380008830216,224000,10,12.417708,5.1502123,8.689625,0,0.0,-34.904826326132856,536.4289878570762,5.101256,63.71838000883015,0.7660482,63.718380008830216,0.0,-34.904826326132856,0,10,179.9638949083397
-54.63056993906148,0.0,0.0,-4.1987002125943915,25.39985701642834,-54.63056993906148,248000,10,2494.648,2.6214027,211.66595,1,0.0,-94.27563634223961,-4.1987002125943915,16.652039,-54.63056993906148,0.45872566,-54.63056993906148,0.0,-94.27563634223961,1,10,25.39985701642834
-68.15096704386049,0.0,0.0,-40.662423401966485,16.92465457773771,-68.15096704386049,272000,10,19703.588,-1.4015468,35.56711,2,0.0,-91.09631855043361,-40.662423401966485,-368.8743,-68.15096704386049,0.4263484,-68.15096704386049,0.0,-91.09631855043361,2,10,16.92465457773771
-74.7504974426444,0.0,0.0,-41.391491569017774,18.82741600532234,-74.7504974426444,296000,10,40501.777,-2.1961343,85.346375,3,0.0,-97.59475287034634,-41.391491569017774,-864.68506,-74.7504974426444,0.7538051,-74.7504974426444,0.0,-97.59475287034634,3,10,18.82741600532234
-81.62653228419722,0.0,0.0,-57.25085555529752,8.730294196270641,-81.62653228419722,320000,10,105236.734,-0.85418266,340.23087,4,0.0,-88.6995503540484,-57.25085555529752,-1117.6104,-81.62653228419722,1.1733538,-81.62653228419722,0.0,-88.6995503540484,4,10,8.730294196270641
-67.99258460600208,0.0,0.0,-51.393422917700285,19.28945120045026,-67.99258460600211,344000,10,245305.77,-0.7742333,1476.7812,5,0.0,-102.54331946537775,-51.393422917700285,-1222.3264,-67.99258460600208,1.2116657,-67.99258460600211,0.0,-102.54331946537775,5,10,19.28945120045026
-97.64242512001485,0.0,0.0,-86.76226046057974,6.332263272628965,-97.64242512001483,368000,10,547103.75,1.3216096,4497.77,6,0.0,-106.66831343324725,-86.76226046057974,-2065.1152,-97.64242512001485,1.215385,-97.64242512001483,0.0,-106.66831343324725,6,10,6.332263272628965
-37.10510512251433,0.0,0.0,-14.832015572623243,33.138084202998435,-37.10510512251433,392000,10,3138173.2,-22.933674,2709.1726,7,0.0,-119.21127332203992,-14.832015572623243,-56972.453,-37.10510512251433,1.4728513,-37.10510512251433,0.0,-119.21127332203992,7,10,33.138084202998435
186.53860702001012,0.0,0.0,2054.2989775896112,623.7717426289424,186.5386070200103,416000,10,2668005.5,-64.09773,321.32675,8,0.0,-55.87882223272725,2054.2989775896112,-95717.91,186.53860702001012,3.0648906,186.5386070200103,0.0,-55.87882223272725,8,10,623.7717426289424
-28.067274397502985,0.1,0.0,203.16960188362037,78.68639752133993,-28.067274397502974,440000,10,1201718.5,-56.455475,16560.502,9,0.1,-93.62031088991668,203.16960188362037,-67201.02,-28.067274397502985,5.54871,-28.067274397502974,0.0,-93.62031088991668,9,10,78.68639752133993
-25.547168151937733,0.0,0.0,-14.952543749333124,10.67480457147007,-25.547168151937733,464000,10,816951.25,-74.64714,12825.678,10,0.0,-44.66063252637068,-14.952543749333124,-55885.49,-25.547168151937733,9.904248,-25.547168151937733,0.0,-44.66063252637068,10,10,10.67480457147007
208.75910164675855,0.0,0.0,2149.7578428474453,651.7705534177587,208.75910164675867,488000,10,627924.25,-17.381485,9867.806,11,0.0,-66.11562051080564,2149.7578428474453,-38599.992,208.75910164675855,15.003095,208.75910164675867,0.0,-66.11562051080564,11,10,651.7705534177587
27.129378325213366,0.0,0.0,725.0949333898828,232.93578032390073,27.129378325213327,512000,10,419352.2,3.6613433,3948.8264,12,0.0,-80.30029398155374,725.0949333898828,-25704.107,27.129378325213366,14.155392,27.129378325213327,0.0,-80.30029398155374,12,10,232.93578032390073
-42.0360318901719,0.0,0.0,-33.00752580423247,5.818839362727095,-42.036031890171905,536000,10,373901.94,6.505343,2877.3647,13,0.0,-49.3014589538535,-33.00752580423247,-18780.629,-42.0360318901719,11.064342,-42.036031890171905,0.0,-49.3014589538535,13,10,5.818839362727095
-39.27921384010426,0.0,0.0,10.533086592848184,17.120408431879525,-39.27921384010426,560000,10,442770.5,17.96429,12888.144,14,0.0,-49.98015245387127,10.533086592848184,-10226.706,-39.27921384010426,7.119936,-39.27921384010426,0.0,-49.98015245387127,14,10,17.120408431879525
100.07409027909239,0.0,0.0,1259.969439048922,386.75371112774775,100.07409027909243,584000,10,350465.78,16.412146,11572.564,15,0.0,-49.31251406930765,1259.969439048922,-5315.578,100.07409027909239,4.1520205,100.07409027909243,0.0,-49.31251406930765,15,10,386.75371112774775
592.4853078998644,0.0,0.0,5426.267754080538,1620.248764801417,592.4853078998647,608000,10,272235.06,9.017153,10590.452,16,0.0,-43.45228501707072,5426.267754080538,-4764.882,592.4853078998644,2.5431259,592.4853078998647,0.0,-43.45228501707072,16,10,1620.248764801417
