MetaTest/Average/Iteration,MetaTest/hammer-v1/NumTrajs,MetaTest/hammer-v1/StdReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTest/hammer-v1/TerminationRate,MetaTest/hammer-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/hammer-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate
31,10,15.342852756325556,968000,15.342852756325556,31,-31.397200708952667,10,17.84313874127611,-16.761749996843438,0.0,-16.76174999684343,-16.761749996843438,-16.76174999684343,0.0,-31.397200708952667,17.84313874127611,0.0,0.0
32,10,15.717923047079923,992000,15.717923047079923,32,-38.190691248194995,10,12.163420346755819,-18.233458765681945,0.0,-18.233458765681938,-18.233458765681945,-18.233458765681938,0.0,-38.190691248194995,12.163420346755819,0.0,0.0
33,10,14.823471411237959,1016000,14.823471411237959,33,-56.89019460938422,10,-0.3365441043296278,-28.117887196679533,0.0,-28.117887196679543,-28.117887196679533,-28.117887196679543,0.0,-56.89019460938422,-0.3365441043296278,0.0,0.0
34,10,22.46567090540434,1040000,22.46567090540434,34,-105.54149986445798,10,-10.289400007595855,-56.67567483397571,0.0,-56.67567483397569,-56.67567483397571,-56.67567483397569,0.0,-105.54149986445798,-10.289400007595855,0.0,0.0
35,10,2310.695302806299,1064000,2310.695302806299,35,-96.01006946663276,10,7636.791886418836,704.8599083229424,0.0,704.8599083229426,704.8599083229424,704.8599083229426,0.0,-96.01006946663276,7636.791886418836,0.0,0.0
36,10,21.475871470177612,1088000,21.475871470177612,36,-90.50694372013275,10,-12.903205813334885,-71.4734804187167,0.0,-71.47348041871672,-71.4734804187167,-71.47348041871672,0.0,-90.50694372013275,-12.903205813334885,0.0,0.0
37,10,30.996485286138928,1112000,30.996485286138928,37,-73.41940497741884,10,20.51712244968061,-40.062883759790836,0.0,-40.06288375979085,-40.062883759790836,-40.06288375979085,0.0,-73.41940497741884,20.51712244968061,0.0,0.0
38,10,22.433134686427337,1136000,22.433134686427337,38,-70.54075920985376,10,-1.1541338283921645,-40.29782752094877,0.0,-40.29782752094876,-40.29782752094877,-40.29782752094876,0.0,-70.54075920985376,-1.1541338283921645,0.0,0.0
39,10,25.003035075849503,1160000,25.003035075849503,39,-93.09376056304427,10,-22.573980397055397,-53.0561816205118,0.0,-53.0561816205118,-53.0561816205118,-53.0561816205118,0.0,-93.09376056304427,-22.573980397055397,0.0,0.0
40,10,6.559633987354943,1184000,6.559633987354943,40,-30.24758623743999,10,-11.390731041453252,-18.312776459815407,0.0,-18.31277645981541,-18.312776459815407,-18.31277645981541,0.0,-30.24758623743999,-11.390731041453252,0.0,0.0
41,10,14.036285048055378,1208000,14.036285048055378,41,-69.29356655132207,10,-28.210128352744988,-48.77534284466113,0.0,-48.77534284466113,-48.77534284466113,-48.77534284466113,0.0,-69.29356655132207,-28.210128352744988,0.0,0.0
42,10,14.242122924398883,1232000,14.242122924398883,42,-90.60284281823638,10,-45.5582674935781,-61.323909927994535,0.0,-61.323909927994535,-61.323909927994535,-61.323909927994535,0.0,-90.60284281823638,-45.5582674935781,0.0,0.0
43,10,11.917444397632645,1256000,11.917444397632645,43,-55.58636519074898,10,-6.627090496726277,-27.25494547261606,0.0,-27.254945472616054,-27.25494547261606,-27.254945472616054,0.0,-55.58636519074898,-6.627090496726277,0.0,0.0
44,10,12.47452097627867,1280000,12.47452097627867,44,-39.76701279119192,10,-6.293581919671937,-20.977804606793303,0.0,-20.977804606793296,-20.977804606793303,-20.977804606793296,0.0,-39.76701279119192,-6.293581919671937,0.0,0.0
45,10,1597.2022437772187,1304000,1597.2022437772187,45,-114.9590255801367,10,5286.986733050226,496.21577479225516,0.0,496.2157747922562,496.21577479225516,496.2157747922562,0.0,-114.9590255801367,5286.986733050226,0.0,0.0
46,10,17.268661148742165,1328000,17.268661148742165,46,-85.60874523839142,10,-20.94989263794813,-42.8854158913431,0.0,-42.88541589134311,-42.8854158913431,-42.88541589134311,0.0,-85.60874523839142,-20.94989263794813,0.0,0.0
47,10,12.3059921705177,1352000,12.3059921705177,47,-57.90326368362603,10,-15.356423673846924,-23.549492222913738,0.0,-23.549492222913738,-23.549492222913738,-23.549492222913738,0.0,-57.90326368362603,-15.356423673846924,0.0,0.0
48,10,9.796133576444493,1376000,9.796133576444493,48,-51.401713340347364,10,-16.20862231182679,-37.22242271715475,0.0,-37.22242271715475,-37.22242271715475,-37.22242271715475,0.0,-51.401713340347364,-16.20862231182679,0.0,0.0
49,10,214.56308681527446,1400000,214.56308681527446,49,-101.36979783213532,10,669.0751171593075,29.029723245187018,0.0,29.02972324518704,29.029723245187018,29.02972324518704,0.0,-101.36979783213532,669.0751171593075,0.0,0.0
50,10,41.445979898966755,1424000,41.445979898966755,50,-127.1240981986581,10,-13.883196422483802,-68.92056882129312,0.0,-68.92056882129312,-68.92056882129312,-68.92056882129312,0.0,-127.1240981986581,-13.883196422483802,0.0,0.0
51,10,9.887721101683981,1448000,9.887721101683981,51,-110.69534417306546,10,-70.33550247426028,-91.8054797886301,0.0,-91.80547978863008,-91.8054797886301,-91.80547978863008,0.0,-110.69534417306546,-70.33550247426028,0.0,0.0
52,10,29.648692640682174,1472000,29.648692640682174,52,-38.560485485980216,10,69.09076072967001,-17.169682297849587,0.0,-17.169682297849594,-17.169682297849587,-17.169682297849594,0.0,-38.560485485980216,69.09076072967001,0.0,0.0
53,10,23.431420123194776,1496000,23.431420123194776,53,-92.49571051316796,10,-23.085594677645602,-70.52413541541493,0.0,-70.52413541541495,-70.52413541541493,-70.52413541541495,0.0,-92.49571051316796,-23.085594677645602,0.0,0.0
54,10,34.41003547248377,1520000,34.41003547248377,54,-119.5575557627791,10,7.060439521396847,-38.73395609824543,0.0,-38.733956098245436,-38.73395609824543,-38.733956098245436,0.0,-119.5575557627791,7.060439521396847,0.0,0.0
55,10,38.65229397386475,1544000,38.65229397386475,55,-120.78502875976767,10,-3.8584011651359686,-69.63825087872372,0.0,-69.63825087872371,-69.63825087872372,-69.63825087872371,0.0,-120.78502875976767,-3.8584011651359686,0.0,0.0
56,10,23.456335795914818,1568000,23.456335795914818,56,-76.59772115302988,10,-1.7438216778446747,-38.18500415638471,0.0,-38.185004156384686,-38.18500415638471,-38.185004156384686,0.0,-76.59772115302988,-1.7438216778446747,0.0,0.0
57,10,12.781926941054257,1592000,12.781926941054257,57,-56.300989873229796,10,-9.615732397602805,-38.946169851427825,0.0,-38.94616985142781,-38.946169851427825,-38.94616985142781,0.0,-56.300989873229796,-9.615732397602805,0.0,0.0
58,10,32.909812998377575,1616000,32.909812998377575,58,-119.32139840172583,10,-8.26611927463532,-36.994847331886106,0.0,-36.9948473318861,-36.994847331886106,-36.9948473318861,0.0,-119.32139840172583,-8.26611927463532,0.0,0.0
59,10,38.94085059725925,1640000,38.94085059725925,59,-126.81725348325851,10,-7.566750527417881,-43.64560797474854,0.0,-43.645607974748515,-43.64560797474854,-43.645607974748515,0.0,-126.81725348325851,-7.566750527417881,0.0,0.0
60,10,14.569108025494279,1664000,14.569108025494279,60,-55.563007696615585,10,2.619009903631749,-26.512301191531492,0.0,-26.51230119153148,-26.512301191531492,-26.51230119153148,0.0,-55.563007696615585,2.619009903631749,0.0,0.0
61,10,5495.238775296713,1688000,5495.238775296713,61,-129.32316501394132,10,18273.08500137193,1787.6327492369699,0.0,1787.6327492369717,1787.6327492369699,1787.6327492369717,0.0,-129.32316501394132,18273.08500137193,0.0,0.0
62,10,22.214107110221004,1712000,22.214107110221004,62,-80.81387238512059,10,-16.53830662464107,-40.880669994415044,0.0,-40.88066999441505,-40.880669994415044,-40.88066999441505,0.0,-80.81387238512059,-16.53830662464107,0.0,0.0
63,10,2793.4938937840357,1736000,2793.4938937840357,63,-111.69257302508484,10,9260.932151263722,881.6323362113346,0.0,881.6323362113335,881.6323362113346,881.6323362113335,0.0,-111.69257302508484,9260.932151263722,0.0,0.0
64,10,22.269899512369054,1760000,22.269899512369054,64,-68.4668675037231,10,7.427266915609363,-20.39069313087594,0.0,-20.390693130875942,-20.39069313087594,-20.390693130875942,0.0,-68.4668675037231,7.427266915609363,0.0,0.0
65,10,6.647197602664009,1784000,6.647197602664009,65,-39.53248800950694,10,-15.418983342736214,-20.84612749015716,0.0,-20.84612749015716,-20.84612749015716,-20.84612749015716,0.0,-39.53248800950694,-15.418983342736214,0.0,0.0
66,10,8.353574937109757,1808000,8.353574937109757,66,-33.278510111006824,10,-0.4990977194228728,-15.623723103508999,0.0,-15.623723103508993,-15.623723103508999,-15.623723103508993,0.0,-33.278510111006824,-0.4990977194228728,0.0,0.0
67,10,6.310715956379986,1832000,6.310715956379986,67,-41.08194656690161,10,-21.167055032944333,-29.132018558271813,0.0,-29.132018558271813,-29.132018558271813,-29.132018558271813,0.0,-41.08194656690161,-21.167055032944333,0.0,0.0
68,10,8.408123444590991,1856000,8.408123444590991,68,-59.68561750650522,10,-26.658594009519653,-39.97533133419287,0.0,-39.97533133419287,-39.97533133419287,-39.97533133419287,0.0,-59.68561750650522,-26.658594009519653,0.0,0.0
69,10,22.69621822521619,1880000,22.69621822521619,69,-62.40759366936781,10,34.463809006533296,-16.421397674160794,0.0,-16.421397674160794,-16.421397674160794,-16.421397674160794,0.0,-62.40759366936781,34.463809006533296,0.0,0.0
70,10,7623.567672824199,1904000,7623.567672824199,70,-109.8199175213392,10,25402.394033688357,2535.269047408473,0.0,2535.2690474084693,2535.269047408473,2535.2690474084693,0.0,-109.8199175213392,25402.394033688357,0.0,0.0
71,10,6116.531008772821,1928000,6116.531008772821,71,-60.852813399554634,10,20359.95101183434,2010.4346337770883,0.0,2010.434633777087,2010.4346337770883,2010.434633777087,0.0,-60.852813399554634,20359.95101183434,0.0,0.0
72,10,6.19859070390214,1952000,6.19859070390214,72,-17.888815165494133,10,4.631734455593419,-10.892232625578155,0.0,-10.892232625578162,-10.892232625578155,-10.892232625578162,0.0,-17.888815165494133,4.631734455593419,0.0,0.0
73,10,2696.7531546394735,1976000,2696.7531546394735,73,-45.001312631347375,10,8982.343879147515,895.3833649616583,0.0,895.3833649616566,895.3833649616583,895.3833649616566,0.0,-45.001312631347375,8982.343879147515,0.0,0.0
74,10,18.832433262268953,2000000,18.832433262268953,74,-55.405886242754455,10,9.079532956852482,-30.367342305694073,0.0,-30.36734230569408,-30.367342305694073,-30.36734230569408,0.0,-55.405886242754455,9.079532956852482,0.0,0.0
75,10,21.35260209493959,2024000,21.35260209493959,75,-82.30044990466108,10,-9.840751185078004,-35.90228348680104,0.0,-35.90228348680103,-35.90228348680104,-35.90228348680103,0.0,-82.30044990466108,-9.840751185078004,0.0,0.0
76,10,65.23079519015442,2048000,65.23079519015442,76,-53.61490557793622,10,187.7179268547838,-0.2854714543435605,0.0,-0.2854714543435312,-0.2854714543435605,-0.2854714543435312,0.0,-53.61490557793622,187.7179268547838,0.0,0.0
77,10,5245.733837837158,2072000,5245.733837837158,77,-31.11351161516688,10,13804.912277161964,3303.477621887322,0.0,3303.477621887323,3303.477621887322,3303.477621887323,0.0,-31.11351161516688,13804.912277161964,0.0,0.0
78,10,38.91623815150988,2096000,38.91623815150988,78,-76.02560257910002,10,50.211376685147734,-10.789253950575599,0.0,-10.789253950575594,-10.789253950575599,-10.789253950575594,0.0,-76.02560257910002,50.211376685147734,0.0,0.0
79,10,29320.523968632955,2120000,29320.523968632955,79,-105.27361522387162,10,97705.00084038584,9743.482888248654,0.0,9743.48288824865,9743.482888248654,9743.48288824865,0.1,-105.27361522387162,97705.00084038584,0.0,0.1
80,10,39.89353461451837,2144000,39.89353461451837,80,-101.86122804926089,10,4.154057139302267,-57.85613071723161,0.0,-57.85613071723161,-57.85613071723161,-57.85613071723161,0.0,-101.86122804926089,4.154057139302267,0.0,0.0
81,10,9607.585199307565,2168000,9607.585199307565,81,-125.11158312528897,10,31967.159918899037,3144.7686123141693,0.0,3144.7686123141693,3144.7686123141693,3144.7686123141693,0.0,-125.11158312528897,31967.159918899037,0.0,0.0
82,10,8919.111425767785,2192000,8919.111425767785,82,-86.53012627101936,10,29213.011907125958,3821.2234585022343,0.0,3821.2234585022334,3821.2234585022343,3821.2234585022334,0.0,-86.53012627101936,29213.011907125958,0.0,0.0
83,10,39.17007268525781,2216000,39.17007268525781,83,-124.83439769683555,10,-13.102971437975617,-51.001639646387524,0.0,-51.00163964638752,-51.001639646387524,-51.00163964638752,0.0,-124.83439769683555,-13.102971437975617,0.0,0.0
84,10,42.17521502631459,2240000,42.17521502631459,84,-115.27821715675228,10,23.652173602427,-38.813101568369014,0.0,-38.81310156836899,-38.813101568369014,-38.81310156836899,0.0,-115.27821715675228,23.652173602427,0.0,0.0
85,10,22.12774943078665,2264000,22.12774943078665,85,-73.16298302448021,10,5.065355629336416,-31.34599563589715,0.0,-31.345995635897147,-31.34599563589715,-31.345995635897147,0.0,-73.16298302448021,5.065355629336416,0.0,0.0
86,10,4825.5733725273485,2288000,4825.5733725273485,86,-80.93527673447491,10,16196.334489262568,1759.8334633686754,0.0,1759.8334633686743,1759.8334633686754,1759.8334633686743,0.0,-80.93527673447491,16196.334489262568,0.0,0.0
87,10,10546.391425802385,2312000,10546.391425802385,87,-120.55014662376546,10,35107.72326418012,3468.7188784841915,0.0,3468.718878484189,3468.7188784841915,3468.718878484189,0.0,-120.55014662376546,35107.72326418012,0.0,0.0
88,10,4821.459502561298,2336000,4821.459502561298,88,-102.68426144836793,10,12236.059680706026,2365.872282031895,0.0,2365.872282031895,2365.872282031895,2365.872282031895,0.0,-102.68426144836793,12236.059680706026,0.0,0.0
89,10,39.49508965251735,2360000,39.49508965251735,89,-127.04860342630967,10,-13.33208524215819,-44.712984405811895,0.0,-44.7129844058119,-44.712984405811895,-44.7129844058119,0.0,-127.04860342630967,-13.33208524215819,0.0,0.0
90,10,38.713143425512754,2384000,38.713143425512754,90,-126.61442076931844,10,-12.896047992083137,-47.615760546837556,0.0,-47.61576054683756,-47.615760546837556,-47.61576054683756,0.0,-126.61442076931844,-12.896047992083137,0.0,0.0
91,10,40.669043262086845,2408000,40.669043262086845,91,-105.58316229005068,10,37.96969835976933,-27.072834235844585,0.0,-27.072834235844567,-27.072834235844585,-27.072834235844567,0.0,-105.58316229005068,37.96969835976933,0.0,0.0
92,10,38.47633889372379,2432000,38.47633889372379,92,-108.81937534261382,10,2.700299498128505,-45.35257644217288,0.0,-45.35257644217289,-45.35257644217288,-45.35257644217289,0.0,-108.81937534261382,2.700299498128505,0.0,0.0
93,10,25.432238157166505,2456000,25.432238157166505,93,-86.01865891675187,10,-8.116437519470407,-31.841524018351766,0.0,-31.84152401835175,-31.841524018351766,-31.84152401835175,0.0,-86.01865891675187,-8.116437519470407,0.0,0.0
94,10,6057.916983533663,2480000,6057.916983533663,94,-92.54948285963366,10,20156.24565421555,1982.6672357613668,0.0,1982.667235761368,1982.6672357613668,1982.667235761368,0.1,-92.54948285963366,20156.24565421555,0.0,0.1
95,10,45.947841692709964,2504000,45.947841692709964,95,-132.2854500370748,10,-9.402935577263701,-50.337714583459174,0.0,-50.33771458345917,-50.337714583459174,-50.33771458345917,0.0,-132.2854500370748,-9.402935577263701,0.0,0.0
96,10,7542.340412377608,2528000,7542.340412377608,96,-45.714952670978406,10,18118.881282462356,4940.628191356462,0.0,4940.6281913564635,4940.628191356462,4940.6281913564635,0.0,-45.714952670978406,18118.881282462356,0.0,0.0
97,10,12801.192339149122,2552000,12801.192339149122,97,-101.35654957075839,10,30487.057015974373,9523.582321089698,0.0,9523.582321089692,9523.582321089698,9523.582321089692,0.1,-101.35654957075839,30487.057015974373,0.0,0.1
98,10,11.465019828163731,2576000,11.465019828163731,98,-27.809707726068947,10,14.425209095852521,-16.10645071555794,0.0,-16.106450715557948,-16.10645071555794,-16.106450715557948,0.0,-27.809707726068947,14.425209095852521,0.0,0.0
99,10,9181.667198104285,2600000,9181.667198104285,99,-28.612469232317277,10,30751.942588870494,3224.556200622298,0.0,3224.556200622297,3224.556200622298,3224.556200622297,0.2,-28.612469232317277,30751.942588870494,0.0,0.2
