TotalEnvSteps,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/button-press-topdown-wall-v1/NumTrajs,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/AverageReturn
632000,-62.73974457942849,17,17,22.903551950372297,0.0,10,22.903551950372297,10,-112.57507971266482,0.0,0.0,-43.211594138494796,-112.57507971266482,0.0,-62.73974457942846,-43.211594138494796,-62.73974457942849,-62.73974457942846
656000,-113.44071379704803,18,18,28.819906942418893,0.0,10,28.819906942418893,10,-153.65092480802397,0.0,0.0,-77.44577050066734,-153.65092480802397,0.0,-113.440713797048,-77.44577050066734,-113.44071379704803,-113.440713797048
680000,-91.47293766917596,19,19,5.030194779597079,0.0,10,5.030194779597079,10,-99.30353311920155,0.0,0.0,-84.21011906140602,-99.30353311920155,0.0,-91.47293766917596,-84.21011906140602,-91.47293766917596,-91.47293766917596
704000,-88.36859489620403,20,20,2.4932124144171364,0.0,10,2.4932124144171364,10,-92.68398561960065,0.0,0.0,-82.91068139804395,-92.68398561960065,0.0,-88.36859489620403,-82.91068139804395,-88.36859489620403,-88.36859489620403
728000,-60.05667827468149,21,21,3.213716736984691,0.0,10,3.213716736984691,10,-67.31075256793089,0.0,0.0,-55.414087787334736,-67.31075256793089,0.0,-60.05667827468149,-55.414087787334736,-60.05667827468149,-60.05667827468149
752000,-83.57056274308911,22,22,7.730191615332873,0.0,10,7.730191615332873,10,-96.0920602223565,0.0,0.0,-69.89090182031588,-96.0920602223565,0.0,-83.57056274308908,-69.89090182031588,-83.57056274308911,-83.57056274308908
776000,-47.228668154970876,23,23,12.491746629957827,0.0,10,12.491746629957827,10,-70.41511474564177,0.0,0.0,-24.910179118168703,-70.41511474564177,0.0,-47.22866815497086,-24.910179118168703,-47.228668154970876,-47.22866815497086
800000,-63.940692006245726,24,24,44.73087592002298,0.0,10,44.73087592002298,10,-150.82151670993844,0.0,0.0,-21.167063435757136,-150.82151670993844,0.0,-63.940692006245705,-21.167063435757136,-63.940692006245726,-63.940692006245705
824000,-62.757227795072495,25,25,17.583150604178673,0.0,10,17.583150604178673,10,-113.16488325630236,0.0,0.0,-43.45430333676566,-113.16488325630236,0.0,-62.7572277950725,-43.45430333676566,-62.757227795072495,-62.7572277950725
848000,1759.1423275284792,26,26,5436.776248280234,0.0,10,5436.776248280234,10,-86.25860182136314,0.0,0.0,18069.29507835787,-86.25860182136314,0.0,1759.14232752848,18069.29507835787,1759.1423275284792,1759.14232752848
872000,8314.132799362418,27,27,15786.727009707718,0.0,10,15786.727009707718,10,-102.75782169673748,0.0,0.0,45698.81643742676,-102.75782169673748,0.0,8314.132799362422,45698.81643742676,8314.132799362418,8314.132799362422
896000,19450.322015736376,28,28,43548.55216267258,0.0,10,43548.55216267258,10,-86.03793461119542,0.0,0.0,143147.71675694193,-86.03793461119542,0.0,19450.32201573639,143147.71675694193,19450.322015736376,19450.32201573639
920000,46510.65406559152,29,29,70677.46170036819,0.0,10,70677.46170036819,10,-87.33003612181624,0.0,0.0,168748.16479204025,-87.33003612181624,0.0,46510.65406559152,168748.16479204025,46510.65406559152,46510.65406559152
944000,31574.41189817341,30,30,90469.41474270789,0.1,10,90469.41474270789,10,-148.8131252979704,0.0,0.1,302699.3807086711,-148.8131252979704,0.0,31574.41189817342,302699.3807086711,31574.41189817341,31574.41189817342
968000,40002.26026833903,31,31,76344.43949838133,0.0,10,76344.43949838133,10,-131.62317923936774,0.0,0.0,214502.73636067862,-131.62317923936774,0.0,40002.260268339036,214502.73636067862,40002.26026833903,40002.260268339036
992000,60642.3862179336,32,32,96114.99999307025,0.1,10,96114.99999307025,10,-93.6327064110168,0.0,0.1,263423.41519457113,-93.6327064110168,0.0,60642.38621793358,263423.41519457113,60642.3862179336,60642.38621793358
1016000,3556.79449335194,33,33,8418.831342071862,0.0,10,8418.831342071862,10,-141.362555216361,0.0,0.0,27566.383369867046,-141.362555216361,0.0,3556.7944933519407,27566.383369867046,3556.79449335194,3556.7944933519407
1040000,59035.19962517645,34,34,67447.71812179896,0.0,10,67447.71812179896,10,-98.42965686683624,0.0,0.0,147621.63800679974,-98.42965686683624,0.0,59035.19962517646,147621.63800679974,59035.19962517645,59035.19962517646
1064000,34646.657694284535,35,35,62612.45187881208,0.0,10,62612.45187881208,10,-92.29363130340748,0.0,0.0,173595.93337646467,-92.29363130340748,0.0,34646.657694284535,173595.93337646467,34646.657694284535,34646.657694284535
1088000,32311.87645613752,36,36,79423.3313908294,0.1,10,79423.3313908294,10,-95.91030366911198,0.0,0.1,264667.2852509247,-95.91030366911198,0.0,32311.876456137514,264667.2852509247,32311.87645613752,32311.876456137514
1112000,64496.894344505024,37,37,103955.09170516855,0.1,10,103955.09170516855,10,-104.6537343550187,0.0,0.1,297600.99727336323,-104.6537343550187,0.0,64496.89434450502,297600.99727336323,64496.894344505024,64496.89434450502
1136000,51179.6877472847,38,38,77352.05193672968,0.0,10,77352.05193672968,10,-67.93198414462546,0.0,0.0,215608.42831566033,-67.93198414462546,0.0,51179.687747284726,215608.42831566033,51179.6877472847,51179.687747284726
1160000,66464.98437910655,39,39,88393.37748735279,0.0,10,88393.37748735279,10,-103.4059886020468,0.0,0.0,257607.55305584634,-103.4059886020468,0.0,66464.98437910655,257607.55305584634,66464.98437910655,66464.98437910655
1184000,49415.483859618624,40,40,77317.82372708405,0.0,10,77317.82372708405,10,-155.6020674600267,0.0,0.0,206434.98044987503,-155.6020674600267,0.0,49415.483859618595,206434.98044987503,49415.483859618624,49415.483859618595
1208000,51211.47837666535,41,41,102228.85685098753,0.1,10,102228.85685098753,10,-154.2299097589912,0.0,0.1,310074.0705193309,-154.2299097589912,0.0,51211.47837666531,310074.0705193309,51211.47837666535,51211.47837666531
1232000,59828.240887154985,42,42,100289.55650564091,0.1,10,100289.55650564091,10,-148.82196284752376,0.0,0.1,305554.92438124784,-148.82196284752376,0.0,59828.24088715496,305554.92438124784,59828.240887154985,59828.24088715496
1256000,6389.8106774888765,43,43,17396.760801570883,0.2,10,17396.760801570883,10,-95.46397309869452,0.0,0.2,58295.10383436583,-95.46397309869452,0.0,6389.810677488876,58295.10383436583,6389.8106774888765,6389.810677488876
1280000,92319.5074281414,44,44,141145.43774609672,0.3,10,141145.43774609672,10,-99.6470873524028,0.0,0.3,316109.2729823826,-99.6470873524028,0.0,92319.50742814144,316109.2729823826,92319.5074281414,92319.50742814144
1304000,806.8829379149363,45,45,2596.755423842472,0.0,10,2596.755423842472,10,-98.18449956005874,0.0,0.0,8596.50863285993,-98.18449956005874,0.0,806.8829379149358,8596.50863285993,806.8829379149363,806.8829379149358
1328000,80570.98347836244,46,46,124179.04050704885,0.3,10,124179.04050704885,10,-97.07728547100409,0.0,0.3,306253.2208074295,-97.07728547100409,0.0,80570.9834783624,306253.2208074295,80570.98347836244,80570.9834783624
1352000,96747.51367400122,47,47,120054.40028419605,0.4,10,120054.40028419605,10,-100.87076084623062,0.0,0.4,259867.1494110405,-100.87076084623062,0.0,96747.5136740012,259867.1494110405,96747.51367400122,96747.5136740012
1376000,81779.09750033534,48,48,107238.42023502867,0.5,10,107238.42023502867,10,-99.79106599993857,0.0,0.5,303108.90015088784,-99.79106599993857,0.0,81779.09750033534,303108.90015088784,81779.09750033534,81779.09750033534
1400000,64112.91910318444,49,49,89597.38411422278,0.2,10,89597.38411422278,10,-97.33662599608498,0.0,0.2,267830.46519143693,-97.33662599608498,0.0,64112.919103184424,267830.46519143693,64112.91910318444,64112.919103184424
1424000,3302.51873472414,50,50,10116.961095593877,0.1,10,10116.961095593877,10,-141.5212477411291,0.0,0.1,33653.16249086976,-141.5212477411291,0.0,3302.518734724138,33653.16249086976,3302.51873472414,3302.518734724138
1448000,34037.53623198765,51,51,88455.20604693782,0.2,10,88455.20604693782,10,-140.48215012807592,0.0,0.2,296372.41461024754,-140.48215012807592,0.0,34037.53623198764,296372.41461024754,34037.53623198765,34037.53623198764
1472000,33381.73941821122,52,52,96017.08807069605,0.2,10,96017.08807069605,10,-99.11714493619884,0.0,0.2,321192.48936025467,-99.11714493619884,0.0,33381.739418211226,321192.48936025467,33381.73941821122,33381.739418211226
1496000,26955.694383659255,53,53,65300.536910391435,0.1,10,65300.536910391435,10,-104.35458856155095,0.0,0.1,220963.19337333113,-104.35458856155095,0.0,26955.694383659236,220963.19337333113,26955.694383659255,26955.694383659236
1520000,62022.93042763544,54,54,114218.56501948053,0.3,10,114218.56501948053,10,-92.12907325961912,0.0,0.3,312923.1856307212,-92.12907325961912,0.0,62022.93042763542,312923.1856307212,62022.93042763544,62022.93042763542
1544000,42607.91796216865,55,55,86219.58255177943,0.4,10,86219.58255177943,10,-91.94471498932378,0.0,0.4,273034.0916645228,-91.94471498932378,0.0,42607.91796216864,273034.0916645228,42607.91796216865,42607.91796216864
1568000,112178.13324645077,56,56,141199.02371441154,0.4,10,141199.02371441154,10,-145.59746165569493,0.0,0.4,328476.62950858194,-145.59746165569493,0.0,112178.13324645077,328476.62950858194,112178.13324645077,112178.13324645077
1592000,90175.85242448833,57,57,130296.30163432448,0.4,10,130296.30163432448,10,-101.22023313315938,0.0,0.4,317471.04911672045,-101.22023313315938,0.0,90175.85242448834,317471.04911672045,90175.85242448833,90175.85242448834
1616000,127505.0231706393,58,58,131131.41418213176,0.8,10,131131.41418213176,10,-18.57743007944399,0.0,0.8,316131.88160995446,-18.57743007944399,0.0,127505.0231706393,316131.88160995446,127505.0231706393,127505.0231706393
1640000,101890.81065721775,59,59,134345.2768652732,0.5,10,134345.2768652732,10,-94.04257394084887,0.0,0.5,317912.60333440814,-94.04257394084887,0.0,101890.81065721775,317912.60333440814,101890.81065721775,101890.81065721775
1664000,282495.4488686733,60,60,40809.49577675092,1.0,10,40809.49577675092,10,209261.950862116,0.0,1.0,321464.00957380893,209261.950862116,0.0,282495.44886867335,321464.00957380893,282495.4488686733,282495.44886867335
1688000,267323.8240762609,61,61,78872.78042924192,1.0,10,78872.78042924192,10,67070.63293269378,0.0,1.0,319834.07789020933,67070.63293269378,0.0,267323.8240762609,319834.07789020933,267323.8240762609,267323.8240762609
1712000,65842.04246903158,62,62,124938.3373441622,0.4,10,124938.3373441622,10,-95.81193828545044,0.0,0.4,326596.87875650235,-95.81193828545044,0.0,65842.0424690316,326596.87875650235,65842.04246903158,65842.0424690316
1736000,58817.43782543967,63,63,90393.9380349713,0.2,10,90393.9380349713,10,-84.65865901454262,0.0,0.2,213495.73843511866,-84.65865901454262,0.0,58817.437825439636,213495.73843511866,58817.43782543967,58817.437825439636
1760000,112911.05006109015,64,64,122833.585798309,0.5,10,122833.585798309,10,-90.95639104481123,0.0,0.5,307927.8142244283,-90.95639104481123,0.0,112911.05006109015,307927.8142244283,112911.05006109015,112911.05006109015
1784000,78952.77867631908,65,65,125582.63426758055,0.4,10,125582.63426758055,10,-108.50137246959513,0.0,0.4,322349.8965159262,-108.50137246959513,0.0,78952.7786763191,322349.8965159262,78952.77867631908,78952.7786763191
1808000,81656.511632145,66,66,127410.9247265738,0.4,10,127410.9247265738,10,-64.9538960944892,0.0,0.4,306580.96271288884,-64.9538960944892,0.0,81656.51163214503,306580.96271288884,81656.511632145,81656.51163214503
1832000,136208.35786676191,67,67,140005.38565327678,0.5,10,140005.38565327678,10,-59.876602577312255,0.0,0.5,312895.4579951137,-59.876602577312255,0.0,136208.35786676191,312895.4579951137,136208.35786676191,136208.35786676191
1856000,108621.67195420801,68,68,89960.16111440258,0.9,10,89960.16111440258,10,19369.43457650091,0.0,0.9,321823.7045302286,19369.43457650091,0.0,108621.67195420798,321823.7045302286,108621.67195420801,108621.67195420798
1880000,71984.93680911526,69,69,71223.34002608994,0.6,10,71223.34002608994,10,-34.335843422799385,0.0,0.6,261937.51595245133,-34.335843422799385,0.0,71984.93680911526,261937.51595245133,71984.93680911526,71984.93680911526
1904000,61528.350188364566,70,70,108557.96823890519,0.4,10,108557.96823890519,10,-44.55415304865613,0.0,0.4,287321.2182175558,-44.55415304865613,0.0,61528.35018836453,287321.2182175558,61528.350188364566,61528.35018836453
1928000,163958.23816211795,71,71,128327.78623490313,0.9,10,128327.78623490313,10,-39.89990074705759,0.0,0.9,320793.81150835974,-39.89990074705759,0.0,163958.23816211795,320793.81150835974,163958.23816211795,163958.23816211795
1952000,71833.29040222857,72,72,41752.195596643665,0.8,10,41752.195596643665,10,-45.77162081076559,0.0,0.8,123142.8526389888,-45.77162081076559,0.0,71833.29040222858,123142.8526389888,71833.29040222857,71833.29040222858
1976000,207489.96542067375,73,73,108781.19327940392,0.9,10,108781.19327940392,10,1730.690127520448,0.0,0.9,318024.7164925461,1730.690127520448,0.0,207489.9654206738,318024.7164925461,207489.96542067375,207489.9654206738
2000000,246459.2796703678,74,74,91684.40208092639,1.0,10,91684.40208092639,10,-20.43567127067017,0.0,1.0,321140.5931739216,-20.43567127067017,0.0,246459.27967036772,321140.5931739216,246459.2796703678,246459.27967036772
2024000,51935.787881625205,75,75,93895.59522672358,0.1,10,93895.59522672358,10,-145.71106572278364,0.0,0.1,305833.43102851574,-145.71106572278364,0.0,51935.78788162524,305833.43102851574,51935.787881625205,51935.78788162524
2048000,96788.96123558105,76,76,139558.87611383898,0.4,10,139558.87611383898,10,-65.78851307053202,0.0,0.4,312517.9776452289,-65.78851307053202,0.0,96788.96123558105,312517.9776452289,96788.96123558105,96788.96123558105
2072000,141556.17812549946,77,77,144199.37671890412,0.5,10,144199.37671890412,10,-67.2083770212827,0.0,0.5,323042.10045306047,-67.2083770212827,0.0,141556.1781254994,323042.10045306047,141556.17812549946,141556.1781254994
2096000,268835.66681331804,78,78,91619.4152751064,0.9,10,91619.4152751064,10,-24.941085505429495,0.0,0.9,320877.00829384505,-24.941085505429495,0.0,268835.66681331804,320877.00829384505,268835.66681331804,268835.66681331804
2120000,295400.78312392056,79,79,20169.204475451468,1.0,10,20169.204475451468,10,245113.3971663836,0.0,1.0,319367.11614711065,245113.3971663836,0.0,295400.78312392056,319367.11614711065,295400.78312392056,295400.78312392056
2144000,281103.13064654404,80,80,51835.12883756774,0.9,10,51835.12883756774,10,135970.69836574115,0.0,0.9,325415.70195620874,135970.69836574115,0.0,281103.1306465441,325415.70195620874,281103.13064654404,281103.1306465441
2168000,245925.64632947874,81,81,80175.39067306598,0.7,10,80175.39067306598,10,124012.4317083333,0.0,0.7,334105.25180336053,124012.4317083333,0.0,245925.64632947865,334105.25180336053,245925.64632947874,245925.64632947865
2192000,238754.62759860605,82,82,95658.08615560301,0.9,10,95658.08615560301,10,11301.978938500282,0.0,0.9,319056.33990329795,11301.978938500282,0.0,238754.627598606,319056.33990329795,238754.62759860605,238754.627598606
2216000,215058.43965005726,83,83,113926.4666820381,0.8,10,113926.4666820381,10,9986.776532039388,0.0,0.8,329780.43892459123,9986.776532039388,0.0,215058.43965005726,329780.43892459123,215058.43965005726,215058.43965005726
2240000,243919.2893547269,84,84,91849.65044688093,0.9,10,91849.65044688093,10,37685.1239591956,0.0,0.9,319658.74029454193,37685.1239591956,0.0,243919.289354727,319658.74029454193,243919.2893547269,243919.289354727
2264000,128814.90319959253,85,85,134102.66102131552,0.5,10,134102.66102131552,10,-124.20862562472311,0.0,0.5,321711.43064294587,-124.20862562472311,0.0,128814.90319959253,321711.43064294587,128814.90319959253,128814.90319959253
2288000,241959.47785599908,86,86,90884.35487099906,0.8,10,90884.35487099906,10,14208.514692303303,0.0,0.8,325943.179544651,14208.514692303303,0.0,241959.47785599902,325943.179544651,241959.47785599908,241959.47785599902
2312000,235924.65239372692,87,87,97022.76358731453,0.8,10,97022.76358731453,10,26834.241706311586,0.0,0.8,325645.0358720104,26834.241706311586,0.0,235924.65239372678,325645.0358720104,235924.65239372692,235924.65239372678
2336000,253488.10774717177,88,88,65179.360444719285,1.0,10,65179.360444719285,10,106781.04526477115,0.0,1.0,323297.440424422,106781.04526477115,0.0,253488.10774717183,323297.440424422,253488.10774717177,253488.10774717183
2360000,181385.51922147858,89,89,115218.97181010139,0.7,10,115218.97181010139,10,3275.197200003166,0.0,0.7,329654.98383485444,3275.197200003166,0.0,181385.51922147864,329654.98383485444,181385.51922147858,181385.51922147864
2384000,191457.12926730292,90,90,109351.18201894879,0.8,10,109351.18201894879,10,36820.512401397566,0.0,0.8,310658.83245142706,36820.512401397566,0.0,191457.1292673029,310658.83245142706,191457.12926730292,191457.1292673029
2408000,278306.8745464892,91,91,50897.395997456995,1.0,10,50897.395997456995,10,177304.32055936885,0.0,1.0,332649.1922613558,177304.32055936885,0.0,278306.87454648927,332649.1922613558,278306.8745464892,278306.87454648927
2432000,191359.5579408329,92,92,80801.50567912689,0.7,10,80801.50567912689,10,50481.01823953352,0.0,0.7,301320.04561385256,50481.01823953352,0.0,191359.55794083286,301320.04561385256,191359.5579408329,191359.55794083286
2456000,69883.48440164226,93,93,87160.1050523262,0.0,10,87160.1050523262,10,-96.32680317351196,0.0,0.0,212869.63177686397,-96.32680317351196,0.0,69883.48440164229,212869.63177686397,69883.48440164226,69883.48440164229
2480000,82602.5997260396,94,94,89649.15186613485,0.1,10,89649.15186613485,10,-95.13017887458543,0.0,0.1,245645.9912162001,-95.13017887458543,0.0,82602.5997260396,245645.9912162001,82602.5997260396,82602.5997260396
2504000,85035.81065178322,95,95,120185.78262874803,0.3,10,120185.78262874803,10,-45.18397697669727,0.0,0.3,322146.9275507586,-45.18397697669727,0.0,85035.81065178316,322146.9275507586,85035.81065178322,85035.81065178316
2528000,191420.2167645533,96,96,70575.40796917019,1.0,10,70575.40796917019,10,46120.992714481654,0.0,1.0,306743.82049236743,46120.992714481654,0.0,191420.21676455333,306743.82049236743,191420.2167645533,191420.21676455333
2552000,163525.63440033654,97,97,106586.1948091102,0.8,10,106586.1948091102,10,32766.055633598447,0.0,0.8,280490.2685381247,32766.055633598447,0.0,163525.63440033654,280490.2685381247,163525.63440033654,163525.63440033654
2576000,161881.17241307383,98,98,80631.87395183378,0.5,10,80631.87395183378,10,1549.9140550964582,0.0,0.5,237061.68489449765,1549.9140550964582,0.0,161881.17241307383,237061.68489449765,161881.17241307383,161881.17241307383
2600000,118332.71668403297,99,99,131287.4087156529,0.5,10,131287.4087156529,10,-36.00370273763953,0.0,0.5,306990.21590210474,-36.00370273763953,0.0,118332.71668403296,306990.21590210474,118332.71668403297,118332.71668403296
2624000,160327.1274313363,100,100,117002.66923721778,1.0,10,117002.66923721778,10,1415.13581536261,0.0,1.0,288714.2225306569,1415.13581536261,0.0,160327.12743133635,288714.2225306569,160327.1274313363,160327.12743133635
2648000,182938.94002504903,101,101,106202.55130944647,0.8,10,106202.55130944647,10,-20.717983563023036,0.0,0.8,298645.80742934794,-20.717983563023036,0.0,182938.94002504906,298645.80742934794,182938.94002504903,182938.94002504906
2672000,67327.26184604799,102,102,70532.7265136913,0.7,10,70532.7265136913,10,-19.392271720242125,0.0,0.7,217726.96545973571,-19.392271720242125,0.0,67327.261846048,217726.96545973571,67327.26184604799,67327.261846048
2696000,67826.1241640741,103,103,63731.8426694978,0.5,10,63731.8426694978,10,-18.538993603842567,0.0,0.5,183095.19692338255,-18.538993603842567,0.0,67826.1241640741,183095.19692338255,67826.1241640741,67826.1241640741
2720000,123643.73296283418,104,104,94609.35922521402,0.8,10,94609.35922521402,10,30009.952141884096,0.0,0.8,283936.02035003953,30009.952141884096,0.0,123643.73296283418,283936.02035003953,123643.73296283418,123643.73296283418
2744000,55968.24113746183,105,105,87006.63546990958,0.0,10,87006.63546990958,10,-99.56160720244259,0.0,0.0,211603.92785309986,-99.56160720244259,0.0,55968.24113746185,211603.92785309986,55968.24113746183,55968.24113746185
2768000,32517.800889338418,106,106,57366.526298577744,0.5,10,57366.526298577744,10,-102.84673831569178,0.0,0.5,191635.48792573137,-102.84673831569178,0.0,32517.800889338407,191635.48792573137,32517.800889338418,32517.800889338407
2792000,129023.47017120861,107,107,129265.77270710433,0.4,10,129265.77270710433,10,-86.1289255537742,0.0,0.4,300163.6621773066,-86.1289255537742,0.0,129023.47017120865,300163.6621773066,129023.47017120861,129023.47017120865
2816000,172753.71309520735,108,108,100827.26934673342,0.4,10,100827.26934673342,10,2244.1205174679803,0.0,0.4,283859.1600152386,2244.1205174679803,0.0,172753.71309520735,283859.1600152386,172753.71309520735,172753.71309520735
2840000,146641.34726971464,109,109,101470.50509516205,0.8,10,101470.50509516205,10,5376.436052238167,0.0,0.8,259347.40752129583,5376.436052238167,0.0,146641.34726971458,259347.40752129583,146641.34726971464,146641.34726971458
2864000,133560.4830852204,110,110,135423.10788829433,0.8,10,135423.10788829433,10,-18.668044714718384,0.0,0.8,321169.83732837345,-18.668044714718384,0.0,133560.48308522033,321169.83732837345,133560.4830852204,133560.48308522033
2888000,199563.2991726522,111,111,122522.9575041842,0.7,10,122522.9575041842,10,-22.628804243928883,0.0,0.7,319070.5285802321,-22.628804243928883,0.0,199563.29917265213,319070.5285802321,199563.2991726522,199563.29917265213
2912000,181910.20549630417,112,112,143299.53119310483,0.7,10,143299.53119310483,10,-24.063662519572215,0.0,0.7,325925.393525831,-24.063662519572215,0.0,181910.20549630426,325925.393525831,181910.20549630417,181910.20549630426
2936000,166166.05834605772,113,113,109919.67358741706,0.8,10,109919.67358741706,10,27120.82341328053,0.0,0.8,321314.73992349394,27120.82341328053,0.0,166166.05834605783,321314.73992349394,166166.05834605772,166166.05834605783
2960000,194757.98894379693,114,114,99196.04600040316,0.8,10,99196.04600040316,10,6021.980352977972,0.0,0.8,292976.84155255224,6021.980352977972,0.0,194757.98894379693,292976.84155255224,194757.98894379693,194757.98894379693
2984000,167553.16670475242,115,115,78063.36786693249,0.9,10,78063.36786693249,10,-24.35566821539522,0.0,0.9,260168.68919110508,-24.35566821539522,0.0,167553.1667047524,260168.68919110508,167553.16670475242,167553.1667047524
3008000,223275.69754701378,116,116,96114.54817862662,0.9,10,96114.54817862662,10,23032.070261945748,0.0,0.9,313238.53943135665,23032.070261945748,0.0,223275.6975470138,313238.53943135665,223275.69754701378,223275.6975470138
3032000,211851.06771949795,117,117,78458.15222451644,0.9,10,78458.15222451644,10,7652.326647176032,0.0,0.9,280035.11771718855,7652.326647176032,0.0,211851.0677194979,280035.11771718855,211851.06771949795,211851.0677194979
3056000,152016.89714415238,118,118,111130.1395735388,0.7,10,111130.1395735388,10,5486.152280469725,0.0,0.7,271978.7925703948,5486.152280469725,0.0,152016.89714415238,271978.7925703948,152016.89714415238,152016.89714415238
