MetaTest/Average/AverageReturn,MetaTest/assembly-v1/Iteration,MetaTest/assembly-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/assembly-v1/TerminationRate,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTest/assembly-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/assembly-v1/AverageReturn,MetaTest/assembly-v1/SuccessRate,MetaTest/assembly-v1/MinReturn,MetaTest/assembly-v1/NumEpisodes,MetaTest/assembly-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTrain/Average/ContrastiveLoss
-14.841127196051971,33,0.37620410150399447,-15.549237708295058,0.0,10,1016000,-14.250030719477905,104.161835,0.37620410150399447,0.0,33,-14.841127196051975,-14.250030719477905,0.00065194187,-14.841127196051971,0.0,-15.549237708295058,10,-14.841127196051975,5.6214457,0.013879892,0.0,7.624751
-14.390975015515147,34,0.27455320317511567,-14.751554619919505,0.0,10,1040000,-13.885327536058924,103.25892,0.27455320317511567,0.0,34,-14.390975015515144,-13.885327536058924,0.0004726401,-14.390975015515147,0.0,-14.751554619919505,10,-14.390975015515144,5.4297404,0.013084361,0.0,7.6247716
-14.863699745817064,35,0.6008930956237372,-15.852836976113574,0.0,10,1064000,-13.700080623854538,102.447334,0.6008930956237372,0.0,35,-14.863699745817067,-13.700080623854538,-0.0003276236,-14.863699745817064,0.0,-15.852836976113574,10,-14.863699745817067,5.3475223,0.012689015,0.0,7.6264443
-14.237543785322,36,0.47025415110958557,-14.911952405234654,0.0,10,1088000,-13.29638028631083,101.78136,0.47025415110958557,0.0,36,-14.237543785321998,-13.29638028631083,0.00019689539,-14.237543785322,0.0,-14.911952405234654,10,-14.237543785321998,5.20493,0.012976862,0.0,7.624722
-13.700300772486552,37,0.19185134047099722,-14.071216827045541,0.0,10,1112000,-13.37166592540784,100.85305,0.19185134047099722,0.0,37,-13.700300772486552,-13.37166592540784,0.00015068469,-13.700300772486552,0.0,-14.071216827045541,10,-13.700300772486552,5.1042275,0.0123372,0.0,7.6250515
-13.982339365084183,38,0.17312849244719233,-14.247941721167182,0.0,10,1136000,-13.602005831053775,99.86705,0.17312849244719233,0.0,38,-13.982339365084183,-13.602005831053775,0.0006922315,-13.982339365084183,0.0,-14.247941721167182,10,-13.982339365084183,4.84825,0.011638725,0.0,7.624682
-13.65668829584602,39,0.4193789935757539,-14.666203946472967,0.0,10,1160000,-13.151288057836556,99.1059,0.4193789935757539,0.0,39,-13.656688295846024,-13.151288057836556,0.00039064122,-13.65668829584602,0.0,-14.666203946472967,10,-13.656688295846024,4.6383295,0.010962475,0.0,7.62479
-15.580869774895103,40,0.7061304407792125,-17.070550220288233,0.0,10,1184000,-14.271249947081746,98.58439,0.7061304407792125,0.0,40,-15.580869774895103,-14.271249947081746,0.00012672559,-15.580869774895103,0.0,-17.070550220288233,10,-15.580869774895103,4.5804477,0.011001496,0.0,7.624708
-13.861532278661354,41,0.38832713417498865,-14.717757921226205,0.0,10,1208000,-13.437089726322029,98.021706,0.38832713417498865,0.0,41,-13.861532278661352,-13.437089726322029,-0.0003670176,-13.861532278661354,0.0,-14.717757921226205,10,-13.861532278661352,4.5331144,0.010948694,0.0,7.6249127
-14.073129266219885,42,0.6665243445345753,-15.413085240818724,0.0,10,1232000,-13.407921456985289,97.34609,0.6665243445345753,0.0,42,-14.073129266219889,-13.407921456985289,0.00021233897,-14.073129266219885,0.0,-15.413085240818724,10,-14.073129266219889,4.438539,0.0109431995,0.0,7.624703
-13.75787038758836,43,0.11220809840922284,-13.979240347723081,0.0,10,1256000,-13.598792015769506,96.81051,0.11220809840922284,0.0,43,-13.757870387588365,-13.598792015769506,0.0001285265,-13.75787038758836,0.0,-13.979240347723081,10,-13.757870387588365,4.3375545,0.010728302,0.0,7.6247
-13.370375168676265,44,0.26512502351806977,-13.904964513689807,0.0,10,1280000,-13.094957040631735,96.105606,0.26512502351806977,0.0,44,-13.370375168676265,-13.094957040631735,0.00035372487,-13.370375168676265,0.0,-13.904964513689807,10,-13.370375168676265,4.1846232,0.010429236,0.0,7.624658
-13.234715368136852,45,0.26321293681835645,-13.787770521385722,0.0,10,1304000,-12.748049032192997,95.65285,0.26321293681835645,0.0,45,-13.234715368136856,-12.748049032192997,0.0004485314,-13.234715368136852,0.0,-13.787770521385722,10,-13.234715368136856,4.0827575,0.010123945,0.0,7.624632
-13.165960143848014,46,0.1511637540186375,-13.36215329092635,0.0,10,1328000,-12.861973109723923,95.30629,0.1511637540186375,0.0,46,-13.165960143848014,-12.861973109723923,-0.00020222041,-13.165960143848014,0.0,-13.36215329092635,10,-13.165960143848014,4.0747604,0.0096705835,0.0,7.624632
-13.49789660406652,47,0.18701832384660907,-13.957224035351514,0.0,10,1352000,-13.240976469027002,94.71611,0.18701832384660907,0.0,47,-13.49789660406652,-13.240976469027002,0.00013266761,-13.49789660406652,0.0,-13.957224035351514,10,-13.49789660406652,4.0231953,0.009526848,0.0,7.624632
-13.633812025229574,48,0.18808529231169963,-14.040294865628512,0.0,10,1376000,-13.422664441885404,94.12322,0.18808529231169963,0.0,48,-13.63381202522958,-13.422664441885404,8.50188e-06,-13.633812025229574,0.0,-14.040294865628512,10,-13.63381202522958,4.0409346,0.00956452,0.0,7.624632
-13.472873130608468,49,0.170606853016647,-13.695174266169504,0.0,10,1400000,-13.198603508238792,93.52386,0.170606853016647,0.0,49,-13.472873130608466,-13.198603508238792,1.04225355e-05,-13.472873130608468,0.0,-13.695174266169504,10,-13.472873130608466,3.946911,0.0094177,0.0,7.624632
