MetaTest/Average/NumTrajs,MetaTest/box-close-v1/StdReturn,MetaTest/box-close-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/box-close-v1/MinReturn,MetaTest/box-close-v1/AverageReturn,MetaTest/box-close-v1/SuccessRate,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/box-close-v1/TerminationRate,MetaTest/box-close-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/box-close-v1/AverageDiscountedReturn,MetaTest/box-close-v1/NumTrajs,MetaTest/Average/StdReturn
10,3.430446604860228,0,-20.019994618920357,-20.019994618920354,0,0.0,-25.481242716532243,-20.019994618920354,0.0,0.0,224000,0.0,-15.129651035314485,-25.481242716532243,-15.129651035314485,-20.019994618920357,10,3.430446604860228
10,1.3339039861049322,1,-16.522290114272987,-16.522290114272984,1,0.0,-19.245855469056234,-16.522290114272984,0.0,0.0,248000,0.0,-15.272627567507877,-19.245855469056234,-15.272627567507877,-16.522290114272987,10,1.3339039861049322
10,0.407449249332517,2,-14.775055499177096,-14.775055499177094,2,0.0,-15.54689881353783,-14.775055499177094,0.0,0.0,272000,0.0,-14.189991512559766,-15.54689881353783,-14.189991512559766,-14.775055499177096,10,0.407449249332517
10,0.8835510916955709,3,-15.238842505456386,-15.238842505456384,3,0.0,-16.315138111005773,-15.238842505456384,0.0,0.0,296000,0.0,-13.778985493825372,-16.315138111005773,-13.778985493825372,-15.238842505456386,10,0.8835510916955709
10,0.8023663092331998,4,-12.840327783442211,-12.840327783442206,4,0.0,-14.855988356819102,-12.840327783442206,0.0,0.0,320000,0.0,-11.959013881089282,-14.855988356819102,-11.959013881089282,-12.840327783442211,10,0.8023663092331998
10,0.2995900698928402,5,-8.163899707627206,-8.163899707627209,5,0.0,-8.655928172941618,-8.163899707627209,0.0,0.0,344000,0.0,-7.794364249121233,-8.655928172941618,-7.794364249121233,-8.163899707627206,10,0.2995900698928402
10,0.9390309999217581,6,-6.546752229375253,-6.546752229375253,6,0.0,-7.889269125157131,-6.546752229375253,0.0,0.0,368000,0.0,-5.356928115166098,-7.889269125157131,-5.356928115166098,-6.546752229375253,10,0.9390309999217581
10,0.4728057885891566,7,-4.0044899191413625,-4.0044899191413625,7,0.0,-4.943458246166246,-4.0044899191413625,0.0,0.0,392000,0.0,-3.2832546302757843,-4.943458246166246,-3.2832546302757843,-4.0044899191413625,10,0.4728057885891566
10,0.527470549256382,8,-3.5419784494232887,-3.5419784494232887,8,0.0,-4.754119872010376,-3.5419784494232887,0.0,0.0,416000,0.0,-2.8450621442948147,-4.754119872010376,-2.8450621442948147,-3.5419784494232887,10,0.527470549256382
10,0.6375496311462129,9,-3.832259842486013,-3.832259842486013,9,0.0,-5.007331994605699,-3.832259842486013,0.0,0.0,440000,0.0,-2.9393063247658646,-5.007331994605699,-2.9393063247658646,-3.832259842486013,10,0.6375496311462129
