MetaTest/push-v1/MaxReturn,Iteration,GaussianMLPPolicy/KLBefore,MetaTest/Average/StdReturn,Average/MaxReturn,Average/NumEpisodes,GaussianMLPPolicy/LossAfter,push-v1/StdReturn,GaussianMLPPolicy/LossBefore,Average/SuccessRate,MetaTest/push-v1/NumEpisodes,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/push-v1/MinReturn,push-v1/TerminationRate,push-v1/MinReturn,GaussianMLPPolicy/Entropy,MetaTest/Average/TerminationRate,push-v1/Iteration,MetaTest/push-v1/SuccessRate,Average/TerminationRate,Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,Average/AverageDiscountedReturn,push-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/push-v1/AverageReturn,Average/StdReturn,GaussianMLPPolicy/dLoss,push-v1/AverageDiscountedReturn,Average/Iteration,push-v1/SuccessRate,MetaTest/push-v1/Iteration,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,Average/AverageReturn,push-v1/MaxReturn,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/TerminationRate,push-v1/NumEpisodes,MetaTest/push-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate
141.88084418620645,0,0.0,56.90261113029479,-26.952321322884075,200,-0.0015451452927663922,12.277954209474858,-0.0003419452696107328,0.0,10,80000,141.88084418620645,-67.66436919349518,0.0,-89.18572875048076,5.66960334777832,0.0,0,0.0,0.0,-89.18572875048076,-25.81901351628532,-20.892138277267744,-57.82051346382679,10,-25.81901351628533,12.277954209474858,0.0012032000231556594,-20.892138277267744,0,0.0,0,-25.81901351628532,0,-57.82051346382679,-26.952321322884075,0.009984122589230537,0.0,200,56.90261113029479,-25.81901351628533,-67.66436919349518,0.0
,1,0.0,,5457.698141750054,200,-0.0010317141423001885,499.63784444211154,-0.0002480009861756116,0.01,,160000,,,0.0,-80.58743970100285,5.6657185554504395,,1,,0.0,-80.58743970100285,,7.920507866798982,24.58375231261789,,,499.63784444211154,0.0007837131561245769,7.920507866798982,1,0.01,,,,24.58375231261789,5457.698141750054,0.006503639277070761,,200,,,,
,2,0.0,,5391.232570526439,200,-0.0011211468372493982,425.7656254635676,-0.0006080031162127852,0.0,,240000,,,0.0,-58.81774653726856,5.6465067863464355,,2,,0.0,-58.81774653726856,,14.287339528932915,52.99452806165447,,,425.7656254635676,0.000513143721036613,14.287339528932915,2,0.0,,,,52.99452806165447,5391.232570526439,0.006519942078739405,,200,,,,
,3,0.0,,26799.21584871116,200,-0.0004251055361237377,2751.8377676807254,-0.00014199965517036617,0.015,,320000,,,0.0,-43.578106587841944,5.639808654785156,,3,,0.0,-43.578106587841944,,157.62703643890484,510.08352238974345,,,2751.8377676807254,0.0002831058809533715,157.62703643890484,3,0.015,,,,510.08352238974345,26799.21584871116,0.0075007774867117405,,200,,,,
,4,0.0,,25245.453747376083,200,2.441829383315053e-05,2750.6045199997275,7.387778896372765e-05,0.025,,400000,,,0.0,-35.934245120855095,5.663177967071533,,4,,0.0,-35.934245120855095,,241.73358482865012,811.5612111385152,,,2750.6045199997275,4.9459495130577125e-05,241.73358482865012,4,0.025,,,,811.5612111385152,25245.453747376083,0.006640487350523472,,200,,,,
,5,0.0,,24827.187101587537,200,-1.3332401977095287e-05,3134.2712385147706,8.848104698699899e-06,0.02,,480000,,,0.0,-31.022479698034488,5.670598983764648,,5,,0.0,-31.022479698034488,,362.87649274392555,1345.5557647511494,,,3134.2712385147706,2.2180506675795186e-05,362.87649274392555,5,0.02,,,,1345.5557647511494,24827.187101587537,0.008906046859920025,,200,,,,
,6,0.0,,66025.7395375514,200,1.81128089025151e-05,6032.669603938481,3.3745458495104685e-05,0.045,,560000,,,0.0,-33.60231962101986,5.702208995819092,,6,,0.0,-33.60231962101986,,543.9518971624915,2005.1121995894691,,,6032.669603938481,1.5632649592589587e-05,543.9518971624915,6,0.045,,,,2005.1121995894691,66025.7395375514,0.006930706091225147,,200,,,,
,7,0.0,,79159.35783518778,200,2.288519226567587e-06,8387.678054071896,4.118006927456008e-06,0.06,,640000,,,0.0,-28.8793905152726,5.7060627937316895,,7,,0.0,-28.8793905152726,,949.5984777533807,3374.477650251527,,,8387.678054071896,1.8294877008884214e-06,949.5984777533807,7,0.06,,,,3374.477650251527,79159.35783518778,0.0010867228265851736,,200,,,,
,8,0.0,,80507.73920237858,200,-6.912613116583088e-06,10218.516939600118,-6.313875019259285e-06,0.065,,720000,,,0.0,-27.73277658198721,5.699380397796631,,8,,0.0,-27.73277658198721,,1099.4618543976683,4082.5893437567725,,,10218.516939600118,5.987380973238032e-07,1099.4618543976683,8,0.065,,,,4082.5893437567725,80507.73920237858,0.00041416421299800277,,200,,,,
,9,0.0,,53537.18362829898,200,1.110812445404008e-05,9667.733643652753,1.1473259291960858e-05,0.065,,800000,,,0.0,-45.183206329537626,5.712975025177002,,9,,0.0,-45.183206329537626,,1382.928453710679,5169.911515490464,,,9667.733643652753,3.651348379207775e-07,1382.928453710679,9,0.065,,,,5169.911515490464,53537.18362829898,0.0002550464414525777,,200,,,,
