MetaTest/push-v1/MaxReturn,Iteration,GaussianMLPPolicy/KLBefore,MetaTest/Average/StdReturn,Average/MaxReturn,Average/NumEpisodes,GaussianMLPPolicy/LossAfter,push-v1/StdReturn,GaussianMLPPolicy/LossBefore,Average/SuccessRate,MetaTest/push-v1/NumEpisodes,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/push-v1/MinReturn,push-v1/TerminationRate,push-v1/MinReturn,GaussianMLPPolicy/Entropy,MetaTest/Average/TerminationRate,push-v1/Iteration,MetaTest/push-v1/SuccessRate,Average/TerminationRate,Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,Average/AverageDiscountedReturn,push-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/push-v1/AverageReturn,Average/StdReturn,GaussianMLPPolicy/dLoss,push-v1/AverageDiscountedReturn,Average/Iteration,push-v1/SuccessRate,MetaTest/push-v1/Iteration,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,Average/AverageReturn,push-v1/MaxReturn,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/TerminationRate,push-v1/NumEpisodes,MetaTest/push-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate
53882.0460058566,10,0.0,15534.6340869177,69022.51422589325,200,1.9145240003126673e-05,9068.143523723455,1.9783507013926283e-05,0.035,10,880000,53882.0460058566,26.05502174066978,0.0,-70.57347559591648,5.739956855773926,0.0,10,0.1,0.0,-70.57347559591648,7768.027539095625,1281.9542938371567,4542.810359746867,10,7768.027539095628,9068.143523723455,6.382670107996091e-07,1281.9542938371567,10,0.035,1,7768.027539095625,1,4542.810359746867,69022.51422589325,0.00044123889529146254,0.0,200,15534.6340869177,7768.027539095628,26.05502174066978,0.1
,11,0.0,,99156.248440098,200,-4.491534582484746e-06,11301.398473128522,-4.373926913103787e-06,0.05,,960000,,,0.0,-29.439652129081043,5.734817981719971,,11,,0.0,-29.439652129081043,,1348.1968462882703,5164.956666335864,,,11301.398473128522,1.1760766938095912e-07,1348.1968462882703,11,0.05,,,,5164.956666335864,99156.248440098,8.281981718027964e-05,,200,,,,
,12,0.0,,80197.72371237767,200,-1.7370659861626336e-06,13713.581774986327,-1.6297911997753545e-06,0.045,,1040000,,,0.0,-30.429717104546988,5.7334747314453125,,12,,0.0,-30.429717104546988,,1788.9567722733657,6642.517315765414,,,13713.581774986327,1.0727478638727916e-07,1788.9567722733657,12,0.045,,,,6642.517315765414,80197.72371237767,7.56658919272013e-05,,200,,,,
,13,0.0,,126667.79783217498,200,-5.451075594464783e-06,14799.308131126023,-3.2130969884747174e-06,0.06,,1120000,,,0.0,-31.04682852612695,5.732565879821777,,13,,0.0,-31.04682852612695,,1617.5716292983966,6028.780036808625,,,14799.308131126023,2.2379786059900653e-06,1617.5716292983966,13,0.06,,,,6028.780036808625,126667.79783217498,0.0012227615807205439,,200,,,,
,14,0.0,,69934.10569626185,200,-8.648127050037147e-07,10764.23747915605,-6.957936307117052e-07,0.06,,1200000,,,0.0,-28.021958692103336,5.731809139251709,,14,,0.0,-28.021958692103336,,1456.439475057559,5381.243123356237,,,10764.23747915605,1.6901907429200946e-07,1456.439475057559,14,0.06,,,,5381.243123356237,69934.10569626185,0.00011916130461031571,,200,,,,
,15,0.0,,151613.41761649543,200,-6.744051461282652e-06,18188.229155267025,-6.6137276917288546e-06,0.075,,1280000,,,0.0,-32.01631934801731,5.724006652832031,,15,,0.0,-32.01631934801731,,1952.5544174136792,7512.102616731012,,,18188.229155267025,1.3032376955379732e-07,1952.5544174136792,15,0.075,,,,7512.102616731012,151613.41761649543,9.18206715141423e-05,,200,,,,
,16,0.0,,90707.29066356384,200,-4.1221155697712675e-06,14711.79127847067,-4.0610584619571455e-06,0.08,,1360000,,,0.0,-48.183680163969875,5.7193684577941895,,16,,0.0,-48.183680163969875,,2083.6073371300886,8087.0549101465895,,,14711.79127847067,6.105710781412199e-08,2083.6073371300886,16,0.08,,,,8087.0549101465895,90707.29066356384,4.32046435889788e-05,,200,,,,
,17,0.0,,70374.08575096,200,5.24286178915645e-07,10213.44902158839,7.083341415636824e-07,0.04,,1440000,,,0.0,-30.832185987013908,5.720136642456055,,17,,0.0,-30.832185987013908,,1353.9475826818225,4968.764413397688,,,10213.44902158839,1.8404796264803736e-07,1353.9475826818225,17,0.04,,,,4968.764413397688,70374.08575096,0.00012971046089660376,,200,,,,
,18,0.0,,91680.60321384597,200,2.8529466362670064e-06,14118.538080508524,3.0048811368033057e-06,0.07,,1520000,,,0.0,-28.493047473533174,5.7228803634643555,,18,,0.0,-28.493047473533174,,1676.7720862102217,6325.252161899644,,,14118.538080508524,1.519345005362993e-07,1676.7720862102217,18,0.07,,,,6325.252161899644,91680.60321384597,0.00010702833242248744,,200,,,,
,19,0.0,,65836.79631101142,200,-9.438235792913474e-06,12669.630438146134,-6.681476861558622e-06,0.075,,1600000,,,0.0,-39.902907314169276,5.714790344238281,,19,,0.0,-39.902907314169276,,1914.5630790103587,7391.855833407205,,,12669.630438146134,2.7567589313548524e-06,1914.5630790103587,19,0.075,,,,7391.855833407205,65836.79631101142,0.0016447165980935097,,200,,,,
42746.08796871298,20,0.0,13484.080087489974,92759.45162565653,200,-4.907926154373854e-07,14735.518100119558,-4.5848656782254693e-07,0.06,10,1680000,42746.08796871298,-22.00778787113482,0.0,-35.352944638047894,5.714278697967529,0.0,20,0.2,0.0,-35.352944638047894,9053.461733631666,2056.336164369424,7797.641454212391,10,9053.461733631671,14735.518100119558,3.230604761483846e-08,2056.336164369424,20,0.06,2,9053.461733631666,2,7797.641454212391,92759.45162565653,2.2873786292620935e-05,0.0,200,13484.080087489974,9053.461733631671,-22.00778787113482,0.2
,21,0.0,,111090.28946666452,200,4.091044047527248e-06,16452.512489146357,4.2870105971815065e-06,0.085,,1760000,,,0.0,-26.486937322948677,5.71904993057251,,21,,0.0,-26.486937322948677,,2289.366511001383,8851.366322188816,,,16452.512489146357,1.9596654965425842e-07,2289.366511001383,21,0.085,,,,8851.366322188816,111090.28946666452,0.00013764968025498092,,200,,,,
,22,0.0,,68105.39095484062,200,-5.8423838709131815e-06,10852.681515224136,-5.78058325118036e-06,0.02,,1840000,,,0.0,-47.91478449157841,5.7072062492370605,,22,,0.0,-47.91478449157841,,1502.08192888739,5612.714119227315,,,10852.681515224136,6.180061973282136e-08,1502.08192888739,22,0.02,,,,5612.714119227315,68105.39095484062,4.352075484348461e-05,,200,,,,
,23,0.0,,128602.09461993178,200,6.2182989495340735e-06,20620.29019298742,6.318648956948891e-06,0.085,,1920000,,,0.0,-29.807986015777605,5.714218616485596,,23,,0.0,-29.807986015777605,,2604.3343769527246,10097.63839498338,,,20620.29019298742,1.0035000741481781e-07,2604.3343769527246,23,0.085,,,,10097.63839498338,128602.09461993178,7.08210573066026e-05,,200,,,,
,24,0.0,,106662.01704035318,200,-1.5347256976383505e-06,14009.98020616441,-1.3540084182750434e-06,0.05,,2000000,,,0.0,-29.796531104615852,5.712844371795654,,24,,0.0,-29.796531104615852,,2043.1556081649085,7534.616662934655,,,14009.98020616441,1.8071727936330717e-07,2043.1556081649085,24,0.05,,,,7534.616662934655,106662.01704035318,0.0001269934291485697,,200,,,,
,25,0.0,,105112.30011679934,200,-3.1597132874594536e-06,13570.574789030732,-3.1324955216405215e-06,0.06,,2080000,,,0.0,-25.335738130604614,5.710899353027344,,25,,0.0,-25.335738130604614,,1678.1765450575278,6714.527338660059,,,13570.574789030732,2.7217765818932094e-08,1678.1765450575278,25,0.06,,,,6714.527338660059,105112.30011679934,1.9227956727263518e-05,,200,,,,
,26,0.0,,197060.9048641273,200,4.061302206537221e-06,24001.47011507497,4.28114890382858e-06,0.075,,2160000,,,0.0,-29.97797026846447,5.715484142303467,,26,,0.0,-29.97797026846447,,2684.9403063756517,10347.7528612056,,,24001.47011507497,2.198466972913593e-07,2684.9403063756517,26,0.075,,,,10347.7528612056,197060.9048641273,0.0001542497193440795,,200,,,,
,27,0.0,,78465.20698127459,200,-1.6776612028479576e-06,13790.241913219304,-1.5745438304293202e-06,0.075,,2240000,,,0.0,-48.03131318009243,5.7141499519348145,,27,,0.0,-48.03131318009243,,2111.802071148783,8205.537911870982,,,13790.241913219304,1.0311737241863739e-07,2111.802071148783,27,0.075,,,,8205.537911870982,78465.20698127459,7.270979403983802e-05,,200,,,,
,28,0.0,,117302.21434194474,200,-2.7578532808547607e-06,16162.578537483298,-2.700747472772491e-06,0.08,,2320000,,,0.0,-25.053142164953652,5.713335037231445,,28,,0.0,-25.053142164953652,,2366.572534254705,8740.683689805212,,,16162.578537483298,5.7105808082269505e-08,2366.572534254705,28,0.08,,,,8740.683689805212,117302.21434194474,4.03729900426697e-05,,200,,,,
,29,0.0,,134186.88492879848,200,-3.5626355838758172e-06,18760.97735291302,9.943979421223048e-06,0.075,,2400000,,,0.0,-34.27592119076691,5.722680568695068,,29,,0.0,-34.27592119076691,,2338.7988326387795,9116.023090905923,,,18760.97735291302,1.3506615005098865e-05,2338.7988326387795,29,0.075,,,,9116.023090905923,134186.88492879848,0.005455755162984133,,200,,,,
57903.981311246745,30,0.0,21701.136062851027,117105.41680125357,200,-2.740011041169055e-06,16483.390089246295,-2.686849484234699e-06,0.08,10,2480000,57903.981311246745,6.56917318677184,0.0,-27.4431264631733,5.719768047332764,0.0,30,0.1,0.0,-27.4431264631733,14779.637910855881,2245.2621916603525,8664.788563666281,10,14779.637910855887,16483.390089246295,5.316155693435576e-08,2245.2621916603525,30,0.08,3,14779.637910855881,3,8664.788563666281,117105.41680125357,3.75950985471718e-05,0.0,200,21701.136062851027,14779.637910855887,6.56917318677184,0.1
,31,0.0,,106726.85547548946,200,-3.654921272300271e-07,14981.94925631979,-3.4297767115276656e-07,0.105,,2560000,,,0.0,-34.52163862156029,5.719640254974365,,31,,0.0,-34.52163862156029,,2248.8471409110102,8703.629158584856,,,14981.94925631979,2.2514456077260547e-08,2248.8471409110102,31,0.105,,,,8703.629158584856,106726.85547548946,1.5935936971800402e-05,,200,,,,
,32,0.0,,131779.4514565105,200,2.6295927000319352e-06,24127.365321234287,2.674156121429405e-06,0.11,,2640000,,,0.0,-27.390353439460338,5.721543312072754,,32,,0.0,-27.390353439460338,,3538.2404686624304,13218.142392445057,,,24127.365321234287,4.456342139746994e-08,3538.2404686624304,32,0.11,,,,13218.142392445057,131779.4514565105,3.149412077618763e-05,,200,,,,
,33,0.0,,76870.97680247984,200,-2.182738171541132e-06,15542.831462877542,-2.1443345303850947e-06,0.075,,2720000,,,0.0,-29.11356333508019,5.719431400299072,,33,,0.0,-29.11356333508019,,2323.8894785787916,8952.550978374667,,,15542.831462877542,3.840364115603734e-08,2323.8894785787916,33,0.075,,,,8952.550978374667,76870.97680247984,2.715331174840685e-05,,200,,,,
,34,0.0,,128091.94295913221,200,-1.14376030069252e-06,19098.404192001977,-1.1347426607244415e-06,0.11,,2800000,,,0.0,-44.126407763783384,5.719093322753906,,34,,0.0,-44.126407763783384,,2911.901138860049,10960.479644923296,,,19098.404192001977,9.017639968078583e-09,2911.901138860049,34,0.11,,,,10960.479644923296,128091.94295913221,6.399057838279987e-06,,200,,,,
,35,0.0,,129131.2420777865,200,2.3542356757388916e-06,17133.02801547871,2.4110190679493826e-06,0.095,,2880000,,,0.0,-35.81305895330142,5.7218098640441895,,35,,0.0,-35.81305895330142,,2116.9364540886763,8298.904859601897,,,17133.02801547871,5.6783392210491e-08,2116.9364540886763,35,0.095,,,,8298.904859601897,129131.2420777865,4.018611798528582e-05,,200,,,,
,36,0.0,,108308.9469839909,200,-1.972066911548609e-06,19816.782923851104,-1.953356559170061e-06,0.14,,2960000,,,0.0,-28.36544163380453,5.720931529998779,,36,,0.0,-28.36544163380453,,2872.6580872779446,11360.915844053528,,,19816.782923851104,1.8710352378548123e-08,2872.6580872779446,36,0.14,,,,11360.915844053528,108308.9469839909,1.3220963410276454e-05,,200,,,,
,37,0.0,,143666.56381530451,200,3.397630337076407e-07,24824.944343177543,3.490230540137418e-07,0.115,,3040000,,,0.0,-29.89394975510291,5.721161842346191,,37,,0.0,-29.89394975510291,,3326.8133905689488,12822.725571020148,,,24824.944343177543,9.260020306101069e-09,3326.8133905689488,37,0.115,,,,12822.725571020148,143666.56381530451,6.558232598763425e-06,,200,,,,
,38,0.0,,103789.41225698777,200,2.5742798470673733e-07,18381.29930939865,2.6117814400095085e-07,0.105,,3120000,,,0.0,-21.667357393834752,5.721285343170166,,38,,0.0,-21.667357393834752,,2617.137693381208,10154.979434185343,,,18381.29930939865,3.7501592942135176e-09,2617.137693381208,38,0.105,,,,10154.979434185343,103789.41225698777,2.6565824100543978e-06,,200,,,,
,39,0.0,,198829.31007092807,200,-6.851935268059606e-06,23345.184942980675,-6.738657248206437e-06,0.09,,3200000,,,0.0,-41.80882538897533,5.709693908691406,,39,,0.0,-41.80882538897533,,2929.962594407636,10751.466526263479,,,23345.184942980675,1.132780198531691e-07,2929.962594407636,39,0.09,,,,10751.466526263479,198829.31007092807,7.983153045643121e-05,,200,,,,
26535.713917440873,40,0.0,8810.185628727348,83982.70656338311,200,1.9216499822505284e-06,13509.645924957887,1.9565445654734503e-06,0.08,10,3280000,26535.713917440873,-13.225067740840894,0.0,-28.18207954807637,5.7123188972473145,0.0,40,0.0,0.0,-28.18207954807637,6046.517492589625,1621.4042781310677,6391.821868366309,10,6046.51749258963,13509.645924957887,3.489458322292194e-08,1621.4042781310677,40,0.08,4,6046.517492589625,4,6391.821868366309,83982.70656338311,2.4707300326554105e-05,0.0,200,8810.185628727348,6046.51749258963,-13.225067740840894,0.0
,41,0.0,,147970.77492583118,200,-3.3717224141582847e-06,18735.157612420055,-3.337496991662192e-06,0.07,,3360000,,,0.0,-26.275593644210353,5.7086100578308105,,41,,0.0,-26.275593644210353,,2568.2314860064903,9847.440950801498,,,18735.157612420055,3.4225422496092506e-08,2568.2314860064903,41,0.07,,,,9847.440950801498,147970.77492583118,2.4204004148487e-05,,200,,,,
,42,0.0,,175682.30396180315,200,9.092288451029162e-07,19463.334912534807,9.2238576598902e-07,0.095,,3440000,,,0.0,-29.73235666404529,5.709030628204346,,42,,0.0,-29.73235666404529,,2747.824643455361,10589.269147517478,,,19463.334912534807,1.3156920886103762e-08,2747.824643455361,42,0.095,,,,10589.269147517478,175682.30396180315,9.317596777691506e-06,,200,,,,
