MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/plate-slide-back-side-v1/Iteration,MetaTrain/Average/PolicyLoss,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/NumTrajs,MetaTest/plate-slide-back-side-v1/NumTrajs,MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/plate-slide-back-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/plate-slide-back-side-v1/MaxReturn,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/plate-slide-back-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate
-28.826216006683374,0,0,5.404674,8.277727,0.0,1.282559,10,10,-35.00365199478478,0.0,nan,-31.256722615213373,-31.256722615213373,2.004851544758561,6.7300353,-35.00365199478478,224000,2.004851544758561,-28.826216006683374,-31.256722615213373,0.0,-31.256722615213373,0.0
-29.319535578640842,1,1,18.871605,8.355303,0.0,2.7011886,10,10,-35.514584172277885,0.0,nan,-32.425475277107964,-32.425475277107964,1.6758636014579866,6.717579,-35.514584172277885,248000,1.6758636014579866,-29.319535578640842,-32.425475277107964,0.0,-32.425475277107964,0.0
-26.88068364913751,2,2,25.81275,7.4727325,0.0,38.214977,10,10,-29.41195856371329,0.0,nan,-28.212383114034452,-28.212383114034445,0.7634109613314787,6.693881,-29.41195856371329,272000,0.7634109613314787,-26.88068364913751,-28.212383114034445,0.0,-28.212383114034452,0.0
1032.8725790353044,3,3,16.9365,16.381956,0.0,3200.686,10,10,-93.98088585114577,0.0,nan,148.38021055767246,148.3802105576724,357.1334576765851,6.4499135,-93.98088585114577,296000,357.1334576765851,1032.8725790353044,148.3802105576724,0.0,148.38021055767246,0.0
691.7049636844837,4,4,-96.932365,35.795124,0.0,11569.906,10,10,-19.57691218411925,0.0,nan,51.80481884149107,51.804818841491155,213.30021695006243,5.2584453,-19.57691218411925,320000,213.30021695006243,691.7049636844837,51.804818841491155,0.0,51.80481884149107,0.0
-18.412934882915234,5,5,-509.94208,80.781815,0.0,127151.18,10,10,-27.926151038957663,0.0,nan,-22.096671882406234,-22.09667188240623,2.953266344503703,2.0852592,-27.926151038957663,344000,2.953266344503703,-18.412934882915234,-22.09667188240623,0.0,-22.096671882406234,0.0
-37.39389567044669,6,6,-448.5404,265.55096,0.0,22989.148,10,10,-85.06737216442676,0.0,nan,-54.69909781220823,-54.69909781220821,13.225747177907662,3.2485344,-85.06737216442676,368000,13.225747177907662,-37.39389567044669,-54.69909781220821,0.0,-54.69909781220823,0.0
-24.31308558573967,7,7,274.117,291.4994,0.0,24237.504,10,10,-86.45300079820454,0.0,nan,-60.84226812884238,-60.84226812884238,25.320775685541594,4.0729847,-86.45300079820454,392000,25.320775685541594,-24.31308558573967,-60.84226812884238,0.0,-60.84226812884238,0.0
-31.077854998669228,8,8,-2209.6592,302.3405,0.0,30839.36,10,10,-57.39002636213856,0.0,nan,-35.37999185359891,-35.37999185359892,7.5134787200715705,-1.5809982,-57.39002636213856,416000,7.5134787200715705,-31.077854998669228,-35.37999185359892,0.0,-35.37999185359891,0.0
-57.37725044424372,9,9,-4310.1714,44.8386,0.0,25345.023,10,10,-62.11955075049398,0.0,nan,-61.026537593376986,-61.026537593376986,1.573410134246164,-5.04278,-62.11955075049398,440000,1.573410134246164,-57.37725044424372,-61.026537593376986,0.0,-61.026537593376986,0.0
-16.83267416056905,10,10,-4282.0156,83.37723,0.0,26747.068,10,10,-112.77027398997033,0.0,nan,-55.565002784886886,-55.565002784886886,25.297362829701115,-4.327757,-112.77027398997033,464000,25.297362829701115,-16.83267416056905,-55.565002784886886,0.0,-55.565002784886886,0.0
-17.26953242223022,11,11,-3501.164,100.43399,0.0,28543.396,10,10,-26.444804097989408,0.0,nan,-22.339351960476236,-22.339351960476233,2.626900575693268,-2.7956836,-26.444804097989408,488000,2.626900575693268,-17.26953242223022,-22.339351960476233,0.0,-22.339351960476236,0.0
778.0532308815183,12,12,-2456.7874,111.17995,0.0,17539.412,10,10,-24.4243963745378,0.0,nan,61.300219260516826,61.30021926051685,238.9281987304641,-1.687104,-24.4243963745378,512000,238.9281987304641,778.0532308815183,61.30021926051685,0.0,61.300219260516826,0.0
-21.241397572785672,13,13,-1058.6023,995.0348,0.0,27390.578,10,10,-93.4118313190756,0.0,nan,-56.94271343487704,-56.94271343487704,28.106250024774365,0.318963,-93.4118313190756,536000,28.106250024774365,-21.241397572785672,-56.94271343487704,0.0,-56.94271343487704,0.0
-24.826960856814267,14,14,-4442.75,698.79126,0.0,30012.447,10,10,-34.14750983306573,0.0,nan,-25.88285763466696,-25.882857634666955,2.764716071078359,-3.3531747,-34.14750983306573,560000,2.764716071078359,-24.826960856814267,-25.882857634666955,0.0,-25.88285763466696,0.0
-19.058509989958345,15,15,-6485.625,9.848268,0.0,25986.63,10,10,-64.42875418464295,0.0,nan,-30.43391643906607,-30.43391643906607,12.255782691886902,-3.7299511,-64.42875418464295,584000,12.255782691886902,-19.058509989958345,-30.43391643906607,0.0,-30.43391643906607,0.0
