MetaTest/plate-slide-back-side-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/plate-slide-back-side-v1/NumTrajs,MetaTrain/Average/QfLoss,MetaTest/plate-slide-back-side-v1/MaxReturn,MetaTest/plate-slide-back-side-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/plate-slide-back-side-v1/TerminationRate,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/plate-slide-back-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/plate-slide-back-side-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/plate-slide-back-side-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/plate-slide-back-side-v1/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss
0,-29.387853255959676,10,1.0015424,-29.387853255959676,-35.38340382160397,-32.28909999732513,0.0,224000,0.0,-35.38340382160397,-32.28909999732513,1.7623032234424143,0.0,nan,1.7623032234424143,0,0.0,-32.28909999732513,10,-32.28909999732513,9.4135275,6.7308154,3.7738955
1,-36.3476802198182,10,435.948,-36.3476802198182,-37.25887273764308,-36.744482819583645,0.0,248000,0.0,-37.25887273764308,-36.74448281958363,0.24408138167304863,0.0,nan,0.24408138167304863,1,0.0,-36.74448281958363,10,-36.744482819583645,7.63139,6.675924,10.147852
2,-84.5161143042175,10,475.44424,-84.5161143042175,-87.04903630982304,-86.50646254812197,0.0,272000,0.0,-87.04903630982304,-86.50646254812193,0.7074608028813237,0.0,nan,0.7074608028813237,2,0.0,-86.50646254812193,10,-86.50646254812197,8.965351,6.232472,-1.7666844
3,-48.35670557375235,10,854.91034,-48.35670557375235,-68.43029350663559,-58.74271780571392,0.0,296000,0.0,-68.43029350663559,-58.742717805713916,5.891259324915934,0.0,nan,5.891259324915934,3,0.0,-58.742717805713916,10,-58.74271780571392,25.351675,4.857456,-143.49165
4,-56.54335834682741,10,2959196.0,-56.54335834682741,-62.413993703012004,-60.9167627351542,0.0,320000,0.0,-62.413993703012004,-60.916762735154215,2.259251458852376,0.0,nan,2.259251458852376,4,0.0,-60.916762735154215,10,-60.9167627351542,657.2857,2.1981125,-240.71095
5,-55.0070505070498,10,56965028.0,-55.0070505070498,-63.0376068555174,-62.04350012014273,0.0,344000,0.0,-63.0376068555174,-62.04350012014271,2.3516700561508825,0.0,nan,2.3516700561508825,5,0.0,-62.04350012014271,10,-62.04350012014273,887833.6,-4.401847,19869.6
6,-25.841757310643853,10,8330.431,-25.841757310643853,-138.7077548938379,-104.99611384573095,0.0,368000,0.0,-138.7077548938379,-104.99611384573097,42.92322466629284,0.0,nan,42.92322466629284,6,0.0,-104.99611384573097,10,-104.99611384573095,1247.881,4.2702518,114.26995
7,-22.556713002238496,10,7183.438,-22.556713002238496,-155.81661700562364,-51.91234984133263,0.0,392000,0.0,-155.81661700562364,-51.91234984133266,40.61235197633407,0.0,nan,40.61235197633407,7,0.0,-51.91234984133266,10,-51.91234984133263,205.73956,2.7631826,-243.1021
8,-20.86290902137081,10,106954590.0,-20.86290902137081,-57.056562625889306,-49.871726701655454,0.0,416000,0.0,-57.056562625889306,-49.87172670165545,10.019497402261404,0.0,nan,10.019497402261404,8,0.0,-49.87172670165545,10,-49.871726701655454,232254.95,2.7181225,6750.172
9,-70.32129083947083,10,9854.083,-70.32129083947083,-70.34916711538929,-70.32547946181474,0.0,440000,0.0,-70.34916711538929,-70.32547946181471,0.007948575622207526,0.0,nan,0.007948575622207526,9,0.0,-70.32547946181471,10,-70.32547946181474,23936.229,3.7375364,627.2356
