MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/Average/NumTrajs,MetaTest/basketball-v1/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/basketball-v1/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/basketball-v1/AverageReturn,MetaTest/basketball-v1/NumTrajs,MetaTrain/Average/Alpha,MetaTest/basketball-v1/TerminationRate,MetaTest/basketball-v1/SuccessRate,TotalEnvSteps,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/basketball-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate
-35.31103414690399,-19.469197578483982,0,-28.61988655200658,14.918068,10,-19.469197578483982,8.784248,0,0.9648907,-28.619886552006584,10,nan,0.0,0.0,224000,6.7252126,-28.61988655200658,-35.31103414690399,-28.619886552006584,4.956056252810495,4.956056252810495,0.0,0.0
-27.153758653940276,-20.47786484149572,1,-23.596768335464553,18.675953,10,-20.47786484149572,7.645781,1,9.50631,-23.596768335464557,10,nan,0.0,0.0,248000,6.675512,-23.596768335464553,-27.153758653940276,-23.596768335464557,1.8744995111910645,1.8744995111910645,0.0,0.0
-28.277070572687055,-22.998862121126322,2,-26.808600958335557,32.56142,10,-22.998862121126322,7.703049,2,16.824505,-26.808600958335557,10,nan,0.0,0.0,272000,6.5667515,-26.808600958335557,-28.277070572687055,-26.808600958335557,1.5838391610070173,1.5838391610070173,0.0,0.0
-29.780093062356283,-16.836679576102348,3,-25.402385934216483,86.088745,10,-16.836679576102348,7.62865,3,19.81378,-25.40238593421648,10,nan,0.0,0.0,296000,6.445871,-25.402385934216483,-29.780093062356283,-25.40238593421648,4.582733922439701,4.582733922439701,0.0,0.0
-26.525962624557323,-23.539961297334617,4,-25.530804915983015,243.3604,10,-23.539961297334617,7.6248407,4,19.975937,-25.53080491598301,10,nan,0.0,0.0,320000,6.219447,-25.530804915983015,-26.525962624557323,-25.53080491598301,0.7998269068768118,0.7998269068768118,0.0,0.0
-23.994349007253106,-17.182766382661626,5,-20.795100152954724,642.75476,10,-17.182766382661626,7.624632,5,10.946978,-20.795100152954728,10,nan,0.0,0.0,344000,5.949875,-20.795100152954724,-23.994349007253106,-20.795100152954728,2.252152379707454,2.252152379707454,0.0,0.0
-22.34832456682297,-17.294417719796822,6,-19.774422038713574,1527.2522,10,-17.294417719796822,7.624632,6,-20.971153,-19.774422038713578,10,nan,0.0,0.0,368000,5.51971,-19.774422038713574,-22.34832456682297,-19.774422038713578,1.1614332433324874,1.1614332433324874,0.0,0.0
-47.59252851773357,226.30573673101497,7,3.7107778762031183,6134.0957,10,226.30573673101497,7.624632,7,-114.97887,3.710777876203129,10,nan,0.0,0.0,392000,4.53628,3.7107778762031183,-47.59252851773357,3.710777876203129,76.01683796737605,76.01683796737605,0.0,0.0
-4.66947959721884,120.93440292746595,8,41.600435813335025,17866.5,10,120.93440292746595,7.624632,8,-336.64087,41.600435813335025,10,nan,0.0,0.0,416000,2.5022016,41.600435813335025,-4.66947959721884,41.600435813335025,44.71180284717557,44.71180284717557,0.0,0.0
-4.487501106896073,255.98941353168408,9,64.77742863657747,57485.21,10,255.98941353168408,7.624632,9,-1160.7592,64.77742863657741,10,nan,0.0,0.0,440000,-1.5241365,64.77742863657747,-4.487501106896073,64.77742863657741,75.92610520172347,75.92610520172347,0.0,0.0
