MetaTest/basketball-v1/Iteration,MetaTest/basketball-v1/AverageReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/basketball-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTest/basketball-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/basketball-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/basketball-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/basketball-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/basketball-v1/NumTrajs
16,-21.892362733334423,4.8342610390227305,608000,0.0,-21.892362733334426,-21.892362733334426,-17.404024868875325,16,-31.144294113230938,0.0,-21.892362733334423,-31.144294113230938,0.0,4.8342610390227305,0.0,-17.404024868875325,10,10
17,-20.333106115425092,1.2789139534016118,632000,0.0,-20.333106115425092,-20.333106115425092,-18.717480787657475,17,-22.498151869611384,0.0,-20.333106115425092,-22.498151869611384,0.0,1.2789139534016118,0.0,-18.717480787657475,10,10
18,-20.355360299102642,0.6231519416982203,656000,0.0,-20.355360299102646,-20.355360299102646,-19.344016478669953,18,-21.634353248189583,0.0,-20.355360299102642,-21.634353248189583,0.0,0.6231519416982203,0.0,-19.344016478669953,10,10
19,-20.751859268817526,1.5116924615142273,680000,0.0,-20.751859268817523,-20.751859268817523,-18.755261840718827,19,-24.295084407366,0.0,-20.751859268817526,-24.295084407366,0.0,1.5116924615142273,0.0,-18.755261840718827,10,10
20,-18.067348596012753,1.990222736745416,704000,0.0,-18.067348596012756,-18.067348596012756,-15.814332315271345,20,-22.985645926851557,0.0,-18.067348596012753,-22.985645926851557,0.0,1.990222736745416,0.0,-15.814332315271345,10,10
21,-22.35933061063329,4.318591655976658,728000,0.0,-22.359330610633293,-22.359330610633293,-17.624508145447564,21,-30.728156281798082,0.0,-22.35933061063329,-30.728156281798082,0.0,4.318591655976658,0.0,-17.624508145447564,10,10
22,-19.04671830494007,4.405065486667219,752000,0.0,-19.04671830494007,-19.04671830494007,-15.680224223059655,22,-31.676762184923856,0.0,-19.04671830494007,-31.676762184923856,0.0,4.405065486667219,0.0,-15.680224223059655,10,10
23,-16.51835379561212,1.3888175418415192,776000,0.0,-16.518353795612118,-16.518353795612118,-14.482744739936708,23,-19.06069499228239,0.0,-16.51835379561212,-19.06069499228239,0.0,1.3888175418415192,0.0,-14.482744739936708,10,10
24,-23.691011352665264,6.392937867811363,800000,0.0,-23.69101135266526,-23.69101135266526,-16.58920761105039,24,-31.786714866546877,0.0,-23.691011352665264,-31.786714866546877,0.0,6.392937867811363,0.0,-16.58920761105039,10,10
25,-17.29476392420395,1.2640137886871188,824000,0.0,-17.294763924203956,-17.294763924203956,-14.800642745806623,25,-18.706801004465735,0.0,-17.29476392420395,-18.706801004465735,0.0,1.2640137886871188,0.0,-14.800642745806623,10,10
26,-16.801901778227773,1.2494378421177659,848000,0.0,-16.801901778227766,-16.801901778227766,-15.427177380733461,26,-18.947079976613214,0.0,-16.801901778227773,-18.947079976613214,0.0,1.2494378421177659,0.0,-15.427177380733461,10,10
27,-15.485192004160826,0.6111143073010709,872000,0.0,-15.485192004160822,-15.485192004160822,-14.690900240370668,27,-16.799224671508806,0.0,-15.485192004160826,-16.799224671508806,0.0,0.6111143073010709,0.0,-14.690900240370668,10,10
28,-16.32025861139425,0.9725966028938039,896000,0.0,-16.320258611394244,-16.320258611394244,-14.745521118445112,28,-18.210590383523737,0.0,-16.32025861139425,-18.210590383523737,0.0,0.9725966028938039,0.0,-14.745521118445112,10,10
29,-16.77519522260219,1.5028255089791296,920000,0.0,-16.775195222602186,-16.775195222602186,-13.966771328799153,29,-19.02491188737391,0.0,-16.77519522260219,-19.02491188737391,0.0,1.5028255089791296,0.0,-13.966771328799153,10,10
30,-16.065531434037155,1.244731386382106,944000,0.0,-16.065531434037155,-16.065531434037155,-14.34994224476445,30,-17.998543169924307,0.0,-16.065531434037155,-17.998543169924307,0.0,1.244731386382106,0.0,-14.34994224476445,10,10
31,-16.387961884486323,1.1295202135624285,968000,0.0,-16.387961884486323,-16.387961884486323,-15.02129135583233,31,-18.825848416657877,0.0,-16.387961884486323,-18.825848416657877,0.0,1.1295202135624285,0.0,-15.02129135583233,10,10
32,-15.900778438868562,1.152659841689949,992000,0.0,-15.900778438868562,-15.900778438868562,-14.723032555453349,32,-18.281103697971435,0.0,-15.900778438868562,-18.281103697971435,0.0,1.152659841689949,0.0,-14.723032555453349,10,10
33,-16.72923194000766,1.5063754833289997,1016000,0.0,-16.729231940007658,-16.729231940007658,-14.681261760599206,33,-19.13946418972016,0.0,-16.72923194000766,-19.13946418972016,0.0,1.5063754833289997,0.0,-14.681261760599206,10,10
34,-15.633844386687297,2.108285718387991,1040000,0.0,-15.6338443866873,-15.6338443866873,-13.62436997742542,34,-20.28326043282989,0.0,-15.633844386687297,-20.28326043282989,0.0,2.108285718387991,0.0,-13.62436997742542,10,10
35,-16.99465330654571,1.3148526347459193,1064000,0.0,-16.994653306545707,-16.994653306545707,-15.45561854537042,35,-19.62339268772031,0.0,-16.99465330654571,-19.62339268772031,0.0,1.3148526347459193,0.0,-15.45561854537042,10,10
36,-16.244292252039134,1.7614141263174634,1088000,0.0,-16.24429225203913,-16.24429225203913,-14.099556259675682,36,-19.340947369079725,0.0,-16.244292252039134,-19.340947369079725,0.0,1.7614141263174634,0.0,-14.099556259675682,10,10
37,-16.69432403833206,1.0374034888464,1112000,0.0,-16.69432403833206,-16.69432403833206,-15.240593793228832,37,-18.216250797851657,0.0,-16.69432403833206,-18.216250797851657,0.0,1.0374034888464,0.0,-15.240593793228832,10,10
38,-15.512549598543037,1.4251470070090653,1136000,0.0,-15.512549598543043,-15.512549598543043,-13.314686484796395,38,-18.216496563367397,0.0,-15.512549598543037,-18.216496563367397,0.0,1.4251470070090653,0.0,-13.314686484796395,10,10
39,-16.201693892636733,1.0485936767189208,1160000,0.0,-16.201693892636726,-16.201693892636726,-15.038220778961247,39,-17.694271910905368,0.0,-16.201693892636733,-17.694271910905368,0.0,1.0485936767189208,0.0,-15.038220778961247,10,10
40,-16.72961685419523,1.9191375890195477,1184000,0.0,-16.72961685419523,-16.72961685419523,-14.8518485366724,40,-20.511220978162335,0.0,-16.72961685419523,-20.511220978162335,0.0,1.9191375890195477,0.0,-14.8518485366724,10,10
41,-16.38794406840791,1.3234562181841965,1208000,0.0,-16.387944068407915,-16.387944068407915,-15.216144183922465,41,-19.606229252549863,0.0,-16.38794406840791,-19.606229252549863,0.0,1.3234562181841965,0.0,-15.216144183922465,10,10
42,-14.710440683280193,1.58450484518612,1232000,0.0,-14.710440683280192,-14.710440683280192,-13.19038645713576,42,-18.274010620575446,0.0,-14.710440683280193,-18.274010620575446,0.0,1.58450484518612,0.0,-13.19038645713576,10,10
43,-15.188253646733381,1.1251946789650655,1256000,0.0,-15.188253646733381,-15.188253646733381,-14.006465156139287,43,-17.224233308751497,0.0,-15.188253646733381,-17.224233308751497,0.0,1.1251946789650655,0.0,-14.006465156139287,10,10
44,-15.705567396559934,0.927809159531941,1280000,0.0,-15.705567396559934,-15.705567396559934,-14.075911657644614,44,-17.506931654857045,0.0,-15.705567396559934,-17.506931654857045,0.0,0.927809159531941,0.0,-14.075911657644614,10,10
45,-15.11855904769341,1.1369298018729892,1304000,0.0,-15.118559047693415,-15.118559047693415,-13.989081806569652,45,-17.658640579079147,0.0,-15.11855904769341,-17.658640579079147,0.0,1.1369298018729892,0.0,-13.989081806569652,10,10
46,-15.268512413483496,1.185487920023921,1328000,0.0,-15.268512413483492,-15.268512413483492,-13.600985150967293,46,-17.63884954207587,0.0,-15.268512413483496,-17.63884954207587,0.0,1.185487920023921,0.0,-13.600985150967293,10,10
47,-15.397561991480174,0.35577375637220265,1352000,0.0,-15.397561991480174,-15.397561991480174,-14.855548846474768,47,-16.168428382269347,0.0,-15.397561991480174,-16.168428382269347,0.0,0.35577375637220265,0.0,-14.855548846474768,10,10
48,-15.136284611220821,0.9065601062438522,1376000,0.0,-15.136284611220821,-15.136284611220821,-13.870608048712317,48,-16.501112418854756,0.0,-15.136284611220821,-16.501112418854756,0.0,0.9065601062438522,0.0,-13.870608048712317,10,10
49,-15.669235883346952,1.880270165762313,1400000,0.0,-15.669235883346953,-15.669235883346953,-13.257785352990398,49,-18.45251007403507,0.0,-15.669235883346952,-18.45251007403507,0.0,1.880270165762313,0.0,-13.257785352990398,10,10
50,-15.953395562092592,1.001344700905023,1424000,0.0,-15.95339556209259,-15.95339556209259,-14.761251434482807,50,-17.553022753486808,0.0,-15.953395562092592,-17.553022753486808,0.0,1.001344700905023,0.0,-14.761251434482807,10,10
51,-15.278015592289629,0.9051754038814157,1448000,0.0,-15.278015592289623,-15.278015592289623,-14.24208003731764,51,-16.88173058600158,0.0,-15.278015592289629,-16.88173058600158,0.0,0.9051754038814157,0.0,-14.24208003731764,10,10
52,-15.381162573896768,0.41263751263684517,1472000,0.0,-15.381162573896768,-15.381162573896768,-14.550902278722136,52,-16.116463230506653,0.0,-15.381162573896768,-16.116463230506653,0.0,0.41263751263684517,0.0,-14.550902278722136,10,10
53,-15.017718139608245,0.7524581896551341,1496000,0.0,-15.017718139608245,-15.017718139608245,-13.929917775992859,53,-16.456044105485034,0.0,-15.017718139608245,-16.456044105485034,0.0,0.7524581896551341,0.0,-13.929917775992859,10,10
54,-14.260083942164613,1.1285136310520247,1520000,0.0,-14.260083942164613,-14.260083942164613,-13.169745210558295,54,-17.30862797154049,0.0,-14.260083942164613,-17.30862797154049,0.0,1.1285136310520247,0.0,-13.169745210558295,10,10
55,-14.919419733187434,0.8417124816156911,1544000,0.0,-14.919419733187434,-14.919419733187434,-13.9494089641209,55,-16.70936856185961,0.0,-14.919419733187434,-16.70936856185961,0.0,0.8417124816156911,0.0,-13.9494089641209,10,10
56,-15.125572167649954,0.9968941248536363,1568000,0.0,-15.125572167649954,-15.125572167649954,-14.158237731395673,56,-17.355574016127346,0.0,-15.125572167649954,-17.355574016127346,0.0,0.9968941248536363,0.0,-14.158237731395673,10,10
57,-14.77021865088688,0.5763128295632896,1592000,0.0,-14.770218650886878,-14.770218650886878,-13.702060799882899,57,-15.433021411803875,0.0,-14.77021865088688,-15.433021411803875,0.0,0.5763128295632896,0.0,-13.702060799882899,10,10
58,-15.26561996462664,0.6043696209007927,1616000,0.0,-15.26561996462664,-15.26561996462664,-14.071079856672968,58,-16.182276397504655,0.0,-15.26561996462664,-16.182276397504655,0.0,0.6043696209007927,0.0,-14.071079856672968,10,10
59,-13.978952430540279,0.6634218767104434,1640000,0.0,-13.97895243054028,-13.97895243054028,-12.90575012493318,59,-15.166587347565862,0.0,-13.978952430540279,-15.166587347565862,0.0,0.6634218767104434,0.0,-12.90575012493318,10,10
60,-15.50033632631785,0.6244572876331455,1664000,0.0,-15.500336326317846,-15.500336326317846,-14.419253292270815,60,-16.550752621894578,0.0,-15.50033632631785,-16.550752621894578,0.0,0.6244572876331455,0.0,-14.419253292270815,10,10
61,-15.012661807035675,0.7336378012121413,1688000,0.0,-15.01266180703568,-15.01266180703568,-13.915001200632858,61,-16.119923537433774,0.0,-15.012661807035675,-16.119923537433774,0.0,0.7336378012121413,0.0,-13.915001200632858,10,10
62,-14.610382000160962,1.4274705237448908,1712000,0.0,-14.610382000160957,-14.610382000160957,-13.192575812333176,62,-17.376075388048868,0.0,-14.610382000160962,-17.376075388048868,0.0,1.4274705237448908,0.0,-13.192575812333176,10,10
63,-13.982773598897904,0.6225296442829741,1736000,0.0,-13.982773598897904,-13.982773598897904,-13.098754093410003,63,-15.288661012120018,0.0,-13.982773598897904,-15.288661012120018,0.0,0.6225296442829741,0.0,-13.098754093410003,10,10
64,-15.961452804720173,0.647521224806424,1760000,0.0,-15.961452804720176,-15.961452804720176,-15.090148262661208,64,-17.360771163268797,0.0,-15.961452804720173,-17.360771163268797,0.0,0.647521224806424,0.0,-15.090148262661208,10,10
65,-14.393031296982244,0.5418329242352297,1784000,0.0,-14.39303129698224,-14.39303129698224,-13.619475594964705,65,-15.33054639995422,0.0,-14.393031296982244,-15.33054639995422,0.0,0.5418329242352297,0.0,-13.619475594964705,10,10
66,-14.874336181845129,1.0030918327270522,1808000,0.0,-14.874336181845127,-14.874336181845127,-13.49605270309651,66,-16.46664564521019,0.0,-14.874336181845129,-16.46664564521019,0.0,1.0030918327270522,0.0,-13.49605270309651,10,10
67,-14.94673444378484,0.7868004796101845,1832000,0.0,-14.946734443784838,-14.946734443784838,-13.648761551038834,67,-16.475947933404807,0.0,-14.94673444378484,-16.475947933404807,0.0,0.7868004796101845,0.0,-13.648761551038834,10,10
68,-14.697429787468588,0.4668202441650985,1856000,0.0,-14.697429787468588,-14.697429787468588,-13.95725431330564,68,-15.305984598343487,0.0,-14.697429787468588,-15.305984598343487,0.0,0.4668202441650985,0.0,-13.95725431330564,10,10
69,-15.048644563659561,1.229874667109405,1880000,0.0,-15.048644563659561,-15.048644563659561,-13.961023976309919,69,-17.606755950888157,0.0,-15.048644563659561,-17.606755950888157,0.0,1.229874667109405,0.0,-13.961023976309919,10,10
70,-14.636061209694976,0.7070864647613551,1904000,0.0,-14.636061209694976,-14.636061209694976,-14.029571428076833,70,-16.371490937712107,0.0,-14.636061209694976,-16.371490937712107,0.0,0.7070864647613551,0.0,-14.029571428076833,10,10
71,-14.969289205194437,0.8022617506187675,1928000,0.0,-14.969289205194434,-14.969289205194434,-13.844466099672408,71,-16.662054531783106,0.0,-14.969289205194437,-16.662054531783106,0.0,0.8022617506187675,0.0,-13.844466099672408,10,10
72,-14.284429792447934,0.6917818191949798,1952000,0.0,-14.284429792447934,-14.284429792447934,-13.391858842472892,72,-15.49610660038943,0.0,-14.284429792447934,-15.49610660038943,0.0,0.6917818191949798,0.0,-13.391858842472892,10,10
73,-14.311763624026664,0.6316166246944293,1976000,0.0,-14.311763624026662,-14.311763624026662,-13.544235106810484,73,-15.64728232638203,0.0,-14.311763624026664,-15.64728232638203,0.0,0.6316166246944293,0.0,-13.544235106810484,10,10
74,-14.343090448463922,1.1388125732106849,2000000,0.0,-14.34309044846392,-14.34309044846392,-13.274443261486345,74,-17.36619742522639,0.0,-14.343090448463922,-17.36619742522639,0.0,1.1388125732106849,0.0,-13.274443261486345,10,10
75,-15.27979488664108,1.1178773046563655,2024000,0.0,-15.279794886641085,-15.279794886641085,-13.956506721800453,75,-17.114921898741578,0.0,-15.27979488664108,-17.114921898741578,0.0,1.1178773046563655,0.0,-13.956506721800453,10,10
76,-15.278975610957866,0.7425499244661695,2048000,0.0,-15.278975610957866,-15.278975610957866,-14.597266929237913,76,-16.868066279548085,0.0,-15.278975610957866,-16.868066279548085,0.0,0.7425499244661695,0.0,-14.597266929237913,10,10
77,-14.455423935616082,1.1934320513043388,2072000,0.0,-14.455423935616073,-14.455423935616073,-13.209347304002021,77,-17.158030500948602,0.0,-14.455423935616082,-17.158030500948602,0.0,1.1934320513043388,0.0,-13.209347304002021,10,10
78,-15.515937606930885,1.1512648011961417,2096000,0.0,-15.515937606930885,-15.515937606930885,-13.944762431289584,78,-18.264295652474154,0.0,-15.515937606930885,-18.264295652474154,0.0,1.1512648011961417,0.0,-13.944762431289584,10,10
79,-14.32738330746804,0.5643582323067425,2120000,0.0,-14.327383307468036,-14.327383307468036,-13.554640664175604,79,-15.256784656533053,0.0,-14.32738330746804,-15.256784656533053,0.0,0.5643582323067425,0.0,-13.554640664175604,10,10
80,-14.8748036596759,0.7020072419291661,2144000,0.0,-14.874803659675896,-14.874803659675896,-13.453389812022168,80,-15.938284606115944,0.0,-14.8748036596759,-15.938284606115944,0.0,0.7020072419291661,0.0,-13.453389812022168,10,10
81,-14.691829242222866,0.97067263159975,2168000,0.0,-14.691829242222862,-14.691829242222862,-13.228471425717657,81,-16.233719842297756,0.0,-14.691829242222866,-16.233719842297756,0.0,0.97067263159975,0.0,-13.228471425717657,10,10
82,-13.732461504940929,0.5540875483563668,2192000,0.0,-13.732461504940929,-13.732461504940929,-13.230058732720954,82,-15.188667668537745,0.0,-13.732461504940929,-15.188667668537745,0.0,0.5540875483563668,0.0,-13.230058732720954,10,10
83,-14.208131356277201,0.5636029763308473,2216000,0.0,-14.208131356277207,-14.208131356277207,-13.3469715100981,83,-14.950350190876437,0.0,-14.208131356277201,-14.950350190876437,0.0,0.5636029763308473,0.0,-13.3469715100981,10,10
84,-14.96753651516677,0.6275202107713564,2240000,0.0,-14.967536515166776,-14.967536515166776,-14.159347273117145,84,-15.975253489569319,0.0,-14.96753651516677,-15.975253489569319,0.0,0.6275202107713564,0.0,-14.159347273117145,10,10
85,-14.016063071640067,0.4172207033928741,2264000,0.0,-14.016063071640067,-14.016063071640067,-13.390707926399676,85,-14.748670357103252,0.0,-14.016063071640067,-14.748670357103252,0.0,0.4172207033928741,0.0,-13.390707926399676,10,10
86,-14.070566439576899,1.0265780939540494,2288000,0.0,-14.070566439576897,-14.070566439576897,-12.65230595491051,86,-15.856424446926367,0.0,-14.070566439576899,-15.856424446926367,0.0,1.0265780939540494,0.0,-12.65230595491051,10,10
87,-15.04156549958887,1.6090958841032557,2312000,0.0,-15.041565499588874,-15.041565499588874,-12.80679643165639,87,-17.35752999216997,0.0,-15.04156549958887,-17.35752999216997,0.0,1.6090958841032557,0.0,-12.80679643165639,10,10
88,-14.659113981905515,1.2538515004568667,2336000,0.0,-14.659113981905511,-14.659113981905511,-13.053328406648898,88,-16.532869961697074,0.0,-14.659113981905515,-16.532869961697074,0.0,1.2538515004568667,0.0,-13.053328406648898,10,10
89,-15.617028839407066,0.6663504516221564,2360000,0.0,-15.617028839407066,-15.617028839407066,-14.596218894424965,89,-16.90836519250106,0.0,-15.617028839407066,-16.90836519250106,0.0,0.6663504516221564,0.0,-14.596218894424965,10,10
90,-14.546075465440135,0.7237713226185336,2384000,0.0,-14.546075465440131,-14.546075465440131,-13.583249987997958,90,-15.880718846196409,0.0,-14.546075465440135,-15.880718846196409,0.0,0.7237713226185336,0.0,-13.583249987997958,10,10
91,-14.365111066895116,0.871074401508453,2408000,0.0,-14.365111066895114,-14.365111066895114,-13.029110194333255,91,-16.143571268411996,0.0,-14.365111066895116,-16.143571268411996,0.0,0.871074401508453,0.0,-13.029110194333255,10,10
92,-14.092406372332032,0.7804586014666028,2432000,0.0,-14.092406372332036,-14.092406372332036,-12.995733664307984,92,-15.827718106982454,0.0,-14.092406372332032,-15.827718106982454,0.0,0.7804586014666028,0.0,-12.995733664307984,10,10
93,-14.635479824197049,0.8914600690908207,2456000,0.0,-14.635479824197049,-14.635479824197049,-12.925807442275861,93,-16.28138539148826,0.0,-14.635479824197049,-16.28138539148826,0.0,0.8914600690908207,0.0,-12.925807442275861,10,10
94,-15.029862762371883,1.086984610895266,2480000,0.0,-15.029862762371883,-15.029862762371883,-13.194276702049178,94,-17.61955848345775,0.0,-15.029862762371883,-17.61955848345775,0.0,1.086984610895266,0.0,-13.194276702049178,10,10
95,-14.487522922617838,0.8509522923364737,2504000,0.0,-14.487522922617838,-14.487522922617838,-13.490282638621133,95,-16.317360141280083,0.0,-14.487522922617838,-16.317360141280083,0.0,0.8509522923364737,0.0,-13.490282638621133,10,10
96,-13.523608578683573,0.48586742394258875,2528000,0.0,-13.523608578683573,-13.523608578683573,-12.801452718893506,96,-14.407083058532628,0.0,-13.523608578683573,-14.407083058532628,0.0,0.48586742394258875,0.0,-12.801452718893506,10,10
97,-14.700817149114297,0.7285448907286132,2552000,0.0,-14.700817149114297,-14.700817149114297,-13.70234531694978,97,-15.827884735865046,0.0,-14.700817149114297,-15.827884735865046,0.0,0.7285448907286132,0.0,-13.70234531694978,10,10
98,-14.988413644699605,0.9454659259610533,2576000,0.0,-14.988413644699609,-14.988413644699609,-13.713836373533374,98,-16.38504895390396,0.0,-14.988413644699605,-16.38504895390396,0.0,0.9454659259610533,0.0,-13.713836373533374,10,10
99,-14.527320131717355,0.6204163802818355,2600000,0.0,-14.527320131717355,-14.527320131717355,-13.735450143882089,99,-15.50452119445943,0.0,-14.527320131717355,-15.50452119445943,0.0,0.6204163802818355,0.0,-13.735450143882089,10,10
