MetaTest/Average/MaxReturn,MetaTest/sweep-v1/StdReturn,MetaTest/sweep-v1/MaxReturn,Average/TerminationRate,sweep-v1/Iteration,MetaTest/sweep-v1/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/Average/MinReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/LossBefore,MetaTest/sweep-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,sweep-v1/MinReturn,GaussianMLPPolicy/KLAfter,MetaTest/sweep-v1/AverageDiscountedReturn,Average/StdReturn,Average/MinReturn,Iteration,sweep-v1/StdReturn,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/sweep-v1/TerminationRate,MetaTest/sweep-v1/NumEpisodes,sweep-v1/NumEpisodes,MetaTest/Average/TerminationRate,sweep-v1/AverageReturn,Average/NumEpisodes,sweep-v1/TerminationRate,GaussianMLPPolicy/KLBefore,sweep-v1/SuccessRate,Average/MaxReturn,sweep-v1/MaxReturn,GaussianMLPPolicy/dLoss,MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/sweep-v1/AverageReturn,Average/Iteration,Average/SuccessRate,sweep-v1/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,MetaTest/sweep-v1/Iteration,MetaTest/Average/SuccessRate
390.3766705641716,71.26787399664488,390.3766705641716,0.0,0,0.0,5.664365291595459,-51.05138890675459,-10.608641574118954,-0.0008587163174524903,-51.05138890675459,50,-8.050340246458482,-66.42132313385657,0.006710580550134182,-8.050340246458488,169.4161656554797,-66.42132313385657,0,169.4161656554797,-15.723551353172857,-8.050340246458488,71.26787399664488,0.0,50,200,0.0,-15.723551353172857,200,0.0,0.0,0.0,2160.8835967996984,2160.8835967996984,0.0011861867969855666,0,80000,-8.050340246458482,0,0.0,-10.608641574118954,-0.002044903114438057,0,0.0
,,,0.0,1,,5.687255859375,,28.565197350143354,0.0011071162298321724,,,,-57.48661290402805,0.009554028511047363,,729.5865732753223,-57.48661290402805,1,729.5865732753223,122.72190042448119,,,,,200,,122.72190042448119,200,0.0,0.0,0.0,8338.97286060011,8338.97286060011,0.0010488364132470451,,160000,,1,0.0,28.565197350143354,5.8279816585127264e-05,,
,,,0.0,2,,5.706809997558594,,47.97707048331495,0.0006303224945440888,,,,-32.86974971427217,0.008235271088778973,,788.860463035282,-32.86974971427217,2,788.860463035282,207.50540029153356,,,,,200,,207.50540029153356,200,0.0,0.0,0.0,8381.356222947341,8381.356222947341,0.0006577366257261019,,240000,,2,0.0,47.97707048331495,-2.741413118201308e-05,,
,,,0.0,3,,5.732403755187988,,122.6121088677524,0.00011069279571529478,,,,-23.708077927506345,0.00690724840387702,,1128.9842423874302,-23.708077927506345,3,1128.9842423874302,476.81143560203054,,,,,200,,476.81143560203054,200,0.0,0.0,0.0,7546.052212485615,7546.052212485615,6.568126991624013e-05,,320000,,3,0.0,122.6121088677524,4.501152579905465e-05,,
,,,0.0,4,,5.729493141174316,,206.10136132568604,-2.2485760382551234e-06,,,,-25.3129964484286,0.002770931925624609,,1585.2943503108881,-25.3129964484286,4,1585.2943503108881,843.2465255566631,,,,,200,,843.2465255566631,200,0.0,0.0,0.0,9997.826908890269,9997.826908890269,4.114731837034924e-06,,400000,,4,0.0,206.10136132568604,-6.363307875290047e-06,,
,,,0.0,5,,5.6846747398376465,,436.48724386161683,-3.604498124332167e-05,,,,-24.694532399031917,0.002096392447128892,,3480.527432893585,-24.694532399031917,5,3480.527432893585,1771.9104295806203,,,,,200,,1771.9104295806203,200,0.0,0.0,0.005,24989.837606881134,24989.837606881134,3.173125151079148e-06,,480000,,5,0.005,436.48724386161683,-3.921810639440082e-05,,
,,,0.0,6,,5.696602821350098,,335.2759723592176,9.953091648640111e-06,,,,-21.57053343744899,0.0031288776081055403,,2801.6005127775825,-21.57053343744899,6,2801.6005127775825,1389.734252668103,,,,,200,,1389.734252668103,200,0.0,0.0,0.0,20167.39018084612,20167.39018084612,5.893170055060182e-06,,560000,,6,0.0,335.2759723592176,4.059921593579929e-06,,
,,,0.0,7,,5.664355278015137,,502.5678369043281,-2.2835383788333274e-05,,,,-20.507893592645893,0.0004203934222459793,,3260.859953849757,-20.507893592645893,7,3260.859953849757,2034.8322241830354,,,,,200,,2034.8322241830354,200,0.0,0.0,0.0,14884.153645952849,14884.153645952849,6.093414413044229e-07,,640000,,7,0.0,502.5678369043281,-2.3444725229637697e-05,,
,,,0.0,8,,5.637269496917725,,424.07975178270004,-2.413348738627974e-05,,,,-21.94117989164778,0.0028748917393386364,,2973.2880894640216,-21.94117989164778,8,2973.2880894640216,1721.0050081495242,,,,,200,,1721.0050081495242,200,0.0,0.0,0.0,21360.012883861382,21360.012883861382,5.145358954905532e-06,,720000,,8,0.0,424.07975178270004,-2.9278846341185272e-05,,
,,,0.0,9,,5.620353698730469,,502.98368151313,-1.2311627870076336e-05,,,,-19.901940509102435,0.0004301786539144814,,2935.349995589136,-19.901940509102435,9,2935.349995589136,2054.6043268813455,,,,,200,,2054.6043268813455,200,0.0,0.0,0.0,19026.433649244427,19026.433649244427,6.22414518147707e-07,,800000,,9,0.0,502.98368151313,-1.2934042388224043e-05,,
18036.099860743696,3777.921748203158,18036.099860743696,0.0,10,0.0,5.606208801269531,-17.9659477210294,609.6103652149797,-9.1847296062042e-06,-17.9659477210294,50,2577.890240199731,-18.864010173109758,0.001257921801880002,2577.8902401997307,3792.24599649425,-18.864010173109758,10,3792.24599649425,2339.601295922525,2577.8902401997307,3777.921748203158,0.0,50,200,0.0,2339.601295922525,200,0.0,0.0,0.005,22452.139153674612,22452.139153674612,1.965661795111373e-06,1,880000,2577.890240199731,10,0.005,609.6103652149797,-1.1150391401315574e-05,1,0.0
,,,0.0,11,,5.599967956542969,,627.1339099382566,-4.270772478776053e-06,,,,-20.413356720446547,0.00015141199401114136,,3802.970159747116,-20.413356720446547,11,3802.970159747116,2527.721453523656,,,,,200,,2527.721453523656,200,0.0,0.0,0.0,20434.989915596012,20434.989915596012,2.170113475585822e-07,,960000,,11,0.0,627.1339099382566,-4.487783826334635e-06,,
,,,0.0,12,,5.590853214263916,,491.72121359668233,-6.567569016624475e-06,,,,-20.89918740002965,6.213646702235565e-05,,3304.84595699519,-20.89918740002965,12,3304.84595699519,2026.9758190935233,,,,,200,,2026.9758190935233,200,0.0,0.0,0.0,17989.2589489215,17989.2589489215,8.790357242105529e-08,,1040000,,12,0.0,491.72121359668233,-6.65547258904553e-06,,
,,,0.0,13,,5.591341495513916,,632.1638738217548,3.3280008437941433e-07,,,,-18.982129826931963,0.00011517749953782186,,4017.382458220327,-18.982129826931963,13,4017.382458220327,2627.757391650629,,,,,200,,2627.757391650629,200,0.0,0.0,0.005,20898.87592162129,20898.87592162129,1.6422569615315297e-07,,1120000,,13,0.005,632.1638738217548,1.6857438822626136e-07,,
