MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/button-press-wall-v1/MinReturn,MetaTest/button-press-wall-v1/MaxReturn,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/button-press-wall-v1/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/button-press-wall-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-wall-v1/SuccessRate,MetaTest/button-press-wall-v1/AverageDiscountedReturn,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/button-press-wall-v1/Iteration
10,0.0,-101.65852074286511,-87.96308547299516,10,0.0,-8106.6113,5.099790731887282,5.099790731887282,54241.574,116000,0.0,2.8072886,-87.96308547299516,-101.65852074286511,-1.7988149,3654464.2,-94.02055621825038,-94.02055621825033,0.0,-94.02055621825033,-94.02055621825038,10,10
11,0.0,-93.89502704768734,-67.10472957273245,10,0.0,-28921.713,7.195510068511653,7.195510068511653,109031.84,122000,0.0,3.1596043,-67.10472957273245,-93.89502704768734,-23.788168,32536730.0,-80.11803005932288,-80.11803005932286,0.0,-80.11803005932286,-80.11803005932288,10,11
12,0.0,-95.1827434900684,-78.04038810473874,10,0.0,-59790.168,5.041376183628586,5.041376183628586,53001.113,128000,0.0,3.740274,-78.04038810473874,-95.1827434900684,-43.63743,8676721.0,-89.13677547828703,-89.13677547828703,0.0,-89.13677547828703,-89.13677547828703,10,12
13,0.0,-88.79189817707858,-76.57110937160948,10,0.0,-77544.58,3.741793152557263,3.741793152557263,38908.062,134000,0.0,4.5009074,-76.57110937160948,-88.79189817707858,-63.84699,6425597.5,-83.73092695412188,-83.73092695412188,0.0,-83.73092695412188,-83.73092695412188,10,13
14,0.0,-78.72215211786627,-58.18096491552122,10,0.0,-83754.18,5.851069838437193,5.851069838437193,25935.877,140000,0.0,5.39566,-58.18096491552122,-78.72215211786627,-83.72509,4831532.5,-66.45847491335147,-66.45847491335145,0.0,-66.45847491335145,-66.45847491335147,10,14
15,0.0,-113.7114766684423,-15.679716345246929,10,0.0,-83916.24,27.335361796365333,27.335361796365333,12940.162,146000,0.0,6.338198,-15.679716345246929,-113.7114766684423,-88.33348,4042478.2,-89.19346894013759,-89.1934689401376,0.0,-89.1934689401376,-89.19346894013759,10,15
16,0.0,-116.34292401707519,-43.11593093275906,10,0.0,-81767.54,19.23286018008378,19.23286018008378,9362.061,152000,0.0,7.2655435,-43.11593093275906,-116.34292401707519,-59.90903,3537379.2,-75.83263674122631,-75.83263674122631,0.0,-75.83263674122631,-75.83263674122631,10,16
17,0.0,-120.15776447895722,-20.0201490614835,10,0.0,-51846.516,34.93573314108412,34.93573314108412,9561.964,158000,0.0,7.9645,-20.0201490614835,-120.15776447895722,-30.466785,2680717.8,-79.41456345778745,-79.41456345778744,0.0,-79.41456345778744,-79.41456345778745,10,17
18,0.0,-85.49852514949083,-38.48194074640061,10,0.0,-33357.07,14.146796741328627,14.146796741328627,7550.468,164000,0.0,8.353665,-38.48194074640061,-85.49852514949083,-6.9764805,2419275.0,-67.34925634169818,-67.34925634169818,0.0,-67.34925634169818,-67.34925634169818,10,18
19,0.0,-92.06671370162638,5143.518393767953,10,0.0,-29466.912,1595.316608008746,1595.316608008746,12199.855,170000,0.0,8.483303,5143.518393767953,-92.06671370162638,0.504562,2268235.5,622.6686947161206,622.6686947161209,0.0,622.6686947161209,622.6686947161206,10,19
20,0.0,-91.45297762001816,-76.81594785633398,10,0.0,-28891.936,4.738885529332523,4.738885529332523,41408.953,176000,0.0,8.442267,-76.81594785633398,-91.45297762001816,5.940923,2542385.0,-85.09572867932799,-85.095728679328,0.0,-85.095728679328,-85.09572867932799,10,20
21,0.0,-92.24475773561149,-81.48610184624141,10,0.0,-13002.324,3.5868468751586704,3.5868468751586704,66786.39,182000,0.0,7.470009,-81.48610184624141,-92.24475773561149,28.806126,2276697.2,-85.20709989023999,-85.20709989024,0.0,-85.20709989024,-85.20709989023999,10,21
22,0.2,-31.57251796277763,298762.8144930689,10,0.0,-119836.71,95500.36912406114,95500.36912406114,37617.12,188000,0.0,7.622546,298762.8144930689,-31.57251796277763,-48.289623,10888680.0,63678.85828689309,63678.85828689309,0.2,63678.85828689309,63678.85828689309,10,22
23,0.2,-53.557529705377256,299167.18438588496,10,0.0,-4086.3884,107375.49050971995,107375.49050971995,41807.184,194000,0.0,7.6403856,299167.18438588496,-53.557529705377256,42.029118,2093795.4,82200.95666474389,82200.95666474389,0.2,82200.95666474389,82200.95666474389,10,23
24,0.0,-87.54959123505787,-18.915249561073484,10,0.0,-4217.9985,18.8548756095444,18.8548756095444,34368.406,200000,0.0,6.8375254,-18.915249561073484,-87.54959123505787,34.92412,2049637.9,-70.38059240782971,-70.38059240782971,0.0,-70.38059240782971,-70.38059240782971,10,24
25,0.0,-98.08643526634924,-19.49102355006812,10,0.0,-4153.2,25.182598023629673,25.182598023629673,30161.045,206000,0.0,6.1066446,-19.49102355006812,-98.08643526634924,28.000145,1920998.6,-69.39452435578173,-69.39452435578173,0.0,-69.39452435578173,-69.39452435578173,10,25
26,0.0,-81.95000190605158,-63.408693455978735,10,0.0,-4115.164,5.2828474773080645,5.2828474773080645,21462.635,212000,0.0,5.472005,-63.408693455978735,-81.95000190605158,22.151695,1820124.6,-72.29929386681184,-72.29929386681184,0.0,-72.29929386681184,-72.29929386681184,10,26
27,0.0,-90.34046287484367,-66.32478785927682,10,0.0,-4462.773,9.08988193761146,9.08988193761146,21519.43,218000,0.0,4.893456,-66.32478785927682,-90.34046287484367,17.547955,1750588.9,-72.57199840541557,-72.57199840541558,0.0,-72.57199840541558,-72.57199840541557,10,27
28,0.0,-69.51443979192166,-60.41253714919972,10,0.0,-16141.069,2.4431327318238028,2.4431327318238028,100639.734,224000,0.0,4.3905067,-60.41253714919972,-69.51443979192166,14.797941,2325444.8,-63.61440220116816,-63.61440220116815,0.0,-63.61440220116815,-63.61440220116816,10,28
29,0.0,-90.18267086130278,-76.86144892750637,10,0.0,-9355.556,4.362691639953803,4.362691639953803,70864.25,230000,0.0,3.8963451,-76.86144892750637,-90.18267086130278,12.350229,1685637.1,-82.90290810571148,-82.90290810571148,0.0,-82.90290810571148,-82.90290810571148,10,29
30,0.0,-92.04764188035814,-79.79169513523246,10,0.0,-6883.899,3.622899395829637,3.622899395829637,46880.68,236000,0.0,3.482959,-79.79169513523246,-92.04764188035814,9.854429,1651053.6,-85.52873260685348,-85.52873260685348,0.0,-85.52873260685348,-85.52873260685348,10,30
31,0.0,-101.27276777244927,-70.77043169420506,10,0.0,-6120.855,9.843767954776371,9.843767954776371,35031.58,242000,0.0,3.1210089,-70.77043169420506,-101.27276777244927,6.830926,1594346.1,-90.70031740901308,-90.70031740901308,0.0,-90.70031740901308,-90.70031740901308,10,31
32,0.0,-87.97891015366793,-69.25214061760143,10,0.0,-6002.3237,5.214848758422088,5.214848758422088,28915.072,248000,0.0,2.8844879,-69.25214061760143,-87.97891015366793,3.6449356,1457622.4,-80.0230803700867,-80.0230803700867,0.0,-80.0230803700867,-80.0230803700867,10,32
33,0.0,-111.55182586866094,-82.77096461540565,10,0.0,-8661.684,9.554744288216334,9.554744288216334,32765.01,254000,0.0,2.6251104,-82.77096461540565,-111.55182586866094,4.3417706,1472081.6,-98.87240932406743,-98.87240932406743,0.0,-98.87240932406743,-98.87240932406743,10,33
34,0.0,-91.08268756574638,-67.84335112824579,10,0.0,-7822.148,6.801450202024946,6.801450202024946,40224.168,260000,0.0,2.357396,-67.84335112824579,-91.08268756574638,3.8325486,1415639.9,-78.952579178957,-78.952579178957,0.0,-78.952579178957,-78.952579178957,10,34
35,0.0,-107.75352557879827,-90.00873225666757,10,0.0,-7942.181,5.374720243264542,5.374720243264542,31876.686,266000,0.0,2.1376512,-90.00873225666757,-107.75352557879827,3.168662,1396750.0,-96.18727990146189,-96.1872799014619,0.0,-96.1872799014619,-96.18727990146189,10,35
36,0.0,-131.2497655767987,-88.77324038994436,10,0.0,-6461.717,12.715931568809014,12.715931568809014,22489.43,272000,0.0,1.9276302,-88.77324038994436,-131.2497655767987,1.8185493,1337761.0,-115.08042347526165,-115.08042347526161,0.0,-115.08042347526161,-115.08042347526165,10,36
37,0.0,-96.25060586224535,-22.55163107332921,10,0.0,-15402.685,22.640110499030698,22.640110499030698,50811.934,278000,0.0,1.8529211,-22.55163107332921,-96.25060586224535,0.7680662,2168596.5,-65.85007406410763,-65.85007406410763,0.0,-65.85007406410763,-65.85007406410763,10,37
38,0.0,-127.14772842762169,-70.97013928270951,10,0.0,-12829.406,18.14689886810191,18.14689886810191,32857.26,284000,0.0,1.7268255,-70.97013928270951,-127.14772842762169,1.5264324,1279494.9,-97.67859100690342,-97.67859100690343,0.0,-97.67859100690343,-97.67859100690342,10,38
39,0.0,-131.54067305436067,-65.9793292838962,10,0.0,-11046.99,18.61494658761267,18.61494658761267,24572.857,290000,0.0,1.6351072,-65.9793292838962,-131.54067305436067,0.22077718,1238300.4,-121.03031548151493,-121.03031548151493,0.0,-121.03031548151493,-121.03031548151493,10,39
40,0.0,-130.55342101963285,-120.79424200115271,10,0.0,-11640.915,3.1692449730212955,3.1692449730212955,22165.684,296000,0.0,1.6595225,-120.79424200115271,-130.55342101963285,-0.7811606,1215612.5,-125.84107879125997,-125.8410787912599,0.0,-125.8410787912599,-125.84107879125997,10,40
41,0.0,-116.84456778316492,-65.56837686570991,10,0.0,-11211.371,14.44777492512722,14.44777492512722,24045.895,302000,0.0,1.7597785,-65.56837686570991,-116.84456778316492,-0.041588347,1208117.1,-107.53551684613149,-107.53551684613149,0.0,-107.53551684613149,-107.53551684613149,10,41
42,0.0,-88.29211525254227,-68.9445895005319,10,0.0,-7779.995,4.766466401264677,4.766466401264677,29586.064,308000,0.0,1.7094603,-68.9445895005319,-88.29211525254227,1.0116619,1123690.8,-78.90251825857187,-78.90251825857186,0.0,-78.90251825857186,-78.90251825857187,10,42
43,0.0,-127.36652800290152,-95.71807294210659,10,0.0,-4946.4844,10.752928257669655,10.752928257669655,21723.793,314000,0.0,1.562613,-95.71807294210659,-127.36652800290152,0.4298319,1117555.9,-116.40149798284533,-116.40149798284531,0.0,-116.40149798284531,-116.40149798284533,10,43
44,0.0,-121.48394198742925,-92.66109136614038,10,0.0,-4727.0815,7.85577341941378,7.85577341941378,19853.084,320000,0.0,1.5619316,-92.66109136614038,-121.48394198742925,-0.45661715,1110454.4,-114.10010137138775,-114.1001013713878,0.0,-114.1001013713878,-114.10010137138775,10,44
45,0.0,-127.49198125765254,-116.94465151502716,10,0.0,-4988.8804,3.942178485219759,3.942178485219759,21731.771,326000,0.0,1.6161757,-116.94465151502716,-127.49198125765254,0.23648575,1095411.8,-124.32786521003308,-124.32786521003314,0.0,-124.32786521003314,-124.32786521003308,10,45
46,0.0,-121.6189375029259,-85.54796326262229,10,0.0,-6306.975,9.131456067441029,9.131456067441029,26506.04,332000,0.0,1.6736026,-85.54796326262229,-121.6189375029259,-1.8161993,1074431.9,-110.56894871276442,-110.56894871276441,0.0,-110.56894871276441,-110.56894871276442,10,46
47,0.0,-116.30420175957639,-103.48641390299345,10,0.0,-7474.091,4.4298212277109466,4.4298212277109466,18418.54,338000,0.0,1.8403481,-103.48641390299345,-116.30420175957639,-0.8567893,1042443.0,-109.32921979394317,-109.32921979394317,0.0,-109.32921979394317,-109.32921979394317,10,47
48,0.0,-124.68984429520984,-108.38848936688264,10,0.0,-10763.096,5.040581634319498,5.040581634319498,22898.768,344000,0.0,2.0041933,-108.38848936688264,-124.68984429520984,-1.4647683,1091121.4,-118.36776791141877,-118.36776791141874,0.0,-118.36776791141874,-118.36776791141877,10,48
49,0.0,-109.84825774134929,-61.24856678559089,10,0.0,-11778.077,14.686401111423384,14.686401111423384,29002.613,350000,0.0,2.0846822,-61.24856678559089,-109.84825774134929,-0.08819751,1072312.2,-85.27486546323016,-85.27486546323019,0.0,-85.27486546323019,-85.27486546323016,10,49
50,0.0,-121.4885640614631,-63.31371877157269,10,0.0,-8624.255,17.57270514323647,17.57270514323647,17636.588,356000,0.0,2.1724756,-63.31371877157269,-121.4885640614631,-1.0839295,1012695.5,-109.28034246625892,-109.28034246625889,0.0,-109.28034246625889,-109.28034246625892,10,50
51,0.0,-126.9133897062838,-66.77390219308177,10,0.0,-6227.829,18.900035390663877,18.900035390663877,12482.61,362000,0.0,2.176354,-66.77390219308177,-126.9133897062838,0.4648692,985523.0,-101.05639564773685,-101.05639564773685,0.0,-101.05639564773685,-101.05639564773685,10,51
52,0.0,-104.19342436443692,-49.03685157246061,10,0.0,-5657.6313,13.743680075020489,13.743680075020489,9713.567,368000,0.0,2.1630828,-49.03685157246061,-104.19342436443692,-0.07188217,987601.44,-84.34260319235224,-84.34260319235226,0.0,-84.34260319235226,-84.34260319235224,10,52
53,0.0,-120.2040824459288,110685.47559156397,10,0.0,-6019.937,33227.066903769795,33227.066903769795,6422.429,374000,0.0,2.1570992,110685.47559156397,-120.2040824459288,0.37558788,972596.1,11004.338829468226,11004.338829468215,0.0,11004.338829468215,11004.338829468226,10,53
54,0.0,-115.06892258187614,-53.32757814497896,10,0.0,-6854.1445,17.74607498878044,17.74607498878044,5578.53,380000,0.0,2.1782253,-53.32757814497896,-115.06892258187614,-0.80484545,929649.94,-88.01719125463627,-88.01719125463626,0.0,-88.01719125463626,-88.01719125463627,10,54
55,0.0,-118.51376928647814,-84.27019637375744,10,0.0,-7174.862,13.967779634603403,13.967779634603403,6779.297,386000,0.0,2.3622088,-84.27019637375744,-118.51376928647814,-2.8021443,985267.25,-101.55479240757646,-101.55479240757646,0.0,-101.55479240757646,-101.55479240757646,10,55
56,0.0,-109.87209757649411,-64.00064592080281,10,0.0,-7610.604,13.97577760899268,13.97577760899268,8018.8174,392000,0.0,2.4974267,-64.00064592080281,-109.87209757649411,-0.09251663,902175.25,-88.5272645015594,-88.52726450155939,0.0,-88.52726450155939,-88.5272645015594,10,56
57,0.0,-129.7237053610085,-71.79759976839732,10,0.0,-7048.514,18.84154466530016,18.84154466530016,6163.015,398000,0.0,2.5193589,-71.79759976839732,-129.7237053610085,0.22966363,870244.5,-103.45078472099298,-103.45078472099297,0.0,-103.45078472099297,-103.45078472099298,10,57
58,0.1,-129.0338606696269,850.6333644936273,10,0.0,-9163.97,365.977720519967,365.977720519967,12549.433,404000,0.0,2.5953221,850.6333644936273,-129.0338606696269,-2.0239065,902837.06,118.34781793817756,118.34781793817766,0.1,118.34781793817766,118.34781793817756,10,58
59,0.0,-114.7277560305651,-51.52091891862652,10,0.0,-4273.543,20.052841301218187,20.052841301218187,12897.512,410000,0.0,2.672524,-51.52091891862652,-114.7277560305651,0.8730053,838961.9,-84.42388651782409,-84.42388651782409,0.0,-84.42388651782409,-84.42388651782409,10,59
60,0.0,-88.62155575978338,-76.93633099420539,10,0.0,-2107.5564,4.019585609298086,4.019585609298086,37161.133,416000,0.0,2.5839746,-76.93633099420539,-88.62155575978338,1.4433427,864880.5,-83.10531920501947,-83.1053192050195,0.0,-83.1053192050195,-83.10531920501947,10,60
61,0.0,-112.59643953172537,-94.28326795191114,10,0.0,359.32373,5.703597255320619,5.703597255320619,37580.426,422000,0.0,2.3371131,-94.28326795191114,-112.59643953172537,3.0821064,866008.7,-103.60696736441741,-103.60696736441741,0.0,-103.60696736441741,-103.60696736441741,10,61
62,0.0,-118.18362580619083,-39.636813458368245,10,0.0,-3209.547,23.42738075435113,23.42738075435113,25061.312,428000,0.0,2.2546332,-39.636813458368245,-118.18362580619083,-0.9760877,796521.06,-86.43868112261828,-86.4386811226183,0.0,-86.4386811226183,-86.43868112261828,10,62
63,0.0,-114.72239190208603,-69.92766386661063,10,0.0,-4525.179,16.641838334079836,16.641838334079836,26095.852,434000,0.0,2.44002,-69.92766386661063,-114.72239190208603,-0.91907054,861276.06,-93.21391667426506,-93.21391667426505,0.0,-93.21391667426505,-93.21391667426506,10,63
64,0.0,-122.6062189420378,-50.492452483184806,10,0.0,-5199.281,20.47633230257225,20.47633230257225,48832.742,440000,0.0,2.3823307,-50.492452483184806,-122.6062189420378,-1.0523947,909722.1,-111.22365596079123,-111.22365596079123,0.0,-111.22365596079123,-111.22365596079123,10,64
65,0.0,-106.38722282304708,-53.9360544469224,10,0.0,-8417.878,16.234022105998577,16.234022105998577,17498.26,446000,0.0,2.6734123,-53.9360544469224,-106.38722282304708,-7.2761273,888594.7,-77.6893411902132,-77.68934119021318,0.0,-77.68934119021318,-77.6893411902132,10,65
66,0.0,-124.08249782351298,-51.117494155892075,10,0.0,-4051.006,20.420144413465497,20.420144413465497,20338.408,452000,0.0,2.9982057,-51.117494155892075,-124.08249782351298,-6.195877,799691.3,-88.68659486698897,-88.68659486698897,0.0,-88.68659486698897,-88.68659486698897,10,66
67,0.0,-100.89113966040503,-43.85262558663557,10,0.0,-3518.507,15.423885876478822,15.423885876478822,12452.566,458000,0.0,3.3272514,-43.85262558663557,-100.89113966040503,-2.5437589,817986.7,-79.54574345422881,-79.54574345422881,0.0,-79.54574345422881,-79.54574345422881,10,67
68,0.0,-111.95971457504186,-49.397147673536416,10,0.0,-4071.9666,18.883438365409575,18.883438365409575,11646.788,464000,0.0,3.4509428,-49.397147673536416,-111.95971457504186,-0.16913113,796230.94,-85.26437367067813,-85.26437367067813,0.0,-85.26437367067813,-85.26437367067813,10,68
69,0.0,-100.18444700475813,-35.12931183129638,10,0.0,-4540.56,19.321970980472553,19.321970980472553,13803.794,470000,0.0,3.4200869,-35.12931183129638,-100.18444700475813,-0.7404973,789352.8,-72.95028117829766,-72.95028117829767,0.0,-72.95028117829767,-72.95028117829766,10,69
70,0.1,-128.53431543537832,114388.87633945748,10,0.0,-13498.63,34340.52000359228,34340.52000359228,13039.53,476000,0.0,3.7490015,114388.87633945748,-128.53431543537832,-7.851058,912571.6,11367.356148222872,11367.356148222862,0.1,11367.356148222862,11367.356148222872,10,70
71,0.0,-117.94292232839071,2526.399915762555,10,0.0,-17507.059,784.0564169781081,784.0564169781081,6154.1055,482000,0.0,4.552792,2526.399915762555,-117.94292232839071,-12.198851,845661.44,174.86664002571806,174.86664002571794,0.0,174.86664002571794,174.86664002571806,10,71
72,0.0,-119.56973310255853,-47.60590590860701,10,0.0,-16544.984,23.325367776088182,23.325367776088182,5975.063,488000,0.0,5.255668,-47.60590590860701,-119.56973310255853,-7.3918986,833856.7,-84.03890949332414,-84.03890949332417,0.0,-84.03890949332417,-84.03890949332414,10,72
73,0.0,-137.18087498757544,-20.130866005406673,10,0.0,-12670.738,40.54421566142145,40.54421566142145,6114.264,494000,0.0,5.552795,-20.130866005406673,-137.18087498757544,1.7063135,787622.4,-65.93287463947482,-65.93287463947482,0.0,-65.93287463947482,-65.93287463947482,10,73
74,0.0,-111.91220895856416,-30.409780324462325,10,0.0,-12704.317,24.060951609170907,24.060951609170907,8285.437,500000,0.0,5.281393,-30.409780324462325,-111.91220895856416,1.920448,803973.75,-89.91783365035974,-89.91783365035975,0.0,-89.91783365035975,-89.91783365035974,10,74
75,0.1,-115.91134975717056,117649.3505554819,10,0.0,-12164.923,35233.837265476875,35233.837265476875,12511.396,506000,0.0,4.97382,117649.3505554819,-115.91134975717056,0.13897143,789220.44,14569.981213528046,14569.981213528055,0.1,14569.981213528055,14569.981213528046,10,75
76,0.0,-115.95255530295232,-15.415193079275609,10,0.0,-21187.967,37.71629761732189,37.71629761732189,13215.437,512000,0.0,5.395792,-15.415193079275609,-115.95255530295232,-4.778234,841225.9,-68.6007385121053,-68.60073851210528,0.0,-68.60073851210528,-68.6007385121053,10,76
77,0.0,-116.206098635071,-24.798115694389633,10,0.0,-8326.046,30.544217212299547,30.544217212299547,10510.638,518000,0.0,5.5803876,-24.798115694389633,-116.206098635071,3.154643,727077.75,-78.28231977351325,-78.28231977351325,0.0,-78.28231977351325,-78.28231977351325,10,77
78,0.0,-128.3126042273086,-55.90532824878208,10,0.0,-6239.634,22.916168177562135,22.916168177562135,18098.852,524000,0.0,4.981351,-55.90532824878208,-128.3126042273086,4.296954,790804.4,-111.7336382560213,-111.7336382560213,0.0,-111.7336382560213,-111.7336382560213,10,78
79,0.1,-130.37473308352097,60245.7450231384,10,0.0,-9084.226,18095.32717170184,18095.32717170184,10419.028,530000,0.0,4.628442,60245.7450231384,-130.37473308352097,0.95661956,767632.5,5959.835698802346,5959.835698802342,0.1,5959.835698802342,5959.835698802346,10,79
80,0.0,-106.67558190712779,6724.204289733806,10,0.0,-9497.836,2037.7764160371007,2037.7764160371007,8679.216,536000,0.0,4.4338055,6724.204289733806,-106.67558190712779,2.0672193,754643.44,611.2648750507291,611.264875050729,0.0,611.264875050729,611.2648750507291,10,80
81,0.0,-125.177482883149,-45.13235572783953,10,0.0,-10666.424,18.522317019405467,18.522317019405467,7212.827,542000,0.0,4.321698,-45.13235572783953,-125.177482883149,-0.17519797,799014.4,-86.1018466484858,-86.10184664848582,0.0,-86.10184664848582,-86.1018466484858,10,81
82,0.0,-117.18587370704283,-51.02811983322877,10,0.0,-5367.725,17.991808545258518,17.991808545258518,22333.336,548000,0.0,4.2836876,-51.02811983322877,-117.18587370704283,2.1547563,784411.75,-91.66038556150492,-91.66038556150492,0.0,-91.66038556150492,-91.66038556150492,10,82
83,0.1,-110.01071416952449,-26.77328866509189,10,0.0,-5273.867,26.326294233620562,26.326294233620562,15436.56,554000,0.0,3.9896636,-26.77328866509189,-110.01071416952449,2.4315553,785455.1,-63.583866072976186,-63.583866072976186,0.1,-63.583866072976186,-63.583866072976186,10,83
84,0.0,-114.38835244615515,-63.87424869727469,10,0.0,-5296.801,14.608258407702062,14.608258407702062,17106.229,560000,0.0,3.5660572,-63.87424869727469,-114.38835244615515,3.8784432,835529.25,-85.74483199317098,-85.74483199317099,0.0,-85.74483199317099,-85.74483199317098,10,84
85,0.0,-108.62296053101335,-80.34988413664199,10,0.0,-4004.689,8.02258034192084,8.02258034192084,21285.633,566000,0.0,3.3368769,-80.34988413664199,-108.62296053101335,0.7388646,772105.25,-96.20229738647912,-96.2022973864791,0.0,-96.2022973864791,-96.20229738647912,10,85
86,0.0,-117.36332715990109,-78.25396264148526,10,0.0,-2329.4226,12.798021618776543,12.798021618776543,15899.895,572000,0.0,3.1262753,-78.25396264148526,-117.36332715990109,5.033407,833297.0,-101.55634841375988,-101.55634841375988,0.0,-101.55634841375988,-101.55634841375988,10,86
87,0.0,-121.68544352645719,-39.950649282700645,10,0.0,424.50824,24.88568907886266,24.88568907886266,16442.941,578000,0.0,2.7230597,-39.950649282700645,-121.68544352645719,5.8271656,682034.44,-94.50416984169071,-94.50416984169075,0.0,-94.50416984169075,-94.50416984169071,10,87
88,0.0,-95.07513924402943,-85.15949195794707,10,0.0,6863.7793,3.0586864635880264,3.0586864635880264,29749.924,584000,0.0,2.311695,-85.15949195794707,-95.07513924402943,6.8177047,663517.56,-90.56311763067254,-90.56311763067254,0.0,-90.56311763067254,-90.56311763067254,10,88
89,0.0,-98.46947442458196,-64.97067314401434,10,0.0,4129.073,12.615180981013653,12.615180981013653,13191.048,590000,0.0,2.0967455,-64.97067314401434,-98.46947442458196,2.7140841,605375.0,-84.10628745749115,-84.10628745749112,0.0,-84.10628745749112,-84.10628745749115,10,89
90,0.0,-120.37670831091222,-73.94055711043458,10,0.0,1628.6782,11.137550838033064,11.137550838033064,25131.271,596000,0.0,1.9910741,-73.94055711043458,-120.37670831091222,0.6632468,699556.5,-94.62110829951101,-94.62110829951105,0.0,-94.62110829951105,-94.62110829951101,10,90
