assembly-v1/StdReturn,Average/Iteration,MetaTest/Average/StdReturn,policy/KL,MetaTest/assembly-v1/SuccessRate,Average/SuccessRate,TotalEnvSteps,assembly-v1/MinReturn,MetaTest/assembly-v1/StdReturn,Average/TerminationRate,MetaTest/Average/NumEpisodes,assembly-v1/NumEpisodes,assembly-v1/TerminationRate,MetaTest/Average/AverageReturn,assembly-v1/AverageDiscountedReturn,Average/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/assembly-v1/NumEpisodes,assembly-v1/Iteration,policy/KLBefore,MetaTest/Average/Iteration,Average/NumEpisodes,Average/AverageDiscountedReturn,MetaTest/assembly-v1/MinReturn,assembly-v1/AverageReturn,LinearFeatureBaseline/ExplainedVariance,assembly-v1/SuccessRate,Average/StdReturn,assembly-v1/MaxReturn,Average/AverageReturn,MetaTest/assembly-v1/AverageReturn,MetaTest/assembly-v1/Iteration,MetaTest/assembly-v1/AverageDiscountedReturn,policy/LossAfter,MetaTest/Average/SuccessRate,policy/LossBefore,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,Average/MinReturn,MetaTest/assembly-v1/TerminationRate,MetaTest/Average/MinReturn,policy/dLoss,policy/Entropy,MetaTest/assembly-v1/MaxReturn
8.888907152058612,0,6.056606389703784,0.005137501,0.0,0.0,20000,-62.65832030083767,6.056606389703784,0.0,10,100,0.0,-40.01013297089856,-14.798601729764341,-25.245827175642848,-30.010572023667848,10,0,0.0,0,100,-14.798601729764341,-49.40044851260056,-42.02478024788901,0.3133511280924779,0.0,8.888907152058612,-25.245827175642848,-42.02478024788901,-40.01013297089856,0,-40.010132970898546,-0.026614856,0.0,-0.013595576,0.0,-40.010132970898546,-62.65832030083767,0.0,-49.40044851260056,0.01301928,5.6675496,-30.010572023667848
8.000546921707748,1,,0.01323831,,0.0,40000,-64.82695924065474,,0.0,,100,0.0,,-12.526376380583729,-22.088307321088315,,,1,0.0,,100,-12.526376380583729,,-34.141278914065836,0.2838746935715277,0.0,8.000546921707748,-22.088307321088315,-34.141278914065836,,,,-0.019346874,,-0.0066837585,,,-64.82695924065474,,,0.012663116,5.674601,
6.945723582640164,2,,0.0070763216,,0.0,60000,-49.286719829978196,,0.0,,100,0.0,,-12.427100215832816,-21.530873404322364,,,2,0.0,,100,-12.427100215832816,,-32.566615887230384,0.23878619856760863,0.0,6.945723582640164,-21.530873404322364,-32.566615887230384,,,,-0.009565408,,-0.004615773,,,-49.286719829978196,,,0.0049496354,5.675883,
8.480901998761938,3,,0.00901014,,0.0,80000,-52.82765210313003,,0.0,,100,0.0,,-11.55949967203405,14.78240243807574,,,3,0.0,,100,-11.55949967203405,,-29.195620368319574,0.2589402606609652,0.0,8.480901998761938,14.78240243807574,-29.195620368319574,,,,-0.004555292,,-0.0038990662,,,-52.82765210313003,,,0.0006562257,5.6580863,
7.081710698036432,4,,0.013421735,,0.0,100000,-49.156970014172465,,0.0,,100,0.0,,-11.672518983706125,-18.401301309502195,,,4,0.0,,100,-11.672518983706125,,-29.89187092409044,0.27033127870462514,0.0,7.081710698036432,-18.401301309502195,-29.89187092409044,,,,-0.003684523,,0.00046441954,,,-49.156970014172465,,,0.0041489424,5.6450906,
6.2736905616853,5,,0.0130492,,0.0,120000,-51.89528206719451,,0.0,,100,0.0,,-11.627013516491674,-18.537149224269704,,,5,0.0,,100,-11.627013516491674,,-30.159456799339946,0.3350114794105187,0.0,6.2736905616853,-18.537149224269704,-30.159456799339946,,,,-0.006129082,,-0.00088583224,,,-51.89528206719451,,,0.0052432497,5.6376653,
6.090187953114676,6,,0.00961079,,0.0,140000,-47.508194184094,,0.0,,100,0.0,,-11.421407622444525,-19.610702886813755,,,6,0.0,,100,-11.421407622444525,,-29.22656428292011,0.2686544339893271,0.0,6.090187953114676,-19.610702886813755,-29.22656428292011,,,,-0.0067885406,,-0.0039670747,,,-47.508194184094,,,0.002821466,5.628431,
5.151140674600167,7,,0.005132521,,0.0,160000,-44.00566008537537,,0.0,,100,0.0,,-10.748290991647668,-16.205625321823497,,,7,0.0,,100,-10.748290991647668,,-26.949221946430338,0.23297775031637125,0.0,5.151140674600167,-16.205625321823497,-26.949221946430338,,,,-7.1487425e-06,,-0.0037817017,,,-44.00566008537537,,,-0.0037745528,5.60849,
4.818511541107237,8,,0.012476724,,0.0,180000,-40.43592092903649,,0.0,,100,0.0,,-11.013205790225188,-18.07607968593723,,,8,0.0,,100,-11.013205790225188,,-27.578873410032752,0.23690818810548864,0.0,4.818511541107237,-18.07607968593723,-27.578873410032752,,,,-0.009034909,,-0.0069250055,,,-40.43592092903649,,,0.0021099038,5.603859,
10.043070016086888,9,,0.011427437,,0.0,200000,-50.704758501125625,,0.0,,100,0.0,,-11.013956944273437,46.06331232312095,,,9,0.0,,100,-11.013956944273437,,-27.175115552245003,0.21786373770906609,0.0,10.043070016086888,46.06331232312095,-27.175115552245003,,,,-0.0106686475,,-0.0077194246,,,-50.704758501125625,,,0.002949223,5.580091,
5.067220538702203,10,2.830347247586091,0.0046355897,0.0,0.0,220000,-45.70795704475332,2.830347247586091,0.0,10,100,0.0,-23.866703854013405,-10.395845181626788,-16.578417883156717,-18.794042828537457,10,10,0.0,1,100,-10.395845181626788,-28.034973541890977,-25.325455063493607,0.3061314143257552,0.0,5.067220538702203,-16.578417883156717,-25.325455063493607,-23.866703854013405,1,-23.866703854013412,0.0053965403,0.0,-0.00084585726,0.0,-23.866703854013412,-45.70795704475332,0.0,-28.034973541890977,-0.0062423977,5.549024,-18.794042828537457
