MetaTest/Average/SuccessRate,drawer-close-v1/StdReturn,GaussianMLPPolicy/dLoss,Average/SuccessRate,GaussianMLPPolicy/LossAfter,Average/MinReturn,MetaTest/drawer-close-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/drawer-close-v1/MinReturn,GaussianMLPPolicy/KLAfter,MetaTest/drawer-close-v1/MaxReturn,drawer-close-v1/NumEpisodes,Average/MaxReturn,Average/StdReturn,MetaTest/drawer-close-v1/AverageReturn,MetaTest/Average/NumEpisodes,Average/Iteration,drawer-close-v1/MinReturn,MetaTest/Average/MaxReturn,drawer-close-v1/Iteration,TotalEnvSteps,drawer-close-v1/AverageReturn,Average/NumEpisodes,MetaTest/Average/StdReturn,drawer-close-v1/AverageDiscountedReturn,drawer-close-v1/MaxReturn,MetaTest/drawer-close-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/drawer-close-v1/AverageDiscountedReturn,Average/AverageReturn,drawer-close-v1/SuccessRate,MetaTest/drawer-close-v1/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/Average/AverageReturn,MetaTest/drawer-close-v1/NumEpisodes,drawer-close-v1/TerminationRate,Average/TerminationRate,GaussianMLPPolicy/LossBefore,Average/AverageDiscountedReturn,MetaTest/drawer-close-v1/StdReturn,MetaTest/Average/Iteration,Iteration,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLBefore
0.0,1293.800282359179,0.0013258469989523292,0.0,-0.002750486135482788,-24.172953402662426,10,0.0,-18.897337958671965,0.007619775831699371,-18.897337958671965,200,15270.10749819983,1293.800282359179,-18.897337958671965,1,10,-24.172953402662426,-18.897337958671965,10,880000,184.5883405136671,200,0.0,61.41404387469247,15270.10749819983,0.0,-18.897337958671955,-18.897337958671955,184.5883405136671,0.0,0.0,5.779312610626221,-18.897337958671965,1,0.0,0.0,-0.001424639136530459,61.41404387469247,0.0,10,10,-18.897337958671965,0.0
0.0,2017.468171501062,0.0015927727799862623,0.025,-0.005401152651757002,-28.933915755440935,11,0.0,-13.122074413896197,0.007562958635389805,-13.122074413896197,200,24508.819389601253,2017.468171501062,-13.122074413896197,1,11,-28.933915755440935,-13.122074413896197,11,960000,299.2916927807872,200,0.0,73.09499403300411,24508.819389601253,0.0,-13.122074413896197,-13.122074413896197,299.2916927807872,0.025,0.0,5.742228031158447,-13.122074413896197,1,0.0,0.0,-0.0038083798717707396,73.09499403300411,0.0,11,11,-13.122074413896197,0.0
0.0,2462.580376339004,0.0011279822792857885,0.03,-0.0029337527230381966,-20.652543970700727,12,0.0,-12.916875186302011,0.00674533611163497,-12.916875186302011,200,30560.594166283627,2462.580376339004,-12.916875186302011,1,12,-20.652543970700727,-12.916875186302011,12,1040000,429.4637440507018,200,0.0,128.07088772532867,30560.594166283627,0.0,-12.916875186302011,-12.916875186302011,429.4637440507018,0.03,0.0,5.7157440185546875,-12.916875186302011,1,0.0,0.0,-0.001805770443752408,128.07088772532867,0.0,12,12,-12.916875186302011,0.0
0.0,965.1957057006023,0.0007878154283389449,0.02,-0.0025845931377261877,-21.781878813859795,13,0.0,-17.430711627600854,0.007103377487510443,-17.430711627600854,200,10128.935683893353,965.1957057006023,-17.430711627600854,1,13,-21.781878813859795,-17.430711627600854,13,1120000,230.63172719939018,200,0.0,75.85980344422654,10128.935683893353,0.0,-17.43071162760085,-17.43071162760085,230.63172719939018,0.02,0.0,5.685974597930908,-17.430711627600854,1,0.0,0.0,-0.0017967777093872428,75.85980344422654,0.0,13,13,-17.430711627600854,0.0
0.0,1388.821836600676,0.001226551248691976,0.02,-0.0006823575240559876,-21.546702691546056,14,0.0,-11.995301117919727,0.009252047166228294,-11.995301117919727,200,17238.062330989378,1388.821836600676,-11.995301117919727,1,14,-21.546702691546056,-11.995301117919727,14,1200000,219.33241996877064,200,0.0,54.69895870903529,17238.062330989378,0.0,-11.995301117919727,-11.995301117919727,219.33241996877064,0.02,0.0,5.692537784576416,-11.995301117919727,1,0.0,0.0,0.0005441937246359885,54.69895870903529,0.0,14,14,-11.995301117919727,0.0
0.0,11003.905193042321,0.0008176958654075861,0.055,-0.0017557780956849456,-24.722971739891594,15,0.0,-12.500954092682786,0.006670003291219473,-12.500954092682786,200,141438.76719515194,11003.905193042321,-12.500954092682786,1,15,-24.722971739891594,-12.500954092682786,15,1280000,1398.038439140342,200,0.0,350.6597058144565,141438.76719515194,0.0,-12.50095409268278,-12.50095409268278,1398.038439140342,0.055,0.0,5.675756931304932,-12.500954092682786,1,0.0,0.0,-0.0009380822302773595,350.6597058144565,0.0,15,15,-12.500954092682786,0.0
0.0,2969.118159813223,0.0008229381637647748,0.055,-0.0014829852152615786,-21.787005218489213,16,0.0,-12.848317953955572,0.006461688317358494,-12.848317953955572,200,40435.235047374415,2969.118159813223,-12.848317953955572,1,16,-21.787005218489213,-12.848317953955572,16,1360000,453.5364409363161,200,0.0,114.58642890031857,40435.235047374415,0.0,-12.848317953955583,-12.848317953955583,453.5364409363161,0.055,0.0,5.665046691894531,-12.848317953955572,1,0.0,0.0,-0.0006600470514968038,114.58642890031857,0.0,16,16,-12.848317953955572,0.0
0.0,5212.6952202844195,0.000929620908209472,0.04,-1.7054355339496396e-05,-21.47984746270777,17,0.0,-15.291712857063764,0.007829828187823296,-15.291712857063764,200,72887.04016346866,5212.6952202844195,-15.291712857063764,1,17,-21.47984746270777,-15.291712857063764,17,1440000,582.2931811880513,200,0.0,130.63053662460027,72887.04016346866,0.0,-15.291712857063764,-15.291712857063764,582.2931811880513,0.04,0.0,5.68533182144165,-15.291712857063764,1,0.0,0.0,0.0009125665528699756,130.63053662460027,0.0,17,17,-15.291712857063764,0.0
0.0,2000.4979158487258,0.0015351670735981315,0.04,0.00041785361827351153,-20.071840461433645,18,0.0,-13.108033064584214,0.007020780351012945,-13.108033064584214,200,25307.090906149828,2000.4979158487258,-13.108033064584214,1,18,-20.071840461433645,-13.108033064584214,18,1520000,301.35296863100274,200,0.0,94.82055388783576,25307.090906149828,0.0,-13.108033064584205,-13.108033064584205,301.35296863100274,0.04,0.0,5.704297065734863,-13.108033064584214,1,0.0,0.0,0.001953020691871643,94.82055388783576,0.0,18,18,-13.108033064584214,0.0
0.0,5989.772432125858,0.001479634713177802,0.045,5.522633364307694e-05,-23.307044828525736,19,0.0,-13.136249447295128,0.0069500901736319065,-13.136249447295128,200,80841.62624767298,5989.772432125858,-13.136249447295128,1,19,-23.307044828525736,-13.136249447295128,19,1600000,637.7238709490767,200,0.0,142.43121463543457,80841.62624767298,0.0,-13.136249447295135,-13.136249447295135,637.7238709490767,0.045,0.0,5.7222723960876465,-13.136249447295128,1,0.0,0.0,0.001534861046820879,142.43121463543457,0.0,19,19,-13.136249447295128,0.0
0.0,8028.8824119671335,0.0008830528240650892,0.06,-0.004333483055233955,-19.627544817005134,20,0.0,-12.69523260263083,0.006398768629878759,-12.69523260263083,200,96147.46864928653,8028.8824119671335,-12.69523260263083,1,20,-19.627544817005134,-12.69523260263083,20,1680000,1368.6144463182636,200,0.0,370.40063677939514,96147.46864928653,0.0,-12.695232602630824,-12.695232602630824,1368.6144463182636,0.06,0.0,5.65007209777832,-12.69523260263083,1,0.0,0.0,-0.003450430231168866,370.40063677939514,0.0,20,20,-12.69523260263083,0.0
0.0,18644.335206621487,0.0009995941509259865,0.085,0.0001877222239272669,-25.15669257800151,21,0.0,-14.354107200231516,0.007171100936830044,-14.354107200231516,200,152112.1030485738,18644.335206621487,-14.354107200231516,1,21,-25.15669257800151,-14.354107200231516,21,1760000,3758.614953290741,200,0.0,892.4502987751417,152112.1030485738,0.0,-14.354107200231521,-14.354107200231521,3758.614953290741,0.085,0.0,5.669158935546875,-14.354107200231516,1,0.0,0.0,0.0011873163748532534,892.4502987751417,0.0,21,21,-14.354107200231516,0.0
0.0,14345.798789862438,0.000911197013920173,0.155,0.00041206125752069056,-18.568482690954454,22,0.0,-12.327452496303543,0.008968600071966648,-12.327452496303543,200,131018.26212358472,14345.798789862438,-12.327452496303543,1,22,-18.568482690954454,-12.327452496303543,22,1840000,3269.4739249750414,200,0.0,798.353791644447,131018.26212358472,0.0,-12.327452496303549,-12.327452496303549,3269.4739249750414,0.155,0.0,5.700665473937988,-12.327452496303543,1,0.0,0.0,0.0013232582714408636,798.353791644447,0.0,22,22,-12.327452496303543,0.0
0.0,12376.991132025316,0.00034856010461226106,0.235,-0.0005774065502919257,-25.125121388128854,23,0.0,-14.824190034579125,0.0067302873358130455,-14.824190034579125,200,106102.99304733949,12376.991132025316,-14.824190034579125,1,23,-25.125121388128854,-14.824190034579125,23,1920000,3225.3191294752787,200,0.0,865.5106926901088,106102.99304733949,0.0,-14.824190034579132,-14.824190034579132,3225.3191294752787,0.235,0.0,5.690607070922852,-14.824190034579125,1,0.0,0.0,-0.0002288464456796646,865.5106926901088,0.0,23,23,-14.824190034579125,0.0
0.0,16414.142955206808,1.8199273199570598e-05,0.24,-2.548704833316151e-05,-27.47696820035115,24,0.0,1462.1800790131865,0.007381316274404526,1462.1800790131865,200,137064.4516063647,16414.142955206808,1462.1800790131865,1,24,-27.47696820035115,1462.1800790131865,24,2000000,4214.699685197276,200,0.0,1130.8874137538908,137064.4516063647,0.0,1462.180079013187,1462.180079013187,4214.699685197276,0.24,0.0,5.68540096282959,1462.1800790131865,1,0.0,0.0,-7.2877751335909124e-06,1130.8874137538908,0.0,24,24,1462.1800790131865,0.0
0.0,24430.946724911177,5.841820893692784e-08,0.325,5.7369916248717345e-06,-22.942100688591204,25,0.0,9534.725091251275,4.11853616242297e-05,9534.725091251275,200,207823.94741148595,24430.946724911177,9534.725091251275,1,25,-22.942100688591204,9534.725091251275,25,2080000,7045.411830827983,200,0.0,1895.927975270964,207823.94741148595,0.0,9534.725091251274,9534.725091251274,7045.411830827983,0.325,0.0,5.69511604309082,9534.725091251275,1,0.0,0.0,5.795409833808662e-06,1895.927975270964,0.0,25,25,9534.725091251275,0.0
0.0,14294.875323338232,1.0329909855499864e-05,0.355,7.411315164063126e-05,-22.51086472006846,26,0.0,-12.984624508862094,0.005886618979275227,-12.984624508862094,200,114618.19664684605,14294.875323338232,-12.984624508862094,1,26,-22.51086472006846,-12.984624508862094,26,2160000,4318.539814670707,200,0.0,1085.8783213267445,114618.19664684605,0.0,-12.984624508862087,-12.984624508862087,4318.539814670707,0.355,0.0,5.771912097930908,-12.984624508862094,1,0.0,0.0,8.444306149613112e-05,1085.8783213267445,0.0,26,26,-12.984624508862094,0.0
0.0,21271.313117410635,2.975330062326975e-07,0.38,-1.1043596714443993e-05,-27.596502159394166,27,0.0,-14.131583510489135,0.00020771202980540693,-14.131583510489135,200,133958.60414343118,21271.313117410635,-14.131583510489135,1,27,-27.596502159394166,-14.131583510489135,27,2240000,8341.066101771823,200,0.0,2024.3066591687298,133958.60414343118,0.0,-14.131583510489136,-14.131583510489136,8341.066101771823,0.38,0.0,5.7546467781066895,-14.131583510489135,1,0.0,0.0,-1.0746063708211295e-05,2024.3066591687298,0.0,27,27,-14.131583510489135,0.0
1.0,32166.638774012175,8.888055162969977e-07,0.435,6.562376711372053e-06,-24.903346003063184,28,0.0,258.8643745508747,0.0006921221502125263,258.8643745508747,200,206298.4969181953,32166.638774012175,258.8643745508747,1,28,-24.903346003063184,258.8643745508747,28,2320000,13304.32299561178,200,0.0,3162.491615258523,206298.4969181953,0.0,258.8643745508745,258.8643745508745,13304.32299561178,0.435,1.0,5.765411853790283,258.8643745508747,1,0.0,0.0,7.451182227669051e-06,3162.491615258523,0.0,28,28,258.8643745508747,0.0
1.0,26030.978130725092,5.84848748985678e-07,0.355,6.315909558907151e-06,-18.273699718596355,29,0.0,-14.923197574811022,0.0004608003073371947,-14.923197574811022,200,196242.24261112162,26030.978130725092,-14.923197574811022,1,29,-18.273699718596355,-14.923197574811022,29,2400000,9698.130179375823,200,0.0,2477.702700073386,196242.24261112162,0.0,-14.92319757481101,-14.92319757481101,9698.130179375823,0.355,1.0,5.775246620178223,-14.923197574811022,1,0.0,0.0,6.900758307892829e-06,2477.702700073386,0.0,29,29,-14.923197574811022,0.0
0.0,27116.81203128634,2.306658643647097e-06,0.365,-1.8134613128495403e-05,-24.812835867800075,30,0.0,1729.947944674913,0.0015794504433870316,1729.947944674913,200,169017.95198949456,27116.81203128634,1729.947944674913,1,30,-24.812835867800075,1729.947944674913,30,2480000,10463.737963616642,200,0.0,2540.0763130478094,169017.95198949456,0.0,1729.9479446749128,1729.9479446749128,10463.737963616642,0.365,0.0,5.754555702209473,1729.947944674913,1,0.0,0.0,-1.5827954484848306e-05,2540.0763130478094,0.0,30,30,1729.947944674913,0.0
1.0,19476.774392035495,4.6689933697052766e-08,0.36,-1.2897547776447027e-06,-25.573809143987845,31,0.0,281.98529856145734,3.2925043342402205e-05,281.98529856145734,200,142299.37362349092,19476.774392035495,281.98529856145734,1,31,-25.573809143987845,281.98529856145734,31,2560000,8529.070003611194,200,0.0,2245.3261041035917,142299.37362349092,0.0,281.9852985614573,281.9852985614573,8529.070003611194,0.36,1.0,5.754106521606445,281.98529856145734,1,0.0,0.0,-1.24306484394765e-06,2245.3261041035917,0.0,31,31,281.98529856145734,0.0
0.0,18152.214298891246,1.1091856322309468e-07,0.345,3.3958517633436713e-06,-21.945441744410093,32,0.0,-13.303387722912618,7.817475125193596e-05,-13.303387722912618,200,106223.37178442707,18152.214298891246,-13.303387722912618,1,32,-21.945441744410093,-13.303387722912618,32,2640000,8542.308558515788,200,0.0,2190.106032611187,106223.37178442707,0.0,-13.303387722912621,-13.303387722912621,8542.308558515788,0.345,0.0,5.761499881744385,-13.303387722912618,1,0.0,0.0,3.506770326566766e-06,2190.106032611187,0.0,32,32,-13.303387722912618,0.0
1.0,22760.777279409256,7.59764589020051e-08,0.32,-4.581645043799654e-06,-21.731184282572798,33,0.0,66981.4651998052,5.33893980900757e-05,66981.4651998052,200,201828.60268754614,22760.777279409256,66981.4651998052,1,33,-21.731184282572798,66981.4651998052,33,2720000,8793.273017709724,200,0.0,2146.6082808534884,201828.60268754614,0.0,66981.46519980526,66981.46519980526,8793.273017709724,0.32,1.0,5.7547478675842285,66981.4651998052,1,0.0,0.0,-4.5056685848976485e-06,2146.6082808534884,0.0,33,33,66981.4651998052,0.0
0.0,21032.089010522497,3.843524609692395e-08,0.29,4.07838979299413e-06,-21.575710044927135,34,0.0,-13.508500227653583,2.7069410862168297e-05,-13.508500227653583,200,116269.87118928754,21032.089010522497,-13.508500227653583,1,34,-21.575710044927135,-13.508500227653583,34,2800000,8341.89666225873,200,0.0,2023.2635880191424,116269.87118928754,0.0,-13.508500227653583,-13.508500227653583,8341.89666225873,0.29,0.0,5.756331920623779,-13.508500227653583,1,0.0,0.0,4.116825039091054e-06,2023.2635880191424,0.0,34,34,-13.508500227653583,0.0
1.0,25864.616614095725,4.3782347347587347e-07,0.355,1.0511606888030656e-05,-22.976004702607547,35,0.0,1026.4058919658446,0.00034607521956786513,1026.4058919658446,200,188749.54397630156,25864.616614095725,1026.4058919658446,1,35,-22.976004702607547,1026.4058919658446,35,2880000,10385.72432191107,200,0.0,2632.085634001296,188749.54397630156,0.0,1026.405891965845,1026.405891965845,10385.72432191107,0.355,1.0,5.7717061042785645,1026.4058919658446,1,0.0,0.0,1.0949430361506529e-05,2632.085634001296,0.0,35,35,1026.4058919658446,0.0
1.0,27784.52215787047,9.789305295271333e-07,0.36,9.963621323549887e-07,-24.998294508340102,36,0.0,11.97132410191015,0.0007788949878886342,11.97132410191015,200,244804.44514920408,27784.52215787047,11.97132410191015,1,36,-24.998294508340102,11.97132410191015,36,2960000,9630.429126922034,200,0.0,2381.9694377948163,244804.44514920408,0.0,11.971324101910152,11.971324101910152,9630.429126922034,0.36,1.0,5.775169372558594,11.97132410191015,1,0.0,0.0,1.975292661882122e-06,2381.9694377948163,0.0,36,36,11.97132410191015,0.0
0.0,25069.615267954276,1.9248545868322253e-08,0.495,1.996189212150057e-06,-28.104755900950302,37,0.0,-13.164194931007907,1.3578955076809507e-05,-13.164194931007907,200,189152.6522708808,25069.615267954276,-13.164194931007907,1,37,-28.104755900950302,-13.164194931007907,37,3040000,9875.041144366707,200,0.0,2432.3349265420156,189152.6522708808,0.0,-13.16419493100791,-13.16419493100791,9875.041144366707,0.495,0.0,5.775908946990967,-13.164194931007907,1,0.0,0.0,2.015437758018379e-06,2432.3349265420156,0.0,37,37,-13.164194931007907,0.0
0.0,26252.188142034887,1.9179381069989176e-06,0.41,-3.376350377948256e-06,-21.547787874168986,38,0.0,-12.04605031054898,0.0012782467529177666,-12.04605031054898,200,171929.1159313973,26252.188142034887,-12.04605031054898,1,38,-21.547787874168986,-12.04605031054898,38,3120000,9424.778071689005,200,0.0,2321.319351472773,171929.1159313973,0.0,-12.04605031054898,-12.04605031054898,9424.778071689005,0.41,0.0,5.773988246917725,-12.04605031054898,1,0.0,0.0,-1.4584122709493386e-06,2321.319351472773,0.0,38,38,-12.04605031054898,0.0
0.0,34805.24672237994,1.900607458082959e-07,0.45,1.1620895747910254e-06,-26.517627395908345,39,0.0,4658.084160976331,0.00013594591291621327,4658.084160976331,200,225576.41738574678,34805.24672237994,4658.084160976331,1,39,-26.517627395908345,4658.084160976331,39,3200000,12975.575003936397,200,0.0,3125.7681277627266,225576.41738574678,0.0,4658.084160976334,4658.084160976334,12975.575003936397,0.45,0.0,5.772418022155762,4658.084160976331,1,0.0,0.0,1.3521503205993213e-06,3125.7681277627266,0.0,39,39,4658.084160976331,0.0
1.0,34529.55663745847,4.679986886912957e-08,0.435,5.647254511131905e-06,-21.601362554466828,40,0.0,8213.158841786371,3.304468191345222e-05,8213.158841786371,200,207453.24629277768,34529.55663745847,8213.158841786371,1,40,-21.601362554466828,8213.158841786371,40,3280000,12627.038001360224,200,0.0,3216.9189904484892,207453.24629277768,0.0,8213.158841786373,8213.158841786373,12627.038001360224,0.435,1.0,5.781188011169434,8213.158841786371,1,0.0,0.0,5.694054380001035e-06,3216.9189904484892,0.0,40,40,8213.158841786371,0.0
0.0,27561.142163862558,2.6821112442121375e-08,0.385,-5.307483661454171e-07,-22.17410502758226,41,0.0,-13.604224243256096,1.8906481273006648e-05,-13.604224243256096,200,213886.38047709313,27561.142163862558,-13.604224243256096,1,41,-22.17410502758226,-13.604224243256096,41,3360000,11662.050092354673,200,0.0,2894.502279954617,213886.38047709313,0.0,-13.604224243256096,-13.604224243256096,11662.050092354673,0.385,0.0,5.7801899909973145,-13.604224243256096,1,0.0,0.0,-5.039272537032957e-07,2894.502279954617,0.0,41,41,-13.604224243256096,0.0
1.0,27028.07751610739,5.18884917255491e-08,0.405,-3.812177510553738e-06,-25.716846878902665,42,0.0,10899.451593022279,3.6652290873462334e-05,10899.451593022279,200,193755.86026121632,27028.07751610739,10899.451593022279,1,42,-25.716846878902665,10899.451593022279,42,3440000,10347.959470398691,200,0.0,2535.389224588541,193755.86026121632,0.0,10899.451593022279,10899.451593022279,10347.959470398691,0.405,1.0,5.774446964263916,10899.451593022279,1,0.0,0.0,-3.760289018828189e-06,2535.389224588541,0.0,42,42,10899.451593022279,0.0
1.0,30409.878866766485,1.525339676788917e-08,0.45,2.417144706612362e-08,-20.965657653844566,43,0.0,756.9710746620747,1.076282023859676e-05,756.9710746620747,200,168637.2237319524,30409.878866766485,756.9710746620747,1,43,-20.965657653844566,756.9710746620747,43,3520000,14311.307182244493,200,0.0,3382.2035146821554,168637.2237319524,0.0,756.9710746620746,756.9710746620746,14311.307182244493,0.45,1.0,5.774462699890137,756.9710746620747,1,0.0,0.0,3.942484383401279e-08,3382.2035146821554,0.0,43,43,756.9710746620747,0.0
0.0,28166.14677136856,2.0600140260285116e-08,0.385,1.2961316997461836e-07,-21.063571905731024,44,0.0,-13.424976232610476,1.4551808817486744e-05,-13.424976232610476,200,185502.51414298406,28166.14677136856,-13.424976232610476,1,44,-21.063571905731024,-13.424976232610476,44,3600000,10610.605927148825,200,0.0,2619.864322446395,185502.51414298406,0.0,-13.424976232610485,-13.424976232610485,10610.605927148825,0.385,0.0,5.774513244628906,-13.424976232610476,1,0.0,0.0,1.5021331023490347e-07,2619.864322446395,0.0,44,44,-13.424976232610476,0.0
1.0,28431.749623019517,1.135804268415086e-07,0.385,-1.1268019989074674e-05,-20.132169656141546,45,0.0,103947.56142356919,7.988950528670102e-05,103947.56142356919,200,195594.32766700708,28431.749623019517,103947.56142356919,1,45,-20.132169656141546,103947.56142356919,45,3680000,11119.52274134582,200,0.0,2802.403630886217,195594.32766700708,0.0,103947.56142356926,103947.56142356926,11119.52274134582,0.385,1.0,5.758328437805176,103947.56142356919,1,0.0,0.0,-1.1154439562233165e-05,2802.403630886217,0.0,45,45,103947.56142356919,0.0
