MetaTest/dial-turn-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/dial-turn-v1/AverageReturn,MetaTest/dial-turn-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/dial-turn-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/dial-turn-v1/NumTrajs,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/dial-turn-v1/MinReturn,MetaTest/dial-turn-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/dial-turn-v1/StdReturn
0.0,6.730454,3.124976841965163,224000,-19.91961966933939,-19.91961966933939,-15.046595168853797,0,-19.91961966933939,nan,0.0,10,10,1.3966303,-7.3457994,-19.91961966933939,0.0,0.0,-23.82361942104603,8.220432,-23.82361942104603,0,-15.046595168853797,3.124976841965163
0.0,6.719816,3.899527666092893,248000,-14.605992193134082,-14.605992193134082,-10.007469568518564,1,-14.605992193134082,nan,0.0,10,10,3.771955,-14.272013,-14.605992193134082,0.0,0.0,-20.007163097733592,7.9621835,-20.007163097733592,1,-10.007469568518564,3.899527666092893
0.0,6.085929,6.48039795301149,272000,-57.00658822445373,-57.00658822445373,-43.07691923919571,2,-57.00658822445372,nan,0.0,10,10,9099.155,-41.1234,-57.00658822445372,0.0,0.0,-65.69894668268317,8.161139,-65.69894668268317,2,-43.07691923919571,6.48039795301149
0.2,5.239128,13269.446503686258,296000,4410.3711687349,4410.3711687349,44218.70449732075,3,4410.371168734901,nan,0.0,10,10,9344.024,-105.9973,4410.371168734901,0.0,0.2,-33.39595319841401,7.6298127,-33.39595319841401,3,44218.70449732075,13269.446503686258
0.0,-1.7541893,12.544435080417324,320000,-31.620229389742484,-31.620229389742484,-18.486081731895037,4,-31.620229389742484,nan,0.0,10,10,799329.8,-1423.2098,-31.620229389742484,0.0,0.0,-57.959220581873836,7.624632,-57.959220581873836,4,-18.486081731895037,12.544435080417324
0.2,-6.1886725,13.980612044515274,344000,-15.578791399758098,-15.578791399758098,3.959655514820244,5,-15.578791399758092,nan,0.0,10,10,896082.0,-4804.931,-15.578791399758092,0.0,0.2,-52.596487494233386,7.624632,-52.596487494233386,5,3.959655514820244,13.980612044515274
0.1,-9.848327,1646.5810984802747,368000,669.8594134933563,669.8594134933563,5536.415627547122,6,669.8594134933563,nan,0.0,10,10,1695956.0,-11507.305,669.8594134933563,0.0,0.1,-22.148468260145467,7.624632,-22.148468260145467,6,5536.415627547122,1646.5810984802747
0.0,-12.5450325,10.584478239928519,392000,-20.03668858702186,-20.03668858702186,-11.626970788384869,7,-20.036688587021864,nan,0.0,10,10,3241321.5,-22377.2,-20.036688587021864,0.0,0.0,-42.7378045321134,7.624632,-42.7378045321134,7,-11.626970788384869,10.584478239928519
0.1,-13.888377,12.827312393761837,416000,-9.325126339643543,-9.325126339643543,28.311004855430376,8,-9.325126339643543,nan,0.0,10,10,3880854.2,-31479.049,-9.325126339643543,0.0,0.1,-16.635450498032153,7.624632,-16.635450498032153,8,28.311004855430376,12.827312393761837
0.0,-14.8366375,227.3657559598155,440000,56.99443443198194,56.99443443198194,738.4922240055907,9,56.99443443198182,nan,0.0,10,10,6050537.5,-39614.977,56.99443443198182,0.0,0.0,-36.24789114451156,7.624632,-36.24789114451156,9,738.4922240055907,227.3657559598155
0.1,-16.114872,600.8268661966503,464000,185.9255418072009,185.9255418072009,1988.1966328765193,10,185.92554180720106,nan,0.0,10,10,7954613.0,-46434.47,185.92554180720106,0.0,0.1,-33.661748516301685,11.73616,-33.661748516301685,10,1988.1966328765193,600.8268661966503
0.1,-17.523657,14893.021880882932,488000,4923.550970087776,4923.550970087776,49602.54672087714,11,4923.5509700877765,nan,0.0,10,10,10072871.0,-52786.73,4923.5509700877765,0.0,0.1,-92.67655491747864,974.54425,-92.67655491747864,11,49602.54672087714,14893.021880882932
0.0,-20.573252,8.788718810152387,512000,-57.78854502112821,-57.78854502112821,-43.24600319742286,12,-57.78854502112821,nan,0.0,10,10,10641170.0,-49898.062,-57.78854502112821,0.0,0.0,-68.9367332754696,21491.629,-68.9367332754696,12,-43.24600319742286,8.788718810152387
0.2,-19.807497,47885.50269814894,536000,16988.20952022316,16988.20952022316,160383.8433602203,13,16988.20952022317,nan,0.0,10,10,12299346.0,-53312.64,16988.20952022317,0.0,0.2,-25.60581838136728,5299.9976,-25.60581838136728,13,160383.8433602203,47885.50269814894
0.1,-26.906963,79379.6251096035,560000,26435.39891818284,26435.39891818284,264574.27139690524,14,26435.398918182844,nan,0.0,10,10,86378840.0,-98297.68,26435.398918182844,0.0,0.1,-41.32619230076573,21997.146,-41.32619230076573,14,264574.27139690524,79379.6251096035
0.2,-26.615128,74014.29341717057,584000,33487.35467774715,33487.35467774715,240566.1151552531,15,33487.35467774714,nan,0.0,10,10,20557266.0,-105028.84,33487.35467774714,0.0,0.2,-33.329061051981974,2037.3508,-33.329061051981974,15,240566.1151552531,74014.29341717057
0.1,-27.233917,10112.662864069682,608000,3299.550265977573,3299.550265977573,33637.320576871134,16,3299.550265977575,nan,0.0,10,10,52303372.0,-141217.56,3299.550265977575,0.0,0.1,-119.85847430104096,26450.057,-119.85847430104096,16,33637.320576871134,10112.662864069682
0.2,-24.9698,76354.39831331893,632000,26682.387293182343,26682.387293182343,255514.6267138724,17,26682.387293182343,nan,0.0,10,10,21584830.0,-116729.29,26682.387293182343,0.0,0.2,-43.653153042941256,4642.3535,-43.653153042941256,17,255514.6267138724,76354.39831331893
0.2,-23.226679,2263.9280224342447,656000,1086.0891286775295,1086.0891286775295,5628.291690554906,18,1086.0891286775284,nan,0.0,10,10,23050782.0,-113583.97,1086.0891286775284,0.0,0.2,-85.16209635103979,3369.1333,-85.16209635103979,18,5628.291690554906,2263.9280224342447
0.0,-27.48562,30.23443338087576,680000,-60.61838007925301,-60.61838007925301,-22.88889092639083,19,-60.61838007925296,nan,0.0,10,10,69569700.0,-130209.445,-60.61838007925296,0.0,0.0,-109.76030344847608,23421.26,-109.76030344847608,19,-22.88889092639083,30.23443338087576
0.0,-15.306568,4.465943784403928,704000,-16.960973605271665,-16.960973605271665,-10.283246932084758,20,-16.960973605271665,nan,0.0,10,10,18095066.0,-49137.543,-16.960973605271665,0.0,0.0,-24.91825797902806,39696.61,-24.91825797902806,20,-10.283246932084758,4.465943784403928
0.0,-18.255085,29.159401965760754,728000,-36.96080034112596,-36.96080034112596,-5.852278869063562,21,-36.96080034112596,nan,0.0,10,10,21747324.0,-85552.67,-36.96080034112596,0.0,0.0,-101.75812864992463,30151.229,-101.75812864992463,21,-5.852278869063562,29.159401965760754
0.0,-18.072472,71.75722118919442,752000,-6.431176636752491,-6.431176636752491,205.49121682962874,22,-6.431176636752491,nan,0.0,10,10,21628928.0,-91441.336,-6.431176636752491,0.0,0.0,-47.868854154393894,27733.035,-47.868854154393894,22,205.49121682962874,71.75722118919442
0.0,-19.544928,17.344932857988812,776000,-16.505399463465523,-16.505399463465523,-3.665972857095522,23,-16.505399463465523,nan,0.0,10,10,23889926.0,-110806.34,-16.505399463465523,0.0,0.0,-53.95676416049633,16030.273,-53.95676416049633,23,-3.665972857095522,17.344932857988812
0.2,-20.353153,30455.73010863917,800000,12196.02720280847,12196.02720280847,101671.14698096325,24,12196.027202808478,nan,0.0,10,10,23093062.0,-109849.13,12196.027202808478,0.0,0.2,-128.33561876850757,77146.08,-128.33561876850757,24,101671.14698096325,30455.73010863917
0.2,-20.183434,49999.83987389869,824000,19010.449159922282,19010.449159922282,167601.3030925231,25,19010.44915992229,nan,0.0,10,10,25700088.0,-100106.3,19010.44915992229,0.0,0.2,-91.53972747386766,33408.38,-91.53972747386766,25,167601.3030925231,49999.83987389869
0.1,-20.337723,81726.75906129966,848000,27163.0266153711,27163.0266153711,272343.27544294053,26,27163.0266153711,nan,0.0,10,10,18631346.0,-84576.28,27163.0266153711,0.0,0.1,-140.1024783303396,33747.95,-140.1024783303396,26,272343.27544294053,81726.75906129966
0.1,-21.130764,49619.30900901498,872000,16584.027327024545,16584.027327024545,165439.99607890774,27,16584.027327024556,nan,0.0,10,10,22281820.0,-84300.18,16584.027327024556,0.0,0.1,-133.00026427999208,29349.248,-133.00026427999208,27,165439.99607890774,49619.30900901498
0.2,-22.948767,42.0619225336783,896000,-71.88688004294015,-71.88688004294015,-7.2834299794545,28,-71.88688004294012,nan,0.0,10,10,28441292.0,-90060.89,-71.88688004294012,0.0,0.2,-123.15846110601586,5852.35,-123.15846110601586,28,-7.2834299794545,42.0619225336783
0.2,-23.812668,51903.64702974185,920000,18572.07492123776,18572.07492123776,173942.90242733597,29,18572.07492123776,nan,0.0,10,10,34795310.0,-92830.336,18572.07492123776,0.0,0.2,-55.703975784022475,4812.941,-55.703975784022475,29,173942.90242733597,51903.64702974185
0.5,-25.123611,78446.70275638938,944000,59932.76199711554,59932.76199711554,229907.91370919655,30,59932.76199711555,nan,0.0,10,10,42895508.0,-105815.13,59932.76199711555,0.0,0.5,-54.97944888708015,418.62277,-54.97944888708015,30,229907.91370919655,78446.70275638938
0.3,-26.329617,50984.22408533122,968000,20877.38548480762,20877.38548480762,170770.41306120032,31,20877.38548480761,nan,0.0,10,10,48609068.0,-108479.086,20877.38548480761,0.0,0.3,-50.296355926702844,362.80017,-50.296355926702844,31,170770.41306120032,50984.22408533122
0.1,-27.120516,1826.9169583310565,992000,571.4252359744189,571.4252359744189,6052.0140065421365,32,571.4252359744191,nan,0.0,10,10,66422136.0,-132014.42,571.4252359744191,0.0,0.1,-57.45362203060854,327.52902,-57.45362203060854,32,6052.0140065421365,1826.9169583310565
0.3,-27.13815,95982.9777949599,1016000,59781.9563523574,59781.9563523574,272563.4007101974,33,59781.95635235742,nan,0.0,10,10,76202330.0,-139859.47,59781.95635235742,0.0,0.3,-50.98976108500452,3275.2024,-50.98976108500452,33,272563.4007101974,95982.9777949599
0.3,-27.338804,78337.86911832506,1040000,41800.95482773028,41800.95482773028,219704.26060509076,34,41800.95482773027,nan,0.0,10,10,81369500.0,-141264.42,41800.95482773027,0.0,0.3,-134.77633442735592,3033.213,-134.77633442735592,34,219704.26060509076,78337.86911832506
0.6,-27.573008,81147.7745084205,1064000,45199.74911242222,45199.74911242222,270415.45673821354,35,45199.7491124222,nan,0.0,10,10,85831810.0,-142435.44,45199.7491124222,0.0,0.6,-99.45797912216241,5824.912,-99.45797912216241,35,270415.45673821354,81147.7745084205
0.2,-27.69021,64831.58852629859,1088000,32005.79846490774,32005.79846490774,182305.3468672075,36,32005.79846490775,nan,0.0,10,10,100662970.0,-155217.06,32005.79846490775,0.0,0.2,-82.85748527245272,3111.0015,-82.85748527245272,36,182305.3468672075,64831.58852629859
0.2,-27.534811,95700.17300785004,1112000,44886.0595693488,44886.0595693488,298312.4313400849,37,44886.059569348814,nan,0.0,10,10,101237864.0,-154973.19,44886.059569348814,0.0,0.2,-55.839282360065894,1543.4333,-55.839282360065894,37,298312.4313400849,95700.17300785004
0.6,-27.833977,69156.3553523472,1136000,43068.90230335998,43068.90230335998,225314.78513316376,38,43068.90230335997,nan,0.0,10,10,123036190.0,-170479.94,43068.90230335997,0.0,0.6,-56.02435721341162,3479.081,-56.02435721341162,38,225314.78513316376,69156.3553523472
0.2,-28.509907,58400.7230957491,1160000,25344.955243157823,25344.955243157823,191362.65573651926,39,25344.95524315784,nan,0.0,10,10,120594984.0,-172765.62,25344.95524315784,0.0,0.2,-88.1048925905583,1554.7792,-88.1048925905583,39,191362.65573651926,58400.7230957491
0.4,-28.210781,75610.44903148778,1184000,43819.22695125484,43819.22695125484,194848.43507268067,40,43819.226951254816,nan,0.0,10,10,135063100.0,-181120.16,43819.226951254816,0.0,0.4,-102.17621450170824,9972.48,-102.17621450170824,40,194848.43507268067,75610.44903148778
0.1,-28.425615,45282.12307452777,1208000,15050.199784707092,15050.199784707092,150896.54873461166,41,15050.199784707094,nan,0.0,10,10,163155000.0,-197858.08,15050.199784707094,0.0,0.1,-99.37768187303193,1138.4014,-99.37768187303193,41,150896.54873461166,45282.12307452777
0.4,-28.27264,110821.61903788829,1232000,79779.07838519731,79779.07838519731,314554.6242277007,42,79779.07838519735,nan,0.0,10,10,188332670.0,-219646.31,79779.07838519735,0.0,0.4,-59.06580861512253,586.0309,-59.06580861512253,42,314554.6242277007,110821.61903788829
0.2,-28.303236,69294.7317937782,1256000,31704.05338352552,31704.05338352552,221032.32441125697,43,31704.053383525526,nan,0.0,10,10,195907120.0,-219336.39,31704.053383525526,0.0,0.2,-55.675175865402046,572.8174,-55.675175865402046,43,221032.32441125697,69294.7317937782
0.3,-28.19028,110231.61547443218,1280000,54263.27719620962,54263.27719620962,314034.5396558868,44,54263.27719620963,nan,0.0,10,10,210561340.0,-231337.92,54263.27719620963,0.0,0.3,-46.67105597456327,688.5801,-46.67105597456327,44,314034.5396558868,110231.61547443218
