MetaTest/push-wall-v1/NumTrajs,MetaTest/push-wall-v1/AverageReturn,MetaTest/push-wall-v1/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/StdReturn,MetaTest/push-wall-v1/MaxReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/push-wall-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/push-wall-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/push-wall-v1/SuccessRate,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTrain/Average/Alpha
10,-25.51975993633884,0.0,6.728452,3.860654980159121,0.0,3.860654980159121,-17.540491649788045,0.0,3.902172,-25.51975993633884,0,-17.540491649788045,224000,0,-25.519759936338847,-31.25565028719512,-31.25565028719512,8.476744,10,-5.691453,0.0,-25.519759936338847,nan
10,1795.7594772335858,0.0,6.6293917,1607.0947941264621,0.0,1607.0947941264621,4725.455532092597,0.0,386.38602,1795.7594772335858,1,4725.455532092597,248000,1,1795.7594772335858,-20.159996163033842,-20.159996163033842,9.77542,10,-11.106674,0.0,1795.7594772335858,nan
10,-58.27439913758468,0.0,5.9637637,6.378359477551814,0.0,6.378359477551814,-49.0364742642889,0.0,1363.5529,-58.27439913758468,2,-49.0364742642889,272000,2,-58.27439913758466,-65.9174525540917,-65.9174525540917,12.443002,10,-71.043236,0.0,-58.27439913758466,nan
10,256.00456059336585,0.0,4.147291,787.6388064366018,0.0,787.6388064366018,2617.5680416428286,0.0,11691.705,256.00456059336585,3,2617.5680416428286,296000,3,256.0045605933657,-41.64382082540825,-41.64382082540825,59.075222,10,-678.1069,0.0,256.0045605933657,nan
10,702.2964972797364,0.0,-1.5137272,2130.089806884925,0.0,2130.089806884925,7089.904287479129,0.0,43096.223,702.2964972797364,4,7089.904287479129,320000,4,702.296497279737,-82.39094599673501,-82.39094599673501,48.076435,10,-3833.125,0.0,702.296497279737,nan
10,-31.24664206296918,0.0,-5.88115,9.698181460226428,0.0,9.698181460226428,-20.732443971723633,0.0,58177.484,-31.24664206296918,5,-20.732443971723633,344000,5,-31.246642062969176,-47.19705766464948,-47.19705766464948,51.193584,10,-7527.215,0.0,-31.246642062969176,nan
10,-54.75568432362746,0.0,-6.186872,3.166137548919587,0.0,3.166137548919587,-49.76284742319064,0.0,137632.73,-54.75568432362746,6,-49.76284742319064,368000,6,-54.755684323627484,-60.00557576383929,-60.00557576383929,26.855251,10,-5700.52,0.0,-54.755684323627484,nan
10,-62.307646351289335,0.0,-4.198275,16.586510372919594,0.0,16.586510372919594,-36.455056668790945,0.0,27102.793,-62.307646351289335,7,-36.455056668790945,392000,7,-62.307646351289385,-97.22137964214656,-97.22137964214656,12.115179,10,-4445.884,0.0,-62.307646351289385,nan
10,-42.98789961961402,0.0,-4.7934637,10.053722143515675,0.0,10.053722143515675,-29.120486688584656,0.0,33755.434,-42.98789961961402,8,-29.120486688584656,416000,8,-42.98789961961401,-57.77857926985324,-57.77857926985324,11.486327,10,-4941.1626,0.0,-42.98789961961401,nan
10,-51.50439927396908,0.0,-4.720551,7.424687120155765,0.0,7.424687120155765,-30.313322363099466,0.0,42664.61,-51.50439927396908,9,-30.313322363099466,440000,9,-51.50439927396909,-57.40033319594109,-57.40033319594109,12.849227,10,-5117.0654,0.0,-51.50439927396909,nan
10,-32.15962730980975,0.0,-3.5306678,7.7428352165922405,0.0,7.7428352165922405,-23.882798628714724,0.0,119501.71,-32.15962730980975,10,-23.882798628714724,464000,10,-32.15962730980975,-52.967606312879056,-52.967606312879056,48.67085,10,-4878.581,0.0,-32.15962730980975,nan
10,-30.7732695170205,0.0,-4.038179,14.796425678396304,0.0,14.796425678396304,-19.65925781517313,0.0,78074.484,-30.7732695170205,11,-19.65925781517313,488000,11,-30.773269517020502,-73.5931865396952,-73.5931865396952,126.849075,10,-4722.636,0.0,-30.773269517020502,nan
10,-39.455641111923384,0.0,-5.1190925,13.083111068324797,0.0,13.083111068324797,-20.825038783895014,0.0,159134.23,-39.455641111923384,12,-20.825038783895014,512000,12,-39.45564111192337,-58.069893752613474,-58.069893752613474,223.9089,10,-6380.604,0.0,-39.45564111192337,nan
10,11.211368572725657,0.0,-3.971861,133.02410367591943,0.0,133.02410367591943,408.87696076231987,0.0,190788.89,11.211368572725657,13,408.87696076231987,536000,13,11.211368572725673,-53.61051689218469,-53.61051689218469,191.88528,10,-5749.828,0.0,11.211368572725673,nan
10,896.2620878227433,0.0,-5.5265245,1879.4507111335427,0.0,1879.4507111335427,4953.677760888317,0.0,790157.2,896.2620878227433,14,4953.677760888317,560000,14,896.2620878227433,-114.62609377097135,-114.62609377097135,203.12888,10,-8324.664,0.0,896.2620878227433,nan
10,1363.451682713136,0.0,-9.26809,2789.1971017640294,0.0,2789.1971017640294,8150.774361098197,0.0,1352311.5,1363.451682713136,15,8150.774361098197,584000,15,1363.451682713136,-68.16138389094051,-68.16138389094051,814.7586,10,-15051.966,0.0,1363.451682713136,nan
10,1023.001132709783,0.0,-13.514931,2320.57357449863,0.0,2320.57357449863,7605.521877886721,0.0,2290250.8,1023.001132709783,16,7605.521877886721,608000,16,1023.0011327097834,-257.201372744183,-257.201372744183,759.4531,10,-27235.309,0.0,1023.0011327097834,nan
10,27.69853142093594,0.0,-13.743026,218.82627258545585,0.0,218.82627258545585,678.8391486335935,0.0,3433656.2,27.69853142093594,17,678.8391486335935,632000,17,27.69853142093597,-106.54023501224867,-106.54023501224867,1117.0852,10,-40637.49,0.0,27.69853142093597,nan
10,-45.13830314382896,0.0,-14.064632,55.41560490948147,0.0,55.41560490948147,81.20448907477251,0.0,4243842.0,-45.13830314382896,18,81.20448907477251,656000,18,-45.13830314382895,-104.62683589678886,-104.62683589678886,297.05545,10,-49134.81,0.0,-45.13830314382895,nan
