Average/SuccessRate,Average/TerminationRate,policy/Entropy,MetaTest/Average/MinReturn,Average/Iteration,Average/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/coffee-button-v1/AverageDiscountedReturn,policy/KL,coffee-button-v1/Iteration,Average/StdReturn,MetaTest/coffee-button-v1/StdReturn,Average/NumEpisodes,coffee-button-v1/StdReturn,MetaTest/Average/StdReturn,coffee-button-v1/SuccessRate,MetaTest/coffee-button-v1/MaxReturn,Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/coffee-button-v1/SuccessRate,MetaTest/coffee-button-v1/AverageReturn,coffee-button-v1/AverageReturn,policy/LossBefore,coffee-button-v1/NumEpisodes,LinearFeatureBaseline/ExplainedVariance,coffee-button-v1/TerminationRate,TotalEnvSteps,policy/KLBefore,Average/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/coffee-button-v1/TerminationRate,coffee-button-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,policy/dLoss,policy/LossAfter,MetaTest/Average/Iteration,MetaTest/coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/NumEpisodes,coffee-button-v1/MinReturn,MetaTest/Average/SuccessRate,Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/coffee-button-v1/Iteration,coffee-button-v1/AverageDiscountedReturn
0.21,0.0,5.5772624,-38.40756029910391,10,101843.4718786921,4368.191948507339,410.8185924210005,0.006355881,10,15780.031307310155,1319.1372785879894,100,15780.031307310155,1319.1372785879894,0.21,4368.191948507339,2993.968122051522,10,0.1,410.81859242100063,6857.873833305572,8.11655,100,0.24528910739977827,0.0,220000,0.0,6857.873833305572,410.81859242100063,0.0,101843.4718786921,410.8185924210005,13.815275,-5.698725,1,-38.40756029910391,10,-54.807894212386145,0.1,-54.807894212386145,0.0,1,2993.968122051522
0.32,0.0,5.564593,,11,223074.63717379142,,,0.0038336639,11,27735.5885624919,,100,27735.5885624919,,0.32,,4228.890357462948,,,,10832.367705770048,1.6776313,100,0.2174526464690224,0.0,240000,0.0,10832.367705770048,,,223074.63717379142,,18.581537,-16.903906,,,,-54.24018564490847,,-54.24018564490847,,,4228.890357462948
0.26,0.0,5.5425344,,12,149096.6596912506,,,0.0058281445,12,18590.18363069371,,100,18590.18363069371,,0.26,,4021.94060485136,,,,8334.329498434854,-5.6037564,100,0.17168758472142254,0.0,260000,0.0,8334.329498434854,,,149096.6596912506,,14.143307,-19.747063,,,,-57.10411321296057,,-57.10411321296057,,,4021.94060485136
0.33,0.0,5.546664,,13,169060.73763933967,,,0.0046471297,13,23328.490643277797,,100,23328.490643277797,,0.33,,4828.057601155647,,,,10478.640189274216,7.4221625,100,0.1902062581320194,0.0,280000,0.0,10478.640189274216,,,169060.73763933967,,21.1781,-13.755938,,,,-44.86555153724644,,-44.86555153724644,,,4828.057601155647
0.23,0.0,5.5695214,,14,139138.65138756912,,,0.006523841,14,23428.877108308647,,100,23428.877108308647,,0.23,,5172.60100223559,,,,10566.049035308994,-9.474031,100,0.2226410139189614,0.0,300000,0.0,10566.049035308994,,,139138.65138756912,,21.613405,-31.087437,,,,-49.54244777832929,,-49.54244777832929,,,5172.60100223559
0.39,0.0,5.579224,,15,232922.1369971439,,,0.006462999,15,43191.64227941203,,100,43191.64227941203,,0.39,,7606.957776796492,,,,18902.74228066495,77.42965,100,0.3208190374513933,0.0,320000,0.0,18902.74228066495,,,232922.1369971439,,37.010464,40.419186,,,,-49.7769243477712,,-49.7769243477712,,,7606.957776796492
0.17,0.0,5.5694737,,16,177174.03189404425,,,0.0050579817,16,23990.808765587622,,100,23990.808765587622,,0.17,,4404.490064304991,,,,9837.55619760534,-12.369325,100,0.21089440484943245,0.0,340000,0.0,9837.55619760534,,,177174.03189404425,,15.180259,-27.549583,,,,-47.30286911392159,,-47.30286911392159,,,4404.490064304991
0.44,0.0,5.583094,,17,192102.7086659942,,,0.0047195298,17,28466.979800951234,,100,28466.979800951234,,0.44,,7345.955210972457,,,,15031.414937905569,46.20329,100,0.18597851479153982,0.0,360000,0.0,15031.414937905569,,,192102.7086659942,,24.507502,21.695787,,,,-44.65812424925101,,-44.65812424925101,,,7345.955210972457
0.19,0.0,5.587593,,18,83466.60065272306,,,0.0061781905,18,15422.197579255653,,100,15422.197579255653,,0.19,,4370.484949185143,,,,8124.593418971464,14.898061,100,0.19149031293218066,0.0,380000,0.0,8124.593418971464,,,83466.60065272306,,11.647751,3.2503095,,,,-45.79759857855774,,-45.79759857855774,,,4370.484949185143
0.32,0.0,5.591204,,19,259739.6524046175,,,0.0046596597,19,34779.00326158822,,100,34779.00326158822,,0.32,,7496.075193644432,,,,17841.989201784007,9.463537,100,0.26032927601961475,0.0,400000,0.0,17841.989201784007,,,259739.6524046175,,25.3685,-15.904963,,,,-49.16972384966747,,-49.16972384966747,,,7496.075193644432
0.39,0.0,5.58989,-38.35637204112491,20,216749.07334676577,24512.8751366465,4085.5348537998493,0.006264373,20,32532.387426453504,7555.613058652483,100,32532.387426453504,7555.613058652483,0.39,24512.8751366465,7912.173867980842,10,0.2,4085.5348537998484,19184.12479920468,41.005123,100,0.19111964708396068,0.0,420000,0.0,19184.12479920468,4085.5348537998484,0.0,216749.07334676577,4085.5348537998493,26.889072,14.11605,2,-38.35637204112491,10,-45.85600719496895,0.2,-45.85600719496895,0.0,2,7912.173867980842
0.38,0.0,5.579688,,21,220179.3076342991,,,0.009506238,21,36084.981484618824,,100,36084.981484618824,,0.38,,11196.985069230683,,,,24622.27989220579,-13.619975,100,0.2938638197034815,0.0,440000,0.0,24622.27989220579,,,220179.3076342991,,26.914623,-40.5346,,,,-45.900752892300055,,-45.900752892300055,,,11196.985069230683
0.41,0.0,5.5538173,,22,130501.99831295299,,,0.004043939,22,31196.110354667027,,100,31196.110354667027,,0.41,,8526.272650507051,,,,19647.516731792755,42.179314,100,0.2274485582820528,0.0,460000,0.0,19647.516731792755,,,130501.99831295299,,30.546389,11.632925,,,,-47.326791876713145,,-47.326791876713145,,,8526.272650507051
0.27,0.0,5.530955,,23,324085.4313970848,,,0.004862361,23,50813.54577559956,,100,50813.54577559956,,0.27,,9904.098648025607,,,,25159.175077798875,28.1654,100,0.3408621867064213,0.0,480000,0.0,25159.175077798875,,,324085.4313970848,,32.66565,-4.50025,,,,-47.124200480431725,,-47.124200480431725,,,9904.098648025607
0.57,0.0,5.5077977,,24,119910.39450284523,,,0.0056198575,24,33871.57279053933,,100,33871.57279053933,,0.57,,11300.756284891264,,,,24931.82240552533,24.798374,100,0.3047449302222591,0.0,500000,0.0,24931.82240552533,,,119910.39450284523,,28.183023,-3.38465,,,,-46.688999436351295,,-46.688999436351295,,,11300.756284891264
0.44,0.0,5.4752035,,25,251054.70774298892,,,0.0045691263,25,48646.14257348534,,100,48646.14257348534,,0.44,,13280.378730176539,,,,34003.81778043698,12.772875,100,0.3272215208300384,0.0,520000,0.0,34003.81778043698,,,251054.70774298892,,45.58484,-32.811962,,,,-51.507436344250976,,-51.507436344250976,,,13280.378730176539
0.3,0.0,5.43088,,26,233791.2245588415,,,0.0069767563,26,40719.03620110553,,100,40719.03620110553,,0.3,,11444.866923745516,,,,26394.90348064023,36.642998,100,0.337511229095528,0.0,540000,0.0,26394.90348064023,,,233791.2245588415,,35.42249,1.2205094,,,,-47.71056798768924,,-47.71056798768924,,,11444.866923745516
0.46,0.0,5.4015727,,27,222130.1568030718,,,0.0062906775,27,42396.562356158545,,100,42396.562356158545,,0.46,,12659.814882374285,,,,27676.935575889525,51.586468,100,0.2615478798682366,0.0,560000,0.0,27676.935575889525,,,222130.1568030718,,34.601543,16.984924,,,,-48.145684594716926,,-48.145684594716926,,,12659.814882374285
0.43,0.0,5.363846,,28,307361.5714060306,,,0.0051182075,28,53667.68779775474,,100,53667.68779775474,,0.43,,16237.758178483551,,,,41674.81048192563,12.036975,100,0.2520452584677383,0.0,580000,0.0,41674.81048192563,,,307361.5714060306,,37.447826,-25.41085,,,,-46.900973865249654,,-46.900973865249654,,,16237.758178483551
0.52,0.0,5.3360724,,29,226087.28580109455,,,0.005391656,29,44451.08680421511,,100,44451.08680421511,,0.52,,17356.865311848036,,,,41014.861736545055,11.238897,100,0.21955934275877875,0.0,600000,0.0,41014.861736545055,,,226087.28580109455,,40.38778,-29.148882,,,,-44.95746391476025,,-44.95746391476025,,,17356.865311848036
0.5,0.0,5.325902,-40.397474984337656,30,161064.57101266048,182084.24538118593,28104.8017321594,0.007713547,30,41627.088683998416,55280.00515779611,100,41627.088683998416,55280.00515779611,0.5,182084.24538118593,16066.432459809475,10,0.4,28104.801732159383,40791.99754580901,29.618876,100,0.2837773306830569,0.0,620000,0.0,40791.99754580901,28104.801732159383,0.0,161064.57101266048,28104.8017321594,27.557682,2.0611937,3,-40.397474984337656,10,-47.20918908551627,0.4,-47.20918908551627,0.0,3,16066.432459809475
0.32,0.0,5.307465,,31,238039.7790345855,,,0.008208059,31,49784.6364511975,,100,49784.6364511975,,0.32,,16645.292083022876,,,,41274.81824737267,11.962575,100,0.31271895493013246,0.0,640000,0.0,41274.81824737267,,,238039.7790345855,,26.779463,-14.816888,,,,-44.44760306821863,,-44.44760306821863,,,16645.292083022876
0.51,0.0,5.283379,,32,329354.8705353045,,,0.0048113563,32,55268.86508043287,,100,55268.86508043287,,0.51,,20085.661815461306,,,,49866.44845406764,-48.096336,100,0.2822314770366381,0.0,660000,0.0,49866.44845406764,,,329354.8705353045,,43.62616,-91.722496,,,,-45.40665679815314,,-45.40665679815314,,,20085.661815461306
0.48,0.0,5.2667246,,33,307477.5996510183,,,0.008140545,33,55072.12765726696,,100,55072.12765726696,,0.48,,16493.314646074014,,,,41415.50403162435,-61.3275,100,0.2560857331708508,0.0,680000,0.0,41415.50403162435,,,307477.5996510183,,41.26815,-102.59565,,,,-46.00088863491942,,-46.00088863491942,,,16493.314646074014
0.52,0.0,5.252389,,34,275336.4517720562,,,0.0055554085,34,64633.69009835811,,100,64633.69009835811,,0.52,,24768.062555596487,,,,67183.16906064501,37.660213,100,0.4015431075041035,0.0,700000,0.0,67183.16906064501,,,275336.4517720562,,56.296486,-18.636274,,,,-43.07868716045761,,-43.07868716045761,,,24768.062555596487
0.56,0.0,5.22898,,35,309244.5438516897,,,0.009078846,35,70508.70654332021,,100,70508.70654332021,,0.56,,22675.92500812462,,,,61195.05726371062,81.20988,100,0.35331899119516696,0.0,720000,0.0,61195.05726371062,,,309244.5438516897,,42.830803,38.379074,,,,-47.05677762226237,,-47.05677762226237,,,22675.92500812462
0.59,0.0,5.2137456,,36,293879.3966807578,,,0.006523319,36,64180.72807833067,,100,64180.72807833067,,0.59,,23744.83152993757,,,,66248.10747563862,-4.29825,100,0.2748427074766572,0.0,740000,0.0,66248.10747563862,,,293879.3966807578,,52.23535,-56.5336,,,,-41.71741853593539,,-41.71741853593539,,,23744.83152993757
0.63,0.0,5.2066474,,37,288941.02192186506,,,0.0056885523,37,55841.3427086633,,100,55841.3427086633,,0.63,,29380.493087875064,,,,71042.15266466564,-62.550076,100,0.26532099735299086,0.0,760000,0.0,71042.15266466564,,,288941.02192186506,,38.28612,-100.8362,,,,-42.26716240691417,,-42.26716240691417,,,29380.493087875064
0.49,0.0,5.1795583,,38,299314.5446709543,,,0.005371995,38,64179.61629446987,,100,64179.61629446987,,0.49,,24226.681565889296,,,,68474.37768709187,-36.580364,100,0.2893977516846882,0.0,780000,0.0,68474.37768709187,,,299314.5446709543,,52.84901,-89.429375,,,,-44.928580667769154,,-44.928580667769154,,,24226.681565889296
0.53,0.0,5.1569366,,39,318625.41075219505,,,0.0049269707,39,64458.84983586047,,100,64458.84983586047,,0.53,,22860.275127396708,,,,63021.235626540045,6.947175,100,0.3361463459279105,0.0,800000,0.0,63021.235626540045,,,318625.41075219505,,40.434525,-33.48735,,,,-41.86029778379792,,-41.86029778379792,,,22860.275127396708
0.65,0.0,5.139175,-20.724108657704328,40,325968.61526670307,141366.73968388958,78126.77244038433,0.0047264383,40,75176.46734016875,52308.842277706906,100,75176.46734016875,52308.842277706906,0.65,141366.73968388958,28568.47883900953,10,0.6,78126.77244038433,81807.43159225593,-29.87485,100,0.29528235844392137,0.0,820000,0.0,81807.43159225593,78126.77244038433,0.0,325968.61526670307,78126.77244038433,43.927628,-73.802475,4,-20.724108657704328,10,-45.20319060926983,0.6,-45.20319060926983,0.0,4,28568.47883900953
0.61,0.0,5.1184664,,41,324866.19466055796,,,0.0073886476,41,68164.2105025155,,100,68164.2105025155,,0.61,,26079.022281430916,,,,69874.49170467308,-25.851713,100,0.3050021812776367,0.0,840000,0.0,69874.49170467308,,,324866.19466055796,,41.08069,-66.9324,,,,-42.443113985799286,,-42.443113985799286,,,26079.022281430916
0.65,0.0,5.088851,,42,307688.44605943793,,,0.005823548,42,67622.09827586598,,100,67622.09827586598,,0.65,,30923.37902610029,,,,87695.76333111533,-12.780044,100,0.29964153222491663,0.0,860000,0.0,87695.76333111533,,,307688.44605943793,,27.17371,-39.953754,,,,-47.01333700256901,,-47.01333700256901,,,30923.37902610029
0.71,0.0,5.0622687,,43,328856.1202887439,,,0.004764151,43,76240.24431926268,,100,76240.24431926268,,0.71,,36508.03238533984,,,,100126.12715723712,-1.64655,100,0.3026144129870477,0.0,880000,0.0,100126.12715723712,,,328856.1202887439,,48.350002,-49.99655,,,,-41.82678481344779,,-41.82678481344779,,,36508.03238533984
0.61,0.0,5.05764,,44,301649.0844403704,,,0.004812974,44,72173.52031023691,,100,72173.52031023691,,0.61,,31169.016861411263,,,,89638.22442351878,28.926037,100,0.21475894638275794,0.0,900000,0.0,89638.22442351878,,,301649.0844403704,,57.728237,-28.8022,,,,-43.58912653228573,,-43.58912653228573,,,31169.016861411263
0.7,0.0,5.0409093,,45,321289.7623935144,,,0.006394842,45,74244.18307027256,,100,74244.18307027256,,0.7,,34319.99763040441,,,,94404.77022960139,1.5195374,100,0.29233676984668466,0.0,920000,0.0,94404.77022960139,,,321289.7623935144,,60.456127,-58.93659,,,,-44.048214293881784,,-44.048214293881784,,,34319.99763040441
0.71,0.0,4.9953427,,46,331085.9267596633,,,0.00498306,46,72788.10198007678,,100,72788.10198007678,,0.71,,34643.71255234408,,,,97336.98830779435,-46.37356,100,0.2866527455083452,0.0,940000,0.0,97336.98830779435,,,331085.9267596633,,54.835987,-101.20955,,,,-44.81563245405509,,-44.81563245405509,,,34643.71255234408
0.69,0.0,4.9751205,,47,281333.20801326644,,,0.0048640454,47,67114.0584386031,,100,67114.0584386031,,0.69,,35526.42446464412,,,,96686.26063656673,31.789175,100,0.3312029295837994,0.0,960000,0.0,96686.26063656673,,,281333.20801326644,,58.666878,-26.8777,,,,-44.750014533165306,,-44.750014533165306,,,35526.42446464412
0.66,0.0,4.9341407,,48,330391.55344261584,,,0.0065485155,48,80996.06560929617,,100,80996.06560929617,,0.66,,37877.666778789644,,,,105417.21812790613,-7.136925,100,0.28745352416125614,0.0,980000,0.0,105417.21812790613,,,330391.55344261584,,67.1983,-74.33523,,,,-43.67534815410824,,-43.67534815410824,,,37877.666778789644
0.71,0.0,4.89976,,49,337849.82442357374,,,0.003836596,49,79689.69682099788,,100,79689.69682099788,,0.71,,38344.0426330966,,,,104776.55863932546,12.414219,100,0.2556730976899755,0.0,1000000,0.0,104776.55863932546,,,337849.82442357374,,62.665207,-50.250988,,,,-41.23242693690986,,-41.23242693690986,,,38344.0426330966
0.66,0.0,4.8812094,-37.89722571907792,50,338868.0800772432,185067.2401889546,130524.14177318304,0.0067436704,50,88479.47027078085,52345.66936363161,100,88479.47027078085,52345.66936363161,0.66,185067.2401889546,42049.598430917395,10,0.8,130524.14177318302,112945.31848367235,-42.508686,100,0.28478224130242347,0.0,1020000,0.0,112945.31848367235,130524.14177318302,0.0,338868.0800772432,130524.14177318304,37.025272,-79.53396,5,-37.89722571907792,10,-43.96950925205083,0.8,-43.96950925205083,0.0,5,42049.598430917395
0.69,0.0,4.860467,,51,337709.6987998781,,,0.005405983,51,75410.15412521444,,100,75410.15412521444,,0.69,,36292.17101476686,,,,110450.56196172583,1.8942125,100,0.31492447694171055,0.0,1040000,0.0,110450.56196172583,,,337709.6987998781,,48.49005,-46.59584,,,,-37.24241058883527,,-37.24241058883527,,,36292.17101476686
0.77,0.0,4.8393927,,52,282969.7241904887,,,0.0051216767,52,68249.9656953926,,100,68249.9656953926,,0.77,,40424.32550991974,,,,116491.61360968857,-18.168526,100,0.2810164691202808,0.0,1060000,0.0,116491.61360968857,,,282969.7241904887,,51.16919,-69.337715,,,,-39.36605571765942,,-39.36605571765942,,,40424.32550991974
0.76,0.0,4.8307295,,53,332058.2289973362,,,0.0051970677,53,76717.5826992562,,100,76717.5826992562,,0.76,,43411.91557700705,,,,119616.768480592,26.58765,100,0.27772889546869317,0.0,1080000,0.0,119616.768480592,,,332058.2289973362,,55.835648,-29.248,,,,-41.08536637253838,,-41.08536637253838,,,43411.91557700705
0.73,0.0,4.8138704,,54,330161.12904778577,,,0.0071729906,54,81922.48655761742,,100,81922.48655761742,,0.73,,43554.82489718497,,,,125036.70243876634,-9.08635,100,0.32458383317280726,0.0,1100000,0.0,125036.70243876634,,,330161.12904778577,,26.619,-35.70535,,,,-43.087272266200635,,-43.087272266200635,,,43554.82489718497
0.74,0.0,4.7825537,,55,307259.222687514,,,0.006340509,55,73864.30024577655,,100,73864.30024577655,,0.74,,39018.10396014489,,,,110366.46849494182,-67.6228,100,0.3503950025689092,0.0,1120000,0.0,110366.46849494182,,,307259.222687514,,62.08751,-129.71031,,,,-37.81442154850756,,-37.81442154850756,,,39018.10396014489
0.8,0.0,4.75858,,56,326271.9369111687,,,0.00812247,56,69516.35594231577,,100,69516.35594231577,,0.8,,44494.75499397432,,,,128894.26340103104,-31.324663,100,0.3346493304239825,0.0,1140000,0.0,128894.26340103104,,,326271.9369111687,,56.87625,-88.20091,,,,-39.86794707821448,,-39.86794707821448,,,44494.75499397432
0.68,0.0,4.749924,,57,322093.78765273525,,,0.0047381134,57,85277.9104493247,,100,85277.9104493247,,0.68,,40879.228856875954,,,,119374.73655254586,85.252075,100,0.2975493786176666,0.0,1160000,0.0,119374.73655254586,,,322093.78765273525,,56.068687,29.183388,,,,-39.12918078171279,,-39.12918078171279,,,40879.228856875954
0.72,0.0,4.729194,,58,333265.4118643669,,,0.00638387,58,85481.63759293768,,100,85481.63759293768,,0.72,,49521.16959962634,,,,146808.96784001327,73.609,100,0.3666442830097282,0.0,1180000,0.0,146808.96784001327,,,333265.4118643669,,68.55415,5.05485,,,,-34.534000552866395,,-34.534000552866395,,,49521.16959962634
0.7,0.0,4.701566,,59,344645.5630927184,,,0.0045624506,59,85218.27495684416,,100,85218.27495684416,,0.7,,43447.84343376278,,,,122346.68763580467,21.68505,100,0.24343809203499212,0.0,1200000,0.0,122346.68763580467,,,344645.5630927184,,63.329247,-41.6442,,,,-37.856796205776774,,-37.856796205776774,,,43447.84343376278
0.78,0.0,4.678582,-26.859462436310444,60,336498.78248233284,207140.05095475513,97457.32638051208,0.004376156,60,86460.58608374266,74753.91811840807,100,86460.58608374266,74753.91811840807,0.78,207140.05095475513,46366.280563499604,10,0.5,97457.3263805121,142672.80549060795,-14.14505,100,0.2941966951561491,0.0,1220000,0.0,142672.80549060795,97457.3263805121,0.0,336498.78248233284,97457.32638051208,57.871574,-72.016624,6,-26.859462436310444,10,-27.571925500630446,0.5,-27.571925500630446,0.0,6,46366.280563499604
0.66,0.0,4.6597023,,61,341477.2346876853,,,0.00645483,61,85269.55105073108,,100,85269.55105073108,,0.66,,43783.504847702825,,,,125034.57353340762,36.80735,100,0.3233749723408814,0.0,1240000,0.0,125034.57353340762,,,341477.2346876853,,32.470474,4.336875,,,,-32.855973993847,,-32.855973993847,,,43783.504847702825
0.66,0.0,4.6446695,,62,327317.32156028773,,,0.011145573,62,86277.3500018901,,100,86277.3500018901,,0.66,,45199.23874610097,,,,131690.16425197612,-89.77925,100,0.38686833062816006,0.0,1260000,0.0,131690.16425197612,,,327317.32156028773,,28.11737,-117.89662,,,,-35.8563128735988,,-35.8563128735988,,,45199.23874610097
0.57,0.0,4.626202,,63,319370.730310229,,,0.0056873094,63,89748.61215568484,,100,89748.61215568484,,0.57,,37485.33827082129,,,,100931.50138465835,-18.244087,100,0.29144722265401146,0.0,1280000,0.0,100931.50138465835,,,319370.730310229,,45.039925,-63.28401,,,,-37.58490433664027,,-37.58490433664027,,,37485.33827082129
0.78,0.0,4.6073236,,64,329123.78725518205,,,0.00611852,64,96158.20985061907,,100,96158.20985061907,,0.78,,56410.183754784775,,,,158740.74458307558,-134.31332,100,0.34373564266507295,0.0,1300000,0.0,158740.74458307558,,,329123.78725518205,,65.36894,-199.68227,,,,-33.07455715111745,,-33.07455715111745,,,56410.183754784775
0.75,0.0,4.581388,,65,323064.43451605807,,,0.0046075354,65,89364.2936980198,,100,89364.2936980198,,0.75,,54161.08210058815,,,,153448.70164678068,35.31465,100,0.2713180722235753,0.0,1320000,0.0,153448.70164678068,,,323064.43451605807,,65.21683,-29.902176,,,,-35.45349775729479,,-35.45349775729479,,,54161.08210058815
0.66,0.0,4.5703015,,66,334986.2341736761,,,0.0067432676,66,98660.85482747642,,100,98660.85482747642,,0.66,,49802.43435992832,,,,142000.86613925794,-3.593925,100,0.3361250153104277,0.0,1340000,0.0,142000.86613925794,,,334986.2341736761,,53.92025,-57.514175,,,,-36.12768210141654,,-36.12768210141654,,,49802.43435992832
0.72,0.0,4.5486565,,67,348587.6463850326,,,0.0046077613,67,98934.916642138,,100,98934.916642138,,0.72,,57720.621947530744,,,,158360.51780767282,-57.9275,100,0.4417862695684991,0.0,1360000,0.0,158360.51780767282,,,348587.6463850326,,63.874996,-121.8025,,,,-39.75923963708005,,-39.75923963708005,,,57720.621947530744
0.71,0.0,4.5156255,,68,339271.21704043075,,,0.0068102675,68,95247.48717013461,,100,95247.48717013461,,0.71,,54524.57106389415,,,,159597.97607004095,37.669624,100,0.43283102568442955,0.0,1380000,0.0,159597.97607004095,,,339271.21704043075,,66.84697,-29.17735,,,,-37.51625488827203,,-37.51625488827203,,,54524.57106389415
0.69,0.0,4.500434,,69,342695.9826503804,,,0.0037482006,69,101814.40938178216,,100,101814.40938178216,,0.69,,57210.45958537864,,,,159857.76408490445,-12.072462,100,0.4097237687708558,0.0,1400000,0.0,159857.76408490445,,,342695.9826503804,,61.863075,-73.93554,,,,-38.1013640299571,,-38.1013640299571,,,57210.45958537864
