MetaTest/handle-press-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/handle-press-v1/AverageReturn,MetaTest/handle-press-v1/StdReturn,MetaTest/handle-press-v1/MaxReturn,MetaTest/handle-press-v1/SuccessRate,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/handle-press-v1/Iteration,MetaTest/handle-press-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTest/handle-press-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha
0.0,9.222670537117335,-4.9376664,-114.34897915280021,9.222670537117335,-99.36945340050329,0.0,-114.34897915280021,224000,0,-99.36945340050329,-129.86299837160922,0,-129.86299837160922,10,0.0,0.0,1982328.1,404.35138,-2322.9824,-114.34897915280021,10,-114.34897915280021,nan
0.0,450.7171613720057,-13.667615,216.22554959822213,450.7171613720057,1120.8018596772129,0.0,216.22554959822213,248000,1,1120.8018596772129,-73.37207264159638,1,-73.37207264159638,10,0.0,0.0,1408373.6,28.243864,-14532.057,216.2255495982218,10,216.2255495982218,nan
0.0,444.48463813074716,-18.28334,319.7744458081513,444.48463813074716,1181.3341416808482,0.0,319.7744458081513,272000,2,1181.3341416808482,-19.49105084185705,2,-19.49105084185705,10,0.0,0.0,2828358.8,18.378414,-49644.01,319.77444580815114,10,319.77444580815114,nan
0.0,12264.29174637014,-19.45951,10558.65514606614,12264.29174637014,39955.54641154337,0.0,10558.65514606614,296000,3,39955.54641154337,-14.273834756721378,3,-14.273834756721378,10,0.0,0.0,4228786.5,18.9804,-84455.04,10558.655146066143,10,10558.655146066143,nan
0.0,1407.656336516533,-19.706846,971.471821669428,1407.656336516533,3549.970819740426,0.0,971.471821669428,320000,4,3549.970819740426,-65.66207964827272,4,-65.66207964827272,10,0.0,0.0,4947432.0,20.379023,-98883.875,971.471821669428,10,971.471821669428,nan
0.0,17140.952043725858,-19.803421,78250.7917864585,17140.952043725858,103559.96383616883,0.0,78250.7917864585,344000,5,103559.96383616883,50773.9451649208,5,50773.9451649208,10,0.0,0.0,5351254.5,32.713306,-100343.95,78250.79178645853,10,78250.79178645853,nan
0.0,32143.945198678353,-21.005804,67290.19916076804,32143.945198678353,161777.58790549688,0.1,67290.19916076804,368000,6,161777.58790549688,44998.4045903051,6,44998.4045903051,10,0.1,0.0,6725313.5,41.693752,-100282.46,67290.19916076804,10,67290.19916076804,nan
0.0,42213.32398161595,-22.400337,79719.68310152167,42213.32398161595,162932.33957635707,0.3,79719.68310152167,392000,7,162932.33957635707,38575.15257524557,7,38575.15257524557,10,0.3,0.0,9068618.0,44.489685,-102026.44,79719.68310152166,10,79719.68310152166,nan
0.0,34074.17186046668,-22.089272,50432.459791090245,34074.17186046668,101291.31042248472,0.0,50432.459791090245,416000,8,101291.31042248472,1183.2609149000668,8,1183.2609149000668,10,0.0,0.0,12526252.0,55.346752,-103360.445,50432.459791090245,10,50432.459791090245,nan
0.0,55636.83777425712,-20.452757,61738.568948170636,55636.83777425712,192730.71201077575,0.5,61738.568948170636,440000,9,192730.71201077575,-44.24601936375331,9,-44.24601936375331,10,0.5,0.0,16397315.0,75.458626,-102771.08,61738.568948170636,10,61738.568948170636,nan
0.0,78993.8530865567,-23.223793,116220.1847802746,78993.8530865567,269163.50835565623,0.3,116220.1847802746,464000,10,269163.50835565623,4447.404841248317,10,4447.404841248317,10,0.3,0.0,20729824.0,107.27291,-100380.37,116220.1847802746,10,116220.1847802746,nan
0.0,35799.73549350087,-25.893118,27556.87988288179,35799.73549350087,105711.40697185814,0.0,27556.87988288179,488000,11,105711.40697185814,-24.761197511887463,11,-24.761197511887463,10,0.0,0.0,26708546.0,154.71506,-106543.7,27556.879882881778,10,27556.879882881778,nan
0.0,25119.678548890803,-25.600811,70183.71081543676,25119.678548890803,110331.66093864493,0.0,70183.71081543676,512000,12,110331.66093864493,18152.100843990058,12,18152.100843990058,10,0.0,0.0,35315990.0,110.73187,-111496.805,70183.71081543672,10,70183.71081543672,nan
