MetaTrain/Average/Alpha,MetaTest/coffee-pull-v1/MinReturn,MetaTest/Average/Iteration,MetaTest/coffee-pull-v1/Iteration,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/coffee-pull-v1/TerminationRate,MetaTrain/Average/AlphaLoss,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/coffee-pull-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/NumTrajs
nan,-30.02984293124255,0,0,0.0,-30.02984293124255,-23.767992312036363,0.0,6.7304635,224000,-23.767992312036363,3.2792745,8.100811,1.3740485,-21.754517532152114,-21.754517532152114,2.3796984636260072,-23.76799231203636,10,2.3796984636260072,0.0,0.0,-23.76799231203636,10
nan,-73.1126160903729,1,1,0.0,-73.1126160903729,-67.34127247786526,0.0,6.711301,248000,-67.34127247786526,10.225029,7.4482017,78.72759,-61.44761106014757,-61.44761106014757,3.7575924909614207,-67.34127247786525,10,3.7575924909614207,0.0,0.0,-67.34127247786525,10
nan,-24.263051929895052,2,2,0.0,-24.263051929895052,-22.039275573594235,0.0,6.5377684,272000,-22.039275573594235,8.438342,7.9568143,253.19566,-18.317429117089574,-18.317429117089574,2.0558854550402805,-22.039275573594242,10,2.0558854550402805,0.0,0.0,-22.039275573594242,10
nan,-39.39370256353289,3,3,0.0,-39.39370256353289,-32.50582339095904,0.0,5.5384936,296000,-32.50582339095904,-40.71038,8.333217,626.536,25.007705700180903,25.007705700180903,19.173052903411243,-32.50582339095905,10,19.173052903411243,0.0,0.0,-32.50582339095905,10
nan,-35.680330084836605,4,4,0.0,-35.680330084836605,1482.8295403157802,0.0,3.2301042,320000,1482.8295403157802,-525.90845,13.16983,7858.747,6835.622736797416,6835.622736797416,2678.9289096285984,1482.82954031578,10,2678.9289096285984,0.0,0.0,1482.82954031578,10
nan,-34.47915303508202,5,5,0.0,-34.47915303508202,1232.128910389314,0.0,-0.72649014,344000,1232.128910389314,-1941.0465,21.18504,23022.57,5464.104163016956,5464.104163016956,1889.6354288699742,1232.1289103893148,10,1889.6354288699742,0.0,0.0,1232.1289103893148,10
nan,-37.893315035137746,6,6,0.0,-37.893315035137746,-21.4106577794649,0.0,-3.9909606,368000,-21.4106577794649,-4216.6167,16.491735,38193.9,111.28832578291036,111.28832578291036,44.24700797916354,-21.410657779464895,10,44.24700797916354,0.0,0.0,-21.410657779464895,10
nan,-38.22561646939934,7,7,0.0,-38.22561646939934,737.0546312400646,0.0,-6.3035913,392000,737.0546312400646,-6325.1743,8.112417,44353.215,5154.2898866786,5154.2898866786,1553.3341112165162,737.054631240065,10,1553.3341112165162,0.0,0.0,737.054631240065,10
nan,-27.13463780652735,8,8,0.0,-27.13463780652735,58.29606927726676,0.0,-7.0479403,416000,58.29606927726676,-7859.564,7.7945313,41598.74,792.762211524381,792.762211524381,244.84609791362243,58.296069277266746,10,244.84609791362243,0.0,0.0,58.296069277266746,10
nan,-34.900992057592525,9,9,0.0,-34.900992057592525,1585.7168008034428,0.0,-7.25902,440000,1585.7168008034428,-8817.29,8.131529,39803.29,10419.635286517023,10419.635286517023,3091.1083921259947,1585.7168008034412,10,3091.1083921259947,0.0,0.0,1585.7168008034412,10
nan,-36.47821449289928,10,10,0.0,-36.47821449289928,14.590469666944411,0.0,-7.0292907,464000,14.590469666944411,-9161.608,8.1937275,38844.168,257.79274419309314,257.79274419309314,87.09274532919537,14.59046966694442,10,87.09274532919537,0.0,0.0,14.59046966694442,10
nan,-36.86099655152818,11,11,0.0,-36.86099655152818,199.3887464622429,0.0,-6.9277215,488000,199.3887464622429,-8898.871,46.614086,37524.035,592.8569009748581,592.8569009748581,198.33403318804022,199.38874646224286,10,198.33403318804022,0.0,0.0,199.38874646224286,10
nan,-28.7553488662496,12,12,0.0,-28.7553488662496,1108.805973546492,0.0,-6.5206747,512000,1108.805973546492,-6269.842,283.122,31032.396,6797.914344868922,6797.914344868922,1995.3209494672642,1108.8059735464917,10,1995.3209494672642,0.0,0.0,1108.8059735464917,10
nan,38.43285595257233,13,13,0.0,38.43285595257233,195.22651287164138,0.0,-7.19222,536000,195.22651287164138,-8657.008,159.25624,43578.125,385.24940355682713,385.24940355682713,120.1118922969782,195.22651287164138,10,120.1118922969782,0.0,0.0,195.22651287164138,10
nan,-38.491073220707115,14,14,0.0,-38.491073220707115,327.90979898790266,0.0,-7.3118534,560000,327.90979898790266,-9270.432,72.63715,46549.12,1984.43804043761,1984.43804043761,573.5520624777454,327.9097989879026,10,573.5520624777454,0.0,0.0,327.9097989879026,10
nan,-39.993861818295365,15,15,0.0,-39.993861818295365,1045.0573808780691,0.0,-7.175611,584000,1045.0573808780691,-8879.078,29.683746,45476.61,5077.9518243727,5077.9518243727,1851.239953140218,1045.0573808780691,10,1851.239953140218,0.0,0.0,1045.0573808780691,10
nan,-23.727474534845424,16,16,0.0,-23.727474534845424,4465.925226439331,0.0,-6.09416,608000,4465.925226439331,-8247.652,26.95074,43910.496,13406.844296723937,13406.844296723937,4391.838712216757,4465.925226439331,10,4391.838712216757,0.0,0.0,4465.925226439331,10
nan,280.1183990877163,17,17,0.0,280.1183990877163,4589.505334469541,0.0,-6.3486133,632000,4589.505334469541,-7624.493,24.732044,44418.42,11633.67865944105,11633.67865944105,3096.46097001142,4589.50533446954,10,3096.46097001142,0.0,0.0,4589.50533446954,10
nan,1169.2335356838753,18,18,0.0,1169.2335356838753,4293.397447352155,0.0,-6.9657273,656000,4293.397447352155,-7735.5674,22.436218,59764.43,10398.044502732451,10398.044502732451,3411.3893107945705,4293.397447352154,10,3411.3893107945705,0.0,0.0,4293.397447352154,10
nan,-31.816017314189768,19,19,0.0,-31.816017314189768,154.52636265195522,0.0,-7.345049,680000,154.52636265195522,-8572.181,28.220345,83701.82,651.563294237291,651.563294237291,224.85838504442674,154.52636265195528,10,224.85838504442674,0.0,0.0,154.52636265195528,10
nan,-13.72415871961817,20,20,0.0,-13.72415871961817,6120.5242379861165,0.0,-7.781181,704000,6120.5242379861165,-9651.33,27.055765,110950.414,18847.35180958249,18847.35180958249,5182.8143751124935,6120.524237986117,10,5182.8143751124935,0.0,0.0,6120.524237986117,10
nan,-30.5809672372861,21,21,0.0,-30.5809672372861,2475.4719147839814,0.0,-8.66245,728000,2475.4719147839814,-11463.418,20.152306,156869.31,10617.02306749729,10617.02306749729,3040.700493919205,2475.4719147839814,10,3040.700493919205,0.0,0.0,2475.4719147839814,10
nan,-33.64196020020247,22,22,0.0,-33.64196020020247,3516.738553452223,0.0,-9.3031,752000,3516.738553452223,-13075.426,32.94654,189757.81,11124.787033548746,11124.787033548746,3423.4221137681984,3516.738553452223,10,3423.4221137681984,0.0,0.0,3516.738553452223,10
nan,-31.62491218797138,23,23,0.0,-31.62491218797138,3278.213831077069,0.0,-9.215102,776000,3278.213831077069,-13917.738,37.703213,202035.64,11142.843206298789,11142.843206298789,4092.399186664031,3278.213831077068,10,4092.399186664031,0.0,0.0,3278.213831077068,10
nan,218.80108176698295,24,24,0.0,218.80108176698295,5483.473043262404,0.0,-8.764815,800000,5483.473043262404,-13081.988,52.543602,189297.77,19530.226625512154,19530.226625512154,6122.54933516797,5483.473043262404,10,6122.54933516797,0.0,0.0,5483.473043262404,10
nan,623.302358939995,25,25,0.0,623.302358939995,4099.43855616307,0.0,-8.279906,824000,4099.43855616307,-13004.184,38.66234,183400.48,11946.990645456728,11946.990645456728,3794.934375166197,4099.438556163069,10,3794.934375166197,0.0,0.0,4099.438556163069,10
nan,115.2036104908597,26,26,0.0,115.2036104908597,3180.1090372353774,0.0,-7.812433,848000,3180.1090372353774,-11899.056,53.36826,173432.95,13610.71281714803,13610.71281714803,4061.0460189400146,3180.109037235376,10,4061.0460189400146,0.0,0.0,3180.109037235376,10
nan,-25.172899618631533,27,27,0.0,-25.172899618631533,-19.898091090206528,0.0,-9.106352,872000,-19.898091090206528,-50924.098,226.41884,270845.8,-12.392864796051128,-12.392864796051128,3.464417147848579,-19.898091090206528,10,3.464417147848579,0.0,0.0,-19.898091090206528,10
nan,-23.582146635758278,28,28,0.0,-23.582146635758278,-16.74285116173447,0.0,-9.930024,896000,-16.74285116173447,-60774.08,154.00153,187538.97,-10.809491701397722,-10.809491701397722,3.704776733565029,-16.74285116173447,10,3.704776733565029,0.0,0.0,-16.74285116173447,10
nan,-36.83404762330624,29,29,0.0,-36.83404762330624,1787.8345621622611,0.0,-8.891423,920000,1787.8345621622611,-22448.695,99.765396,152704.88,7107.584832268527,7107.584832268527,2287.6729716329146,1787.8345621622607,10,2287.6729716329146,0.0,0.0,1787.8345621622607,10
nan,-27.83308292303786,30,30,0.0,-27.83308292303786,3326.576909137003,0.0,-6.9239326,944000,3326.576909137003,-6097.231,9.4811,119867.09,8542.548591616734,8542.548591616734,2946.7873090720273,3326.576909137001,10,2946.7873090720273,0.0,0.0,3326.576909137001,10
nan,-41.12844333742192,31,31,0.0,-41.12844333742192,416.97283887630965,0.0,-7.1690655,968000,416.97283887630965,-6613.3223,18.405594,138586.31,2401.78755483236,2401.78755483236,819.537265945319,416.97283887630965,10,819.537265945319,0.0,0.0,416.97283887630965,10
nan,284.50355530303,32,32,0.0,284.50355530303,4768.342837256062,0.0,-7.4123006,992000,4768.342837256062,-7822.5605,14.3675585,162426.38,12033.383304650431,12033.383304650431,3939.6998584827666,4768.342837256063,10,3939.6998584827666,0.0,0.0,4768.342837256063,10
nan,-70.33850809934427,33,33,0.0,-70.33850809934427,984.4993920324417,0.0,-5.095128,1016000,984.4993920324417,-3964.6416,152.09445,131454.12,4345.8108556576635,4345.8108556576635,1642.6660840416127,984.4993920324416,10,1642.6660840416127,0.0,0.0,984.4993920324416,10
nan,1.2683243508447584,34,34,0.0,1.2683243508447584,2728.132650359506,0.0,-5.1729846,1040000,2728.132650359506,-2417.834,197.77614,120253.31,15472.204045165561,15472.204045165561,4412.896630906951,2728.132650359504,10,4412.896630906951,0.0,0.0,2728.132650359504,10
nan,116.9058068797128,35,35,0.0,116.9058068797128,3437.950035190891,0.0,-7.7403674,1064000,3437.950035190891,-8303.081,81.82815,199806.61,12845.574940187762,12845.574940187762,3805.1938382111584,3437.9500351908914,10,3805.1938382111584,0.0,0.0,3437.9500351908914,10
