plate-slide-v1/AverageDiscountedReturn,MetaTest/plate-slide-v1/SuccessRate,plate-slide-v1/NumEpisodes,Average/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/LossBefore,MetaTest/Average/NumEpisodes,MetaTest/plate-slide-v1/MaxReturn,Average/MaxReturn,MetaTest/plate-slide-v1/NumEpisodes,plate-slide-v1/TerminationRate,MetaTest/plate-slide-v1/StdReturn,MetaTest/Average/MaxReturn,plate-slide-v1/Iteration,Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/plate-slide-v1/Iteration,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossAfter,MetaTest/Average/SuccessRate,plate-slide-v1/StdReturn,plate-slide-v1/SuccessRate,plate-slide-v1/MaxReturn,plate-slide-v1/MinReturn,MetaTest/Average/Iteration,GaussianMLPPolicy/dLoss,MetaTest/Average/AverageReturn,Average/StdReturn,MetaTest/plate-slide-v1/TerminationRate,Iteration,plate-slide-v1/AverageReturn,MetaTest/plate-slide-v1/MinReturn,MetaTest/plate-slide-v1/AverageReturn,MetaTest/plate-slide-v1/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/Average/MinReturn,TotalEnvSteps,Average/NumEpisodes,Average/TerminationRate,Average/Iteration,GaussianMLPPolicy/KLBefore,Average/SuccessRate,Average/MinReturn
-21.11967534839279,0.0,200,-21.11967534839279,-28.676877954960425,0.0007032100693322718,1,-28.676877954960435,-37.30075253077284,1,0.0,0.0,-28.676877954960435,0,-59.407102253718875,0.0,0.0,0,5.6872100830078125,-0.00018649615230970085,0.0,9.879042891615724,0.0,-37.30075253077284,-84.86726280525623,0,0.0008897062216419727,-28.676877954960435,9.879042891615724,0.0,0,-59.407102253718875,-28.676877954960435,-28.676877954960435,-28.676877954960425,0.0067507484927773476,-28.676877954960435,80000,200,0.0,0,0.0,0.0,-84.86726280525623
-15.96595796564432,0.0,200,-15.96595796564432,-22.501246818421443,-0.0008103863219730556,1,-22.50124681842144,245.60174507943782,1,0.0,0.0,-22.50124681842144,1,-43.12609703795575,0.0,0.0,1,5.675140380859375,-0.0021443520672619343,0.0,23.009771254566907,0.0,245.60174507943782,-78.95588626814619,1,0.0013339657452888787,-22.50124681842144,23.009771254566907,0.0,1,-43.12609703795575,-22.50124681842144,-22.50124681842144,-22.501246818421443,0.009591957554221153,-22.50124681842144,160000,200,0.0,1,0.0,0.0,-78.95588626814619
-3.798289084401596,0.0,200,-3.798289084401596,677.8805646773818,-0.0005987862823531032,1,677.8805646773818,1388.4472300391778,1,0.0,0.0,677.8805646773818,2,-7.05856707140156,0.0,0.0,2,5.667300224304199,-0.001752025680616498,0.0,151.58932511176957,0.0,1388.4472300391778,-56.40010720018205,2,0.0011532393982633948,677.8805646773818,151.58932511176957,0.0,2,-7.05856707140156,677.8805646773818,677.8805646773818,677.8805646773818,0.006574156228452921,677.8805646773818,240000,200,0.0,2,0.0,0.0,-56.40010720018205
38.387587499850696,0.0,200,38.387587499850696,561.6964860741973,-3.9914328226586804e-05,1,561.6964860741979,8470.453828323187,1,0.0,0.0,561.6964860741979,3,133.11692100217127,0.0,0.0,3,5.665684700012207,-0.00030726310797035694,0.0,713.1639768335135,0.005,8470.453828323187,-50.117388936015075,3,0.00026734877974377014,561.6964860741979,713.1639768335135,0.0,3,133.11692100217127,561.6964860741979,561.6964860741979,561.6964860741973,0.006546155549585819,561.6964860741979,320000,200,0.0,3,0.0,0.005,-50.117388936015075
69.32805035845439,0.0,200,69.32805035845439,-33.24943257994307,0.0008866594289429486,1,-33.24943257994308,14805.246639300309,1,0.0,0.0,-33.24943257994308,4,301.54785326329807,0.0,0.0,4,5.7056403160095215,0.0006019268766976893,0.0,1512.0440139653285,0.015,14805.246639300309,-49.17230894235893,4,0.0002847325522452593,-33.24943257994308,1512.0440139653285,0.0,4,301.54785326329807,-33.24943257994308,-33.24943257994308,-33.24943257994307,0.007438907865434885,-33.24943257994308,400000,200,0.0,4,0.0,0.015,-49.17230894235893
74.93721555724548,0.0,200,74.93721555724548,2763.0198228554864,6.120876787463203e-05,1,2763.0198228554846,5015.7701845356305,1,0.0,0.0,2763.0198228554846,5,249.0262466323112,0.0,0.0,5,5.708938121795654,-0.0002730651176534593,0.0,701.7249724113118,0.015,5015.7701845356305,-52.683017875840584,5,0.00033427388552809134,2763.0198228554846,701.7249724113118,0.0,5,249.0262466323112,2763.0198228554846,2763.0198228554846,2763.0198228554864,0.006620076484978199,2763.0198228554846,480000,200,0.0,5,0.0,0.015,-52.683017875840584
70.07902586581756,0.0,200,70.07902586581756,-26.54337297671158,0.00031137902988120914,1,-26.543372976711556,5946.9149789055555,1,0.0,0.0,-26.543372976711556,6,261.76216773169074,0.0,0.0,6,5.742836952209473,0.00016296999820042402,0.0,751.8958919267326,0.005,5946.9149789055555,-44.933214591478915,6,0.00014840903168078512,-26.543372976711556,751.8958919267326,0.0,6,261.76216773169074,-26.543372976711556,-26.543372976711556,-26.54337297671158,0.007007828913629055,-26.543372976711556,560000,200,0.0,6,0.0,0.005,-44.933214591478915
81.04508390602308,0.0,200,81.04508390602308,-18.814569403448722,8.746129606151953e-05,1,-18.814569403448726,4546.948421753236,1,0.0,0.0,-18.814569403448726,7,293.0764981821671,0.0,0.0,7,5.748721122741699,-8.237583097070456e-05,0.0,673.3124973551046,0.0,4546.948421753236,-31.808869020438706,7,0.0001698371270322241,-18.814569403448726,673.3124973551046,0.0,7,293.0764981821671,-18.814569403448726,-18.814569403448726,-18.814569403448722,0.006620840169489384,-18.814569403448726,640000,200,0.0,7,0.0,0.0,-31.808869020438706
155.6328555431067,0.0,200,155.6328555431067,4278.161924952332,1.4699477105750702e-05,1,4278.161924952331,11449.082117304717,1,0.0,0.0,4278.161924952331,8,590.6476107751678,0.0,0.0,8,5.755974769592285,-2.7931504519074224e-05,0.0,1464.6447070534446,0.005,11449.082117304717,-37.47250693934888,8,4.2630981624824926e-05,4278.161924952331,1464.6447070534446,0.0,8,590.6476107751678,4278.161924952331,4278.161924952331,4278.161924952332,0.008906397968530655,4278.161924952331,720000,200,0.0,8,0.0,0.005,-37.47250693934888
296.31460633134407,0.0,200,296.31460633134407,1498.559355724021,-3.9251324778888375e-05,1,1498.5593557240204,20825.988787129216,1,0.0,0.0,1498.5593557240204,9,1151.1476741915071,0.0,0.0,9,5.712211608886719,-4.723808524431661e-05,0.0,2504.7408498800023,0.005,20825.988787129216,-42.09988289127025,9,7.986760465428233e-06,1498.5593557240204,2504.7408498800023,0.0,9,1151.1476741915071,1498.5593557240204,1498.5593557240204,1498.559355724021,0.004259513691067696,1498.5593557240204,800000,200,0.0,9,0.0,0.005,-42.09988289127025
