MetaTest/push-v1/AverageDiscountedReturn,MetaTest/push-v1/StdReturn,MetaTest/push-v1/TerminationRate,push-v1/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,push-v1/SuccessRate,push-v1/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,Average/StdReturn,push-v1/AverageReturn,push-v1/MinReturn,push-v1/TerminationRate,Average/NumEpisodes,Average/AverageReturn,MetaTest/push-v1/NumEpisodes,MetaTest/push-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,Iteration,GaussianMLPPolicy/KLAfter,MetaTest/Average/TerminationRate,push-v1/NumEpisodes,Average/MaxReturn,GaussianMLPPolicy/Entropy,MetaTest/push-v1/Iteration,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/MaxReturn,GaussianMLPPolicy/dLoss,MetaTest/push-v1/AverageReturn,MetaTest/push-v1/SuccessRate,push-v1/Iteration,GaussianMLPPolicy/LossBefore,Average/TerminationRate,push-v1/MaxReturn,Average/MinReturn,Average/Iteration,Average/SuccessRate
-24.78434892485106,75.65784252808045,0.0,-17.763420611150323,0.0,50,0,-17.763420611150323,0.0,22.14092361806598,-57.91782491425725,-24.784348924851045,0.0,22.14092361806598,-44.97223267053493,-77.13572597545833,0.0,200,-44.97223267053493,50,-57.91782491425725,477.7325239348333,75.65784252808045,0,0.006921769119799137,0.0,200,243.65078866456417,5.659217834472656,0,80000,-24.78434892485106,-0.00252163247205317,477.7325239348333,0.0013127378188073635,-24.784348924851045,0.0,0,-0.0012088946532458067,0.0,243.65078866456417,-77.13572597545833,0,0.0
,,,1.457106269555632,0.0,,,1.457106269555632,0.0,214.7798233585099,,,,214.7798233585099,-1.6773249297185464,-56.860062456733296,0.0,200,-1.6773249297185464,,,,,1,0.007677801884710789,,200,2266.9950208083505,5.671430587768555,,160000,,-0.00020385347306728363,,0.0012431637151166797,,,1,0.001039310242049396,0.0,2266.9950208083505,-56.860062456733296,1,0.0
,,,87.45840819811131,0.0,,,87.45840819811131,0.0,1314.5192196968264,,,,1314.5192196968264,275.5424789868467,-57.92880290433413,0.0,200,275.5424789868467,,,,,2,0.009156657382845879,,200,10873.265348335675,5.690033912658691,,240000,,-0.00034680645330809057,,0.0006735945644322783,,,2,0.0003267881111241877,0.0,10873.265348335675,-57.92880290433413,2,0.0
,,,99.61546163555795,0.0,,,99.61546163555795,0.0,1047.2421543099988,,,,1047.2421543099988,286.6549597062509,-54.248149897401206,0.0,200,286.6549597062509,,,,,3,0.009886467829346657,,200,8584.501223568845,5.638491153717041,,320000,,-0.001178315607830882,,0.0003395284293219447,,,3,-0.0008387871785089374,0.0,8584.501223568845,-54.248149897401206,3,0.0
,,,164.6903811259687,0.0,,,164.6903811259687,0.02,1635.8490380617359,,,,1635.8490380617359,520.9146823454546,-50.87985750437531,0.0,200,520.9146823454546,,,,,4,0.007658577524125576,,200,11520.520703338594,5.632558822631836,,400000,,-0.0005725230439566076,,0.00044263090239837766,,,4,-0.00012989214155822992,0.0,11520.520703338594,-50.87985750437531,4,0.02
,,,223.9662806360301,0.0,,,223.9662806360301,0.015,2316.5443602329824,,,,2316.5443602329824,633.2044071315612,-44.66413490156065,0.0,200,633.2044071315612,,,,,5,0.009034854359924793,,200,23542.65605940321,5.618780612945557,,480000,,-0.00010574890620773658,,6.59000979794655e-05,,,5,-3.984880822827108e-05,0.0,23542.65605940321,-44.66413490156065,5,0.015
,,,364.17216100297713,0.0,,,364.17216100297713,0.0,2820.5039106185177,,,,2820.5039106185177,1039.4600088479929,-36.46784783523281,0.0,200,1039.4600088479929,,,,,6,0.006623310036957264,,200,22569.920355744252,5.627518177032471,,560000,,-2.2766054826206528e-05,,5.6472357755410485e-05,,,6,3.370630292920396e-05,0.0,22569.920355744252,-36.46784783523281,6,0.0
,,,546.3981616615642,0.0,,,546.3981616615642,0.025,3983.7689836898403,,,,3983.7689836898403,1782.3656982292189,-47.056220027870665,0.0,200,1782.3656982292189,,,,,7,0.00817024428397417,,200,28805.712698606472,5.566459655761719,,640000,,-9.09518712433055e-05,,2.058326208498329e-05,,,7,-7.036860915832222e-05,0.0,28805.712698606472,-47.056220027870665,7,0.025
,,,574.7581566703782,0.0,,,574.7581566703782,0.005,3402.6818042110835,,,,3402.6818042110835,1773.3981396865818,-35.576182170831814,0.0,200,1773.3981396865818,,,,,8,0.007883729413151741,,200,22329.295365867438,5.580671310424805,,720000,,1.198728512008529e-07,,1.918059243166681e-05,,,8,1.9300465282867663e-05,0.0,22329.295365867438,-35.576182170831814,8,0.005
,,,1381.7603052806437,0.0,,,1381.7603052806437,0.015,8678.24289642662,,,,8678.24289642662,4651.191813545545,-32.313372488106666,0.0,200,4651.191813545545,,,,,9,0.0027841762639582157,,200,52867.61495577484,5.556249618530273,,800000,,-2.5583303795428947e-05,,5.305517333908938e-06,,,9,-2.027778646152001e-05,0.0,52867.61495577484,-32.313372488106666,9,0.015
